District,zone,belt,region,Year AD,Year BS,Communicable Diseases,No of people,Zone,Belt,Region
Dadeldhura,Mahakali,Hill,Far-Western,2011/12,2068/69,HIV/AIDS3,12,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2011/12,2068/69,Leprosy3,22,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2011/12,2068/69,STD/STI3,1216,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,130,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2012/13,2069/70,HIV/AIDS4,7,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2012/13,2069/70,Leprosy4,27,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2012/13,2069/70,STD/STI4,1790,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2013/14,2070/71,HIV/AIDS5,57,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2013/14,2070/71,Leprosy5,1,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2013/14,2070/71,STD/STI5,57,Mahakali,Hill,Far-Western
Dailekh,Bheri,Hill,Mid-Western,2009/10,2066/67,Confirmed Meningitis,0,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2009/10,2066/67,HIV/AIDS,3,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2009/10,2066/67,Leprosy,9,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2009/10,2066/67,STD/STI,650,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,1,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2010/11,2067/68,HIV/AIDS2,5,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2010/11,2067/68,Leprosy2,3,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2010/11,2067/68,STD/STI2,679,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,3,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,HIV/AIDS3,12,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,Leprosy3,4,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,STD/STI3,720,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,0,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2012/13,2069/70,HIV/AIDS4,4,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2012/13,2069/70,Leprosy4,2,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2012/13,2069/70,STD/STI4,480,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2013/14,2070/71,Confirmed Meningitis 5,1,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2013/14,2070/71,HIV/AIDS5,1160,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2013/14,2070/71,Leprosy5,11,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2013/14,2070/71,STD/STI5,1160,Bheri,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2009/10,2066/67,Confirmed Meningitis,8,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2009/10,2066/67,HIV/AIDS,11,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2009/10,2066/67,Leprosy,25,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2009/10,2066/67,STD/STI,1209,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,0,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2010/11,2067/68,HIV/AIDS2,0,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2010/11,2067/68,Leprosy2,14,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2010/11,2067/68,STD/STI2,1989,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,0,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,HIV/AIDS3,0,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Leprosy3,13,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,STD/STI3,1400,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,8,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2012/13,2069/70,HIV/AIDS4,9,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2012/13,2069/70,Leprosy4,21,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2012/13,2069/70,STD/STI4,1540,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2013/14,2070/71,Confirmed Meningitis 5,0,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2013/14,2070/71,HIV/AIDS5,426,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2013/14,2070/71,Leprosy5,35,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2013/14,2070/71,STD/STI5,426,Rapti,Terai,Mid-Western
Darchaula,Mahakali,Mountain,Far-Western,2009/10,2066/67,Confirmed Meningitis,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2009/10,2066/67,HIV/AIDS,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2009/10,2066/67,Leprosy,2,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2009/10,2066/67,STD/STI,389,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2010/11,2067/68,HIV/AIDS2,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2010/11,2067/68,Leprosy2,1,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2010/11,2067/68,STD/STI2,224,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2011/12,2068/69,HIV/AIDS3,2,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2011/12,2068/69,Leprosy3,3,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2011/12,2068/69,STD/STI3,162,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2012/13,2069/70,HIV/AIDS4,2,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2012/13,2069/70,Leprosy4,1,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2012/13,2069/70,STD/STI4,105,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,24,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2013/14,2070/71,HIV/AIDS5,371,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2013/14,2070/71,Leprosy5,25,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2013/14,2070/71,STD/STI5,371,Mahakali,Mountain,Far-Western
Dhading,Bagmati,Hill,Central,2009/10,2066/67,Confirmed Meningitis,6,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2009/10,2066/67,HIV/AIDS,5,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2009/10,2066/67,Leprosy,4,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2009/10,2066/67,STD/STI,941,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2010/11,2067/68,Confirmed Meningitis 2,5,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2010/11,2067/68,HIV/AIDS2,15,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2010/11,2067/68,Leprosy2,2,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2010/11,2067/68,STD/STI2,1156,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2011/12,2068/69,Confirmed Meningitis 3,13,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2011/12,2068/69,HIV/AIDS3,3,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2011/12,2068/69,Leprosy3,15,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2011/12,2068/69,STD/STI3,1030,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2012/13,2069/70,Confirmed Meningitis 4,13,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2012/13,2069/70,HIV/AIDS4,23,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2012/13,2069/70,Leprosy4,21,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2012/13,2069/70,STD/STI4,1377,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2013/14,2070/71,Confirmed Meningitis 5,56,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2013/14,2070/71,HIV/AIDS5,675,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2013/14,2070/71,Leprosy5,969,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2013/14,2070/71,STD/STI5,675,Bagmati,Hill,Central
Dhankuta,Kosi,Hill,Eastern,2009/10,2066/67,Confirmed Meningitis,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2009/10,2066/67,HIV/AIDS,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2009/10,2066/67,Leprosy,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2009/10,2066/67,STD/STI,152,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2010/11,2067/68,Confirmed Meningitis 2,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2010/11,2067/68,HIV/AIDS2,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2010/11,2067/68,Leprosy2,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2010/11,2067/68,STD/STI2,155,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Confirmed Meningitis 3,1,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,HIV/AIDS3,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Leprosy3,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,STD/STI3,165,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2012/13,2069/70,Confirmed Meningitis 4,6,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2012/13,2069/70,HIV/AIDS4,0,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2012/13,2069/70,Leprosy4,3,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2012/13,2069/70,STD/STI4,262,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2013/14,2070/71,Confirmed Meningitis 5,23,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2013/14,2070/71,HIV/AIDS5,1742,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2013/14,2070/71,Leprosy5,124,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2013/14,2070/71,STD/STI5,1742,Kosi,Hill,Eastern
Dhanusa,Janakpur,Terai,Central,2009/10,2066/67,Confirmed Meningitis,65,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2009/10,2066/67,HIV/AIDS,0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2009/10,2066/67,Leprosy,101,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2009/10,2066/67,STD/STI,685,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2010/11,2067/68,Confirmed Meningitis 2,0,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2010/11,2067/68,HIV/AIDS2,1,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2010/11,2067/68,Leprosy2,94,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2010/11,2067/68,STD/STI2,565,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2011/12,2068/69,Confirmed Meningitis 3,2,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2011/12,2068/69,HIV/AIDS3,1,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2011/12,2068/69,Leprosy3,302,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2011/12,2068/69,STD/STI3,562,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2012/13,2069/70,Confirmed Meningitis 4,226,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2012/13,2069/70,HIV/AIDS4,268,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2012/13,2069/70,Leprosy4,281,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2012/13,2069/70,STD/STI4,635,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2013/14,2070/71,Confirmed Meningitis 5,1,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2013/14,2070/71,HIV/AIDS5,615,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2013/14,2070/71,Leprosy5,74,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2013/14,2070/71,STD/STI5,615,Janakpur,Terai,Central
Dolakha,Janakpur,Mountain,Central,2009/10,2066/67,Confirmed Meningitis,13,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2009/10,2066/67,HIV/AIDS,1,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2009/10,2066/67,Leprosy,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2009/10,2066/67,STD/STI,137,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2010/11,2067/68,Confirmed Meningitis 2,4,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2010/11,2067/68,HIV/AIDS2,2,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2010/11,2067/68,Leprosy2,2,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2010/11,2067/68,STD/STI2,354,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2011/12,2068/69,Confirmed Meningitis 3,0,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2011/12,2068/69,HIV/AIDS3,2,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2011/12,2068/69,Leprosy3,3,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2011/12,2068/69,STD/STI3,547,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2012/13,2069/70,Confirmed Meningitis 4,2,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2012/13,2069/70,HIV/AIDS4,95,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2012/13,2069/70,Leprosy4,35,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2012/13,2069/70,STD/STI4,408,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2013/14,2070/71,Confirmed Meningitis 5,1,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2013/14,2070/71,HIV/AIDS5,263,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2013/14,2070/71,Leprosy5,7,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2013/14,2070/71,STD/STI5,263,Janakpur,Mountain,Central
Dolpa,Karnali,Mountain,Mid-Western,2009/10,2066/67,Confirmed Meningitis,2,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2009/10,2066/67,HIV/AIDS,1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2009/10,2066/67,Leprosy,6,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2009/10,2066/67,STD/STI,220,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,9,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2010/11,2067/68,HIV/AIDS2,67,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2010/11,2067/68,Leprosy2,27,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2010/11,2067/68,STD/STI2,154,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,0,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2011/12,2068/69,HIV/AIDS3,0,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2011/12,2068/69,Leprosy3,0,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2011/12,2068/69,STD/STI3,75,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,9,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2012/13,2069/70,HIV/AIDS4,49,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2012/13,2069/70,Leprosy4,5,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2012/13,2069/70,STD/STI4,80,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2013/14,2070/71,Confirmed Meningitis 5,1,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2013/14,2070/71,HIV/AIDS5,45,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2013/14,2070/71,Leprosy5,2,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2013/14,2070/71,STD/STI5,45,Karnali,Mountain,Mid-Western
Doti,Seti,Hill,Far-Western,2009/10,2066/67,Confirmed Meningitis,17,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2009/10,2066/67,HIV/AIDS,89,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2009/10,2066/67,Leprosy,25,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2009/10,2066/67,STD/STI,527,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,40,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2010/11,2067/68,HIV/AIDS2,5,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2010/11,2067/68,Leprosy2,6,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2010/11,2067/68,STD/STI2,378,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,2,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2011/12,2068/69,HIV/AIDS3,10,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2011/12,2068/69,Leprosy3,2,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2011/12,2068/69,STD/STI3,332,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,12,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2012/13,2069/70,HIV/AIDS4,2,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2012/13,2069/70,Leprosy4,2,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2012/13,2069/70,STD/STI4,135,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,6,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2013/14,2070/71,HIV/AIDS5,404,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2013/14,2070/71,Leprosy5,10,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2013/14,2070/71,STD/STI5,404,Seti,Hill,Far-Western
Gorkha,Gandaki,Hill,Western,2009/10,2066/67,Confirmed Meningitis,33,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2009/10,2066/67,HIV/AIDS,5,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2009/10,2066/67,Leprosy,8,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2009/10,2066/67,STD/STI,198,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2010/11,2067/68,Confirmed Meningitis 2,0,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2010/11,2067/68,HIV/AIDS2,17,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2010/11,2067/68,Leprosy2,9,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2010/11,2067/68,STD/STI2,179,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2011/12,2068/69,Confirmed Meningitis 3,3,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2011/12,2068/69,HIV/AIDS3,17,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2011/12,2068/69,Leprosy3,12,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2011/12,2068/69,STD/STI3,215,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2012/13,2069/70,Confirmed Meningitis 4,1,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2012/13,2069/70,HIV/AIDS4,5,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2012/13,2069/70,Leprosy4,4,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2012/13,2069/70,STD/STI4,140,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2013/14,2070/71,Confirmed Meningitis 5,3,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2013/14,2070/71,HIV/AIDS5,447,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2013/14,2070/71,Leprosy5,2,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2013/14,2070/71,STD/STI5,447,Gandaki,Hill,Western
Gulmi,Lumbini,Hill,Western,2009/10,2066/67,Confirmed Meningitis,28,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2009/10,2066/67,HIV/AIDS,23,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2009/10,2066/67,Leprosy,4,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2009/10,2066/67,STD/STI,2158,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2010/11,2067/68,Confirmed Meningitis 2,25,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2010/11,2067/68,HIV/AIDS2,7,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2010/11,2067/68,Leprosy2,4,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2010/11,2067/68,STD/STI2,811,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2011/12,2068/69,Confirmed Meningitis 3,4,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2011/12,2068/69,HIV/AIDS3,1,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2011/12,2068/69,Leprosy3,2,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2011/12,2068/69,STD/STI3,669,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2012/13,2069/70,Confirmed Meningitis 4,627,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2012/13,2069/70,HIV/AIDS4,80,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2012/13,2069/70,Leprosy4,10,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2012/13,2069/70,STD/STI4,691,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2013/14,2070/71,Confirmed Meningitis 5,52,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2013/14,2070/71,HIV/AIDS5,666,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2013/14,2070/71,Leprosy5,15,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2013/14,2070/71,STD/STI5,666,Lumbini,Hill,Western
Humla,Karnali,Mountain,Mid-Western,2009/10,2066/67,Confirmed Meningitis,1,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2009/10,2066/67,HIV/AIDS,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2009/10,2066/67,Leprosy,10,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2009/10,2066/67,STD/STI,497,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2010/11,2067/68,Confirmed Meningitis 2,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2010/11,2067/68,HIV/AIDS2,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2010/11,2067/68,Leprosy2,1,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2010/11,2067/68,STD/STI2,297,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2011/12,2068/69,Confirmed Meningitis 3,17,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2011/12,2068/69,HIV/AIDS3,239,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2011/12,2068/69,Leprosy3,98,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2011/12,2068/69,STD/STI3,411,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2012/13,2069/70,Confirmed Meningitis 4,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2012/13,2069/70,HIV/AIDS4,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2012/13,2069/70,Leprosy4,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2012/13,2069/70,STD/STI4,112,Karnali,Mountain,Mid-Western
