District,Year,Method,Contraceptives,Gender,Number of user
Doti,2066/67,Permanent method,Sterilization,Male,3676
Doti,2066/67,Permanent method,Sterilization,Female,554
Kailali,2066/67,Temporary Methods,Condom,,7521
Kailali,2066/67,Temporary Methods,Pills,,6794
Kailali,2066/67,Temporary Methods,Depo,,12428
Kailali,2066/67,Temporary Methods,IUD,,1054
Kailali,2066/67,Temporary Methods,Norplant,,2448
Kailali,2066/67,Permanent method,Sterilization,Male,4525
Kailali,2066/67,Permanent method,Sterilization,Female,39486
Kanchanpur,2066/67,Temporary Methods,Condom,,4278
Kanchanpur,2066/67,Temporary Methods,Pills,,3757
Kanchanpur,2066/67,Temporary Methods,Depo,,7484
Kanchanpur,2066/67,Temporary Methods,IUD,,592
Kanchanpur,2066/67,Temporary Methods,Norplant,,1212
Kanchanpur,2066/67,Permanent method,Sterilization,Male,4387
Kanchanpur,2066/67,Permanent method,Sterilization,Female,20330
Taplejung,2067/68,Temporary Methods,Condom,,12
Taplejung,2067/68,Temporary Methods,Pills,,738
Taplejung,2067/68,Temporary Methods,Depo,,1348
Taplejung,2067/68,Temporary Methods,IUD,,4011
Taplejung,2067/68,Temporary Methods,Norplant,,792
Taplejung,2067/68,Permanent method,Sterilization,Male,7018
Taplejung,2067/68,Permanent method,Sterilization,Female,1981
Panchthar,2067/68,Temporary Methods,Condom,,12
Panchthar,2067/68,Temporary Methods,Pills,,1703
Panchthar,2067/68,Temporary Methods,Depo,,2311
Panchthar,2067/68,Temporary Methods,IUD,,5299
Panchthar,2067/68,Temporary Methods,Norplant,,863
Panchthar,2067/68,Permanent method,Sterilization,Male,11260
Panchthar,2067/68,Permanent method,Sterilization,Female,1820
Ilam,2067/68,Temporary Methods,Condom,,12
Ilam,2067/68,Temporary Methods,Pills,,1804
Ilam,2067/68,Temporary Methods,Depo,,6642
Ilam,2067/68,Temporary Methods,IUD,,13064
Ilam,2067/68,Temporary Methods,Norplant,,1879
Ilam,2067/68,Permanent method,Sterilization,Male,24878
Ilam,2067/68,Permanent method,Sterilization,Female,1891
Jhapa,2067/68,Temporary Methods,Condom,,12
Jhapa,2067/68,Temporary Methods,Pills,,5262
Jhapa,2067/68,Temporary Methods,Depo,,6828
Jhapa,2067/68,Temporary Methods,IUD,,16261
Jhapa,2067/68,Temporary Methods,Norplant,,4087
Jhapa,2067/68,Permanent method,Sterilization,Male,37274
Jhapa,2067/68,Permanent method,Sterilization,Female,9042
Morang,2067/68,Temporary Methods,Condom,,12
Morang,2067/68,Temporary Methods,Pills,,4145
Morang,2067/68,Temporary Methods,Depo,,8509
Morang,2067/68,Temporary Methods,IUD,,18693
Morang,2067/68,Temporary Methods,Norplant,,7662
Morang,2067/68,Permanent method,Sterilization,Male,43329
Morang,2067/68,Permanent method,Sterilization,Female,5250
Sunsari,2067/68,Temporary Methods,Condom,,12
Sunsari,2067/68,Temporary Methods,Pills,,3757
Sunsari,2067/68,Temporary Methods,Depo,,5196
Sunsari,2067/68,Temporary Methods,IUD,,12624
Sunsari,2067/68,Temporary Methods,Norplant,,2388
Sunsari,2067/68,Permanent method,Sterilization,Male,26472
Sunsari,2067/68,Permanent method,Sterilization,Female,3218
Dhankuta,2067/68,Temporary Methods,Condom,,12
Dhankuta,2067/68,Temporary Methods,Pills,,1489
Dhankuta,2067/68,Temporary Methods,Depo,,3574
Dhankuta,2067/68,Temporary Methods,IUD,,5755
Dhankuta,2067/68,Temporary Methods,Norplant,,661
Dhankuta,2067/68,Permanent method,Sterilization,Male,12754
Dhankuta,2067/68,Permanent method,Sterilization,Female,1933
Teharthum,2067/68,Temporary Methods,Condom,,12
Teharthum,2067/68,Temporary Methods,Pills,,1102
Teharthum,2067/68,Temporary Methods,Depo,,677
Teharthum,2067/68,Temporary Methods,IUD,,2092
Teharthum,2067/68,Temporary Methods,Norplant,,369
Teharthum,2067/68,Permanent method,Sterilization,Male,4735
Teharthum,2067/68,Permanent method,Sterilization,Female,1776
Sankhuwasabha,2067/68,Temporary Methods,Condom,,12
Sankhuwasabha,2067/68,Temporary Methods,Pills,,1083
Sankhuwasabha,2067/68,Temporary Methods,Depo,,609
Sankhuwasabha,2067/68,Temporary Methods,IUD,,3238
Sankhuwasabha,2067/68,Temporary Methods,Norplant,,705
Sankhuwasabha,2067/68,Permanent method,Sterilization,Male,6709
Sankhuwasabha,2067/68,Permanent method,Sterilization,Female,2794
Bhojpur,2067/68,Temporary Methods,Condom,,12
Bhojpur,2067/68,Temporary Methods,Pills,,1113
Bhojpur,2067/68,Temporary Methods,Depo,,1561
Bhojpur,2067/68,Temporary Methods,IUD,,4158
Bhojpur,2067/68,Temporary Methods,Norplant,,309
Bhojpur,2067/68,Permanent method,Sterilization,Male,7740
Bhojpur,2067/68,Permanent method,Sterilization,Female,2664
Solukhumbu,2067/68,Temporary Methods,Condom,,12
Solukhumbu,2067/68,Temporary Methods,Pills,,938
Solukhumbu,2067/68,Temporary Methods,Depo,,1240
Solukhumbu,2067/68,Temporary Methods,IUD,,5635
Solukhumbu,2067/68,Temporary Methods,Norplant,,99
Solukhumbu,2067/68,Permanent method,Sterilization,Male,8561
Solukhumbu,2067/68,Permanent method,Sterilization,Female,841
Okhaldhunga,2067/68,Temporary Methods,Condom,,12
Okhaldhunga,2067/68,Temporary Methods,Pills,,795
Okhaldhunga,2067/68,Temporary Methods,Depo,,1710
Okhaldhunga,2067/68,Temporary Methods,IUD,,4849
Okhaldhunga,2067/68,Temporary Methods,Norplant,,638
Okhaldhunga,2067/68,Permanent method,Sterilization,Male,9163
Okhaldhunga,2067/68,Permanent method,Sterilization,Female,2466
Khotang,2067/68,Temporary Methods,Condom,,12
Khotang,2067/68,Temporary Methods,Pills,,1086
Khotang,2067/68,Temporary Methods,Depo,,3266
Khotang,2067/68,Temporary Methods,IUD,,7168
Khotang,2067/68,Temporary Methods,Norplant,,559
Khotang,2067/68,Permanent method,Sterilization,Male,12336
Khotang,2067/68,Permanent method,Sterilization,Female,2601
Udaypur,2067/68,Temporary Methods,Condom,,12
Udaypur,2067/68,Temporary Methods,Pills,,965
Udaypur,2067/68,Temporary Methods,Depo,,1703
Udaypur,2067/68,Temporary Methods,IUD,,5847
Udaypur,2067/68,Temporary Methods,Norplant,,773
Udaypur,2067/68,Permanent method,Sterilization,Male,9661
Udaypur,2067/68,Permanent method,Sterilization,Female,4263
Saptari,2067/68,Temporary Methods,Condom,,12
Saptari,2067/68,Temporary Methods,Pills,,4535
Saptari,2067/68,Temporary Methods,Depo,,6320
Saptari,2067/68,Temporary Methods,IUD,,12901
Saptari,2067/68,Temporary Methods,Norplant,,714
Saptari,2067/68,Permanent method,Sterilization,Male,24803
Saptari,2067/68,Permanent method,Sterilization,Female,595
Siraha,2067/68,Temporary Methods,Condom,,12
Siraha,2067/68,Temporary Methods,Pills,,3924
Siraha,2067/68,Temporary Methods,Depo,,3079
Siraha,2067/68,Temporary Methods,IUD,,9184
Siraha,2067/68,Temporary Methods,Norplant,,2021
Siraha,2067/68,Permanent method,Sterilization,Male,19808
Siraha,2067/68,Permanent method,Sterilization,Female,1166
Dhanusha,2067/68,Temporary Methods,Condom,,12
Dhanusha,2067/68,Temporary Methods,Pills,,3841
Dhanusha,2067/68,Temporary Methods,Depo,,2283
Dhanusha,2067/68,Temporary Methods,IUD,,6827
Dhanusha,2067/68,Temporary Methods,Norplant,,373
Dhanusha,2067/68,Permanent method,Sterilization,Male,13600
Dhanusha,2067/68,Permanent method,Sterilization,Female,1672
Mahottari,2067/68,Temporary Methods,Condom,,12
Mahottari,2067/68,Temporary Methods,Pills,,5011
Mahottari,2067/68,Temporary Methods,Depo,,3028
Mahottari,2067/68,Temporary Methods,IUD,,8884
Mahottari,2067/68,Temporary Methods,Norplant,,1158
Mahottari,2067/68,Permanent method,Sterilization,Male,18646
Mahottari,2067/68,Permanent method,Sterilization,Female,475
Sarlahi,2067/68,Temporary Methods,Condom,,12
Sarlahi,2067/68,Temporary Methods,Pills,,2142
Sarlahi,2067/68,Temporary Methods,Depo,,3880
Sarlahi,2067/68,Temporary Methods,IUD,,6216
Sarlahi,2067/68,Temporary Methods,Norplant,,2695
Sarlahi,2067/68,Permanent method,Sterilization,Male,17658
Sarlahi,2067/68,Permanent method,Sterilization,Female,2664
Sindhuli,2067/68,Temporary Methods,Condom,,12
Sindhuli,2067/68,Temporary Methods,Pills,,1595
Sindhuli,2067/68,Temporary Methods,Depo,,1966
Sindhuli,2067/68,Temporary Methods,IUD,,4444
Sindhuli,2067/68,Temporary Methods,Norplant,,743
Sindhuli,2067/68,Permanent method,Sterilization,Male,10123
Sindhuli,2067/68,Permanent method,Sterilization,Female,4380
Ramechhap,2067/68,Temporary Methods,Condom,,12
Ramechhap,2067/68,Temporary Methods,Pills,,982
Ramechhap,2067/68,Temporary Methods,Depo,,585
Ramechhap,2067/68,Temporary Methods,IUD,,4447
Ramechhap,2067/68,Temporary Methods,Norplant,,1244
Ramechhap,2067/68,Permanent method,Sterilization,Male,8619
Ramechhap,2067/68,Permanent method,Sterilization,Female,3414
Dolkha,2067/68,Temporary Methods,Condom,,12
Dolkha,2067/68,Temporary Methods,Pills,,1091
Dolkha,2067/68,Temporary Methods,Depo,,1491
Dolkha,2067/68,Temporary Methods,IUD,,3947
Dolkha,2067/68,Temporary Methods,Norplant,,427
Dolkha,2067/68,Permanent method,Sterilization,Male,7928
Dolkha,2067/68,Permanent method,Sterilization,Female,4692
Sindhupalchowk,2067/68,Temporary Methods,Condom,,12
Sindhupalchowk,2067/68,Temporary Methods,Pills,,1284
Sindhupalchowk,2067/68,Temporary Methods,Depo,,1889
Sindhupalchowk,2067/68,Temporary Methods,IUD,,8699
Sindhupalchowk,2067/68,Temporary Methods,Norplant,,1114
Sindhupalchowk,2067/68,Permanent method,Sterilization,Male,14109
Sindhupalchowk,2067/68,Permanent method,Sterilization,Female,7565
Kavre,2067/68,Temporary Methods,Condom,,12
Kavre,2067/68,Temporary Methods,Pills,,2552
Kavre,2067/68,Temporary Methods,Depo,,1993
Kavre,2067/68,Temporary Methods,IUD,,9194
Kavre,2067/68,Temporary Methods,Norplant,,4344
Kavre,2067/68,Permanent method,Sterilization,Male,26836
Kavre,2067/68,Permanent method,Sterilization,Female,8873
Lalitpur,2067/68,Temporary Methods,Condom,,12
Lalitpur,2067/68,Temporary Methods,Pills,,3074
Lalitpur,2067/68,Temporary Methods,Depo,,4171
Lalitpur,2067/68,Temporary Methods,IUD,,16319
Lalitpur,2067/68,Temporary Methods,Norplant,,2525
Lalitpur,2067/68,Permanent method,Sterilization,Male,29095
Lalitpur,2067/68,Permanent method,Sterilization,Female,19369
Bhaktapur,2067/68,Temporary Methods,Condom,,12
Bhaktapur,2067/68,Temporary Methods,Pills,,1496
Bhaktapur,2067/68,Temporary Methods,Depo,,1152
Bhaktapur,2067/68,Temporary Methods,IUD,,6229
Bhaktapur,2067/68,Temporary Methods,Norplant,,1867
Bhaktapur,2067/68,Permanent method,Sterilization,Male,12970
Bhaktapur,2067/68,Permanent method,Sterilization,Female,3727
Kathmandu,2067/68,Temporary Methods,Condom,,12
Kathmandu,2067/68,Temporary Methods,Pills,,3797
Kathmandu,2067/68,Temporary Methods,Depo,,7538
Kathmandu,2067/68,Temporary Methods,IUD,,23714
Kathmandu,2067/68,Temporary Methods,Norplant,,15045
Kathmandu,2067/68,Permanent method,Sterilization,Male,60243
Kathmandu,2067/68,Permanent method,Sterilization,Female,19405
Nuwakot,2067/68,Temporary Methods,Condom,,12
Nuwakot,2067/68,Temporary Methods,Pills,,1329
Nuwakot,2067/68,Temporary Methods,Depo,,1137
Nuwakot,2067/68,Temporary Methods,IUD,,5172
Nuwakot,2067/68,Temporary Methods,Norplant,,902
Nuwakot,2067/68,Permanent method,Sterilization,Male,9619
Nuwakot,2067/68,Permanent method,Sterilization,Female,7536
Rasuwa,2067/68,Temporary Methods,Condom,,12
Rasuwa,2067/68,Temporary Methods,Pills,,792
Rasuwa,2067/68,Temporary Methods,Depo,,233
Rasuwa,2067/68,Temporary Methods,IUD,,951
Rasuwa,2067/68,Temporary Methods,Norplant,,52
Rasuwa,2067/68,Permanent method,Sterilization,Male,2432
Rasuwa,2067/68,Permanent method,Sterilization,Female,1889
Dhading,2067/68,Temporary Methods,Condom,,12
Dhading,2067/68,Temporary Methods,Pills,,5562
Dhading,2067/68,Temporary Methods,Depo,,3175
Dhading,2067/68,Temporary Methods,IUD,,10684
Dhading,2067/68,Temporary Methods,Norplant,,2940
Dhading,2067/68,Permanent method,Sterilization,Male,26029
Dhading,2067/68,Permanent method,Sterilization,Female,9545
Makawanpur,2067/68,Temporary Methods,Condom,,12
Makawanpur,2067/68,Temporary Methods,Pills,,3015
Makawanpur,2067/68,Temporary Methods,Depo,,2105
Makawanpur,2067/68,Temporary Methods,IUD,,10144
Makawanpur,2067/68,Temporary Methods,Norplant,,840
Makawanpur,2067/68,Permanent method,Sterilization,Male,23178
Makawanpur,2067/68,Permanent method,Sterilization,Female,28907
Rautahat,2067/68,Temporary Methods,Condom,,12
Rautahat,2067/68,Temporary Methods,Pills,,5937
Rautahat,2067/68,Temporary Methods,Depo,,1751
Rautahat,2067/68,Temporary Methods,IUD,,3455
Rautahat,2067/68,Temporary Methods,Norplant,,1043
Rautahat,2067/68,Permanent method,Sterilization,Male,12543
Rautahat,2067/68,Permanent method,Sterilization,Female,756
Bara,2067/68,Temporary Methods,Condom,,12
Bara,2067/68,Temporary Methods,Pills,,4305
Bara,2067/68,Temporary Methods,Depo,,2028
Bara,2067/68,Temporary Methods,IUD,,8139
Bara,2067/68,Temporary Methods,Norplant,,1896
Bara,2067/68,Permanent method,Sterilization,Male,17556
Bara,2067/68,Permanent method,Sterilization,Female,2025
Parsa,2067/68,Temporary Methods,Condom,,12
Parsa,2067/68,Temporary Methods,Pills,,2651
Parsa,2067/68,Temporary Methods,Depo,,6572
Parsa,2067/68,Temporary Methods,IUD,,6677
Parsa,2067/68,Temporary Methods,Norplant,,1139
Parsa,2067/68,Permanent method,Sterilization,Male,18490
Parsa,2067/68,Permanent method,Sterilization,Female,3002
Chitwan,2067/68,Temporary Methods,Condom,,12
Chitwan,2067/68,Temporary Methods,Pills,,5222
Chitwan,2067/68,Temporary Methods,Depo,,3047
Chitwan,2067/68,Temporary Methods,IUD,,5026
Chitwan,2067/68,Temporary Methods,Norplant,,3181
Chitwan,2067/68,Permanent method,Sterilization,Male,18787
Chitwan,2067/68,Permanent method,Sterilization,Female,25991
Gorkha,2067/68,Temporary Methods,Condom,,12
Gorkha,2067/68,Temporary Methods,Pills,,1329
Gorkha,2067/68,Temporary Methods,Depo,,934
Gorkha,2067/68,Temporary Methods,IUD,,3808
Gorkha,2067/68,Temporary Methods,Norplant,,338
Gorkha,2067/68,Permanent method,Sterilization,Male,6741
Gorkha,2067/68,Permanent method,Sterilization,Female,6325
Lamjung,2067/68,Temporary Methods,Condom,,12
Lamjung,2067/68,Temporary Methods,Pills,,1317
Lamjung,2067/68,Temporary Methods,Depo,,919
Lamjung,2067/68,Temporary Methods,IUD,,1825
Lamjung,2067/68,Temporary Methods,Norplant,,520
Lamjung,2067/68,Permanent method,Sterilization,Male,5017
Lamjung,2067/68,Permanent method,Sterilization,Female,5986
Tanahu,2067/68,Temporary Methods,Condom,,12
Tanahu,2067/68,Temporary Methods,Pills,,2330
Tanahu,2067/68,Temporary Methods,Depo,,1222
Tanahu,2067/68,Temporary Methods,IUD,,2500
Tanahu,2067/68,Temporary Methods,Norplant,,2350
Tanahu,2067/68,Permanent method,Sterilization,Male,9133
Tanahu,2067/68,Permanent method,Sterilization,Female,7349
Syangja,2067/68,Temporary Methods,Condom,,12
Syangja,2067/68,Temporary Methods,Pills,,1897
Syangja,2067/68,Temporary Methods,Depo,,1873
Syangja,2067/68,Temporary Methods,IUD,,2199
Syangja,2067/68,Temporary Methods,Norplant,,588
Syangja,2067/68,Permanent method,Sterilization,Male,6636
Syangja,2067/68,Permanent method,Sterilization,Female,4222
Kaski,2067/68,Temporary Methods,Condom,,12
Kaski,2067/68,Temporary Methods,Pills,,3441
Kaski,2067/68,Temporary Methods,Depo,,5449
Kaski,2067/68,Temporary Methods,IUD,,5799
Kaski,2067/68,Temporary Methods,Norplant,,4093
Kaski,2067/68,Permanent method,Sterilization,Male,20614
Kaski,2067/68,Permanent method,Sterilization,Female,12665
Manang,2067/68,Temporary Methods,Condom,,12
Manang,2067/68,Temporary Methods,Pills,,152
Manang,2067/68,Temporary Methods,Depo,,45
Manang,2067/68,Temporary Methods,IUD,,121
Manang,2067/68,Temporary Methods,Norplant,,10
Manang,2067/68,Permanent method,Sterilization,Male,447
Manang,2067/68,Permanent method,Sterilization,Female,187
Mustang,2067/68,Temporary Methods,Condom,,12
Mustang,2067/68,Temporary Methods,Pills,,272
Mustang,2067/68,Temporary Methods,Depo,,111
Mustang,2067/68,Temporary Methods,IUD,,247
Mustang,2067/68,Temporary Methods,Norplant,,185
Mustang,2067/68,Permanent method,Sterilization,Male,1033
Mustang,2067/68,Permanent method,Sterilization,Female,318
Myagdi,2067/68,Temporary Methods,Condom,,12
Myagdi,2067/68,Temporary Methods,Pills,,1313
Myagdi,2067/68,Temporary Methods,Depo,,767
Myagdi,2067/68,Temporary Methods,IUD,,1587
Myagdi,2067/68,Temporary Methods,Norplant,,1155
Myagdi,2067/68,Permanent method,Sterilization,Male,5794
Myagdi,2067/68,Permanent method,Sterilization,Female,3040
Parbat,2067/68,Temporary Methods,Condom,,12
Parbat,2067/68,Temporary Methods,Pills,,1660
Parbat,2067/68,Temporary Methods,Depo,,532
Parbat,2067/68,Temporary Methods,IUD,,986
Parbat,2067/68,Temporary Methods,Norplant,,531
Parbat,2067/68,Permanent method,Sterilization,Male,3812
Parbat,2067/68,Permanent method,Sterilization,Female,4185
Baglung,2067/68,Temporary Methods,Condom,,12
Baglung,2067/68,Temporary Methods,Pills,,1941
Baglung,2067/68,Temporary Methods,Depo,,2008
Baglung,2067/68,Temporary Methods,IUD,,2026
Baglung,2067/68,Temporary Methods,Norplant,,854
Baglung,2067/68,Permanent method,Sterilization,Male,7347
Baglung,2067/68,Permanent method,Sterilization,Female,6229
Gulmi,2067/68,Temporary Methods,Condom,,12
Gulmi,2067/68,Temporary Methods,Pills,,4062
Gulmi,2067/68,Temporary Methods,Depo,,1891
Gulmi,2067/68,Temporary Methods,IUD,,3378
Gulmi,2067/68,Temporary Methods,Norplant,,806
Gulmi,2067/68,Permanent method,Sterilization,Male,10616
Gulmi,2067/68,Permanent method,Sterilization,Female,3768
Palpa,2067/68,Temporary Methods,Condom,,12
Palpa,2067/68,Temporary Methods,Pills,,2068
Palpa,2067/68,Temporary Methods,Depo,,1817
Palpa,2067/68,Temporary Methods,IUD,,4122
Palpa,2067/68,Temporary Methods,Norplant,,798
Palpa,2067/68,Permanent method,Sterilization,Male,9649
Palpa,2067/68,Permanent method,Sterilization,Female,5415
Nawalparasi,2067/68,Temporary Methods,Condom,,12
Nawalparasi,2067/68,Temporary Methods,Pills,,5129
Nawalparasi,2067/68,Temporary Methods,Depo,,3688
Nawalparasi,2067/68,Temporary Methods,IUD,,7250
Nawalparasi,2067/68,Temporary Methods,Norplant,,1629
Nawalparasi,2067/68,Permanent method,Sterilization,Male,19187
Nawalparasi,2067/68,Permanent method,Sterilization,Female,8367
Rupandehi,2067/68,Temporary Methods,Condom,,12
Rupandehi,2067/68,Temporary Methods,Pills,,7936
Rupandehi,2067/68,Temporary Methods,Depo,,4786
Rupandehi,2067/68,Temporary Methods,IUD,,11272
Rupandehi,2067/68,Temporary Methods,Norplant,,1599
Rupandehi,2067/68,Permanent method,Sterilization,Male,26973
Rupandehi,2067/68,Permanent method,Sterilization,Female,2574
Kapilvastu,2067/68,Temporary Methods,Condom,,12
Kapilvastu,2067/68,Temporary Methods,Pills,,2998
Kapilvastu,2067/68,Temporary Methods,Depo,,2560
Kapilvastu,2067/68,Temporary Methods,IUD,,9122
Kapilvastu,2067/68,Temporary Methods,Norplant,,438
Kapilvastu,2067/68,Permanent method,Sterilization,Male,15398
Kapilvastu,2067/68,Permanent method,Sterilization,Female,1760
Arghakhanchi,2067/68,Temporary Methods,Condom,,12
Arghakhanchi,2067/68,Temporary Methods,Pills,,1750
Arghakhanchi,2067/68,Temporary Methods,Depo,,616
Arghakhanchi,2067/68,Temporary Methods,IUD,,1339
Arghakhanchi,2067/68,Temporary Methods,Norplant,,592
Arghakhanchi,2067/68,Permanent method,Sterilization,Male,5083
Arghakhanchi,2067/68,Permanent method,Sterilization,Female,3174
Pyuthan,2067/68,Temporary Methods,Condom,,12
Pyuthan,2067/68,Temporary Methods,Pills,,4370
Pyuthan,2067/68,Temporary Methods,Depo,,3290
Pyuthan,2067/68,Temporary Methods,IUD,,5065
Pyuthan,2067/68,Temporary Methods,Norplant,,695
Pyuthan,2067/68,Permanent method,Sterilization,Male,14279
Pyuthan,2067/68,Permanent method,Sterilization,Female,2953
Rolpa,2067/68,Temporary Methods,Condom,,12
Rolpa,2067/68,Temporary Methods,Pills,,4569
Rolpa,2067/68,Temporary Methods,Depo,,1267
Rolpa,2067/68,Temporary Methods,IUD,,4205
Rolpa,2067/68,Temporary Methods,Norplant,,1198
Rolpa,2067/68,Permanent method,Sterilization,Male,17401
Rolpa,2067/68,Permanent method,Sterilization,Female,3538
Rukum,2067/68,Temporary Methods,Condom,,12
Rukum,2067/68,Temporary Methods,Pills,,1068
Rukum,2067/68,Temporary Methods,Depo,,1477
Rukum,2067/68,Temporary Methods,IUD,,4314
Rukum,2067/68,Temporary Methods,Norplant,,168
Rukum,2067/68,Permanent method,Sterilization,Male,7410
Rukum,2067/68,Permanent method,Sterilization,Female,3198
Salyan,2067/68,Temporary Methods,Condom,,12
Salyan,2067/68,Temporary Methods,Pills,,2198
Salyan,2067/68,Temporary Methods,Depo,,898
Salyan,2067/68,Temporary Methods,IUD,,4291
Salyan,2067/68,Temporary Methods,Norplant,,1521
Salyan,2067/68,Permanent method,Sterilization,Male,10909
Salyan,2067/68,Permanent method,Sterilization,Female,5623
Dang,2067/68,Temporary Methods,Condom,,12
Dang,2067/68,Temporary Methods,Pills,,4469
Dang,2067/68,Temporary Methods,Depo,,4123
Dang,2067/68,Temporary Methods,IUD,,10201
Dang,2067/68,Temporary Methods,Norplant,,4378
Dang,2067/68,Permanent method,Sterilization,Male,24786
Dang,2067/68,Permanent method,Sterilization,Female,4016
Banke,2067/68,Temporary Methods,Condom,,12
Banke,2067/68,Temporary Methods,Pills,,4638
Banke,2067/68,Temporary Methods,Depo,,3359
Banke,2067/68,Temporary Methods,IUD,,8819
Banke,2067/68,Temporary Methods,Norplant,,3845
Banke,2067/68,Permanent method,Sterilization,Male,23174
Banke,2067/68,Permanent method,Sterilization,Female,6229
Bardiya,2067/68,Temporary Methods,Condom,,12
Bardiya,2067/68,Temporary Methods,Pills,,5931
Bardiya,2067/68,Temporary Methods,Depo,,2051
Bardiya,2067/68,Temporary Methods,IUD,,6524
Bardiya,2067/68,Temporary Methods,Norplant,,4767
Bardiya,2067/68,Permanent method,Sterilization,Male,23216
Bardiya,2067/68,Permanent method,Sterilization,Female,3069
Surkhet,2067/68,Temporary Methods,Condom,,12
Surkhet,2067/68,Temporary Methods,Pills,,4161
Surkhet,2067/68,Temporary Methods,Depo,,2753
Surkhet,2067/68,Temporary Methods,IUD,,5901
Surkhet,2067/68,Temporary Methods,Norplant,,2742
Surkhet,2067/68,Permanent method,Sterilization,Male,17712
Surkhet,2067/68,Permanent method,Sterilization,Female,12213
Dailekh,2067/68,Temporary Methods,Condom,,12
Dailekh,2067/68,Temporary Methods,Pills,,2925
Dailekh,2067/68,Temporary Methods,Depo,,1612
Dailekh,2067/68,Temporary Methods,IUD,,3381
Dailekh,2067/68,Temporary Methods,Norplant,,1063
Dailekh,2067/68,Permanent method,Sterilization,Male,11924
Dailekh,2067/68,Permanent method,Sterilization,Female,6332
Jajarkot,2067/68,Temporary Methods,Condom,,12
Jajarkot,2067/68,Temporary Methods,Pills,,671
Jajarkot,2067/68,Temporary Methods,Depo,,869
Jajarkot,2067/68,Temporary Methods,IUD,,2628
Jajarkot,2067/68,Temporary Methods,Norplant,,209
Jajarkot,2067/68,Permanent method,Sterilization,Male,4880
Jajarkot,2067/68,Permanent method,Sterilization,Female,3578
Dolpa,2067/68,Temporary Methods,Condom,,12
Dolpa,2067/68,Temporary Methods,Pills,,382
Dolpa,2067/68,Temporary Methods,Depo,,270
Dolpa,2067/68,Temporary Methods,IUD,,523
Dolpa,2067/68,Temporary Methods,Norplant,,0
Dolpa,2067/68,Permanent method,Sterilization,Male,1175
Dolpa,2067/68,Permanent method,Sterilization,Female,828
Jumla,2067/68,Temporary Methods,Condom,,12
Jumla,2067/68,Temporary Methods,Pills,,1098
Jumla,2067/68,Temporary Methods,Depo,,232
Jumla,2067/68,Temporary Methods,IUD,,833
Jumla,2067/68,Temporary Methods,Norplant,,38
Jumla,2067/68,Permanent method,Sterilization,Male,2403
Jumla,2067/68,Permanent method,Sterilization,Female,5564
Kalikot,2067/68,Temporary Methods,Condom,,12
Kalikot,2067/68,Temporary Methods,Pills,,1406
Kalikot,2067/68,Temporary Methods,Depo,,577
Kalikot,2067/68,Temporary Methods,IUD,,1854
Kalikot,2067/68,Temporary Methods,Norplant,,249
Kalikot,2067/68,Permanent method,Sterilization,Male,4903
Kalikot,2067/68,Permanent method,Sterilization,Female,2463
Mugu,2067/68,Temporary Methods,Condom,,12
Mugu,2067/68,Temporary Methods,Pills,,287
Mugu,2067/68,Temporary Methods,Depo,,138
Mugu,2067/68,Temporary Methods,IUD,,489
Mugu,2067/68,Temporary Methods,Norplant,,70
Mugu,2067/68,Permanent method,Sterilization,Male,1054
Mugu,2067/68,Permanent method,Sterilization,Female,1746
Humla,2067/68,Temporary Methods,Condom,,12
Humla,2067/68,Temporary Methods,Pills,,340
Humla,2067/68,Temporary Methods,Depo,,692
Humla,2067/68,Temporary Methods,IUD,,1415
Humla,2067/68,Temporary Methods,Norplant,,6
Humla,2067/68,Permanent method,Sterilization,Male,2556
Humla,2067/68,Permanent method,Sterilization,Female,1480
Bajura,2067/68,Temporary Methods,Condom,,12
Bajura,2067/68,Temporary Methods,Pills,,1725
Bajura,2067/68,Temporary Methods,Depo,,851
Bajura,2067/68,Temporary Methods,IUD,,1574
Bajura,2067/68,Temporary Methods,Norplant,,168
Bajura,2067/68,Permanent method,Sterilization,Male,4657
Bajura,2067/68,Permanent method,Sterilization,Female,3324
Bajhang,2067/68,Temporary Methods,Condom,,12
Bajhang,2067/68,Temporary Methods,Pills,,1601
Bajhang,2067/68,Temporary Methods,Depo,,471
Bajhang,2067/68,Temporary Methods,IUD,,1979
Bajhang,2067/68,Temporary Methods,Norplant,,166
Bajhang,2067/68,Permanent method,Sterilization,Male,4926
Bajhang,2067/68,Permanent method,Sterilization,Female,4525
Achham,2067/68,Temporary Methods,Condom,,12
Achham,2067/68,Temporary Methods,Pills,,4424
Achham,2067/68,Temporary Methods,Depo,,1566
Achham,2067/68,Temporary Methods,IUD,,3116
Achham,2067/68,Temporary Methods,Norplant,,470
Achham,2067/68,Permanent method,Sterilization,Male,10615
Achham,2067/68,Permanent method,Sterilization,Female,2953
Doti,2067/68,Temporary Methods,Condom,,12
Doti,2067/68,Temporary Methods,Pills,,2707
Doti,2067/68,Temporary Methods,Depo,,1121
Doti,2067/68,Temporary Methods,IUD,,3178
Doti,2067/68,Temporary Methods,Norplant,,477
Doti,2067/68,Permanent method,Sterilization,Male,8436
Doti,2067/68,Permanent method,Sterilization,Female,3596
Kailali,2067/68,Temporary Methods,Condom,,12
Kailali,2067/68,Temporary Methods,Pills,,7924
Kailali,2067/68,Temporary Methods,Depo,,7521
