District,Zone,Geographical Region,Development Region,Year BS,Year AD,Diseases,Value
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,Rubella,0
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,Mumps,108
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,Chicken pox,74
Bajura,Seti,Mountain,Far-Western,2066/67,2009/10,Hepatatis-B,1
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Measles,9
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Diptheria,0
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Whooping cough,37
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Neonatal Tetanus,0
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Tetanus,0
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Tuberculosis,109
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Acute Flacid Paralysis,0
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Rubella,0
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Mumps,128
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Chicken pox,282
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Hepatatis-B,7
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Measles,1
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Diptheria,0
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Whooping cough,0
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Neonatal Tetanus,0
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Tetanus,2
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Tuberculosis,147
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Acute Flacid Paralysis,1
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Rubella,5
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Mumps,13
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Chicken pox,172
Darchaula,Mahakali,Mountain,Far-Western,2066/67,2009/10,Hepatatis-B,0
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Measles,25
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Diptheria,2
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Whooping cough,8
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Neonatal Tetanus,0
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Tetanus,0
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Tuberculosis,27
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Acute Flacid Paralysis,0
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Rubella,5
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Mumps,60
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Chicken pox,41
Doti,Seti,Hill,Far-Western,2066/67,2009/10,Hepatatis-B,14
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Measles,45
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Diptheria,0
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Whooping cough,22
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Neonatal Tetanus,3
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Tetanus,11
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Tuberculosis,556
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Acute Flacid Paralysis,0
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Rubella,10
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Mumps,408
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Chicken pox,180
Kailali,Seti,Terai,Far-Western,2066/67,2009/10,Hepatatis-B,2
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Measles,66
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Diptheria,0
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Whooping cough,13
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Neonatal Tetanus,0
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Tetanus,0
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Tuberculosis,789
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Acute Flacid Paralysis,2
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Rubella,25
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Mumps,160
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Chicken pox,323
Kanchanpur,Mahakali,Terai,Far-Western,2066/67,2009/10,Hepatatis-B,2
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Measles,72
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Diptheria,0
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Whooping cough,1
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Neonatal Tetanus,1
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Tetanus,1
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Tuberculosis,19
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Acute Flacid Paralysis,13
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Rubella,22
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Mumps,533
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Chicken pox,449
Taplejung,Mechi,Mountain,Eastern,2067/68,2010/11,Hepatatis-B,7
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Measles,19
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Diptheria,0
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Whooping cough,1
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Tetanus,0
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Tuberculosis,15
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,3
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Rubella,18
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Mumps,378
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Chicken pox,222
Panchthar,Mechi,Hill,Eastern,2067/68,2010/11,Hepatatis-B,10
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Measles,76
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Diptheria,0
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Whooping cough,1
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Tetanus,0
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Tuberculosis,54
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,3
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Rubella,16
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Mumps,510
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Chicken pox,192
Ilam,Mechi,Hill,Eastern,2067/68,2010/11,Hepatatis-B,4
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Measles,28
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Diptheria,0
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Whooping cough,22
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Tetanus,2
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Tuberculosis,939
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Acute Flacid Paralysis,72
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Rubella,16
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Mumps,1411
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Chicken pox,437
Jhapa,Mechi,Terai,Eastern,2067/68,2010/11,Hepatatis-B,0
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Measles,12
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Diptheria,0
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Whooping cough,4
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Tetanus,0
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Tuberculosis,996
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Acute Flacid Paralysis,8
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Rubella,22
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Mumps,926
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Chicken pox,515
Morang,Kosi,Terai,Eastern,2067/68,2010/11,Hepatatis-B,6
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Measles,6
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Diptheria,1
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Whooping cough,4
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Tetanus,0
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Tuberculosis,201
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Acute Flacid Paralysis,2
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Rubella,11
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Mumps,737
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Chicken pox,85
Sunsari,Kosi,Terai,Eastern,2067/68,2010/11,Hepatatis-B,0
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Measles,1
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Diptheria,0
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Whooping cough,5
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Tetanus,0
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Tuberculosis,31
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,3
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Rubella,21
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Mumps,407
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Chicken pox,230
Dhankuta,Kosi,Hill,Eastern,2067/68,2010/11,Hepatatis-B,1
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Measles,31
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Diptheria,0
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Whooping cough,0
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Tetanus,2
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Tuberculosis,35
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,2
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Rubella,14
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Mumps,580
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Chicken pox,302
Terhathum,Kosi,Hill,Eastern,2067/68,2010/11,Hepatatis-B,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Measles,37
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Diptheria,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Whooping cough,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Tetanus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Tuberculosis,88
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Acute Flacid Paralysis,0
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Rubella,8
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Mumps,668
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Chicken pox,185
Sankhuwasabha,Kosi,Mountain,Eastern,2067/68,2010/11,Hepatatis-B,1
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Measles,29
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Diptheria,2
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Whooping cough,17
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Tetanus,0
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Tuberculosis,29
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,1
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Rubella,13
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Mumps,741
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Chicken pox,103
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Hepatatis-B,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Measles,6
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Diptheria,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Whooping cough,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Tetanus,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Tuberculosis,19
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Acute Flacid Paralysis,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Rubella,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Mumps,447
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Chicken pox,199
Solukhumbu,Sagarmatha,Mountain,Eastern,2067/68,2010/11,Hepatatis-B,18
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Measles,35
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Diptheria,12
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Whooping cough,52
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tetanus,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tuberculosis,190
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Rubella,8
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Mumps,735
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Chicken pox,261
Okhaldhunga,Sagarmatha,Hill,Eastern,2067/68,2010/11,Hepatatis-B,2
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Measles,21
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Diptheria,0
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Whooping cough,51
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,5
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tetanus,0
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tuberculosis,14
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,5
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Rubella,29
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Mumps,788
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Chicken pox,313
Khotang,Sagarmatha,Hill,Eastern,2067/68,2010/11,Hepatatis-B,19
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Measles,74
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Diptheria,0
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Whooping cough,3
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tetanus,7
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Tuberculosis,230
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Acute Flacid Paralysis,14
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Rubella,1
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Mumps,677
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Chicken pox,95
Udayapur,Sagarmatha,Hill,Eastern,2067/68,2010/11,Hepatatis-B,1
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Measles,12
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Diptheria,2
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Whooping cough,28
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Neonatal Tetanus,0
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Tetanus,3
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Tuberculosis,103
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Acute Flacid Paralysis,1
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Rubella,0
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Mumps,433
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Chicken pox,4
Saptari,Sagarmatha,Terai,Eastern,2067/68,2010/11,Hepatatis-B,7
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Measles,11
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Diptheria,0
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Whooping cough,4
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Neonatal Tetanus,1
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Tetanus,13
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Tuberculosis,365
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Acute Flacid Paralysis,8
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Rubella,6
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Mumps,350
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Chicken pox,52
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Hepatatis-B,4
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Measles,29
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Diptheria,0
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Whooping cough,3
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Neonatal Tetanus,0
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Tetanus,7
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Tuberculosis,323
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Acute Flacid Paralysis,0
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Rubella,29
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Mumps,108
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Chicken pox,24
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Hepatatis-B,0
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Measles,13
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Diptheria,0
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Whooping cough,33
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Neonatal Tetanus,10
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Tetanus,5
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Tuberculosis,408
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Acute Flacid Paralysis,0
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Rubella,50
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Mumps,381
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Chicken pox,171
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Hepatatis-B,1
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Measles,65
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Diptheria,10
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Whooping cough,87
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Neonatal Tetanus,18
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Tetanus,0
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Tuberculosis,385
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Acute Flacid Paralysis,13
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Rubella,10
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Mumps,312
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Chicken pox,189
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Hepatatis-B,0
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Measles,22
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Diptheria,0
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Whooping cough,25
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Neonatal Tetanus,1
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Tetanus,3
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Tuberculosis,299
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Acute Flacid Paralysis,2
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Rubella,22
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Mumps,695
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Chicken pox,95
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Hepatatis-B,0
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Measles,38
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Diptheria,0
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Whooping cough,28
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Neonatal Tetanus,0
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Tetanus,0
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Tuberculosis,22
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Acute Flacid Paralysis,0
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Rubella,36
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Mumps,910
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Chicken pox,213
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Hepatatis-B,0
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Measles,45
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Diptheria,0
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Whooping cough,7
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Neonatal Tetanus,0
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Tetanus,1
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Tuberculosis,215
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Acute Flacid Paralysis,28
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Rubella,11
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Mumps,785
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Chicken pox,153
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Hepatatis-B,22
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Measles,85
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Diptheria,0
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Whooping cough,23
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Neonatal Tetanus,0
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Tetanus,0
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Tuberculosis,70
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Acute Flacid Paralysis,0
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Rubella,19
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Mumps,870
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Chicken pox,509
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Hepatatis-B,29
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Measles,129
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Diptheria,0
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Whooping cough,118
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Neonatal Tetanus,0
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Tetanus,0
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Tuberculosis,135
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Acute Flacid Paralysis,1
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Rubella,33
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Mumps,1103
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Chicken pox,341
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Hepatatis-B,10
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Measles,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Diptheria,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Whooping cough,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Neonatal Tetanus,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Tetanus,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Tuberculosis,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Acute Flacid Paralysis,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Rubella,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Mumps,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Chicken pox,0
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Hepatatis-B,0
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Measles,74
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Diptheria,0
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Whooping cough,69
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Neonatal Tetanus,8
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Tetanus,11
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Tuberculosis,210
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Acute Flacid Paralysis,9
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Rubella,40
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Mumps,325
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Chicken pox,272
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Hepatatis-B,1
