Year,District,Communicable and infectious disease,Number of people
2009/010,Mugu,Reproductive tract infection female,224
2009/010,Pyuthan,ARI /Lower respiratory tract infection,10057
2009/010,Pyuthan,Upper respiratory Tract infection,15857
2009/010,Pyuthan,Pneumonia,6907
2009/010,Pyuthan,Server Pneumonia,430
2009/010,Pyuthan,Bronchitis,5160
2009/010,Pyuthan,Asthma,5979
2009/010,Pyuthan,Urinary Tract infection,3143
2009/010,Pyuthan,Viral Influenza,3
2009/010,Pyuthan,Reproductive Tract Infection male,72
2009/010,Pyuthan,Reproductive tract infection female,190
2009/010,Rolpa,ARI /Lower respiratory tract infection,11179
2009/010,Rolpa,Upper respiratory Tract infection,9708
2009/010,Rolpa,Pneumonia,6915
2009/010,Rolpa,Server Pneumonia,305
2009/010,Rolpa,Bronchitis,2598
2009/010,Rolpa,Asthma,2976
2009/010,Rolpa,Urinary Tract infection,3002
2009/010,Rolpa,Viral Influenza,368
2009/010,Rolpa,Reproductive Tract Infection male,52
2009/010,Rolpa,Reproductive tract infection female,71
2009/010,Rukum,ARI /Lower respiratory tract infection,9993
2009/010,Rukum,Upper respiratory Tract infection,10210
2009/010,Rukum,Pneumonia,7465
2009/010,Rukum,Server Pneumonia,710
2009/010,Rukum,Bronchitis,2893
2009/010,Rukum,Asthma,3679
2009/010,Rukum,Urinary Tract infection,4529
2009/010,Rukum,Viral Influenza,589
2009/010,Rukum,Reproductive Tract Infection male,186
2009/010,Rukum,Reproductive tract infection female,176
2009/010,Salyan,ARI /Lower respiratory tract infection,13591
2009/010,Salyan,Upper respiratory Tract infection,11089
2009/010,Salyan,Pneumonia,6401
2009/010,Salyan,Server Pneumonia,485
2009/010,Salyan,Bronchitis,3744
2009/010,Salyan,Asthma,5778
2009/010,Salyan,Urinary Tract infection,4424
2009/010,Salyan,Viral Influenza,433
2009/010,Salyan,Reproductive Tract Infection male,58
2009/010,Salyan,Reproductive tract infection female,223
2009/010,Surkhet,ARI /Lower respiratory tract infection,20973
2009/010,Surkhet,Upper respiratory Tract infection,18923
2009/010,Surkhet,Pneumonia,10744
2009/010,Surkhet,Server Pneumonia,533
2009/010,Surkhet,Bronchitis,4641
2009/010,Surkhet,Asthma,6534
2009/010,Surkhet,Urinary Tract infection,6733
2009/010,Surkhet,Viral Influenza,3627
2009/010,Surkhet,Reproductive Tract Infection male,200
2009/010,Surkhet,Reproductive tract infection female,350
2009/010,Achham,ARI /Lower respiratory tract infection,23794
2009/010,Achham,Upper respiratory Tract infection,22371
2009/010,Achham,Pneumonia,6757
2009/010,Achham,Server Pneumonia,726
2009/010,Achham,Bronchitis,3553
2009/010,Achham,Asthma,6563
2009/010,Achham,Urinary Tract infection,5603
2009/010,Achham,Viral Influenza,1098
2009/010,Achham,Reproductive Tract Infection male,135
2009/010,Achham,Reproductive tract infection female,222
2009/010,Baitadi,ARI /Lower respiratory tract infection,13130
2009/010,Baitadi,Upper respiratory Tract infection,11299
2009/010,Baitadi,Pneumonia,6263
2009/010,Baitadi,Server Pneumonia,383
2009/010,Baitadi,Bronchitis,3725
2009/010,Baitadi,Asthma,6912
2009/010,Baitadi,Urinary Tract infection,2884
2009/010,Baitadi,Viral Influenza,2079
2009/010,Baitadi,Reproductive Tract Infection male,98
2009/010,Baitadi,Reproductive tract infection female,142
2009/010,Bajhang,ARI /Lower respiratory tract infection,6937
2009/010,Bajhang,Upper respiratory Tract infection,6470
2009/010,Bajhang,Pneumonia,4061
2009/010,Bajhang,Server Pneumonia,224
2009/010,Bajhang,Bronchitis,2385
2009/010,Bajhang,Asthma,2973
2009/010,Bajhang,Urinary Tract infection,3287
2009/010,Bajhang,Viral Influenza,248
2009/010,Bajhang,Reproductive Tract Infection male,28
2009/010,Bajhang,Reproductive tract infection female,56
2009/010,Bajura,ARI /Lower respiratory tract infection,7017
2009/010,Bajura,Upper respiratory Tract infection,7962
2009/010,Bajura,Pneumonia,5488
2009/010,Bajura,Server Pneumonia,551
2009/010,Bajura,Bronchitis,2133
2009/010,Bajura,Asthma,3320
2009/010,Bajura,Urinary Tract infection,2110
2009/010,Bajura,Viral Influenza,758
2009/010,Bajura,Reproductive Tract Infection male,28
2009/010,Bajura,Reproductive tract infection female,34
2009/010,Dadeldhura,ARI /Lower respiratory tract infection,14823
2009/010,Dadeldhura,Upper respiratory Tract infection,9819
2009/010,Dadeldhura,Pneumonia,9200
2009/010,Dadeldhura,Server Pneumonia,362
2009/010,Dadeldhura,Bronchitis,1651
2009/010,Dadeldhura,Asthma,3840
2009/010,Dadeldhura,Urinary Tract infection,5135
2009/010,Dadeldhura,Viral Influenza,1789
2009/010,Dadeldhura,Reproductive Tract Infection male,144
2009/010,Dadeldhura,Reproductive tract infection female,176
2009/010,Darchula,ARI /Lower respiratory tract infection,8080
2009/010,Darchula,Upper respiratory Tract infection,6113
2009/010,Darchula,Pneumonia,2076
2009/010,Darchula,Server Pneumonia,117
2009/010,Darchula,Bronchitis,2480
2009/010,Darchula,Asthma,4663
2009/010,Darchula,Urinary Tract infection,2180
2009/010,Darchula,Viral Influenza,907
2009/010,Darchula,Reproductive Tract Infection male,43
2009/010,Darchula,Reproductive tract infection female,83
2009/010,Doti,ARI /Lower respiratory tract infection,12082
2009/010,Doti,Upper respiratory Tract infection,14240
2009/010,Doti,Pneumonia,4694
2009/010,Doti,Server Pneumonia,272
2009/010,Doti,Bronchitis,2565
2009/010,Doti,Asthma,4110
2009/010,Doti,Urinary Tract infection,2449
2009/010,Doti,Viral Influenza,1177
2009/010,Doti,Reproductive Tract Infection male,50
2009/010,Doti,Reproductive tract infection female,47
2009/010,Kailali,ARI /Lower respiratory tract infection,36358
2009/010,Kailali,Upper respiratory Tract infection,19149
2009/010,Kailali,Pneumonia,11553
2009/010,Kailali,Server Pneumonia,797
2009/010,Kailali,Bronchitis,5323
2009/010,Kailali,Asthma,8240
2009/010,Kailali,Urinary Tract infection,6768
2009/010,Kailali,Viral Influenza,1851
2009/010,Kailali,Reproductive Tract Infection male,290
2009/010,Kailali,Reproductive tract infection female,502
2009/010,Kanchanpur,ARI /Lower respiratory tract infection,19866
2009/010,Kanchanpur,Upper respiratory Tract infection,13086
2009/010,Kanchanpur,Pneumonia,8033
2009/010,Kanchanpur,Server Pneumonia,146
2009/010,Kanchanpur,Bronchitis,4035
2009/010,Kanchanpur,Asthma,5004
2009/010,Kanchanpur,Urinary Tract infection,4198
2009/010,Kanchanpur,Viral Influenza,6693
2009/010,Kanchanpur,Reproductive Tract Infection male,93
2009/010,Kanchanpur,Reproductive tract infection female,243
2010/011,Taplejung,ARI /Lower respiratory tract infection,7408
2010/011,Taplejung,Upper respiratory Tract infection,6936
2010/011,Taplejung,Pneumonia,4083
2010/011,Taplejung,Server Pneumonia,129
2010/011,Taplejung,Bronchitis,1020
2010/011,Taplejung,Asthma,2021
2010/011,Taplejung,Urinary Tract infection,1893
2010/011,Taplejung,Viral Influenza,1237
2010/011,Taplejung,Reproductive Tract Infection male,10
2010/011,Taplejung,Reproductive tract infection female,50
2010/011,Panchthar,ARI /Lower respiratory tract infection,8288
2010/011,Panchthar,Upper respiratory Tract infection,6145
2010/011,Panchthar,Pneumonia,5341
2010/011,Panchthar,Server Pneumonia,193
2010/011,Panchthar,Bronchitis,1412
2010/011,Panchthar,Asthma,1548
2010/011,Panchthar,Urinary Tract infection,1244
2010/011,Panchthar,Viral Influenza,942
2010/011,Panchthar,Reproductive Tract Infection male,20
2010/011,Panchthar,Reproductive tract infection female,28
2010/011,Ilam,ARI /Lower respiratory tract infection,8961
2010/011,Ilam,Upper respiratory Tract infection,7829
2010/011,Ilam,Pneumonia,4825
2010/011,Ilam,Server Pneumonia,230
2010/011,Ilam,Bronchitis,1515
2010/011,Ilam,Asthma,1733
2010/011,Ilam,Urinary Tract infection,1845
2010/011,Ilam,Viral Influenza,5121
2010/011,Ilam,Reproductive Tract Infection male,33
2010/011,Ilam,Reproductive tract infection female,105
2010/011,Jhapa,ARI /Lower respiratory tract infection,22843
2010/011,Jhapa,Upper respiratory Tract infection,27279
2010/011,Jhapa,Pneumonia,15070
2010/011,Jhapa,Server Pneumonia,541
2010/011,Jhapa,Bronchitis,9626
2010/011,Jhapa,Asthma,7747
2010/011,Jhapa,Urinary Tract infection,9867
2010/011,Jhapa,Viral Influenza,16283
2010/011,Jhapa,Reproductive Tract Infection male,460
2010/011,Jhapa,Reproductive tract infection female,613
2010/011,Morang,ARI /Lower respiratory tract infection,31641
2010/011,Morang,Upper respiratory Tract infection,29018
2010/011,Morang,Pneumonia,11831
2010/011,Morang,Server Pneumonia,663
2010/011,Morang,Bronchitis,9610
2010/011,Morang,Asthma,6518
2010/011,Morang,Urinary Tract infection,14727
2010/011,Morang,Viral Influenza,3954
2010/011,Morang,Reproductive Tract Infection male,267
2010/011,Morang,Reproductive tract infection female,437
2010/011,Sunsari,ARI /Lower respiratory tract infection,35300
2010/011,Sunsari,Upper respiratory Tract infection,27773
2010/011,Sunsari,Pneumonia,18968
2010/011,Sunsari,Server Pneumonia,363
2010/011,Sunsari,Bronchitis,4135
2010/011,Sunsari,Asthma,5465
2010/011,Sunsari,Urinary Tract infection,4224
2010/011,Sunsari,Viral Influenza,4060
2010/011,Sunsari,Reproductive Tract Infection male,44
2010/011,Sunsari,Reproductive tract infection female,113
2010/011,Dhankuta,ARI /Lower respiratory tract infection,7215
2010/011,Dhankuta,Upper respiratory Tract infection,5271
2010/011,Dhankuta,Pneumonia,4747
2010/011,Dhankuta,Server Pneumonia,84
2010/011,Dhankuta,Bronchitis,2542
2010/011,Dhankuta,Asthma,1598
2010/011,Dhankuta,Urinary Tract infection,1298
2010/011,Dhankuta,Viral Influenza,2522
2010/011,Dhankuta,Reproductive Tract Infection male,18
2010/011,Dhankuta,Reproductive tract infection female,23
2010/011,Teharthum,ARI /Lower respiratory tract infection,5078
2010/011,Teharthum,Upper respiratory Tract infection,6777
2010/011,Teharthum,Pneumonia,2900
2010/011,Teharthum,Server Pneumonia,104
2010/011,Teharthum,Bronchitis,2497
2010/011,Teharthum,Asthma,1435
2010/011,Teharthum,Urinary Tract infection,1531
2010/011,Teharthum,Viral Influenza,1458
2010/011,Teharthum,Reproductive Tract Infection male,82
2010/011,Teharthum,Reproductive tract infection female,76
2010/011,Sankhuwasabha,ARI /Lower respiratory tract infection,9506
2010/011,Sankhuwasabha,Upper respiratory Tract infection,8109
2010/011,Sankhuwasabha,Pneumonia,5618
2010/011,Sankhuwasabha,Server Pneumonia,76
2010/011,Sankhuwasabha,Bronchitis,783
2010/011,Sankhuwasabha,Asthma,2187
2010/011,Sankhuwasabha,Urinary Tract infection,2250
2010/011,Sankhuwasabha,Viral Influenza,256
2010/011,Sankhuwasabha,Reproductive Tract Infection male,37
2010/011,Sankhuwasabha,Reproductive tract infection female,87
2010/011,Bhojpur,ARI /Lower respiratory tract infection,11552
2010/011,Bhojpur,Upper respiratory Tract infection,6594
2010/011,Bhojpur,Pneumonia,6665
2010/011,Bhojpur,Server Pneumonia,273
2010/011,Bhojpur,Bronchitis,2857
2010/011,Bhojpur,Asthma,3429
2010/011,Bhojpur,Urinary Tract infection,2285
2010/011,Bhojpur,Viral Influenza,2740
2010/011,Bhojpur,Reproductive Tract Infection male,720
2010/011,Bhojpur,Reproductive tract infection female,214
2010/011,Solukhumbu,ARI /Lower respiratory tract infection,7549
2010/011,Solukhumbu,Upper respiratory Tract infection,10470
2010/011,Solukhumbu,Pneumonia,3015
2010/011,Solukhumbu,Server Pneumonia,182
2010/011,Solukhumbu,Bronchitis,1871
2010/011,Solukhumbu,Asthma,2470
2010/011,Solukhumbu,Urinary Tract infection,2309
2010/011,Solukhumbu,Viral Influenza,264
2010/011,Solukhumbu,Reproductive Tract Infection male,35
2010/011,Solukhumbu,Reproductive tract infection female,115
2010/011,Okhaldhunga,ARI /Lower respiratory tract infection,13666
2010/011,Okhaldhunga,Upper respiratory Tract infection,13765
2010/011,Okhaldhunga,Pneumonia,5922
2010/011,Okhaldhunga,Server Pneumonia,199
2010/011,Okhaldhunga,Bronchitis,3012
2010/011,Okhaldhunga,Asthma,3522
2010/011,Okhaldhunga,Urinary Tract infection,2687
2010/011,Okhaldhunga,Viral Influenza,1901
2010/011,Okhaldhunga,Reproductive Tract Infection male,43
2010/011,Okhaldhunga,Reproductive tract infection female,225
2010/011,Khotang,ARI /Lower respiratory tract infection,9560
2010/011,Khotang,Upper respiratory Tract infection,8259
2010/011,Khotang,Pneumonia,6068
2010/011,Khotang,Server Pneumonia,1037
2010/011,Khotang,Bronchitis,2206
2010/011,Khotang,Asthma,2971
2010/011,Khotang,Urinary Tract infection,2172
2010/011,Khotang,Viral Influenza,1008
2010/011,Khotang,Reproductive Tract Infection male,268
2010/011,Khotang,Reproductive tract infection female,154
2010/011,Udaypur,ARI /Lower respiratory tract infection,9000
2010/011,Udaypur,Upper respiratory Tract infection,6384
2010/011,Udaypur,Pneumonia,4311
2010/011,Udaypur,Server Pneumonia,275
2010/011,Udaypur,Bronchitis,3903
2010/011,Udaypur,Asthma,2974
2010/011,Udaypur,Urinary Tract infection,2838
2010/011,Udaypur,Viral Influenza,1807
2010/011,Udaypur,Reproductive Tract Infection male,126
2010/011,Udaypur,Reproductive tract infection female,230
2010/011,Saptari,ARI /Lower respiratory tract infection,27960
2010/011,Saptari,Upper respiratory Tract infection,19502
2010/011,Saptari,Pneumonia,10172
2010/011,Saptari,Server Pneumonia,213
2010/011,Saptari,Bronchitis,11194
2010/011,Saptari,Asthma,9531
2010/011,Saptari,Urinary Tract infection,6063
2010/011,Saptari,Viral Influenza,8019
2010/011,Saptari,Reproductive Tract Infection male,53
2010/011,Saptari,Reproductive tract infection female,177
2010/011,Siraha,ARI /Lower respiratory tract infection,38460
2010/011,Siraha,Upper respiratory Tract infection,32129
2010/011,Siraha,Pneumonia,12706
2010/011,Siraha,Server Pneumonia,763
2010/011,Siraha,Bronchitis,13884
2010/011,Siraha,Asthma,8691
2010/011,Siraha,Urinary Tract infection,10278
2010/011,Siraha,Viral Influenza,4541
2010/011,Siraha,Reproductive Tract Infection male,124
2010/011,Siraha,Reproductive tract infection female,242
2010/011,Dhanusha,ARI /Lower respiratory tract infection,36659
2010/011,Dhanusha,Upper respiratory Tract infection,26743
2010/011,Dhanusha,Pneumonia,11404
2010/011,Dhanusha,Server Pneumonia,406
2010/011,Dhanusha,Bronchitis,12836
2010/011,Dhanusha,Asthma,11399
2010/011,Dhanusha,Urinary Tract infection,5368
2010/011,Dhanusha,Viral Influenza,4820
2010/011,Dhanusha,Reproductive Tract Infection male,166
2010/011,Dhanusha,Reproductive tract infection female,251
2010/011,Mahottari,ARI /Lower respiratory tract infection,22343
2010/011,Mahottari,Upper respiratory Tract infection,18398
2010/011,Mahottari,Pneumonia,8034
2010/011,Mahottari,Server Pneumonia,478
2010/011,Mahottari,Bronchitis,8966
2010/011,Mahottari,Asthma,9304
2010/011,Mahottari,Urinary Tract infection,5975
2010/011,Mahottari,Viral Influenza,3077
2010/011,Mahottari,Reproductive Tract Infection male,88
2010/011,Mahottari,Reproductive tract infection female,198
2010/011,Sarlahi,ARI /Lower respiratory tract infection,23203
2010/011,Sarlahi,Upper respiratory Tract infection,22587
2010/011,Sarlahi,Pneumonia,8697
2010/011,Sarlahi,Server Pneumonia,516
2010/011,Sarlahi,Bronchitis,13142
2010/011,Sarlahi,Asthma,14048
2010/011,Sarlahi,Urinary Tract infection,5627
2010/011,Sarlahi,Viral Influenza,1750
2010/011,Sarlahi,Reproductive Tract Infection male,152
2010/011,Sarlahi,Reproductive tract infection female,238
2010/011,Sindhuli,ARI /Lower respiratory tract infection,5474
2010/011,Sindhuli,Upper respiratory Tract infection,4642
2010/011,Sindhuli,Pneumonia,3755
2010/011,Sindhuli,Server Pneumonia,134
2010/011,Sindhuli,Bronchitis,1738
2010/011,Sindhuli,Asthma,2792
2010/011,Sindhuli,Urinary Tract infection,1769
2010/011,Sindhuli,Viral Influenza,848
2010/011,Sindhuli,Reproductive Tract Infection male,55
2010/011,Sindhuli,Reproductive tract infection female,82
2010/011,Ramechhap,ARI /Lower respiratory tract infection,8658
2010/011,Ramechhap,Upper respiratory Tract infection,7747
2010/011,Ramechhap,Pneumonia,4035
2010/011,Ramechhap,Server Pneumonia,131
2010/011,Ramechhap,Bronchitis,2761
2010/011,Ramechhap,Asthma,3072
2010/011,Ramechhap,Urinary Tract infection,2306
2010/011,Ramechhap,Viral Influenza,2541
2010/011,Ramechhap,Reproductive Tract Infection male,17
2010/011,Ramechhap,Reproductive tract infection female,8
2010/011,Dolkha,ARI /Lower respiratory tract infection,16534
2010/011,Dolkha,Upper respiratory Tract infection,11350
2010/011,Dolkha,Pneumonia,3687
2010/011,Dolkha,Server Pneumonia,143
2010/011,Dolkha,Bronchitis,3153
2010/011,Dolkha,Asthma,4002
2010/011,Dolkha,Urinary Tract infection,3579
2010/011,Dolkha,Viral Influenza,3795
2010/011,Dolkha,Reproductive Tract Infection male,84
2010/011,Dolkha,Reproductive tract infection female,175
2010/011,Sindhupalchowk,ARI /Lower respiratory tract infection,14444
2010/011,Sindhupalchowk,Upper respiratory Tract infection,13088
2010/011,Sindhupalchowk,Pneumonia,5744
2010/011,Sindhupalchowk,Server Pneumonia,202
2010/011,Sindhupalchowk,Bronchitis,3340
2010/011,Sindhupalchowk,Asthma,4712
2010/011,Sindhupalchowk,Urinary Tract infection,3334
2010/011,Sindhupalchowk,Viral Influenza,4414
2010/011,Sindhupalchowk,Reproductive Tract Infection male,97
2010/011,Sindhupalchowk,Reproductive tract infection female,222
2010/011,Kavre,ARI /Lower respiratory tract infection,23475
2010/011,Kavre,Upper respiratory Tract infection,23520
2010/011,Kavre,Pneumonia,7667
2010/011,Kavre,Server Pneumonia,79
2010/011,Kavre,Bronchitis,4739
2010/011,Kavre,Asthma,7856
2010/011,Kavre,Urinary Tract infection,3235
2010/011,Kavre,Viral Influenza,4328
2010/011,Kavre,Reproductive Tract Infection male,43
2010/011,Kavre,Reproductive tract infection female,129
2010/011,Lalitpur,ARI /Lower respiratory tract infection,0
2010/011,Lalitpur,Upper respiratory Tract infection,0
2010/011,Lalitpur,Pneumonia,0
2010/011,Lalitpur,Server Pneumonia,0
2010/011,Lalitpur,Bronchitis,0
2010/011,Lalitpur,Asthma,0
2010/011,Lalitpur,Urinary Tract infection,0
2010/011,Lalitpur,Viral Influenza,0
2010/011,Lalitpur,Reproductive Tract Infection male,0
2010/011,Lalitpur,Reproductive tract infection female,0
2010/011,Bhaktapur,ARI /Lower respiratory tract infection,6355
2010/011,Bhaktapur,Upper respiratory Tract infection,6709
2010/011,Bhaktapur,Pneumonia,2073
2010/011,Bhaktapur,Server Pneumonia,53
2010/011,Bhaktapur,Bronchitis,1070
2010/011,Bhaktapur,Asthma,2586
2010/011,Bhaktapur,Urinary Tract infection,1965
2010/011,Bhaktapur,Viral Influenza,1712
2010/011,Bhaktapur,Reproductive Tract Infection male,44
2010/011,Bhaktapur,Reproductive tract infection female,74
2010/011,Kathmandu,ARI /Lower respiratory tract infection,15289
2010/011,Kathmandu,Upper respiratory Tract infection,22107
2010/011,Kathmandu,Pneumonia,12004
2010/011,Kathmandu,Server Pneumonia,616
2010/011,Kathmandu,Bronchitis,4758
2010/011,Kathmandu,Asthma,15610
2010/011,Kathmandu,Urinary Tract infection,9287
2010/011,Kathmandu,Viral Influenza,5721
2010/011,Kathmandu,Reproductive Tract Infection male,467
2010/011,Kathmandu,Reproductive tract infection female,834
2010/011,Nuwakot,ARI /Lower respiratory tract infection,6896
2010/011,Nuwakot,Upper respiratory Tract infection,7344
2010/011,Nuwakot,Pneumonia,3180
2010/011,Nuwakot,Server Pneumonia,277
2010/011,Nuwakot,Bronchitis,2623
2010/011,Nuwakot,Asthma,5970
2010/011,Nuwakot,Urinary Tract infection,1776
2010/011,Nuwakot,Viral Influenza,1379
2010/011,Nuwakot,Reproductive Tract Infection male,18
2010/011,Nuwakot,Reproductive tract infection female,75
2010/011,Rasuwa,ARI /Lower respiratory tract infection,3203
2010/011,Rasuwa,Upper respiratory Tract infection,2177
2010/011,Rasuwa,Pneumonia,820
2010/011,Rasuwa,Server Pneumonia,37
2010/011,Rasuwa,Bronchitis,440
2010/011,Rasuwa,Asthma,581
2010/011,Rasuwa,Urinary Tract infection,660
2010/011,Rasuwa,Viral Influenza,1378
2010/011,Rasuwa,Reproductive Tract Infection male,18
2010/011,Rasuwa,Reproductive tract infection female,17
2010/011,Dhading,ARI /Lower respiratory tract infection,18367
2010/011,Dhading,Upper respiratory Tract infection,13947
2010/011,Dhading,Pneumonia,9175
2010/011,Dhading,Server Pneumonia,393
2010/011,Dhading,Bronchitis,3709
2010/011,Dhading,Asthma,6534
2010/011,Dhading,Urinary Tract infection,3100
2010/011,Dhading,Viral Influenza,7485
2010/011,Dhading,Reproductive Tract Infection male,81
2010/011,Dhading,Reproductive tract infection female,343
2010/011,Makawanpur,ARI /Lower respiratory tract infection,7058
2010/011,Makawanpur,Upper respiratory Tract infection,7795
2010/011,Makawanpur,Pneumonia,4628
2010/011,Makawanpur,Server Pneumonia,204
2010/011,Makawanpur,Bronchitis,2919
2010/011,Makawanpur,Asthma,3113
2010/011,Makawanpur,Urinary Tract infection,1458
2010/011,Makawanpur,Viral Influenza,3337
2010/011,Makawanpur,Reproductive Tract Infection male,22
2010/011,Makawanpur,Reproductive tract infection female,92
2010/011,Rautahat,ARI /Lower respiratory tract infection,10374
2010/011,Rautahat,Upper respiratory Tract infection,11710
2010/011,Rautahat,Pneumonia,7517
2010/011,Rautahat,Server Pneumonia,425
2010/011,Rautahat,Bronchitis,6988
2010/011,Rautahat,Asthma,8805
2010/011,Rautahat,Urinary Tract infection,2696
2010/011,Rautahat,Viral Influenza,2036
2010/011,Rautahat,Reproductive Tract Infection male,192
2010/011,Rautahat,Reproductive tract infection female,292
2010/011,Bara,ARI /Lower respiratory tract infection,16742
2010/011,Bara,Upper respiratory Tract infection,16408
2010/011,Bara,Pneumonia,6251
2010/011,Bara,Server Pneumonia,354
2010/011,Bara,Bronchitis,9128
2010/011,Bara,Asthma,10105
2010/011,Bara,Urinary Tract infection,4739
2010/011,Bara,Viral Influenza,2212
2010/011,Bara,Reproductive Tract Infection male,103
2010/011,Bara,Reproductive tract infection female,388
2010/011,Parsa,ARI /Lower respiratory tract infection,0
2010/011,Parsa,Upper respiratory Tract infection,0
2010/011,Parsa,Pneumonia,0
2010/011,Parsa,Server Pneumonia,0
2010/011,Parsa,Bronchitis,0
2010/011,Parsa,Asthma,0
2010/011,Parsa,Urinary Tract infection,0
2010/011,Parsa,Viral Influenza,0
2010/011,Parsa,Reproductive Tract Infection male,0
2010/011,Parsa,Reproductive tract infection female,0
2010/011,Chitwan,ARI /Lower respiratory tract infection,15552
2010/011,Chitwan,Upper respiratory Tract infection,16963
2010/011,Chitwan,Pneumonia,9457
2010/011,Chitwan,Server Pneumonia,299
2010/011,Chitwan,Bronchitis,4120
2010/011,Chitwan,Asthma,9072
2010/011,Chitwan,Urinary Tract infection,5296
2010/011,Chitwan,Viral Influenza,7346
2010/011,Chitwan,Reproductive Tract Infection male,640
2010/011,Chitwan,Reproductive tract infection female,1006
2010/011,Gorkha,ARI /Lower respiratory tract infection,12663
2010/011,Gorkha,Upper respiratory Tract infection,14914
2010/011,Gorkha,Pneumonia,7495
2010/011,Gorkha,Server Pneumonia,244
2010/011,Gorkha,Bronchitis,3675
2010/011,Gorkha,Asthma,4437
2010/011,Gorkha,Urinary Tract infection,4193
2010/011,Gorkha,Viral Influenza,6120
2010/011,Gorkha,Reproductive Tract Infection male,144
2010/011,Gorkha,Reproductive tract infection female,264
2010/011,Lamjung,ARI /Lower respiratory tract infection,7244
2010/011,Lamjung,Upper respiratory Tract infection,6546
2010/011,Lamjung,Pneumonia,4086
2010/011,Lamjung,Server Pneumonia,144
2010/011,Lamjung,Bronchitis,3138
2010/011,Lamjung,Asthma,4667
2010/011,Lamjung,Urinary Tract infection,2681
2010/011,Lamjung,Viral Influenza,3012
2010/011,Lamjung,Reproductive Tract Infection male,28
2010/011,Lamjung,Reproductive tract infection female,27
2010/011,Tanahu,ARI /Lower respiratory tract infection,10454
2010/011,Tanahu,Upper respiratory Tract infection,8656
2010/011,Tanahu,Pneumonia,2417
2010/011,Tanahu,Server Pneumonia,86
2010/011,Tanahu,Bronchitis,2301
2010/011,Tanahu,Asthma,3707
2010/011,Tanahu,Urinary Tract infection,2650
2010/011,Tanahu,Viral Influenza,2834
2010/011,Tanahu,Reproductive Tract Infection male,68
2010/011,Tanahu,Reproductive tract infection female,87
2010/011,Syangja,ARI /Lower respiratory tract infection,22932
2010/011,Syangja,Upper respiratory Tract infection,16691
2010/011,Syangja,Pneumonia,5205
2010/011,Syangja,Server Pneumonia,238
2010/011,Syangja,Bronchitis,5640
2010/011,Syangja,Asthma,7034
2010/011,Syangja,Urinary Tract infection,4953
2010/011,Syangja,Viral Influenza,3510
2010/011,Syangja,Reproductive Tract Infection male,94
2010/011,Syangja,Reproductive tract infection female,265
2010/011,Kaski,ARI /Lower respiratory tract infection,25316
2010/011,Kaski,Upper respiratory Tract infection,22342
2010/011,Kaski,Pneumonia,4655
2010/011,Kaski,Server Pneumonia,208
2010/011,Kaski,Bronchitis,5468
2010/011,Kaski,Asthma,6290
2010/011,Kaski,Urinary Tract infection,4537
2010/011,Kaski,Viral Influenza,4972
2010/011,Kaski,Reproductive Tract Infection male,218
2010/011,Kaski,Reproductive tract infection female,290
2010/011,Manang,ARI /Lower respiratory tract infection,659
2010/011,Manang,Upper respiratory Tract infection,645
2010/011,Manang,Pneumonia,165
2010/011,Manang,Server Pneumonia,2
2010/011,Manang,Bronchitis,197
2010/011,Manang,Asthma,142
2010/011,Manang,Urinary Tract infection,134
2010/011,Manang,Viral Influenza,52
2010/011,Manang,Reproductive Tract Infection male,8
2010/011,Manang,Reproductive tract infection female,13
2010/011,Mustang,ARI /Lower respiratory tract infection,2141
2010/011,Mustang,Upper respiratory Tract infection,3350
2010/011,Mustang,Pneumonia,292
2010/011,Mustang,Server Pneumonia,0
2010/011,Mustang,Bronchitis,63
2010/011,Mustang,Asthma,121
2010/011,Mustang,Urinary Tract infection,250
2010/011,Mustang,Viral Influenza,244
2010/011,Mustang,Reproductive Tract Infection male,0
2010/011,Mustang,Reproductive tract infection female,5
2010/011,Myagdi,ARI /Lower respiratory tract infection,8385
2010/011,Myagdi,Upper respiratory Tract infection,8676
2010/011,Myagdi,Pneumonia,2296
2010/011,Myagdi,Server Pneumonia,105
2010/011,Myagdi,Bronchitis,1321
2010/011,Myagdi,Asthma,1413
2010/011,Myagdi,Urinary Tract infection,1669
2010/011,Myagdi,Viral Influenza,3916
2010/011,Myagdi,Reproductive Tract Infection male,39
2010/011,Myagdi,Reproductive tract infection female,54
2010/011,Parbat,ARI /Lower respiratory tract infection,17935
2010/011,Parbat,Upper respiratory Tract infection,19342
2010/011,Parbat,Pneumonia,5525
2010/011,Parbat,Server Pneumonia,139
2010/011,Parbat,Bronchitis,3121
2010/011,Parbat,Asthma,3525
2010/011,Parbat,Urinary Tract infection,2069
2010/011,Parbat,Viral Influenza,3408
2010/011,Parbat,Reproductive Tract Infection male,35
2010/011,Parbat,Reproductive tract infection female,69
2010/011,Baglung,ARI /Lower respiratory tract infection,17466
2010/011,Baglung,Upper respiratory Tract infection,22163
2010/011,Baglung,Pneumonia,6632
2010/011,Baglung,Server Pneumonia,400
2010/011,Baglung,Bronchitis,4671
2010/011,Baglung,Asthma,2500
2010/011,Baglung,Urinary Tract infection,4099
2010/011,Baglung,Viral Influenza,2544
2010/011,Baglung,Reproductive Tract Infection male,58
2010/011,Baglung,Reproductive tract infection female,88
2010/011,Gulmi,ARI /Lower respiratory tract infection,26328
