District,Year,Respiratory problems,Morbidity Number
Darchula,2066/67,Bronchitis,2480
Darchula,2066/67,Asthama,4663
Darchula,2066/67,Viral Influnenza,907
Darchula,2066/67,Foreign body in respiratory tract,54
Doti,2066/67,"ARI/Lower respiratory
tract Infection",12082
Doti,2066/67,"Upper respiratory tract
Infection",14240
Doti,2066/67,Pneumonia,4694
Doti,2066/67,Sever Pneumonia,272
Doti,2066/67,Bronchitis,2565
Doti,2066/67,Asthama,4110
Doti,2066/67,Viral Influnenza,1177
Doti,2066/67,Foreign body in respiratory tract,46
Kailali,2066/67,"ARI/Lower respiratory
tract Infection",36358
Kailali,2066/67,"Upper respiratory tract
Infection",19149
Kailali,2066/67,Pneumonia,11553
Kailali,2066/67,Sever Pneumonia,797
Kailali,2066/67,Bronchitis,5323
Kailali,2066/67,Asthama,8240
Kailali,2066/67,Viral Influnenza,1851
Kailali,2066/67,Foreign body in respiratory tract,73
Kanchanpur,2066/67,"ARI/Lower respiratory
tract Infection",19866
Kanchanpur,2066/67,"Upper respiratory tract
Infection",13086
Kanchanpur,2066/67,Pneumonia,8033
Kanchanpur,2066/67,Sever Pneumonia,146
Kanchanpur,2066/67,Bronchitis,4035
Kanchanpur,2066/67,Asthama,5004
Kanchanpur,2066/67,Viral Influnenza,6693
Kanchanpur,2066/67,Foreign body in respiratory tract,84
Taplejung,2067/68,"ARI/Lower respiratory
tract Infection",7408
Taplejung,2067/68,"Upper respiratory tract
Infection",6936
Taplejung,2067/68,Pneumonia,4083
Taplejung,2067/68,Sever Pneumonia,129
Taplejung,2067/68,Bronchitis,1020
Taplejung,2067/68,Asthama,2021
Taplejung,2067/68,Viral Influnenza,1237
Taplejung,2067/68,Foreign body in respiratory tract,116
Panchthar,2067/68,"ARI/Lower respiratory
tract Infection",8288
Panchthar,2067/68,"Upper respiratory tract
Infection",6145
Panchthar,2067/68,Pneumonia,5341
Panchthar,2067/68,Sever Pneumonia,193
Panchthar,2067/68,Bronchitis,1412
Panchthar,2067/68,Asthama,1548
Panchthar,2067/68,Viral Influnenza,942
Panchthar,2067/68,Foreign body in respiratory tract,132
Ilam,2067/68,"ARI/Lower respiratory
tract Infection",8961
Ilam,2067/68,"Upper respiratory tract
Infection",7829
Ilam,2067/68,Pneumonia,4825
Ilam,2067/68,Sever Pneumonia,230
Ilam,2067/68,Bronchitis,1515
Ilam,2067/68,Asthama,1733
Ilam,2067/68,Viral Influnenza,5121
Ilam,2067/68,Foreign body in respiratory tract,52
Jhapa,2067/68,"ARI/Lower respiratory
tract Infection",22843
Jhapa,2067/68,"Upper respiratory tract
Infection",27279
Jhapa,2067/68,Pneumonia,15070
Jhapa,2067/68,Sever Pneumonia,541
Jhapa,2067/68,Bronchitis,9626
Jhapa,2067/68,Asthama,7747
Jhapa,2067/68,Viral Influnenza,16283
Jhapa,2067/68,Foreign body in respiratory tract,78
Morang,2067/68,"ARI/Lower respiratory
tract Infection",31641
Morang,2067/68,"Upper respiratory tract
Infection",29018
Morang,2067/68,Pneumonia,11831
Morang,2067/68,Sever Pneumonia,663
Morang,2067/68,Bronchitis,9610
Morang,2067/68,Asthama,6518
Morang,2067/68,Viral Influnenza,3954
Morang,2067/68,Foreign body in respiratory tract,371
Sunsari,2067/68,"ARI/Lower respiratory
tract Infection",35300
Sunsari,2067/68,"Upper respiratory tract
Infection",27773
Sunsari,2067/68,Pneumonia,18968
Sunsari,2067/68,Sever Pneumonia,363
Sunsari,2067/68,Bronchitis,4135
Sunsari,2067/68,Asthama,5465
Sunsari,2067/68,Viral Influnenza,4060
Sunsari,2067/68,Foreign body in respiratory tract,23
Dhankuta,2067/68,"ARI/Lower respiratory
tract Infection",7215
Dhankuta,2067/68,"Upper respiratory tract
Infection",5271
Dhankuta,2067/68,Pneumonia,4747
Dhankuta,2067/68,Sever Pneumonia,84
Dhankuta,2067/68,Bronchitis,2542
Dhankuta,2067/68,Asthama,1598
Dhankuta,2067/68,Viral Influnenza,2522
Dhankuta,2067/68,Foreign body in respiratory tract,22
Teharthum,2067/68,"ARI/Lower respiratory
tract Infection",5078
Teharthum,2067/68,"Upper respiratory tract
Infection",6777
Teharthum,2067/68,Pneumonia,2900
Teharthum,2067/68,Sever Pneumonia,104
Teharthum,2067/68,Bronchitis,2497
Teharthum,2067/68,Asthama,1435
Teharthum,2067/68,Viral Influnenza,1458
Teharthum,2067/68,Foreign body in respiratory tract,21
Sankhuwasabha,2067/68,"ARI/Lower respiratory
tract Infection",9506
Sankhuwasabha,2067/68,"Upper respiratory tract
Infection",8109
Sankhuwasabha,2067/68,Pneumonia,5618
Sankhuwasabha,2067/68,Sever Pneumonia,76
Sankhuwasabha,2067/68,Bronchitis,783
Sankhuwasabha,2067/68,Asthama,2187
Sankhuwasabha,2067/68,Viral Influnenza,256
Sankhuwasabha,2067/68,Foreign body in respiratory tract,45
Bhojpur,2067/68,"ARI/Lower respiratory
tract Infection",11552
Bhojpur,2067/68,"Upper respiratory tract
Infection",6594
Bhojpur,2067/68,Pneumonia,6665
Bhojpur,2067/68,Sever Pneumonia,273
Bhojpur,2067/68,Bronchitis,2857
Bhojpur,2067/68,Asthama,3429
Bhojpur,2067/68,Viral Influnenza,2740
Bhojpur,2067/68,Foreign body in respiratory tract,81
Solukhumbu,2067/68,"ARI/Lower respiratory
tract Infection",7549
Solukhumbu,2067/68,"Upper respiratory tract
Infection",10470
Solukhumbu,2067/68,Pneumonia,3015
Solukhumbu,2067/68,Sever Pneumonia,182
Solukhumbu,2067/68,Bronchitis,1871
Solukhumbu,2067/68,Asthama,2470
Solukhumbu,2067/68,Viral Influnenza,264
Solukhumbu,2067/68,Foreign body in respiratory tract,106
Okhaldhunga,2067/68,"ARI/Lower respiratory
tract Infection",13666
Okhaldhunga,2067/68,"Upper respiratory tract
Infection",13765
Okhaldhunga,2067/68,Pneumonia,5922
Okhaldhunga,2067/68,Sever Pneumonia,199
Okhaldhunga,2067/68,Bronchitis,3012
Okhaldhunga,2067/68,Asthama,3522
Okhaldhunga,2067/68,Viral Influnenza,1901
Okhaldhunga,2067/68,Foreign body in respiratory tract,178
Khotang,2067/68,"ARI/Lower respiratory
tract Infection",9560
Khotang,2067/68,"Upper respiratory tract
Infection",8259
Khotang,2067/68,Pneumonia,6068
Khotang,2067/68,Sever Pneumonia,1037
Khotang,2067/68,Bronchitis,2206
Khotang,2067/68,Asthama,2971
Khotang,2067/68,Viral Influnenza,1008
Khotang,2067/68,Foreign body in respiratory tract,341
Udaypur,2067/68,"ARI/Lower respiratory
tract Infection",9000
Udaypur,2067/68,"Upper respiratory tract
Infection",6384
Udaypur,2067/68,Pneumonia,4311
Udaypur,2067/68,Sever Pneumonia,275
Udaypur,2067/68,Bronchitis,3903
Udaypur,2067/68,Asthama,2974
Udaypur,2067/68,Viral Influnenza,1807
Udaypur,2067/68,Foreign body in respiratory tract,229
Saptari,2067/68,"ARI/Lower respiratory
tract Infection",27960
Saptari,2067/68,"Upper respiratory tract
Infection",19502
Saptari,2067/68,Pneumonia,10172
Saptari,2067/68,Sever Pneumonia,213
Saptari,2067/68,Bronchitis,11194
Saptari,2067/68,Asthama,9531
Saptari,2067/68,Viral Influnenza,8019
Saptari,2067/68,Foreign body in respiratory tract,225
Siraha,2067/68,"ARI/Lower respiratory
tract Infection",38460
Siraha,2067/68,"Upper respiratory tract
Infection",32129
Siraha,2067/68,Pneumonia,12706
Siraha,2067/68,Sever Pneumonia,763
Siraha,2067/68,Bronchitis,13884
Siraha,2067/68,Asthama,8691
Siraha,2067/68,Viral Influnenza,4541
Siraha,2067/68,Foreign body in respiratory tract,123
Dhanusha,2067/68,"ARI/Lower respiratory
tract Infection",36659
Dhanusha,2067/68,"Upper respiratory tract
Infection",26743
Dhanusha,2067/68,Pneumonia,11404
Dhanusha,2067/68,Sever Pneumonia,406
Dhanusha,2067/68,Bronchitis,12836
Dhanusha,2067/68,Asthama,11399
Dhanusha,2067/68,Viral Influnenza,4820
Dhanusha,2067/68,Foreign body in respiratory tract,343
Mahottari,2067/68,"ARI/Lower respiratory
tract Infection",22343
Mahottari,2067/68,"Upper respiratory tract
Infection",18398
Mahottari,2067/68,Pneumonia,8034
Mahottari,2067/68,Sever Pneumonia,478
Mahottari,2067/68,Bronchitis,8966
Mahottari,2067/68,Asthama,9304
Mahottari,2067/68,Viral Influnenza,3077
Mahottari,2067/68,Foreign body in respiratory tract,141
Sarlahi,2067/68,"ARI/Lower respiratory
tract Infection",23203
Sarlahi,2067/68,"Upper respiratory tract
Infection",22587
Sarlahi,2067/68,Pneumonia,8697
Sarlahi,2067/68,Sever Pneumonia,516
Sarlahi,2067/68,Bronchitis,13142
Sarlahi,2067/68,Asthama,14048
Sarlahi,2067/68,Viral Influnenza,1750
Sarlahi,2067/68,Foreign body in respiratory tract,304
Sindhuli,2067/68,"ARI/Lower respiratory
tract Infection",5474
Sindhuli,2067/68,"Upper respiratory tract
Infection",4642
Sindhuli,2067/68,Pneumonia,3755
Sindhuli,2067/68,Sever Pneumonia,134
Sindhuli,2067/68,Bronchitis,1738
Sindhuli,2067/68,Asthama,2792
Sindhuli,2067/68,Viral Influnenza,848
Sindhuli,2067/68,Foreign body in respiratory tract,67
Ramechhap,2067/68,"ARI/Lower respiratory
tract Infection",8658
Ramechhap,2067/68,"Upper respiratory tract
Infection",7747
Ramechhap,2067/68,Pneumonia,4035
Ramechhap,2067/68,Sever Pneumonia,131
Ramechhap,2067/68,Bronchitis,2761
Ramechhap,2067/68,Asthama,3072
Ramechhap,2067/68,Viral Influnenza,2541
Ramechhap,2067/68,Foreign body in respiratory tract,111
Dolkha,2067/68,"ARI/Lower respiratory
tract Infection",16534
Dolkha,2067/68,"Upper respiratory tract
Infection",11350
Dolkha,2067/68,Pneumonia,3687
Dolkha,2067/68,Sever Pneumonia,143
Dolkha,2067/68,Bronchitis,3153
Dolkha,2067/68,Asthama,4002
Dolkha,2067/68,Viral Influnenza,3795
Dolkha,2067/68,Foreign body in respiratory tract,155
Sindhupalchowk,2067/68,"ARI/Lower respiratory
tract Infection",14444
Sindhupalchowk,2067/68,"Upper respiratory tract
Infection",13088
Sindhupalchowk,2067/68,Pneumonia,5744
Sindhupalchowk,2067/68,Sever Pneumonia,202
Sindhupalchowk,2067/68,Bronchitis,3340
Sindhupalchowk,2067/68,Asthama,4712
Sindhupalchowk,2067/68,Viral Influnenza,4414
Sindhupalchowk,2067/68,Foreign body in respiratory tract,143
Kavre,2067/68,"ARI/Lower respiratory
tract Infection",23475
Kavre,2067/68,"Upper respiratory tract
Infection",23520
Kavre,2067/68,Pneumonia,7667
Kavre,2067/68,Sever Pneumonia,79
Kavre,2067/68,Bronchitis,4739
Kavre,2067/68,Asthama,7856
Kavre,2067/68,Viral Influnenza,4328
Kavre,2067/68,Foreign body in respiratory tract,64
Lalitpur,2067/68,"ARI/Lower respiratory
tract Infection",0
Lalitpur,2067/68,"Upper respiratory tract
Infection",0
Lalitpur,2067/68,Pneumonia,0
Lalitpur,2067/68,Sever Pneumonia,0
Lalitpur,2067/68,Bronchitis,0
Lalitpur,2067/68,Asthama,0
Lalitpur,2067/68,Viral Influnenza,0
Lalitpur,2067/68,Foreign body in respiratory tract,0
Bhaktapur,2067/68,"ARI/Lower respiratory
tract Infection",6355
Bhaktapur,2067/68,"Upper respiratory tract
Infection",6709
Bhaktapur,2067/68,Pneumonia,2073
Bhaktapur,2067/68,Sever Pneumonia,53
Bhaktapur,2067/68,Bronchitis,1070
Bhaktapur,2067/68,Asthama,2586
Bhaktapur,2067/68,Viral Influnenza,1712
Bhaktapur,2067/68,Foreign body in respiratory tract,108
Kathmandu,2067/68,"ARI/Lower respiratory
tract Infection",15289
Kathmandu,2067/68,"Upper respiratory tract
Infection",22107
Kathmandu,2067/68,Pneumonia,12004
Kathmandu,2067/68,Sever Pneumonia,616
Kathmandu,2067/68,Bronchitis,4758
Kathmandu,2067/68,Asthama,15610
Kathmandu,2067/68,Viral Influnenza,5721
Kathmandu,2067/68,Foreign body in respiratory tract,962
Nuwakot,2067/68,"ARI/Lower respiratory
tract Infection",6896
Nuwakot,2067/68,"Upper respiratory tract
Infection",7344
Nuwakot,2067/68,Pneumonia,3180
Nuwakot,2067/68,Sever Pneumonia,277
Nuwakot,2067/68,Bronchitis,2623
Nuwakot,2067/68,Asthama,5970
Nuwakot,2067/68,Viral Influnenza,1379
Nuwakot,2067/68,Foreign body in respiratory tract,107
Rasuwa,2067/68,"ARI/Lower respiratory
tract Infection",3203
Rasuwa,2067/68,"Upper respiratory tract
Infection",2177
Rasuwa,2067/68,Pneumonia,820
Rasuwa,2067/68,Sever Pneumonia,37
Rasuwa,2067/68,Bronchitis,440
Rasuwa,2067/68,Asthama,581
Rasuwa,2067/68,Viral Influnenza,1378
Rasuwa,2067/68,Foreign body in respiratory tract,5
Dhading,2067/68,"ARI/Lower respiratory
tract Infection",18367
Dhading,2067/68,"Upper respiratory tract
Infection",13947
Dhading,2067/68,Pneumonia,9175
Dhading,2067/68,Sever Pneumonia,393
Dhading,2067/68,Bronchitis,3709
Dhading,2067/68,Asthama,6534
Dhading,2067/68,Viral Influnenza,7485
Dhading,2067/68,Foreign body in respiratory tract,106
Makawanpur,2067/68,"ARI/Lower respiratory
tract Infection",7058
Makawanpur,2067/68,"Upper respiratory tract
Infection",7795
Makawanpur,2067/68,Pneumonia,4628
Makawanpur,2067/68,Sever Pneumonia,204
Makawanpur,2067/68,Bronchitis,2919
Makawanpur,2067/68,Asthama,3113
Makawanpur,2067/68,Viral Influnenza,3337
Makawanpur,2067/68,Foreign body in respiratory tract,21
Rautahat,2067/68,"ARI/Lower respiratory
tract Infection",10374
Rautahat,2067/68,"Upper respiratory tract
Infection",11710
Rautahat,2067/68,Pneumonia,7517
Rautahat,2067/68,Sever Pneumonia,425
Rautahat,2067/68,Bronchitis,6988
Rautahat,2067/68,Asthama,8805
Rautahat,2067/68,Viral Influnenza,2036
Rautahat,2067/68,Foreign body in respiratory tract,335
Bara,2067/68,"ARI/Lower respiratory
tract Infection",16742
Bara,2067/68,"Upper respiratory tract
Infection",16408
Bara,2067/68,Pneumonia,6251
Bara,2067/68,Sever Pneumonia,354
Bara,2067/68,Bronchitis,9128
Bara,2067/68,Asthama,10105
Bara,2067/68,Viral Influnenza,2212
Bara,2067/68,Foreign body in respiratory tract,120
Parsa,2067/68,"ARI/Lower respiratory
tract Infection",0
Parsa,2067/68,"Upper respiratory tract
Infection",0
Parsa,2067/68,Pneumonia,0
Parsa,2067/68,Sever Pneumonia,0
Parsa,2067/68,Bronchitis,0
Parsa,2067/68,Asthama,0
Parsa,2067/68,Viral Influnenza,0
Parsa,2067/68,Foreign body in respiratory tract,0
Chitwan,2067/68,"ARI/Lower respiratory
tract Infection",15552
Chitwan,2067/68,"Upper respiratory tract
Infection",16963
Chitwan,2067/68,Pneumonia,9457
Chitwan,2067/68,Sever Pneumonia,299
Chitwan,2067/68,Bronchitis,4120
Chitwan,2067/68,Asthama,9072
Chitwan,2067/68,Viral Influnenza,7346
Chitwan,2067/68,Foreign body in respiratory tract,630
Gorkha,2067/68,"ARI/Lower respiratory
tract Infection",12663
Gorkha,2067/68,"Upper respiratory tract
Infection",14914
Gorkha,2067/68,Pneumonia,7495
Gorkha,2067/68,Sever Pneumonia,244
Gorkha,2067/68,Bronchitis,3675
Gorkha,2067/68,Asthama,4437
Gorkha,2067/68,Viral Influnenza,6120
Gorkha,2067/68,Foreign body in respiratory tract,74
Lamjung,2067/68,"ARI/Lower respiratory
tract Infection",7244
Lamjung,2067/68,"Upper respiratory tract
Infection",6546
Lamjung,2067/68,Pneumonia,4086
Lamjung,2067/68,Sever Pneumonia,144
Lamjung,2067/68,Bronchitis,3138
Lamjung,2067/68,Asthama,4667
Lamjung,2067/68,Viral Influnenza,3012
Lamjung,2067/68,Foreign body in respiratory tract,80
Tanahu,2067/68,"ARI/Lower respiratory
tract Infection",10454
Tanahu,2067/68,"Upper respiratory tract
Infection",8656
Tanahu,2067/68,Pneumonia,2417
Tanahu,2067/68,Sever Pneumonia,86
Tanahu,2067/68,Bronchitis,2301
Tanahu,2067/68,Asthama,3707
Tanahu,2067/68,Viral Influnenza,2834
Tanahu,2067/68,Foreign body in respiratory tract,124
Syangja,2067/68,"ARI/Lower respiratory
tract Infection",22932
Syangja,2067/68,"Upper respiratory tract
Infection",16691
Syangja,2067/68,Pneumonia,5205
Syangja,2067/68,Sever Pneumonia,238
Syangja,2067/68,Bronchitis,5640
Syangja,2067/68,Asthama,7034
Syangja,2067/68,Viral Influnenza,3510
Syangja,2067/68,Foreign body in respiratory tract,72
Kaski,2067/68,"ARI/Lower respiratory
tract Infection",25316
Kaski,2067/68,"Upper respiratory tract
Infection",22342
Kaski,2067/68,Pneumonia,4655
Kaski,2067/68,Sever Pneumonia,208
Kaski,2067/68,Bronchitis,5468
Kaski,2067/68,Asthama,6290
Kaski,2067/68,Viral Influnenza,4972
Kaski,2067/68,Foreign body in respiratory tract,609
Manang,2067/68,"ARI/Lower respiratory
tract Infection",659
Manang,2067/68,"Upper respiratory tract
Infection",645
Manang,2067/68,Pneumonia,165
Manang,2067/68,Sever Pneumonia,2
Manang,2067/68,Bronchitis,197
Manang,2067/68,Asthama,142
Manang,2067/68,Viral Influnenza,52
Manang,2067/68,Foreign body in respiratory tract,6
Mustang,2067/68,"ARI/Lower respiratory
tract Infection",2141
Mustang,2067/68,"Upper respiratory tract
Infection",3350
Mustang,2067/68,Pneumonia,292
Mustang,2067/68,Sever Pneumonia,0
Mustang,2067/68,Bronchitis,63
Mustang,2067/68,Asthama,121
Mustang,2067/68,Viral Influnenza,244
Mustang,2067/68,Foreign body in respiratory tract,9
Myagdi,2067/68,"ARI/Lower respiratory
tract Infection",8385
Myagdi,2067/68,"Upper respiratory tract
Infection",8676
Myagdi,2067/68,Pneumonia,2296
Myagdi,2067/68,Sever Pneumonia,105
Myagdi,2067/68,Bronchitis,1321
Myagdi,2067/68,Asthama,1413
Myagdi,2067/68,Viral Influnenza,3916
Myagdi,2067/68,Foreign body in respiratory tract,70
Parbat,2067/68,"ARI/Lower respiratory
tract Infection",17935
Parbat,2067/68,"Upper respiratory tract
Infection",19342
Parbat,2067/68,Pneumonia,5525
Parbat,2067/68,Sever Pneumonia,139
Parbat,2067/68,Bronchitis,3121
Parbat,2067/68,Asthama,3525
Parbat,2067/68,Viral Influnenza,3408
Parbat,2067/68,Foreign body in respiratory tract,49
Baglung,2067/68,"ARI/Lower respiratory
tract Infection",17466
Baglung,2067/68,"Upper respiratory tract
Infection",22163
Baglung,2067/68,Pneumonia,6632
Baglung,2067/68,Sever Pneumonia,400
Baglung,2067/68,Bronchitis,4671
Baglung,2067/68,Asthama,2500
Baglung,2067/68,Viral Influnenza,2544
Baglung,2067/68,Foreign body in respiratory tract,231
Gulmi,2067/68,"ARI/Lower respiratory
tract Infection",26328
Gulmi,2067/68,"Upper respiratory tract
Infection",19391
Gulmi,2067/68,Pneumonia,10246
Gulmi,2067/68,Sever Pneumonia,519
Gulmi,2067/68,Bronchitis,9200
Gulmi,2067/68,Asthama,6439
Gulmi,2067/68,Viral Influnenza,7713
Gulmi,2067/68,Foreign body in respiratory tract,299
Palpa,2067/68,"ARI/Lower respiratory
tract Infection",15285
Palpa,2067/68,"Upper respiratory tract
Infection",13082
Palpa,2067/68,Pneumonia,6236
Palpa,2067/68,Sever Pneumonia,123
Palpa,2067/68,Bronchitis,6685
Palpa,2067/68,Asthama,6813
Palpa,2067/68,Viral Influnenza,4094
Palpa,2067/68,Foreign body in respiratory tract,67
Nawalparasi,2067/68,"ARI/Lower respiratory
tract Infection",22699
Nawalparasi,2067/68,"Upper respiratory tract
Infection",25136
Nawalparasi,2067/68,Pneumonia,10309
Nawalparasi,2067/68,Sever Pneumonia,209
Nawalparasi,2067/68,Bronchitis,5083
Nawalparasi,2067/68,Asthama,7379
Nawalparasi,2067/68,Viral Influnenza,1964
Nawalparasi,2067/68,Foreign body in respiratory tract,89
Rupandehi,2067/68,"ARI/Lower respiratory
tract Infection",0
Rupandehi,2067/68,"Upper respiratory tract
Infection",0
Rupandehi,2067/68,Pneumonia,0
Rupandehi,2067/68,Sever Pneumonia,0
Rupandehi,2067/68,Bronchitis,0
Rupandehi,2067/68,Asthama,0
Rupandehi,2067/68,Viral Influnenza,0
Rupandehi,2067/68,Foreign body in respiratory tract,0
Kapilvastu,2067/68,"ARI/Lower respiratory
tract Infection",15969
Kapilvastu,2067/68,"Upper respiratory tract
Infection",20758
Kapilvastu,2067/68,Pneumonia,8081
Kapilvastu,2067/68,Sever Pneumonia,1036
Kapilvastu,2067/68,Bronchitis,9069
Kapilvastu,2067/68,Asthama,9102
Kapilvastu,2067/68,Viral Influnenza,2523
Kapilvastu,2067/68,Foreign body in respiratory tract,564
Arghakhanchi,2067/68,"ARI/Lower respiratory
tract Infection",9668
Arghakhanchi,2067/68,"Upper respiratory tract
Infection",7581
Arghakhanchi,2067/68,Pneumonia,6266
Arghakhanchi,2067/68,Sever Pneumonia,168
Arghakhanchi,2067/68,Bronchitis,4876
Arghakhanchi,2067/68,Asthama,4299
Arghakhanchi,2067/68,Viral Influnenza,2442
Arghakhanchi,2067/68,Foreign body in respiratory tract,124
Pyuthan,2067/68,"ARI/Lower respiratory
tract Infection",9817
Pyuthan,2067/68,"Upper respiratory tract
Infection",12117
Pyuthan,2067/68,Pneumonia,6529
Pyuthan,2067/68,Sever Pneumonia,420
Pyuthan,2067/68,Bronchitis,4366
Pyuthan,2067/68,Asthama,4727
Pyuthan,2067/68,Viral Influnenza,103
Pyuthan,2067/68,Foreign body in respiratory tract,38
Rolpa,2067/68,"ARI/Lower respiratory
tract Infection",11114
Rolpa,2067/68,"Upper respiratory tract
Infection",9638
Rolpa,2067/68,Pneumonia,5977
Rolpa,2067/68,Sever Pneumonia,167
Rolpa,2067/68,Bronchitis,2528
Rolpa,2067/68,Asthama,3040
Rolpa,2067/68,Viral Influnenza,384
Rolpa,2067/68,Foreign body in respiratory tract,44
Rukum,2067/68,"ARI/Lower respiratory
tract Infection",11619
Rukum,2067/68,"Upper respiratory tract
Infection",10467
Rukum,2067/68,Pneumonia,5931
Rukum,2067/68,Sever Pneumonia,646
Rukum,2067/68,Bronchitis,4310
Rukum,2067/68,Asthama,3303
Rukum,2067/68,Viral Influnenza,164
Rukum,2067/68,Foreign body in respiratory tract,63
Salyan,2067/68,"ARI/Lower respiratory
tract Infection",13642
Salyan,2067/68,"Upper respiratory tract
Infection",12816
Salyan,2067/68,Pneumonia,5891
Salyan,2067/68,Sever Pneumonia,638
Salyan,2067/68,Bronchitis,3411
Salyan,2067/68,Asthama,6136
Salyan,2067/68,Viral Influnenza,677
Salyan,2067/68,Foreign body in respiratory tract,39
Dang,2067/68,"ARI/Lower respiratory
tract Infection",17187
Dang,2067/68,"Upper respiratory tract
Infection",16331
Dang,2067/68,Pneumonia,7474
Dang,2067/68,Sever Pneumonia,475
Dang,2067/68,Bronchitis,5494
Dang,2067/68,Asthama,9412
Dang,2067/68,Viral Influnenza,2659
Dang,2067/68,Foreign body in respiratory tract,36
Banke,2067/68,"ARI/Lower respiratory
tract Infection",20410
Banke,2067/68,"Upper respiratory tract
Infection",22316
Banke,2067/68,Pneumonia,8976
Banke,2067/68,Sever Pneumonia,347
Banke,2067/68,Bronchitis,3038
Banke,2067/68,Asthama,5445
Banke,2067/68,Viral Influnenza,5671
Banke,2067/68,Foreign body in respiratory tract,49
Bardiya,2067/68,"ARI/Lower respiratory
tract Infection",19076
Bardiya,2067/68,"Upper respiratory tract
Infection",25377
Bardiya,2067/68,Pneumonia,7375
Bardiya,2067/68,Sever Pneumonia,280
Bardiya,2067/68,Bronchitis,8434
Bardiya,2067/68,Asthama,6625
Bardiya,2067/68,Viral Influnenza,4252
Bardiya,2067/68,Foreign body in respiratory tract,116
Surkhet,2067/68,"ARI/Lower respiratory
tract Infection",19185
Surkhet,2067/68,"Upper respiratory tract
Infection",23551
Surkhet,2067/68,Pneumonia,9005
Surkhet,2067/68,Sever Pneumonia,351
Surkhet,2067/68,Bronchitis,4133
Surkhet,2067/68,Asthama,6222
Surkhet,2067/68,Viral Influnenza,5287
Surkhet,2067/68,Foreign body in respiratory tract,104
Dailekh,2067/68,"ARI/Lower respiratory
tract Infection",24385
Dailekh,2067/68,"Upper respiratory tract
Infection",17611
Dailekh,2067/68,Pneumonia,7114
Dailekh,2067/68,Sever Pneumonia,300
Dailekh,2067/68,Bronchitis,4196
Dailekh,2067/68,Asthama,5758
Dailekh,2067/68,Viral Influnenza,109
Dailekh,2067/68,Foreign body in respiratory tract,49
Jajarkot,2067/68,"ARI/Lower respiratory
tract Infection",6480
Jajarkot,2067/68,"Upper respiratory tract
Infection",10432
Jajarkot,2067/68,Pneumonia,3352
Jajarkot,2067/68,Sever Pneumonia,522
Jajarkot,2067/68,Bronchitis,2191
Jajarkot,2067/68,Asthama,3631
Jajarkot,2067/68,Viral Influnenza,856
Jajarkot,2067/68,Foreign body in respiratory tract,115
Dolpa,2067/68,"ARI/Lower respiratory
tract Infection",1117
Dolpa,2067/68,"Upper respiratory tract
Infection",1391
Dolpa,2067/68,Pneumonia,634
Dolpa,2067/68,Sever Pneumonia,36
Dolpa,2067/68,Bronchitis,227
Dolpa,2067/68,Asthama,371
Dolpa,2067/68,Viral Influnenza,97
Dolpa,2067/68,Foreign body in respiratory tract,3
Jumla,2067/68,"ARI/Lower respiratory
tract Infection",5034
Jumla,2067/68,"Upper respiratory tract
Infection",6350
Jumla,2067/68,Pneumonia,2353
Jumla,2067/68,Sever Pneumonia,155
Jumla,2067/68,Bronchitis,1112
Jumla,2067/68,Asthama,1688
Jumla,2067/68,Viral Influnenza,133
Jumla,2067/68,Foreign body in respiratory tract,37
Kalikot,2067/68,"ARI/Lower respiratory
tract Infection",3335
Kalikot,2067/68,"Upper respiratory tract
Infection",3719
Kalikot,2067/68,Pneumonia,2040
Kalikot,2067/68,Sever Pneumonia,237
Kalikot,2067/68,Bronchitis,1886
Kalikot,2067/68,Asthama,2299
Kalikot,2067/68,Viral Influnenza,674
Kalikot,2067/68,Foreign body in respiratory tract,103
Mugu,2067/68,"ARI/Lower respiratory
tract Infection",2880
Mugu,2067/68,"Upper respiratory tract
Infection",2565
Mugu,2067/68,Pneumonia,1421
Mugu,2067/68,Sever Pneumonia,151
Mugu,2067/68,Bronchitis,1010
Mugu,2067/68,Asthama,1346
Mugu,2067/68,Viral Influnenza,41
Mugu,2067/68,Foreign body in respiratory tract,105
Humla,2067/68,"ARI/Lower respiratory
tract Infection",4064
Humla,2067/68,"Upper respiratory tract
Infection",4182
Humla,2067/68,Pneumonia,2426
Humla,2067/68,Sever Pneumonia,257
Humla,2067/68,Bronchitis,1394
Humla,2067/68,Asthama,2340
Humla,2067/68,Viral Influnenza,957
Humla,2067/68,Foreign body in respiratory tract,136
Bajura,2067/68,"ARI/Lower respiratory
tract Infection",5186
Bajura,2067/68,"Upper respiratory tract
Infection",5747
Bajura,2067/68,Pneumonia,4358
Bajura,2067/68,Sever Pneumonia,250
Bajura,2067/68,Bronchitis,1431
Bajura,2067/68,Asthama,3223
Bajura,2067/68,Viral Influnenza,1793
Bajura,2067/68,Foreign body in respiratory tract,63
Bajhang,2067/68,"ARI/Lower respiratory
tract Infection",7484
Bajhang,2067/68,"Upper respiratory tract
Infection",9251
Bajhang,2067/68,Pneumonia,3913
Bajhang,2067/68,Sever Pneumonia,239
Bajhang,2067/68,Bronchitis,1881
Bajhang,2067/68,Asthama,3049
Bajhang,2067/68,Viral Influnenza,620
Bajhang,2067/68,Foreign body in respiratory tract,38
Achham,2067/68,"ARI/Lower respiratory
tract Infection",21794
Achham,2067/68,"Upper respiratory tract
Infection",22092
