District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,Measles 12-23 months,,543
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,Japnese Encephalitis,,9304
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 1,15801
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2,10073
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2+,7330
Rautahat,Narayani,Terai,Central,2068/69,2011/2012,TT Total,TT 2+,33204
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,BCG,,5960
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5822
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5767
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5753
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,5716
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,5691
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,5651
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,5711
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,88
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,1563
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2307
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,2215
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,6085
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,BCG,,5364
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5283
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5272
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5121
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,5283
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,5172
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,5121
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,4868
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,208
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2964
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2607
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1472
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,7043
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,BCG,,25066
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,21430
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,21206
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,21491
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Polio 1,,21430
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Polio 2,,21206
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Polio 3,,21491
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Measles 9-11 months,,21118
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Measles 12-23 months,,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,Japnese Encephalitis,,18776
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,13286
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,19245
Rupandehi,Lumbini,Terai,Western,2068/69,2011/2012,TT Total,TT 2+,32531
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,BCG,,5714
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,5574
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,5574
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,5564
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,5574
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,5574
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,5564
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,5479
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,26
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,0
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2015
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,2467
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,2371
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,6853
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,BCG,,3359
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,3409
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,3360
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,3305
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Polio 1,,3363
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Polio 2,,3318
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Polio 3,,3270
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Measles 9-11 months,,3269
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Measles 12-23 months,,49
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,248
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,455
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,2792
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/2012,TT Total,TT 2+,3495
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,BCG,,15514
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,14908
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,14802
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,14724
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 1,,14643
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 2,,14463
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 3,,14453
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Measles 9-11 months,,13767
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Measles 12-23 months,,402
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Japnese Encephalitis,,9597
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,8922
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,7147
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,8441
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Total,TT 2+,24510
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,BCG,,20948
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib1,,20188
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib2,,18955
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,DPT-Hep B-Hib3,,18300
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Polio 1,,20184
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Polio 2,,18956
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Polio 3,,18331
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Measles 9-11 months,,16968
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Measles 12-23 months,,825
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,Japnese Encephalitis,,9885
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 1,13060
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2,14762
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,TT Pregnant Women,TT 2+,9661
Sarlahi,Janakpur,Terai,Central,2068/69,2011/2012,TT Total,TT 2+,37483
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,BCG,,6553
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib1,,6407
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib2,,6224
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,DPT-Hep B-Hib3,,5953
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Polio 1,,6395
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Polio 2,,6205
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Polio 3,,5939
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Measles 9-11 months,,5620
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Measles 12-23 months,,259
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,Japnese Encephalitis,,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 1,3155
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 2,2633
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,TT Pregnant Women,TT 2+,1766
Sindhuli,Janakpur,Hill,Central,2068/69,2011/2012,TT Total,TT 2+,7554
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,BCG,,16903
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,16709
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,16533
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,16088
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 1,,16709
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 2,,16353
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Polio 3,,16087
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Measles 9-11 months,,15409
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Measles 12-23 months,,273
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,Japnese Encephalitis,,11539
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,6881
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,5933
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,10931
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/2012,TT Total,TT 2+,23745
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,BCG,,2176
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,2088
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,2075
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,2081
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Polio 1,,2069
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Polio 2,,2064
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Polio 3,,2073
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Measles 9-11 months,,2139
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Measles 12-23 months,,40
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,1175
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,1489
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,1264
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/2012,TT Total,TT 2+,3928
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,BCG,,18344
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,17474
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,17121
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,16963
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Polio 1,,17474
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Polio 2,,17121
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Polio 3,,16963
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Measles 9-11 months,,16077
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Measles 12-23 months,,130
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,Japnese Encephalitis,,12259
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,7498
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,7188
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,10601
Sunsari,Kosi,Terai,Eastern,2068/69,2011/2012,TT Total,TT 2+,25287
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,BCG,,8898
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib1,,8567
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib2,,8497
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,DPT-Hep B-Hib3,,8407
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 1,,8567
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 2,,8497
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Polio 3,,8407
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 9-11 months,,7999
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Measles 12-23 months,,77
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,Japnese Encephalitis,,5572
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 1,2794
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3834
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,3714
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/2012,TT Total,TT 2+,10342
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,BCG,,5947
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6890
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6898
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6887
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Polio 1,,6886
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Polio 2,,7309
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Polio 3,,6897
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,6684
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,47
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,466
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3433
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,4101
Syangja,Gandaki,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,8000
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,BCG,,6320
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib1,,6840
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib2,,6783
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,DPT-Hep B-Hib3,,6793
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Polio 1,,6843
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Polio 2,,6783
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Polio 3,,6793
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Measles 9-11 months,,6392
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Measles 12-23 months,,27
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,Japnese Encephalitis,,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 1,3232
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2,3662
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,TT Pregnant Women,TT 2+,1412
Tanahu,Gandaki,Hill,Western,2068/69,2011/2012,TT Total,TT 2+,8306
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,BCG,,3403
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib1,,3400
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib2,,3306
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,DPT-Hep B-Hib3,,3241
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Polio 1,,3400
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Polio 2,,3306
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Polio 3,,3241
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Measles 9-11 months,,3333
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Measles 12-23 months,,18
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,Japnese Encephalitis,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 1,1736
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2,2102
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,TT Pregnant Women,TT 2+,1042
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/2012,TT Total,TT 2+,4880
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,BCG,,3087
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,3158
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,3158
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,3152
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Polio 1,,3296
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Polio 2,,3155
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Polio 3,,3153
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Measles 9-11 months,,2975
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Measles 12-23 months,,58
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,Japnese Encephalitis,,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,1726
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,1868
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,981
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/2013,TT Total,TT 2+,4575
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,BCG,,4527
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,4525
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,4520
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,4567
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 1,,4525
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 2,,4520
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 3,,4567
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Measles 9-11 months,,4432
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Measles 12-23 months,,55
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,Japnese Encephalitis,,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,2016
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,1940
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,2541
Panchthar,Mechi,Hill,Eastern,2069/70,2012/2013,TT Total,TT 2+,6497
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,BCG,,6227
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,6199
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,6134
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,6043
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 1,,6199
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 2,,6134
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Polio 3,,6043
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Measles 9-11 months,,5935
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Measles 12-23 months,,61
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,Japnese Encephalitis,,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,1267
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,2493
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,4341
Ilam,Mechi,Hill,Eastern,2069/70,2012/2013,TT Total,TT 2+,8101
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,BCG,,20584
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,19967
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,19269
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,19837
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Polio 1,,19965
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Polio 2,,19307
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Polio 3,,19857
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Measles 9-11 months,,18539
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Measles 12-23 months,,157
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,Japnese Encephalitis,,16119
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,13678
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,14847
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,7508
Jhapa,Mechi,Terai,Eastern,2069/70,2012/2013,TT Total,TT 2+,36033
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,BCG,,24663
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,22817
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,22376
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,22201
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 1,,22812
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 2,,22376
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 3,,22201
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Measles 9-11 months,,21042
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Measles 12-23 months,,116
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,Japnese Encephalitis,,16937
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,4819
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,6742
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,13512
Morang,Kosi,Terai,Eastern,2069/70,2012/2013,TT Total,TT 2+,25073
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,BCG,,18151
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib1,,17535
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib2,,17069
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,DPT-Hep B-Hib3,,16744
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 1,,17535
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 2,,17069
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Polio 3,,16744
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Measles 9-11 months,,16004
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Measles 12-23 months,,173
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,Japnese Encephalitis,,11658
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 1,6332
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2,7520
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,TT Pregnant Women,TT 2+,10561
Sunsari,Kosi,Terai,Eastern,2069/70,2012/2013,TT Total,TT 2+,24413
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/2013,BCG,,3604
