District,Year,Antigens,Number of children
Tanahu,2066/67,Measles 9-11 months,6361
Tanahu,2066/67,Measles 12-23,46
Tanahu,2066/67,Japenese Encephalitis,0
Tanahu,2066/67,TT 1,3847
Tanahu,2066/67,TT2,3866
Tanahu,2066/67,TT 2+,634
Banke,2066/67,BCG,12021
Banke,2066/67,DPT-HepB 1,10296
Banke,2066/67,DPT-HepB 2,9662
Banke,2066/67,DPT-HepB 3,9224
Banke,2066/67,Polio1,10515
Banke,2066/67,Polio2,9997
Banke,2066/67,Polio3,9564
Banke,2066/67,Measles 9-11 months,9477
Banke,2066/67,Measles 12-23,158
Banke,2066/67,Japenese Encephalitis,6515
Banke,2066/67,TT 1,5635
Banke,2066/67,TT2,4740
Banke,2066/67,TT 2+,5308
Bardiya,2066/67,BCG,8455
Bardiya,2066/67,DPT-HepB 1,8309
Bardiya,2066/67,DPT-HepB 2,8144
Bardiya,2066/67,DPT-HepB 3,7739
Bardiya,2066/67,Polio1,8559
Bardiya,2066/67,Polio2,8398
Bardiya,2066/67,Polio3,8082
Bardiya,2066/67,Measles 9-11 months,8662
Bardiya,2066/67,Measles 12-23,5
Bardiya,2066/67,Japenese Encephalitis,7324
Bardiya,2066/67,TT 1,6499
Bardiya,2066/67,TT2,5952
Bardiya,2066/67,TT 2+,2669
Dailekh,2066/67,BCG,7374
Dailekh,2066/67,DPT-HepB 1,7032
Dailekh,2066/67,DPT-HepB 2,6577
Dailekh,2066/67,DPT-HepB 3,6494
Dailekh,2066/67,Polio1,7032
Dailekh,2066/67,Polio2,6577
Dailekh,2066/67,Polio3,6494
Dailekh,2066/67,Measles 9-11 months,7013
Dailekh,2066/67,Measles 12-23,4
Dailekh,2066/67,Japenese Encephalitis,0
Dailekh,2066/67,TT 1,2375
Dailekh,2066/67,TT2,2269
Dailekh,2066/67,TT 2+,4101
Dang,2066/67,BCG,13847
Dang,2066/67,DPT-HepB 1,12991
Dang,2066/67,DPT-HepB 2,12705
Dang,2066/67,DPT-HepB 3,12606
Dang,2066/67,Polio1,12991
Dang,2066/67,Polio2,12702
Dang,2066/67,Polio3,12513
Dang,2066/67,Measles 9-11 months,13547
Dang,2066/67,Measles 12-23,241
Dang,2066/67,Japenese Encephalitis,8738
Dang,2066/67,TT 1,2779
Dang,2066/67,TT2,7530
Dang,2066/67,TT 2+,5573
Dolpa,2066/67,BCG,669
Dolpa,2066/67,DPT-HepB 1,726
Dolpa,2066/67,DPT-HepB 2,628
Dolpa,2066/67,DPT-HepB 3,588
Dolpa,2066/67,Polio1,717
Dolpa,2066/67,Polio2,630
Dolpa,2066/67,Polio3,588
Dolpa,2066/67,Measles 9-11 months,623
Dolpa,2066/67,Measles 12-23,37
Dolpa,2066/67,Japenese Encephalitis,0
Dolpa,2066/67,TT 1,535
Dolpa,2066/67,TT2,441
Dolpa,2066/67,TT 2+,177
Humla,2066/67,BCG,1400
Humla,2066/67,DPT-HepB 1,1421
Humla,2066/67,DPT-HepB 2,1179
Humla,2066/67,DPT-HepB 3,1081
Humla,2066/67,Polio1,1463
Humla,2066/67,Polio2,1163
Humla,2066/67,Polio3,1087
Humla,2066/67,Measles 9-11 months,1290
Humla,2066/67,Measles 12-23,149
Humla,2066/67,Japenese Encephalitis,0
Humla,2066/67,TT 1,1017
Humla,2066/67,TT2,804
Humla,2066/67,TT 2+,93
Jajarkot,2066/67,BCG,4657
Jajarkot,2066/67,DPT-HepB 1,4374
Jajarkot,2066/67,DPT-HepB 2,3864
Jajarkot,2066/67,DPT-HepB 3,4247
Jajarkot,2066/67,Polio1,5014
Jajarkot,2066/67,Polio2,4452
Jajarkot,2066/67,Polio3,4840
Jajarkot,2066/67,Measles 9-11 months,4795
Jajarkot,2066/67,Measles 12-23,313
Jajarkot,2066/67,Japenese Encephalitis,0
Jajarkot,2066/67,TT 1,4175
Jajarkot,2066/67,TT2,4056
Jajarkot,2066/67,TT 2+,583
Jumla,2066/67,BCG,2810
Jumla,2066/67,DPT-HepB 1,2613
Jumla,2066/67,DPT-HepB 2,2228
Jumla,2066/67,DPT-HepB 3,2294
Jumla,2066/67,Polio1,2641
Jumla,2066/67,Polio2,2278
Jumla,2066/67,Polio3,2381
Jumla,2066/67,Measles 9-11 months,2627
Jumla,2066/67,Measles 12-23,173
Jumla,2066/67,Japenese Encephalitis,0
Jumla,2066/67,TT 1,2141
Jumla,2066/67,TT2,1816
Jumla,2066/67,TT 2+,269
Kalikot,2066/67,BCG,3465
Kalikot,2066/67,DPT-HepB 1,3421
Kalikot,2066/67,DPT-HepB 2,2825
Kalikot,2066/67,DPT-HepB 3,2736
Kalikot,2066/67,Polio1,3127
Kalikot,2066/67,Polio2,2857
Kalikot,2066/67,Polio3,2759
Kalikot,2066/67,Measles 9-11 months,2978
Kalikot,2066/67,Measles 12-23,431
Kalikot,2066/67,Japenese Encephalitis,0
Kalikot,2066/67,TT 1,2839
Kalikot,2066/67,TT2,1782
Kalikot,2066/67,TT 2+,125
Mugu,2066/67,BCG,1545
Mugu,2066/67,DPT-HepB 1,1578
Mugu,2066/67,DPT-HepB 2,1317
Mugu,2066/67,DPT-HepB 3,1010
Mugu,2066/67,Polio1,2151
Mugu,2066/67,Polio2,1741
Mugu,2066/67,Polio3,977
Mugu,2066/67,Measles 9-11 months,1151
Mugu,2066/67,Measles 12-23,509
Mugu,2066/67,Japenese Encephalitis,0
Mugu,2066/67,TT 1,957
Mugu,2066/67,TT2,583
Mugu,2066/67,TT 2+,244
Pyuthan,2066/67,BCG,7329
Pyuthan,2066/67,DPT-HepB 1,6788
Pyuthan,2066/67,DPT-HepB 2,6463
Pyuthan,2066/67,DPT-HepB 3,6425
Pyuthan,2066/67,Polio1,7167
Pyuthan,2066/67,Polio2,7011
Pyuthan,2066/67,Polio3,6916
Pyuthan,2066/67,Measles 9-11 months,7084
Pyuthan,2066/67,Measles 12-23,39
Pyuthan,2066/67,Japenese Encephalitis,0
Pyuthan,2066/67,TT 1,2426
Pyuthan,2066/67,TT2,3076
Pyuthan,2066/67,TT 2+,4332
Rolpa,2066/67,BCG,6441
Rolpa,2066/67,DPT-HepB 1,6024
Rolpa,2066/67,DPT-HepB 2,5407
Rolpa,2066/67,DPT-HepB 3,5474
Rolpa,2066/67,Polio1,7885
Rolpa,2066/67,Polio2,5793
Rolpa,2066/67,Polio3,5859
Rolpa,2066/67,Measles 9-11 months,6140
Rolpa,2066/67,Measles 12-23,157
Rolpa,2066/67,Japenese Encephalitis,0
Rolpa,2066/67,TT 1,960
Rolpa,2066/67,TT2,2005
Rolpa,2066/67,TT 2+,3479
Rukum,2066/67,BCG,6117
Rukum,2066/67,DPT-HepB 1,5175
Rukum,2066/67,DPT-HepB 2,4496
Rukum,2066/67,DPT-HepB 3,4420
Rukum,2066/67,Polio1,5579
Rukum,2066/67,Polio2,4908
Rukum,2066/67,Polio3,4877
Rukum,2066/67,Measles 9-11 months,5079
Rukum,2066/67,Measles 12-23,455
Rukum,2066/67,Japenese Encephalitis,0
Rukum,2066/67,TT 1,3550
Rukum,2066/67,TT2,2951
Rukum,2066/67,TT 2+,1374
Salyan,2066/67,BCG,6045
Salyan,2066/67,DPT-HepB 1,5511
Salyan,2066/67,DPT-HepB 2,4678
Salyan,2066/67,DPT-HepB 3,4601
Salyan,2066/67,Polio1,6084
Salyan,2066/67,Polio2,5580
Salyan,2066/67,Polio3,5440
Salyan,2066/67,Measles 9-11 months,5991
Salyan,2066/67,Measles 12-23,23
Salyan,2066/67,Japenese Encephalitis,0
Salyan,2066/67,TT 1,2095
Salyan,2066/67,TT2,2906
Salyan,2066/67,TT 2+,2889
Surkhet,2066/67,BCG,9010
Surkhet,2066/67,DPT-HepB 1,8417
Surkhet,2066/67,DPT-HepB 2,7952
Surkhet,2066/67,DPT-HepB 3,7732
Surkhet,2066/67,Polio1,8560
Surkhet,2066/67,Polio2,8145
Surkhet,2066/67,Polio3,7932
Surkhet,2066/67,Measles 9-11 months,8365
Surkhet,2066/67,Measles 12-23,121
Surkhet,2066/67,Japenese Encephalitis,0
Surkhet,2066/67,TT 1,2852
Surkhet,2066/67,TT2,4870
Surkhet,2066/67,TT 2+,4690
Achham,2066/67,BCG,7863
Achham,2066/67,DPT-HepB 1,7343
Achham,2066/67,DPT-HepB 2,7102
Achham,2066/67,DPT-HepB 3,7483
Achham,2066/67,Polio1,7418
Achham,2066/67,Polio2,7114
Achham,2066/67,Polio3,7509
Achham,2066/67,Measles 9-11 months,7603
Achham,2066/67,Measles 12-23,224
Achham,2066/67,Japenese Encephalitis,0
Achham,2066/67,TT 1,2440
Achham,2066/67,TT2,2511
Achham,2066/67,TT 2+,4516
Baitadi,2066/67,BCG,6381
Baitadi,2066/67,DPT-HepB 1,6080
Baitadi,2066/67,DPT-HepB 2,5696
Baitadi,2066/67,DPT-HepB 3,5709
Baitadi,2066/67,Polio1,6056
Baitadi,2066/67,Polio2,5637
Baitadi,2066/67,Polio3,5694
Baitadi,2066/67,Measles 9-11 months,5786
Baitadi,2066/67,Measles 12-23,335
Baitadi,2066/67,Japenese Encephalitis,0
Baitadi,2066/67,TT 1,2155
Baitadi,2066/67,TT2,2039
Baitadi,2066/67,TT 2+,3869
Bajhang,2066/67,BCG,5222
Bajhang,2066/67,DPT-HepB 1,4808
Bajhang,2066/67,DPT-HepB 2,4328
Bajhang,2066/67,DPT-HepB 3,3942
Bajhang,2066/67,Polio1,5220
Bajhang,2066/67,Polio2,4792
Bajhang,2066/67,Polio3,4591
Bajhang,2066/67,Measles 9-11 months,4452
Bajhang,2066/67,Measles 12-23,206
Bajhang,2066/67,Japenese Encephalitis,0
Bajhang,2066/67,TT 1,4029
Bajhang,2066/67,TT2,2961
Bajhang,2066/67,TT 2+,859
Bajura,2066/67,BCG,4546
Bajura,2066/67,DPT-HepB 1,4204
Bajura,2066/67,DPT-HepB 2,3864
Bajura,2066/67,DPT-HepB 3,3788
Bajura,2066/67,Polio1,4471
Bajura,2066/67,Polio2,3860
Bajura,2066/67,Polio3,3894
Bajura,2066/67,Measles 9-11 months,3531
Bajura,2066/67,Measles 12-23,441
Bajura,2066/67,Japenese Encephalitis,0
Bajura,2066/67,TT 1,2277
Bajura,2066/67,TT2,2197
Bajura,2066/67,TT 2+,1155
Dadeldhura,2066/67,BCG,3692
Dadeldhura,2066/67,DPT-HepB 1,3188
Dadeldhura,2066/67,DPT-HepB 2,2929
Dadeldhura,2066/67,DPT-HepB 3,2834
Dadeldhura,2066/67,Polio1,3219
Dadeldhura,2066/67,Polio2,2952
Dadeldhura,2066/67,Polio3,2848
Dadeldhura,2066/67,Measles 9-11 months,3120
Dadeldhura,2066/67,Measles 12-23,75
Dadeldhura,2066/67,Japenese Encephalitis,0
Dadeldhura,2066/67,TT 1,1807
Dadeldhura,2066/67,TT2,1342
Dadeldhura,2066/67,TT 2+,1293
Darchula,2066/67,BCG,2809
Darchula,2066/67,DPT-HepB 1,2774
Darchula,2066/67,DPT-HepB 2,2637
Darchula,2066/67,DPT-HepB 3,2648
Darchula,2066/67,Polio1,2868
Darchula,2066/67,Polio2,2755
Darchula,2066/67,Polio3,2719
Darchula,2066/67,Measles 9-11 months,2894
Darchula,2066/67,Measles 12-23,50
Darchula,2066/67,Japenese Encephalitis,0
Darchula,2066/67,TT 1,2229
Darchula,2066/67,TT2,1938
Darchula,2066/67,TT 2+,1001
Doti,2066/67,BCG,5964
Doti,2066/67,DPT-HepB 1,5805
Doti,2066/67,DPT-HepB 2,5298
Doti,2066/67,DPT-HepB 3,5137
Doti,2066/67,Polio1,5951
Doti,2066/67,Polio2,5455
Doti,2066/67,Polio3,5346
Doti,2066/67,Measles 9-11 months,5312
Doti,2066/67,Measles 12-23,299
Doti,2066/67,Japenese Encephalitis,0
Doti,2066/67,TT 1,3221
Doti,2066/67,TT2,2693
Doti,2066/67,TT 2+,2277
Kailali,2066/67,BCG,15705
Kailali,2066/67,DPT-HepB 1,14794
Kailali,2066/67,DPT-HepB 2,14348
Kailali,2066/67,DPT-HepB 3,13636
Kailali,2066/67,Polio1,15405
Kailali,2066/67,Polio2,14927
Kailali,2066/67,Polio3,14259
Kailali,2066/67,Measles 9-11 months,15054
Kailali,2066/67,Measles 12-23,223
Kailali,2066/67,Japenese Encephalitis,11769
Kailali,2066/67,TT 1,5764
Kailali,2066/67,TT2,4942
Kailali,2066/67,TT 2+,6624
Kanchanpur,2066/67,BCG,9596
Kanchanpur,2066/67,DPT-HepB 1,9325
Kanchanpur,2066/67,DPT-HepB 2,8799
Kanchanpur,2066/67,DPT-HepB 3,8735
Kanchanpur,2066/67,Polio1,9382
Kanchanpur,2066/67,Polio2,8892
Kanchanpur,2066/67,Polio3,8871
Kanchanpur,2066/67,Measles 9-11 months,9274
Kanchanpur,2066/67,Measles 12-23,223
Kanchanpur,2066/67,Japenese Encephalitis,6843
Kanchanpur,2066/67,TT 1,3689
Kanchanpur,2066/67,TT2,2619
Kanchanpur,2066/67,TT 2+,3855
Taplejung,2067/68,BCG,3240
Taplejung,2067/68,DPT-HepB 1,3248
Taplejung,2067/68,DPT-HepB 2,3290
Taplejung,2067/68,DPT-HepB 3,3213
Taplejung,2067/68,Polio1,3268
Taplejung,2067/68,Polio2,3326
Taplejung,2067/68,Polio3,3235
Taplejung,2067/68,Measles 9-11 months,3144
Taplejung,2067/68,Measles 12-23,68
Taplejung,2067/68,Japenese Encephalitis,0
Taplejung,2067/68,TT 1,1801
Taplejung,2067/68,TT2,2112
Taplejung,2067/68,TT 2+,869
Panchthar,2067/68,BCG,4593
Panchthar,2067/68,DPT-HepB 1,4680
Panchthar,2067/68,DPT-HepB 2,4752
Panchthar,2067/68,DPT-HepB 3,4860
Panchthar,2067/68,Polio1,4685
Panchthar,2067/68,Polio2,4755
Panchthar,2067/68,Polio3,4853
Panchthar,2067/68,Measles 9-11 months,4476
Panchthar,2067/68,Measles 12-23,56
Panchthar,2067/68,Japenese Encephalitis,0
Panchthar,2067/68,TT 1,1850
Panchthar,2067/68,TT2,1978
Panchthar,2067/68,TT 2+,2980
Ilam,2067/68,BCG,6977
Ilam,2067/68,DPT-HepB 1,6535
Ilam,2067/68,DPT-HepB 2,6722
Ilam,2067/68,DPT-HepB 3,6777
Ilam,2067/68,Polio1,6535
Ilam,2067/68,Polio2,6722
Ilam,2067/68,Polio3,6777
Ilam,2067/68,Measles 9-11 months,6266
Ilam,2067/68,Measles 12-23,105
Ilam,2067/68,Japenese Encephalitis,0
Ilam,2067/68,TT 1,1093
Ilam,2067/68,TT2,2026
Ilam,2067/68,TT 2+,5133
Jhapa,2067/68,BCG,21068
Jhapa,2067/68,DPT-HepB 1,23107
Jhapa,2067/68,DPT-HepB 2,23049
Jhapa,2067/68,DPT-HepB 3,22519
Jhapa,2067/68,Polio1,21724
Jhapa,2067/68,Polio2,21247
Jhapa,2067/68,Polio3,21727
Jhapa,2067/68,Measles 9-11 months,24648
Jhapa,2067/68,Measles 12-23,129
Jhapa,2067/68,Japenese Encephalitis,13111
Jhapa,2067/68,TT 1,11339
Jhapa,2067/68,TT2,12964
Jhapa,2067/68,TT 2+,11194
Morang,2067/68,BCG,24142
Morang,2067/68,DPT-HepB 1,21991
Morang,2067/68,DPT-HepB 2,22328
Morang,2067/68,DPT-HepB 3,22248
Morang,2067/68,Polio1,21991
Morang,2067/68,Polio2,22328
Morang,2067/68,Polio3,22248
Morang,2067/68,Measles 9-11 months,21011
Morang,2067/68,Measles 12-23,87
Morang,2067/68,Japenese Encephalitis,14946
Morang,2067/68,TT 1,5024
Morang,2067/68,TT2,6827
Morang,2067/68,TT 2+,12976
Sunsari,2067/68,BCG,18102
Sunsari,2067/68,DPT-HepB 1,17508
Sunsari,2067/68,DPT-HepB 2,17212
Sunsari,2067/68,DPT-HepB 3,17384
Sunsari,2067/68,Polio1,17508
Sunsari,2067/68,Polio2,17212
Sunsari,2067/68,Polio3,17384
Sunsari,2067/68,Measles 9-11 months,15760
Sunsari,2067/68,Measles 12-23,160
Sunsari,2067/68,Japenese Encephalitis,10792
Sunsari,2067/68,TT 1,7332
Sunsari,2067/68,TT2,6539
Sunsari,2067/68,TT 2+,10038
Dhankuta,2067/68,BCG,3835
Dhankuta,2067/68,DPT-HepB 1,3785
Dhankuta,2067/68,DPT-HepB 2,3949
Dhankuta,2067/68,DPT-HepB 3,3929
Dhankuta,2067/68,Polio1,3783
Dhankuta,2067/68,Polio2,3922
Dhankuta,2067/68,Polio3,3915
Dhankuta,2067/68,Measles 9-11 months,3498
Dhankuta,2067/68,Measles 12-23,18
Dhankuta,2067/68,Japenese Encephalitis,0
Dhankuta,2067/68,TT 1,1279
Dhankuta,2067/68,TT2,1541
Dhankuta,2067/68,TT 2+,2395
Teharthum,2067/68,BCG,2228
Teharthum,2067/68,DPT-HepB 1,2330
Teharthum,2067/68,DPT-HepB 2,2421
Teharthum,2067/68,DPT-HepB 3,2431
Teharthum,2067/68,Polio1,2330
Teharthum,2067/68,Polio2,2421
Teharthum,2067/68,Polio3,2431
Teharthum,2067/68,Measles 9-11 months,2174
Teharthum,2067/68,Measles 12-23,16
Teharthum,2067/68,Japenese Encephalitis,0
Teharthum,2067/68,TT 1,760
Teharthum,2067/68,TT2,1037
Teharthum,2067/68,TT 2+,1400
Sankhuwasabha,2067/68,BCG,3614
Sankhuwasabha,2067/68,DPT-HepB 1,3711
Sankhuwasabha,2067/68,DPT-HepB 2,3759
Sankhuwasabha,2067/68,DPT-HepB 3,3844
Sankhuwasabha,2067/68,Polio1,3711
Sankhuwasabha,2067/68,Polio2,3759
Sankhuwasabha,2067/68,Polio3,3844
Sankhuwasabha,2067/68,Measles 9-11 months,3482
Sankhuwasabha,2067/68,Measles 12-23,46
Sankhuwasabha,2067/68,Japenese Encephalitis,0
Sankhuwasabha,2067/68,TT 1,263
Sankhuwasabha,2067/68,TT2,428
Sankhuwasabha,2067/68,TT 2+,2569
Bhojpur,2067/68,BCG,3821
Bhojpur,2067/68,DPT-HepB 1,4006
Bhojpur,2067/68,DPT-HepB 2,4278
Bhojpur,2067/68,DPT-HepB 3,4359
Bhojpur,2067/68,Polio1,4088
Bhojpur,2067/68,Polio2,4349
Bhojpur,2067/68,Polio3,4438
Bhojpur,2067/68,Measles 9-11 months,3775
Bhojpur,2067/68,Measles 12-23,78
Bhojpur,2067/68,Japenese Encephalitis,0
Bhojpur,2067/68,TT 1,704
Bhojpur,2067/68,TT2,1101
Bhojpur,2067/68,TT 2+,2621
Solukhumbu,2067/68,BCG,2606
Solukhumbu,2067/68,DPT-HepB 1,2815
Solukhumbu,2067/68,DPT-HepB 2,2811
Solukhumbu,2067/68,DPT-HepB 3,2723
Solukhumbu,2067/68,Polio1,2815
Solukhumbu,2067/68,Polio2,2811
Solukhumbu,2067/68,Polio3,2723
Solukhumbu,2067/68,Measles 9-11 months,2295
Solukhumbu,2067/68,Measles 12-23,110
Solukhumbu,2067/68,Japenese Encephalitis,0
Solukhumbu,2067/68,TT 1,1078
Solukhumbu,2067/68,TT2,1653
Solukhumbu,2067/68,TT 2+,1374
Okhaldhunga,2067/68,BCG,3094
Okhaldhunga,2067/68,DPT-HepB 1,3228
Okhaldhunga,2067/68,DPT-HepB 2,3292
Okhaldhunga,2067/68,DPT-HepB 3,3621
Okhaldhunga,2067/68,Polio1,3154
Okhaldhunga,2067/68,Polio2,3259
Okhaldhunga,2067/68,Polio3,3237
Okhaldhunga,2067/68,Measles 9-11 months,2716
Okhaldhunga,2067/68,Measles 12-23,64
Okhaldhunga,2067/68,Japenese Encephalitis,0
Okhaldhunga,2067/68,TT 1,1022
Okhaldhunga,2067/68,TT2,1610
Okhaldhunga,2067/68,TT 2+,1287
Khotang,2067/68,BCG,4491
Khotang,2067/68,DPT-HepB 1,4496
Khotang,2067/68,DPT-HepB 2,4561
Khotang,2067/68,DPT-HepB 3,4485
Khotang,2067/68,Polio1,4428
Khotang,2067/68,Polio2,4479
Khotang,2067/68,Polio3,4450
Khotang,2067/68,Measles 9-11 months,4144
Khotang,2067/68,Measles 12-23,103
Khotang,2067/68,Japenese Encephalitis,0
Khotang,2067/68,TT 1,2278
Khotang,2067/68,TT2,2314
Khotang,2067/68,TT 2+,2323
Udaypur,2067/68,BCG,7785
Udaypur,2067/68,DPT-HepB 1,7783
Udaypur,2067/68,DPT-HepB 2,7698
Udaypur,2067/68,DPT-HepB 3,7554
Udaypur,2067/68,Polio1,7637
Udaypur,2067/68,Polio2,7558
Udaypur,2067/68,Polio3,7472
Udaypur,2067/68,Measles 9-11 months,7000
Udaypur,2067/68,Measles 12-23,314
Udaypur,2067/68,Japenese Encephalitis,5678
Udaypur,2067/68,TT 1,3506
Udaypur,2067/68,TT2,3570
Udaypur,2067/68,TT 2+,3571
Saptari,2067/68,BCG,16284
Saptari,2067/68,DPT-HepB 1,15938
Saptari,2067/68,DPT-HepB 2,15756
Saptari,2067/68,DPT-HepB 3,15684
Saptari,2067/68,Polio1,15261
Saptari,2067/68,Polio2,14978
Saptari,2067/68,Polio3,14788
Saptari,2067/68,Measles 9-11 months,14107
Saptari,2067/68,Measles 12-23,626
Saptari,2067/68,Japenese Encephalitis,9983
Saptari,2067/68,TT 1,8500
Saptari,2067/68,TT2,7098
Saptari,2067/68,TT 2+,9878
Siraha,2067/68,BCG,17259
Siraha,2067/68,DPT-HepB 1,17230
Siraha,2067/68,DPT-HepB 2,17178
Siraha,2067/68,DPT-HepB 3,16492
Siraha,2067/68,Polio1,17230
Siraha,2067/68,Polio2,17177
Siraha,2067/68,Polio3,16492
Siraha,2067/68,Measles 9-11 months,16626
Siraha,2067/68,Measles 12-23,380
Siraha,2067/68,Japenese Encephalitis,9753
Siraha,2067/68,TT 1,9111
Siraha,2067/68,TT2,9147
Siraha,2067/68,TT 2+,16066
Dhanusha,2067/68,BCG,21562
Dhanusha,2067/68,DPT-HepB 1,21532
Dhanusha,2067/68,DPT-HepB 2,21774
Dhanusha,2067/68,DPT-HepB 3,20799
Dhanusha,2067/68,Polio1,21753
Dhanusha,2067/68,Polio2,21499
Dhanusha,2067/68,Polio3,20706
Dhanusha,2067/68,Measles 9-11 months,17232
Dhanusha,2067/68,Measles 12-23,593
Dhanusha,2067/68,Japenese Encephalitis,1854
Dhanusha,2067/68,TT 1,15294
Dhanusha,2067/68,TT2,14968
Dhanusha,2067/68,TT 2+,7989
Mahottari,2067/68,BCG,16582
Mahottari,2067/68,DPT-HepB 1,16951
Mahottari,2067/68,DPT-HepB 2,17013
Mahottari,2067/68,DPT-HepB 3,16553
Mahottari,2067/68,Polio1,15848
Mahottari,2067/68,Polio2,15794
Mahottari,2067/68,Polio3,15594
Mahottari,2067/68,Measles 9-11 months,15175
Mahottari,2067/68,Measles 12-23,118
Mahottari,2067/68,Japenese Encephalitis,9817
Mahottari,2067/68,TT 1,13632
Mahottari,2067/68,TT2,16701
Mahottari,2067/68,TT 2+,3597
Sarlahi,2067/68,BCG,20314
Sarlahi,2067/68,DPT-HepB 1,19845
Sarlahi,2067/68,DPT-HepB 2,19429
Sarlahi,2067/68,DPT-HepB 3,18057
Sarlahi,2067/68,Polio1,19743
Sarlahi,2067/68,Polio2,18483
Sarlahi,2067/68,Polio3,18082
Sarlahi,2067/68,Measles 9-11 months,16969
Sarlahi,2067/68,Measles 12-23,450
Sarlahi,2067/68,Japenese Encephalitis,0
Sarlahi,2067/68,TT 1,12561
Sarlahi,2067/68,TT2,12295
Sarlahi,2067/68,TT 2+,10341
Sindhuli,2067/68,BCG,6469
Sindhuli,2067/68,DPT-HepB 1,6442
Sindhuli,2067/68,DPT-HepB 2,6413
Sindhuli,2067/68,DPT-HepB 3,6478
Sindhuli,2067/68,Polio1,6306
Sindhuli,2067/68,Polio2,6317
Sindhuli,2067/68,Polio3,6361
Sindhuli,2067/68,Measles 9-11 months,5675
Sindhuli,2067/68,Measles 12-23,395
Sindhuli,2067/68,Japenese Encephalitis,0
Sindhuli,2067/68,TT 1,3342
Sindhuli,2067/68,TT2,2880
Sindhuli,2067/68,TT 2+,1752
Ramechhap,2067/68,BCG,3725
Ramechhap,2067/68,DPT-HepB 1,3850
Ramechhap,2067/68,DPT-HepB 2,3982
Ramechhap,2067/68,DPT-HepB 3,4262
Ramechhap,2067/68,Polio1,3800
Ramechhap,2067/68,Polio2,3974
Ramechhap,2067/68,Polio3,4225
Ramechhap,2067/68,Measles 9-11 months,3888
Ramechhap,2067/68,Measles 12-23,92
Ramechhap,2067/68,Japenese Encephalitis,0
Ramechhap,2067/68,TT 1,1508
Ramechhap,2067/68,TT2,2046
Ramechhap,2067/68,TT 2+,1314
Dolkha,2067/68,BCG,4031
Dolkha,2067/68,DPT-HepB 1,4080
Dolkha,2067/68,DPT-HepB 2,4136
Dolkha,2067/68,DPT-HepB 3,4288
Dolkha,2067/68,Polio1,4097
Dolkha,2067/68,Polio2,4146
Dolkha,2067/68,Polio3,4290
Dolkha,2067/68,Measles 9-11 months,4117
Dolkha,2067/68,Measles 12-23,44
Dolkha,2067/68,Japenese Encephalitis,0
Dolkha,2067/68,TT 1,1991
Dolkha,2067/68,TT2,2386
Dolkha,2067/68,TT 2+,1188
Sindhupalchowk,2067/68,BCG,5247
Sindhupalchowk,2067/68,DPT-HepB 1,5862
Sindhupalchowk,2067/68,DPT-HepB 2,6049
Sindhupalchowk,2067/68,DPT-HepB 3,6073
Sindhupalchowk,2067/68,Polio1,5862
Sindhupalchowk,2067/68,Polio2,6002
Sindhupalchowk,2067/68,Polio3,6062
Sindhupalchowk,2067/68,Measles 9-11 months,5525
Sindhupalchowk,2067/68,Measles 12-23,110
Sindhupalchowk,2067/68,Japenese Encephalitis,0
Sindhupalchowk,2067/68,TT 1,1391
Sindhupalchowk,2067/68,TT2,1908
Sindhupalchowk,2067/68,TT 2+,2308
Kavre,2067/68,BCG,8000
Kavre,2067/68,DPT-HepB 1,8146
Kavre,2067/68,DPT-HepB 2,8406
Kavre,2067/68,DPT-HepB 3,8621
Kavre,2067/68,Polio1,8145
Kavre,2067/68,Polio2,8390
Kavre,2067/68,Polio3,8601
Kavre,2067/68,Measles 9-11 months,7928
Kavre,2067/68,Measles 12-23,32
Kavre,2067/68,Japenese Encephalitis,0
Kavre,2067/68,TT 1,2542
Kavre,2067/68,TT2,2326
Kavre,2067/68,TT 2+,3644
Lalitpur,2067/68,BCG,10735
Lalitpur,2067/68,DPT-HepB 1,8836
Lalitpur,2067/68,DPT-HepB 2,7683
Lalitpur,2067/68,DPT-HepB 3,8667
Lalitpur,2067/68,Polio1,8336
Lalitpur,2067/68,Polio2,7983
Lalitpur,2067/68,Polio3,8665
Lalitpur,2067/68,Measles 9-11 months,8016
Lalitpur,2067/68,Measles 12-23,0
Lalitpur,2067/68,Japenese Encephalitis,3585
Lalitpur,2067/68,TT 1,5596
Lalitpur,2067/68,TT2,4642
Lalitpur,2067/68,TT 2+,1106
Bhaktapur,2067/68,BCG,3436
Bhaktapur,2067/68,DPT-HepB 1,4691
Bhaktapur,2067/68,DPT-HepB 2,4871
Bhaktapur,2067/68,DPT-HepB 3,5101
Bhaktapur,2067/68,Polio1,4686
Bhaktapur,2067/68,Polio2,4880
Bhaktapur,2067/68,Polio3,5106
Bhaktapur,2067/68,Measles 9-11 months,4739
Bhaktapur,2067/68,Measles 12-23,296
Bhaktapur,2067/68,Japenese Encephalitis,3616
Bhaktapur,2067/68,TT 1,2843
Bhaktapur,2067/68,TT2,2436
Bhaktapur,2067/68,TT 2+,861
Kathmandu,2067/68,BCG,36928
Kathmandu,2067/68,DPT-HepB 1,26261
Kathmandu,2067/68,DPT-HepB 2,26390
Kathmandu,2067/68,DPT-HepB 3,27637
Kathmandu,2067/68,Polio1,26059
Kathmandu,2067/68,Polio2,26320
Kathmandu,2067/68,Polio3,27745
