Year BS,Year AD,District,zone,belt,region,Gynecological problems,No of people,Zone,Belt,Region
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Leukerrhoea (Veginal discharge syndrom,351,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Mastitis (Ingorged breast),78,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Menstrual disorder,364,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Pelvic Inflamatory Disease (PID),709,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Prolapsed uterus,207,Kosi,Hill,Eastern
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Breast lumps / Breast Abscess,400,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Disfunctional uterine bleeding,537,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1683,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Mastitis (Ingorged breast),147,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Menstrual disorder,929,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),1421,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Prolapsed uterus,114,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Breast lumps / Breast Abscess,305,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Disfunctional uterine bleeding,504,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1329,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Mastitis (Ingorged breast),72,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Menstrual disorder,933,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),590,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Prolapsed uterus,42,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Breast lumps / Breast Abscess,279,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Disfunctional uterine bleeding,539,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1341,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Mastitis (Ingorged breast),55,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Menstrual disorder,867,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),621,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Prolapsed uterus,147,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Breast lumps / Breast Abscess,173,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Disfunctional uterine bleeding,282,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1092,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Mastitis (Ingorged breast),46,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Menstrual disorder,690,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),508,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Prolapsed uterus,18,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Breast lumps / Breast Abscess,159,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Disfunctional uterine bleeding,404,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Leukerrhoea (Veginal discharge syndrom,1300,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Mastitis (Ingorged breast),66,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Menstrual disorder,709,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Pelvic Inflamatory Disease (PID),723,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Prolapsed uterus,159,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Breast lumps / Breast Abscess,147,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Disfunctional uterine bleeding,288,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Leukerrhoea (Veginal discharge syndrom,357,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Mastitis (Ingorged breast),97,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Menstrual disorder,1105,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Pelvic Inflamatory Disease (PID),1261,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Prolapsed uterus,498,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Breast lumps / Breast Abscess,180,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Disfunctional uterine bleeding,330,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Leukerrhoea (Veginal discharge syndrom,327,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Mastitis (Ingorged breast),123,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Menstrual disorder,1057,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Pelvic Inflamatory Disease (PID),1456,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Prolapsed uterus,317,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Breast lumps / Breast Abscess,128,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Disfunctional uterine bleeding,239,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Leukerrhoea (Veginal discharge syndrom,282,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Mastitis (Ingorged breast),85,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Menstrual disorder,1135,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Pelvic Inflamatory Disease (PID),1275,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Prolapsed uterus,412,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Breast lumps / Breast Abscess,126,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Disfunctional uterine bleeding,195,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Leukerrhoea (Veginal discharge syndrom,389,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Mastitis (Ingorged breast),68,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Menstrual disorder,819,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Pelvic Inflamatory Disease (PID),1727,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Prolapsed uterus,212,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Breast lumps / Breast Abscess,122,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Disfunctional uterine bleeding,227,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Leukerrhoea (Veginal discharge syndrom,263,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Mastitis (Ingorged breast),77,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Menstrual disorder,1350,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Pelvic Inflamatory Disease (PID),1846,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Prolapsed uterus,207,Janakpur,Mountain,Central
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,27,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,8,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,52,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),18,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Menstrual disorder,46,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),272,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Prolapsed uterus,22,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,2,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,60,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Menstrual disorder,15,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),137,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Prolapsed uterus,6,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,18,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,4,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,130,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),16,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Menstrual disorder,36,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),269,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Prolapsed uterus,8,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,29,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,8,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,148,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),14,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Menstrual disorder,59,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),338,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Prolapsed uterus,2,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,25,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,8,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,74,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),8,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Menstrual disorder,45,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),261,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Prolapsed uterus,21,Karnali,Mountain,Mid-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,97,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Disfunctional uterine bleeding,222,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,276,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Mastitis (Ingorged breast),86,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Menstrual disorder,191,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),462,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Prolapsed uterus,191,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,102,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Disfunctional uterine bleeding,192,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,252,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Mastitis (Ingorged breast),33,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Menstrual disorder,168,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),566,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Prolapsed uterus,142,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,112,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Disfunctional uterine bleeding,212,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,425,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Mastitis (Ingorged breast),44,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Menstrual disorder,236,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),966,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Prolapsed uterus,208,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,126,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Disfunctional uterine bleeding,213,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,477,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Mastitis (Ingorged breast),43,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Menstrual disorder,239,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),922,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Prolapsed uterus,223,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,132,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Disfunctional uterine bleeding,238,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,412,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Mastitis (Ingorged breast),47,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Menstrual disorder,240,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),782,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Prolapsed uterus,228,Seti,Hill,Far-Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Breast lumps / Breast Abscess,279,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Disfunctional uterine bleeding,455,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1563,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Mastitis (Ingorged breast),175,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Menstrual disorder,889,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),2332,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Prolapsed uterus,548,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Breast lumps / Breast Abscess,427,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Disfunctional uterine bleeding,505,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1595,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Mastitis (Ingorged breast),247,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Menstrual disorder,1148,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),2580,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Prolapsed uterus,647,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Breast lumps / Breast Abscess,435,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Disfunctional uterine bleeding,609,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1712,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Mastitis (Ingorged breast),287,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Menstrual disorder,960,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),3045,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Prolapsed uterus,537,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Breast lumps / Breast Abscess,400,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Disfunctional uterine bleeding,637,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1437,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Mastitis (Ingorged breast),401,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Menstrual disorder,930,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),3131,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Prolapsed uterus,509,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Breast lumps / Breast Abscess,346,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Disfunctional uterine bleeding,555,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1536,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Mastitis (Ingorged breast),281,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Menstrual disorder,1032,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Pelvic Inflamatory Disease (PID),3507,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Prolapsed uterus,601,Gandaki,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Breast lumps / Breast Abscess,341,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Disfunctional uterine bleeding,459,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1650,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Mastitis (Ingorged breast),160,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Menstrual disorder,713,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Pelvic Inflamatory Disease (PID),2669,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Prolapsed uterus,560,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Breast lumps / Breast Abscess,277,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Disfunctional uterine bleeding,453,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1568,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Mastitis (Ingorged breast),174,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Menstrual disorder,721,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Pelvic Inflamatory Disease (PID),2720,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Prolapsed uterus,510,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Breast lumps / Breast Abscess,191,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Disfunctional uterine bleeding,287,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Leukerrhoea (Veginal discharge syndrom,1031,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Mastitis (Ingorged breast),110,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Menstrual disorder,540,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Pelvic Inflamatory Disease (PID),1574,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Prolapsed uterus,392,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Breast lumps / Breast Abscess,53,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Disfunctional uterine bleeding,88,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Leukerrhoea (Veginal discharge syndrom,383,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Mastitis (Ingorged breast),31,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Menstrual disorder,173,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Pelvic Inflamatory Disease (PID),544,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Prolapsed uterus,129,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Breast lumps / Breast Abscess,84,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Disfunctional uterine bleeding,81,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Leukerrhoea (Veginal discharge syndrom,199,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Mastitis (Ingorged breast),27,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Menstrual disorder,109,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Pelvic Inflamatory Disease (PID),522,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Prolapsed uterus,71,Lumbini,Hill,Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,166,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,101,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,483,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),91,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Menstrual disorder,119,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),512,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Prolapsed uterus,111,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Breast lumps / Breast Abscess,124,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Disfunctional uterine bleeding,183,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Leukerrhoea (Veginal discharge syndrom,458,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Mastitis (Ingorged breast),45,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Menstrual disorder,189,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Pelvic Inflamatory Disease (PID),499,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Prolapsed uterus,120,Karnali,Mountain,Mid-Western
