District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Rukum,2067/68,Total Treatment,5 Years & Above,Male,0
Rukum,2067/68,Total Treatment,Under 5 Years,Female,0
Rukum,2067/68,Total Treatment,5 Years & Above,Male,0
Salyan,2067/68,Clinical Malaria,Under 5 Years,Female,9
Salyan,2067/68,Clinical Malaria,5 Years & Above,Male,12
Salyan,2067/68,Clinical Malaria,Under 5 Years,Female,13
Salyan,2067/68,Clinical Malaria,5 Years & Above,Male,23
Salyan,2067/68,Total Treatment,Under 5 Years,Female,9
Salyan,2067/68,Total Treatment,5 Years & Above,Male,12
Salyan,2067/68,Total Treatment,Under 5 Years,Female,13
Salyan,2067/68,Total Treatment,5 Years & Above,Male,23
Dang,2067/68,Clinical Malaria,Under 5 Years,Female,1009
Dang,2067/68,Clinical Malaria,5 Years & Above,Male,853
Dang,2067/68,Clinical Malaria,Under 5 Years,Female,1606
Dang,2067/68,Clinical Malaria,5 Years & Above,Male,1554
Dang,2067/68,Total Treatment,Under 5 Years,Female,1009
Dang,2067/68,Total Treatment,5 Years & Above,Male,853
Dang,2067/68,Total Treatment,Under 5 Years,Female,1606
Dang,2067/68,Total Treatment,5 Years & Above,Male,1554
Banke,2067/68,Clinical Malaria,Under 5 Years,Female,586
Banke,2067/68,Clinical Malaria,5 Years & Above,Male,619
Banke,2067/68,Clinical Malaria,Under 5 Years,Female,740
Banke,2067/68,Clinical Malaria,5 Years & Above,Male,791
Banke,2067/68,Total Treatment,Under 5 Years,Female,586
Banke,2067/68,Total Treatment,5 Years & Above,Male,619
Banke,2067/68,Total Treatment,Under 5 Years,Female,740
Banke,2067/68,Total Treatment,5 Years & Above,Male,791
Bardiya,2067/68,Clinical Malaria,Under 5 Years,Female,1832
Bardiya,2067/68,Clinical Malaria,5 Years & Above,Male,1951
Bardiya,2067/68,Clinical Malaria,Under 5 Years,Female,2464
Bardiya,2067/68,Clinical Malaria,5 Years & Above,Male,2375
Bardiya,2067/68,Total Treatment,Under 5 Years,Female,1832
Bardiya,2067/68,Total Treatment,5 Years & Above,Male,1951
Bardiya,2067/68,Total Treatment,Under 5 Years,Female,2464
Bardiya,2067/68,Total Treatment,5 Years & Above,Male,2375
Surkhet,2067/68,Clinical Malaria,Under 5 Years,Female,2002
Surkhet,2067/68,Clinical Malaria,5 Years & Above,Male,2151
Surkhet,2067/68,Clinical Malaria,Under 5 Years,Female,1315
Surkhet,2067/68,Clinical Malaria,5 Years & Above,Male,1211
Surkhet,2067/68,Total Treatment,Under 5 Years,Female,2002
Surkhet,2067/68,Total Treatment,5 Years & Above,Male,2151
Surkhet,2067/68,Total Treatment,Under 5 Years,Female,1315
Surkhet,2067/68,Total Treatment,5 Years & Above,Male,1211
Dailekh,2067/68,Clinical Malaria,Under 5 Years,Female,1
Dailekh,2067/68,Clinical Malaria,5 Years & Above,Male,0
Dailekh,2067/68,Clinical Malaria,Under 5 Years,Female,1
Dailekh,2067/68,Clinical Malaria,5 Years & Above,Male,9
Dailekh,2067/68,Total Treatment,Under 5 Years,Female,1
Dailekh,2067/68,Total Treatment,5 Years & Above,Male,0
Dailekh,2067/68,Total Treatment,Under 5 Years,Female,1
Dailekh,2067/68,Total Treatment,5 Years & Above,Male,9
Jajarkot,2067/68,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2067/68,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2067/68,Clinical Malaria,Under 5 Years,Female,0
Jajarkot,2067/68,Clinical Malaria,5 Years & Above,Male,0
Jajarkot,2067/68,Total Treatment,Under 5 Years,Female,0
Jajarkot,2067/68,Total Treatment,5 Years & Above,Male,0
Jajarkot,2067/68,Total Treatment,Under 5 Years,Female,0
Jajarkot,2067/68,Total Treatment,5 Years & Above,Male,0
Dolpa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2067/68,Clinical Malaria,Under 5 Years,Female,0
Dolpa,2067/68,Clinical Malaria,5 Years & Above,Male,0
Dolpa,2067/68,Total Treatment,Under 5 Years,Female,0
Dolpa,2067/68,Total Treatment,5 Years & Above,Male,0
Dolpa,2067/68,Total Treatment,Under 5 Years,Female,0
Dolpa,2067/68,Total Treatment,5 Years & Above,Male,0
Jumla,2067/68,Clinical Malaria,Under 5 Years,Female,0
Jumla,2067/68,Clinical Malaria,5 Years & Above,Male,0
Jumla,2067/68,Clinical Malaria,Under 5 Years,Female,0
Jumla,2067/68,Clinical Malaria,5 Years & Above,Male,0
Jumla,2067/68,Total Treatment,Under 5 Years,Female,0
Jumla,2067/68,Total Treatment,5 Years & Above,Male,0
Jumla,2067/68,Total Treatment,Under 5 Years,Female,0
Jumla,2067/68,Total Treatment,5 Years & Above,Male,0
Kalikot,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2067/68,Clinical Malaria,Under 5 Years,Female,0
Kalikot,2067/68,Clinical Malaria,5 Years & Above,Male,0
Kalikot,2067/68,Total Treatment,Under 5 Years,Female,0
Kalikot,2067/68,Total Treatment,5 Years & Above,Male,0
Kalikot,2067/68,Total Treatment,Under 5 Years,Female,0
Kalikot,2067/68,Total Treatment,5 Years & Above,Male,0
Mugu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Mugu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Mugu,2067/68,Clinical Malaria,Under 5 Years,Female,0
Mugu,2067/68,Clinical Malaria,5 Years & Above,Male,0
Mugu,2067/68,Total Treatment,Under 5 Years,Female,0
Mugu,2067/68,Total Treatment,5 Years & Above,Male,0
Mugu,2067/68,Total Treatment,Under 5 Years,Female,0
Mugu,2067/68,Total Treatment,5 Years & Above,Male,0
Humla,2067/68,Clinical Malaria,Under 5 Years,Female,0
Humla,2067/68,Clinical Malaria,5 Years & Above,Male,0
Humla,2067/68,Clinical Malaria,Under 5 Years,Female,0
Humla,2067/68,Clinical Malaria,5 Years & Above,Male,0
Humla,2067/68,Total Treatment,Under 5 Years,Female,0
Humla,2067/68,Total Treatment,5 Years & Above,Male,0
Humla,2067/68,Total Treatment,Under 5 Years,Female,0
Humla,2067/68,Total Treatment,5 Years & Above,Male,0
Bajura,2067/68,Clinical Malaria,Under 5 Years,Female,0
Bajura,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bajura,2067/68,Clinical Malaria,Under 5 Years,Female,0
Bajura,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bajura,2067/68,Total Treatment,Under 5 Years,Female,0
Bajura,2067/68,Total Treatment,5 Years & Above,Male,0
Bajura,2067/68,Total Treatment,Under 5 Years,Female,0
Bajura,2067/68,Total Treatment,5 Years & Above,Male,0
Bajhang,2067/68,Clinical Malaria,Under 5 Years,Female,0
Bajhang,2067/68,Clinical Malaria,5 Years & Above,Male,0
Bajhang,2067/68,Clinical Malaria,Under 5 Years,Female,5
Bajhang,2067/68,Clinical Malaria,5 Years & Above,Male,9
Bajhang,2067/68,Total Treatment,Under 5 Years,Female,0
Bajhang,2067/68,Total Treatment,5 Years & Above,Male,0
Bajhang,2067/68,Total Treatment,Under 5 Years,Female,5
Bajhang,2067/68,Total Treatment,5 Years & Above,Male,9
Achham,2067/68,Clinical Malaria,Under 5 Years,Female,1
Achham,2067/68,Clinical Malaria,5 Years & Above,Male,0
Achham,2067/68,Clinical Malaria,Under 5 Years,Female,7
Achham,2067/68,Clinical Malaria,5 Years & Above,Male,36
Achham,2067/68,Total Treatment,Under 5 Years,Female,1
Achham,2067/68,Total Treatment,5 Years & Above,Male,0
Achham,2067/68,Total Treatment,Under 5 Years,Female,7
Achham,2067/68,Total Treatment,5 Years & Above,Male,36
Doti,2067/68,Clinical Malaria,Under 5 Years,Female,6
Doti,2067/68,Clinical Malaria,5 Years & Above,Male,1
Doti,2067/68,Clinical Malaria,Under 5 Years,Female,0
Doti,2067/68,Clinical Malaria,5 Years & Above,Male,1
Doti,2067/68,Total Treatment,Under 5 Years,Female,6
Doti,2067/68,Total Treatment,5 Years & Above,Male,1
Doti,2067/68,Total Treatment,Under 5 Years,Female,0
Doti,2067/68,Total Treatment,5 Years & Above,Male,1
Kailali,2067/68,Clinical Malaria,Under 5 Years,Female,1358
Kailali,2067/68,Clinical Malaria,5 Years & Above,Male,1450
Kailali,2067/68,Clinical Malaria,Under 5 Years,Female,1252
Kailali,2067/68,Clinical Malaria,5 Years & Above,Male,1252
Kailali,2067/68,Total Treatment,Under 5 Years,Female,1358
Kailali,2067/68,Total Treatment,5 Years & Above,Male,1450
Kailali,2067/68,Total Treatment,Under 5 Years,Female,1252
Kailali,2067/68,Total Treatment,5 Years & Above,Male,1252
Kanchanpur,2067/68,Clinical Malaria,Under 5 Years,Female,14
Kanchanpur,2067/68,Clinical Malaria,5 Years & Above,Male,14
Kanchanpur,2067/68,Clinical Malaria,Under 5 Years,Female,68
Kanchanpur,2067/68,Clinical Malaria,5 Years & Above,Male,80
Kanchanpur,2067/68,Total Treatment,Under 5 Years,Female,14
Kanchanpur,2067/68,Total Treatment,5 Years & Above,Male,14
Kanchanpur,2067/68,Total Treatment,Under 5 Years,Female,68
Kanchanpur,2067/68,Total Treatment,5 Years & Above,Male,80
Dadeldhura,2067/68,Clinical Malaria,Under 5 Years,Female,60
Dadeldhura,2067/68,Clinical Malaria,5 Years & Above,Male,24
Dadeldhura,2067/68,Clinical Malaria,Under 5 Years,Female,18
Dadeldhura,2067/68,Clinical Malaria,5 Years & Above,Male,48
Dadeldhura,2067/68,Total Treatment,Under 5 Years,Female,60
Dadeldhura,2067/68,Total Treatment,5 Years & Above,Male,24
Dadeldhura,2067/68,Total Treatment,Under 5 Years,Female,18
Dadeldhura,2067/68,Total Treatment,5 Years & Above,Male,48
Baitadi,2067/68,Clinical Malaria,Under 5 Years,Female,0
Baitadi,2067/68,Clinical Malaria,5 Years & Above,Male,0
Baitadi,2067/68,Clinical Malaria,Under 5 Years,Female,0
Baitadi,2067/68,Clinical Malaria,5 Years & Above,Male,0
Baitadi,2067/68,Total Treatment,Under 5 Years,Female,0
Baitadi,2067/68,Total Treatment,5 Years & Above,Male,0
Baitadi,2067/68,Total Treatment,Under 5 Years,Female,0
Baitadi,2067/68,Total Treatment,5 Years & Above,Male,0
Darchula,2067/68,Clinical Malaria,Under 5 Years,Female,0
Darchula,2067/68,Clinical Malaria,5 Years & Above,Male,0
Darchula,2067/68,Clinical Malaria,Under 5 Years,Female,0
Darchula,2067/68,Clinical Malaria,5 Years & Above,Male,0
Darchula,2067/68,Total Treatment,Under 5 Years,Female,0
Darchula,2067/68,Total Treatment,5 Years & Above,Male,0
Darchula,2067/68,Total Treatment,Under 5 Years,Female,0
Darchula,2067/68,Total Treatment,5 Years & Above,Male,0
Taplejung,2068/69,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2068/69,Clinical Malaria,5 Years & Above,Male,2
Taplejung,2068/69,Clinical Malaria,Under 5 Years,Female,0
Taplejung,2068/69,Clinical Malaria,5 Years & Above,Male,2
Taplejung,2068/69,Total Treatment,Under 5 Years,Female,0
Taplejung,2068/69,Total Treatment,5 Years & Above,Male,2
Taplejung,2068/69,Total Treatment,Under 5 Years,Female,0
Taplejung,2068/69,Total Treatment,5 Years & Above,Male,3
Panchthar,2068/69,Clinical Malaria,Under 5 Years,Female,6
Panchthar,2068/69,Clinical Malaria,5 Years & Above,Male,10
Panchthar,2068/69,Clinical Malaria,Under 5 Years,Female,21
Panchthar,2068/69,Clinical Malaria,5 Years & Above,Male,33
Panchthar,2068/69,Total Treatment,Under 5 Years,Female,6
Panchthar,2068/69,Total Treatment,5 Years & Above,Male,10
Panchthar,2068/69,Total Treatment,Under 5 Years,Female,22
Panchthar,2068/69,Total Treatment,5 Years & Above,Male,39
Ilam,2068/69,Clinical Malaria,Under 5 Years,Female,10
Ilam,2068/69,Clinical Malaria,5 Years & Above,Male,10
Ilam,2068/69,Clinical Malaria,Under 5 Years,Female,46
Ilam,2068/69,Clinical Malaria,5 Years & Above,Male,42
Ilam,2068/69,Total Treatment,Under 5 Years,Female,14
Ilam,2068/69,Total Treatment,5 Years & Above,Male,11
Ilam,2068/69,Total Treatment,Under 5 Years,Female,47
Ilam,2068/69,Total Treatment,5 Years & Above,Male,51
Jhapa,2068/69,Clinical Malaria,Under 5 Years,Female,124
Jhapa,2068/69,Clinical Malaria,5 Years & Above,Male,136
Jhapa,2068/69,Clinical Malaria,Under 5 Years,Female,1115
Jhapa,2068/69,Clinical Malaria,5 Years & Above,Male,1298
Jhapa,2068/69,Total Treatment,Under 5 Years,Female,98
Jhapa,2068/69,Total Treatment,5 Years & Above,Male,108
Jhapa,2068/69,Total Treatment,Under 5 Years,Female,962
Jhapa,2068/69,Total Treatment,5 Years & Above,Male,1191
Morang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Morang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Morang,2068/69,Clinical Malaria,Under 5 Years,Female,482
Morang,2068/69,Clinical Malaria,5 Years & Above,Male,4064
Morang,2068/69,Total Treatment,Under 5 Years,Female,2
Morang,2068/69,Total Treatment,5 Years & Above,Male,2
Morang,2068/69,Total Treatment,Under 5 Years,Female,497
Morang,2068/69,Total Treatment,5 Years & Above,Male,4100
Sunsari,2068/69,Clinical Malaria,Under 5 Years,Female,4
Sunsari,2068/69,Clinical Malaria,5 Years & Above,Male,3
Sunsari,2068/69,Clinical Malaria,Under 5 Years,Female,838
Sunsari,2068/69,Clinical Malaria,5 Years & Above,Male,903
Sunsari,2068/69,Total Treatment,Under 5 Years,Female,4
Sunsari,2068/69,Total Treatment,5 Years & Above,Male,4
Sunsari,2068/69,Total Treatment,Under 5 Years,Female,843
Sunsari,2068/69,Total Treatment,5 Years & Above,Male,915
Dhankuta,2068/69,Clinical Malaria,Under 5 Years,Female,7
Dhankuta,2068/69,Clinical Malaria,5 Years & Above,Male,12
Dhankuta,2068/69,Clinical Malaria,Under 5 Years,Female,32
Dhankuta,2068/69,Clinical Malaria,5 Years & Above,Male,24
Dhankuta,2068/69,Total Treatment,Under 5 Years,Female,7
Dhankuta,2068/69,Total Treatment,5 Years & Above,Male,12
Dhankuta,2068/69,Total Treatment,Under 5 Years,Female,32
Dhankuta,2068/69,Total Treatment,5 Years & Above,Male,24
Teharthum,2068/69,Clinical Malaria,Under 5 Years,Female,2
Teharthum,2068/69,Clinical Malaria,5 Years & Above,Male,1
Teharthum,2068/69,Clinical Malaria,Under 5 Years,Female,0
Teharthum,2068/69,Clinical Malaria,5 Years & Above,Male,0
Teharthum,2068/69,Total Treatment,Under 5 Years,Female,2
Teharthum,2068/69,Total Treatment,5 Years & Above,Male,1
Teharthum,2068/69,Total Treatment,Under 5 Years,Female,0
Teharthum,2068/69,Total Treatment,5 Years & Above,Male,0
Sankhuwasabha,2068/69,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2068/69,Clinical Malaria,5 Years & Above,Male,0
Sankhuwasabha,2068/69,Clinical Malaria,Under 5 Years,Female,0
Sankhuwasabha,2068/69,Clinical Malaria,5 Years & Above,Male,0
Sankhuwasabha,2068/69,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2068/69,Total Treatment,5 Years & Above,Male,0
Sankhuwasabha,2068/69,Total Treatment,Under 5 Years,Female,0
Sankhuwasabha,2068/69,Total Treatment,5 Years & Above,Male,4
Bhojpur,2068/69,Clinical Malaria,Under 5 Years,Female,6
Bhojpur,2068/69,Clinical Malaria,5 Years & Above,Male,4
Bhojpur,2068/69,Clinical Malaria,Under 5 Years,Female,22
Bhojpur,2068/69,Clinical Malaria,5 Years & Above,Male,33
Bhojpur,2068/69,Total Treatment,Under 5 Years,Female,6
Bhojpur,2068/69,Total Treatment,5 Years & Above,Male,5
Bhojpur,2068/69,Total Treatment,Under 5 Years,Female,25
Bhojpur,2068/69,Total Treatment,5 Years & Above,Male,36
Solukhumbu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Solukhumbu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Solukhumbu,2068/69,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2068/69,Total Treatment,5 Years & Above,Male,0
Solukhumbu,2068/69,Total Treatment,Under 5 Years,Female,0
Solukhumbu,2068/69,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2068/69,Clinical Malaria,Under 5 Years,Female,0
Okhaldhunga,2068/69,Clinical Malaria,5 Years & Above,Male,0
Okhaldhunga,2068/69,Clinical Malaria,Under 5 Years,Female,1
Okhaldhunga,2068/69,Clinical Malaria,5 Years & Above,Male,3
Okhaldhunga,2068/69,Total Treatment,Under 5 Years,Female,0
Okhaldhunga,2068/69,Total Treatment,5 Years & Above,Male,0
Okhaldhunga,2068/69,Total Treatment,Under 5 Years,Female,9
Okhaldhunga,2068/69,Total Treatment,5 Years & Above,Male,27
Khotang,2068/69,Clinical Malaria,Under 5 Years,Female,0
Khotang,2068/69,Clinical Malaria,5 Years & Above,Male,0
Khotang,2068/69,Clinical Malaria,Under 5 Years,Female,3
Khotang,2068/69,Clinical Malaria,5 Years & Above,Male,4
Khotang,2068/69,Total Treatment,Under 5 Years,Female,0
Khotang,2068/69,Total Treatment,5 Years & Above,Male,0
Khotang,2068/69,Total Treatment,Under 5 Years,Female,3
Khotang,2068/69,Total Treatment,5 Years & Above,Male,4
Udaypur,2068/69,Clinical Malaria,Under 5 Years,Female,6
Udaypur,2068/69,Clinical Malaria,5 Years & Above,Male,4
Udaypur,2068/69,Clinical Malaria,Under 5 Years,Female,47
Udaypur,2068/69,Clinical Malaria,5 Years & Above,Male,90
Udaypur,2068/69,Total Treatment,Under 5 Years,Female,6
Udaypur,2068/69,Total Treatment,5 Years & Above,Male,4
Udaypur,2068/69,Total Treatment,Under 5 Years,Female,52
Udaypur,2068/69,Total Treatment,5 Years & Above,Male,101
Saptari,2068/69,Clinical Malaria,Under 5 Years,Female,9
Saptari,2068/69,Clinical Malaria,5 Years & Above,Male,16
Saptari,2068/69,Clinical Malaria,Under 5 Years,Female,840
Saptari,2068/69,Clinical Malaria,5 Years & Above,Male,748
Saptari,2068/69,Total Treatment,Under 5 Years,Female,9
Saptari,2068/69,Total Treatment,5 Years & Above,Male,16
Saptari,2068/69,Total Treatment,Under 5 Years,Female,842
Saptari,2068/69,Total Treatment,5 Years & Above,Male,754
Siraha,2068/69,Clinical Malaria,Under 5 Years,Female,56
Siraha,2068/69,Clinical Malaria,5 Years & Above,Male,71
Siraha,2068/69,Clinical Malaria,Under 5 Years,Female,1158
Siraha,2068/69,Clinical Malaria,5 Years & Above,Male,1082
Siraha,2068/69,Total Treatment,Under 5 Years,Female,56
Siraha,2068/69,Total Treatment,5 Years & Above,Male,71
Siraha,2068/69,Total Treatment,Under 5 Years,Female,1166
Siraha,2068/69,Total Treatment,5 Years & Above,Male,1103
Dhanusha,2068/69,Clinical Malaria,Under 5 Years,Female,1139
Dhanusha,2068/69,Clinical Malaria,5 Years & Above,Male,1248
Dhanusha,2068/69,Clinical Malaria,Under 5 Years,Female,4705
Dhanusha,2068/69,Clinical Malaria,5 Years & Above,Male,5404
Dhanusha,2068/69,Total Treatment,Under 5 Years,Female,1139
Dhanusha,2068/69,Total Treatment,5 Years & Above,Male,1251
Dhanusha,2068/69,Total Treatment,Under 5 Years,Female,4709
Dhanusha,2068/69,Total Treatment,5 Years & Above,Male,5433
Mahottari,2068/69,Clinical Malaria,Under 5 Years,Female,0
Mahottari,2068/69,Clinical Malaria,5 Years & Above,Male,0
Mahottari,2068/69,Clinical Malaria,Under 5 Years,Female,1014
Mahottari,2068/69,Clinical Malaria,5 Years & Above,Male,3852
Mahottari,2068/69,Total Treatment,Under 5 Years,Female,3
Mahottari,2068/69,Total Treatment,5 Years & Above,Male,2
Mahottari,2068/69,Total Treatment,Under 5 Years,Female,1058
Mahottari,2068/69,Total Treatment,5 Years & Above,Male,3927
Sarlahi,2068/69,Clinical Malaria,Under 5 Years,Female,39
Sarlahi,2068/69,Clinical Malaria,5 Years & Above,Male,22
Sarlahi,2068/69,Clinical Malaria,Under 5 Years,Female,626
Sarlahi,2068/69,Clinical Malaria,5 Years & Above,Male,1334
Sarlahi,2068/69,Total Treatment,Under 5 Years,Female,40
Sarlahi,2068/69,Total Treatment,5 Years & Above,Male,25
Sarlahi,2068/69,Total Treatment,Under 5 Years,Female,638
Sarlahi,2068/69,Total Treatment,5 Years & Above,Male,1412
Sindhuli,2068/69,Clinical Malaria,Under 5 Years,Female,0
Sindhuli,2068/69,Clinical Malaria,5 Years & Above,Male,0
Sindhuli,2068/69,Clinical Malaria,Under 5 Years,Female,114
Sindhuli,2068/69,Clinical Malaria,5 Years & Above,Male,125
Sindhuli,2068/69,Total Treatment,Under 5 Years,Female,0
Sindhuli,2068/69,Total Treatment,5 Years & Above,Male,0
Sindhuli,2068/69,Total Treatment,Under 5 Years,Female,115
Sindhuli,2068/69,Total Treatment,5 Years & Above,Male,140
Ramechhap,2068/69,Clinical Malaria,Under 5 Years,Female,6
Ramechhap,2068/69,Clinical Malaria,5 Years & Above,Male,0
Ramechhap,2068/69,Clinical Malaria,Under 5 Years,Female,0
Ramechhap,2068/69,Clinical Malaria,5 Years & Above,Male,0
Ramechhap,2068/69,Total Treatment,Under 5 Years,Female,6
Ramechhap,2068/69,Total Treatment,5 Years & Above,Male,0
Ramechhap,2068/69,Total Treatment,Under 5 Years,Female,0
Ramechhap,2068/69,Total Treatment,5 Years & Above,Male,0
Dolkha,2068/69,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2068/69,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2068/69,Clinical Malaria,Under 5 Years,Female,0
Dolkha,2068/69,Clinical Malaria,5 Years & Above,Male,0
Dolkha,2068/69,Total Treatment,Under 5 Years,Female,0
Dolkha,2068/69,Total Treatment,5 Years & Above,Male,0
Dolkha,2068/69,Total Treatment,Under 5 Years,Female,0
Dolkha,2068/69,Total Treatment,5 Years & Above,Male,0
Sindhupalchowk,2068/69,Clinical Malaria,Under 5 Years,Female,0
Sindhupalchowk,2068/69,Clinical Malaria,5 Years & Above,Male,0
Sindhupalchowk,2068/69,Clinical Malaria,Under 5 Years,Female,50
Sindhupalchowk,2068/69,Clinical Malaria,5 Years & Above,Male,37
Sindhupalchowk,2068/69,Total Treatment,Under 5 Years,Female,0
Sindhupalchowk,2068/69,Total Treatment,5 Years & Above,Male,0
Sindhupalchowk,2068/69,Total Treatment,Under 5 Years,Female,50
Sindhupalchowk,2068/69,Total Treatment,5 Years & Above,Male,37
Kavre,2068/69,Clinical Malaria,Under 5 Years,Female,2
Kavre,2068/69,Clinical Malaria,5 Years & Above,Male,1
Kavre,2068/69,Clinical Malaria,Under 5 Years,Female,63
Kavre,2068/69,Clinical Malaria,5 Years & Above,Male,78
Kavre,2068/69,Total Treatment,Under 5 Years,Female,2
Kavre,2068/69,Total Treatment,5 Years & Above,Male,1
Kavre,2068/69,Total Treatment,Under 5 Years,Female,63
Kavre,2068/69,Total Treatment,5 Years & Above,Male,82
Lalitpur,2068/69,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2068/69,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2068/69,Clinical Malaria,Under 5 Years,Female,0
Lalitpur,2068/69,Clinical Malaria,5 Years & Above,Male,0
Lalitpur,2068/69,Total Treatment,Under 5 Years,Female,0
Lalitpur,2068/69,Total Treatment,5 Years & Above,Male,0
Lalitpur,2068/69,Total Treatment,Under 5 Years,Female,0
Lalitpur,2068/69,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2068/69,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2068/69,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2068/69,Clinical Malaria,Under 5 Years,Female,0
Bhaktapur,2068/69,Clinical Malaria,5 Years & Above,Male,0
Bhaktapur,2068/69,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2068/69,Total Treatment,5 Years & Above,Male,0
Bhaktapur,2068/69,Total Treatment,Under 5 Years,Female,0
Bhaktapur,2068/69,Total Treatment,5 Years & Above,Male,0
Kathmandu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2068/69,Clinical Malaria,Under 5 Years,Female,0
Kathmandu,2068/69,Clinical Malaria,5 Years & Above,Male,0
Kathmandu,2068/69,Total Treatment,Under 5 Years,Female,0
Kathmandu,2068/69,Total Treatment,5 Years & Above,Male,0
Kathmandu,2068/69,Total Treatment,Under 5 Years,Female,0
Kathmandu,2068/69,Total Treatment,5 Years & Above,Male,0
Nuwakot,2068/69,Clinical Malaria,Under 5 Years,Female,0
Nuwakot,2068/69,Clinical Malaria,5 Years & Above,Male,3
Nuwakot,2068/69,Clinical Malaria,Under 5 Years,Female,8
Nuwakot,2068/69,Clinical Malaria,5 Years & Above,Male,7
Nuwakot,2068/69,Total Treatment,Under 5 Years,Female,0
Nuwakot,2068/69,Total Treatment,5 Years & Above,Male,3
Nuwakot,2068/69,Total Treatment,Under 5 Years,Female,9
Nuwakot,2068/69,Total Treatment,5 Years & Above,Male,7
Rasuwa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2068/69,Clinical Malaria,Under 5 Years,Female,0
Rasuwa,2068/69,Clinical Malaria,5 Years & Above,Male,0
Rasuwa,2068/69,Total Treatment,Under 5 Years,Female,0
Rasuwa,2068/69,Total Treatment,5 Years & Above,Male,0
Rasuwa,2068/69,Total Treatment,Under 5 Years,Female,0
Rasuwa,2068/69,Total Treatment,5 Years & Above,Male,0
Dhading,2068/69,Clinical Malaria,Under 5 Years,Female,3
Dhading,2068/69,Clinical Malaria,5 Years & Above,Male,1
Dhading,2068/69,Clinical Malaria,Under 5 Years,Female,25
Dhading,2068/69,Clinical Malaria,5 Years & Above,Male,41
Dhading,2068/69,Total Treatment,Under 5 Years,Female,3
Dhading,2068/69,Total Treatment,5 Years & Above,Male,1
Dhading,2068/69,Total Treatment,Under 5 Years,Female,25
Dhading,2068/69,Total Treatment,5 Years & Above,Male,42
Makawanpur,2068/69,Clinical Malaria,Under 5 Years,Female,16
Makawanpur,2068/69,Clinical Malaria,5 Years & Above,Male,13
Makawanpur,2068/69,Clinical Malaria,Under 5 Years,Female,103
Makawanpur,2068/69,Clinical Malaria,5 Years & Above,Male,120
Makawanpur,2068/69,Total Treatment,Under 5 Years,Female,22
Makawanpur,2068/69,Total Treatment,5 Years & Above,Male,16
Makawanpur,2068/69,Total Treatment,Under 5 Years,Female,116
Makawanpur,2068/69,Total Treatment,5 Years & Above,Male,128
Rautahat,2068/69,Clinical Malaria,Under 5 Years,Female,97
Rautahat,2068/69,Clinical Malaria,5 Years & Above,Male,57
Rautahat,2068/69,Clinical Malaria,Under 5 Years,Female,1115
Rautahat,2068/69,Clinical Malaria,5 Years & Above,Male,1287
Rautahat,2068/69,Total Treatment,Under 5 Years,Female,106
Rautahat,2068/69,Total Treatment,5 Years & Above,Male,65
Rautahat,2068/69,Total Treatment,Under 5 Years,Female,1031
Rautahat,2068/69,Total Treatment,5 Years & Above,Male,1188
Bara,2068/69,Clinical Malaria,Under 5 Years,Female,15
Bara,2068/69,Clinical Malaria,5 Years & Above,Male,15
Bara,2068/69,Clinical Malaria,Under 5 Years,Female,725
Bara,2068/69,Clinical Malaria,5 Years & Above,Male,912
Bara,2068/69,Total Treatment,Under 5 Years,Female,15
Bara,2068/69,Total Treatment,5 Years & Above,Male,15
