District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Sub-Indicator,Sub-Indicator,Value
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,1
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Others,,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,24140
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,167
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,19956
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,123
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,1653
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,24712
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,137
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,2305
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,12
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,0
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,2
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Others,,107
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,336
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,2
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,2
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,306
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,6
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,0
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Others,,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HIV,Total,103
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HIV,+Ve,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HCV,Total,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HCV,+Ve,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Western Bloot,Total,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Western Bloot,+Ve,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HBsAg,Total,22
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HBsAg,+Ve,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HEV,Total,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,HEV,+Ve,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,CD4 count,,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Viral Load,,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Others,,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HIV,Total,267
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HIV,+Ve,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HCV,Total,1
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,Total,270
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HEV,Total,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,CD4 count,,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Viral Load,,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Others,,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HIV,Total,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HIV,+Ve,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HCV,Total,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HCV,+Ve,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Western Bloot,Total,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Western Bloot,+Ve,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HBsAg,Total,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HBsAg,+Ve,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HEV,Total,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,HEV,+Ve,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,CD4 count,,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Viral Load,,0
Makawanpur,Narayani,Hill,Central,2068/69,2011/12,Others,,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HIV,Total,22
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HCV,Total,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HBsAg,Total,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HBsAg,+Ve,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HEV,Total,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,CD4 count,,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Viral Load,,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Others,,0
Bara,Narayani,Terai,Central,2068/69,2011/12,HIV,Total,43
Bara,Narayani,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Bara,Narayani,Terai,Central,2068/69,2011/12,HCV,Total,1
Bara,Narayani,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Bara,Narayani,Terai,Central,2068/69,2011/12,HBsAg,Total,59
Bara,Narayani,Terai,Central,2068/69,2011/12,HBsAg,+Ve,1
Bara,Narayani,Terai,Central,2068/69,2011/12,HEV,Total,10
Bara,Narayani,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Bara,Narayani,Terai,Central,2068/69,2011/12,CD4 count,,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Viral Load,,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Others,,4
Parsa,Narayani,Terai,Central,2068/69,2011/12,HIV,Total,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HCV,Total,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HBsAg,Total,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HBsAg,+Ve,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HEV,Total,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,CD4 count,,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Viral Load,,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Others,,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HIV,Total,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HIV,+Ve,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HCV,Total,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HCV,+Ve,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,Total,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,Western Bloot,+Ve,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HBsAg,Total,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HBsAg,+Ve,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HEV,Total,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,HEV,+Ve,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,CD4 count,,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,Viral Load,,0
Chitwan,Narayani,Terai,Central,2068/69,2011/12,Others,,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HIV,Total,1912
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HIV,+Ve,20
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HCV,Total,14
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,Total,304
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,+Ve,6
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HEV,Total,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CD4 count,,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Viral Load,,0
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Others,,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HIV,Total,192
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HIV,+Ve,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HCV,Total,2
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,Total,10
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,+Ve,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HEV,Total,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CD4 count,,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Viral Load,,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Others,,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HIV,Total,973
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HIV,+Ve,1
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HCV,Total,10
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,Total,127
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,+Ve,1
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HEV,Total,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CD4 count,,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Viral Load,,0
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Others,,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HIV,Total,188
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HIV,+Ve,19
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HCV,Total,51
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,Total,718
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,+Ve,1
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HEV,Total,77
Syangja,Gandaki,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CD4 count,,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Viral Load,,0
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Others,,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HIV,Total,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HIV,+Ve,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HCV,Total,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,Total,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HBsAg,+Ve,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HEV,Total,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CD4 count,,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Viral Load,,0
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Others,,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HIV,Total,46
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HIV,+Ve,1
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HCV,Total,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HCV,+Ve,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Western Bloot,Total,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Western Bloot,+Ve,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HBsAg,Total,45
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HBsAg,+Ve,1
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HEV,Total,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,HEV,+Ve,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CD4 count,,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Viral Load,,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Others,,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HIV,Total,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HIV,+Ve,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HCV,Total,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HCV,+Ve,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Western Bloot,Total,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Western Bloot,+Ve,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HBsAg,Total,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HBsAg,+Ve,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HEV,Total,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,HEV,+Ve,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CD4 count,,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Viral Load,,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Others,,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,Total,347
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,+Ve,1
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,Total,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,Total,266
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,+Ve,5
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,Total,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CD4 count,,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Viral Load,,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,Total,29
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,+Ve,5
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,Total,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,Total,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,+Ve,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,Total,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CD4 count,,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Viral Load,,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,Total,96
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HIV,+Ve,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,Total,62
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,Total,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HBsAg,+Ve,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,Total,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CD4 count,,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Viral Load,,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HIV,Total,759
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HIV,+Ve,11
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HCV,Total,125
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,Total,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,Total,149
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,+Ve,3
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HEV,Total,3
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CD4 count,,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Viral Load,,0
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Others,,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HIV,Total,10888
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HIV,+Ve,163
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HCV,Total,4401
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,Total,736
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,Total,7070
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,+Ve,15
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HEV,Total,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CD4 count,,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Viral Load,,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Others,,158
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HIV,Total,81
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HIV,+Ve,6
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HCV,Total,2
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HCV,+Ve,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,Total,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,+Ve,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,Total,138
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,+Ve,1
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HEV,Total,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,HEV,+Ve,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CD4 count,,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Viral Load,,0
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Others,,11
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HIV,Total,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HIV,+Ve,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HCV,Total,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HCV,+Ve,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,Total,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,+Ve,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,Total,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,+Ve,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HEV,Total,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,HEV,+Ve,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CD4 count,,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Viral Load,,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Others,,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HIV,Total,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HIV,+Ve,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HCV,Total,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HCV,+Ve,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,Total,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Western Bloot,+Ve,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,Total,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HBsAg,+Ve,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HEV,Total,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,HEV,+Ve,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CD4 count,,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Viral Load,,0
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Others,,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HIV,Total,302
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HIV,+Ve,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HCV,Total,111
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HCV,+Ve,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,Total,42
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Western Bloot,+Ve,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,Total,83
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HBsAg,+Ve,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HEV,Total,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,HEV,+Ve,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,CD4 count,,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Viral Load,,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HIV,Total,538
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HIV,+Ve,3
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HCV,Total,391
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HCV,+Ve,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Western Bloot,Total,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Western Bloot,+Ve,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HBsAg,Total,491
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HBsAg,+Ve,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HEV,Total,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,HEV,+Ve,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,CD4 count,,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Viral Load,,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Others,,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HIV,Total,200
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HIV,+Ve,1
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HCV,Total,1
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HCV,+Ve,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Western Bloot,Total,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Western Bloot,+Ve,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HBsAg,Total,80
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,HBsAg,+Ve,0
