District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,0.82
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,21.52
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.43
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.67
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.09
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.22
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.16
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.21
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,20.93
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,7.08
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.93
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.1
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.76
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.11
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.14
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,17.12
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,18.17
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.5
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.09
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.39
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.13
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,0.83
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.74
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,9.09
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.13
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.2
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.21
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.19
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.47
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.27
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.97
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.39
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.23
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.39
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.47
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.36
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.2
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.69
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.66
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.09
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.04
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.84
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,25.81
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.51
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.59
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.16
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.59
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.13
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.91
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,25.91
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.32
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.48
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.06
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.51
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.03
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.25
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.62
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,2.44
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.82
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.1
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.58
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.11
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.47
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.51
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,10.88
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Not Mentioned Others,,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.23
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.04
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.94
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.04
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.47
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,29.25
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,11.72
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.11
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.26
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.37
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.34
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0.04
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.14
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,26.79
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,6.77
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.95
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.92
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,27.31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,10.96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.36
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.27
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.98
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.15
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.28
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,23.77
Doti,Seti,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.15
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.87
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,1.1
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.01
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.53
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.97
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.38
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,11.67
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.72
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,1.08
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.88
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.08
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.57
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,18.61
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,11.91
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.33
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.23
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,2.41
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.75
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.5
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,25.5
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.21
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.09
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.21
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.45
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.16
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.99
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,25.36
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.11
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Eye Problem,3.08
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.04
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.99
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.03
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.6
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,24.12
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,% of OPD Visits for,Surgical Problems,11.84
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Not Mentioned Others,,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,3.07
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.08
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,0.82
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.3
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0.02
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.64
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,19.83
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.18
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Not Mentioned Others,,6.92
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,3.25
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.08
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.09
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.18
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.67
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,22.8
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.09
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Not Mentioned Others,,8.93
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,2.46
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.46
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.24
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.36
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,2.05
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,21.27
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.08
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Not Mentioned Others,,11.79
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,3.28
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.05
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.69
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.41
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,2.26
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,17.37
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.47
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Not Mentioned Others,,3.64
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,11.54
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.12
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.5
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,3.81
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0.01
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,3.75
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,18.63
Morang,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.28
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Not Mentioned Others,,6.5
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,1.88
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.04
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,0.73
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.18
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.32
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,24.44
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.12
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Not Mentioned Others,,8.88
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,2.39
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.13
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.11
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.32
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.5
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,21.55
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.13
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Not Mentioned Others,,11.08
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,3.13
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.05
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.19
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.18
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.75
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,22.7
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.14
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Not Mentioned Others,,5.97
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,2.18
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.08
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.18
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.21
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.37
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,23.2
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.18
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Not Mentioned Others,,21.82
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,2.55
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.08
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.1
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.11
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,1.14
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Other Diseases and Injuries,22.37
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,% of OPD Visits for,Surgical Problems,0.1
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Not Mentioned Others,,7.66
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Eye Problem,3.26
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Obstetrics Complications,0.06
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Gyne Problems,1.1
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Mental Health related problems,0.31
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Malignancy,0.01
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,% of OPD Visits for,Cardiovascular related problem,3.07
