District,Year,Gynecological Problem,Number of people
Doti,2066/67,Prolapsed uterus,191
Doti,2066/67,Pelvic Inflamatory Disease (PID),462
Doti,2066/67,Leukerrhoea (Veginal discharge syndrom,276
Doti,2066/67,Menstrual disorder,191
Doti,2066/67,Disfunctional uterine bleeding,222
Doti,2066/67,Breast lumps / Breast Abscess,97
Doti,2066/67,Mastitis (Ingorged breast),86
Kailali,2066/67,Prolapsed uterus,261
Kailali,2066/67,Pelvic Inflamatory Disease (PID),2783
Kailali,2066/67,Leukerrhoea (Veginal discharge syndrom,2254
Kailali,2066/67,Menstrual disorder,1609
Kailali,2066/67,Disfunctional uterine bleeding,1340
Kailali,2066/67,Breast lumps / Breast Abscess,377
Kailali,2066/67,Mastitis (Ingorged breast),115
Kanchanpur,2066/67,Prolapsed uterus,473
Kanchanpur,2066/67,Pelvic Inflamatory Disease (PID),2998
Kanchanpur,2066/67,Leukerrhoea (Veginal discharge syndrom,2384
Kanchanpur,2066/67,Menstrual disorder,664
Kanchanpur,2066/67,Disfunctional uterine bleeding,495
Kanchanpur,2066/67,Breast lumps / Breast Abscess,222
Kanchanpur,2066/67,Mastitis (Ingorged breast),81
Taplejung,2067/68,Prolapsed uterus,60
Taplejung,2067/68,Pelvic Inflamatory Disease (PID),341
Taplejung,2067/68,Leukerrhoea (Veginal discharge syndrom,288
Taplejung,2067/68,Menstrual disorder,304
Taplejung,2067/68,Disfunctional uterine bleeding,165
Taplejung,2067/68,Breast lumps / Breast Abscess,79
Taplejung,2067/68,Mastitis (Ingorged breast),64
Panchthar,2067/68,Prolapsed uterus,108
Panchthar,2067/68,Pelvic Inflamatory Disease (PID),456
Panchthar,2067/68,Leukerrhoea (Veginal discharge syndrom,119
Panchthar,2067/68,Menstrual disorder,231
Panchthar,2067/68,Disfunctional uterine bleeding,236
Panchthar,2067/68,Breast lumps / Breast Abscess,103
Panchthar,2067/68,Mastitis (Ingorged breast),26
Ilam,2067/68,Prolapsed uterus,87
Ilam,2067/68,Pelvic Inflamatory Disease (PID),344
Ilam,2067/68,Leukerrhoea (Veginal discharge syndrom,368
Ilam,2067/68,Menstrual disorder,584
Ilam,2067/68,Disfunctional uterine bleeding,243
Ilam,2067/68,Breast lumps / Breast Abscess,103
Ilam,2067/68,Mastitis (Ingorged breast),66
Jhapa,2067/68,Prolapsed uterus,627
Jhapa,2067/68,Pelvic Inflamatory Disease (PID),2291
Jhapa,2067/68,Leukerrhoea (Veginal discharge syndrom,1967
Jhapa,2067/68,Menstrual disorder,1923
Jhapa,2067/68,Disfunctional uterine bleeding,1105
Jhapa,2067/68,Breast lumps / Breast Abscess,2644
Jhapa,2067/68,Mastitis (Ingorged breast),2253
Morang,2067/68,Prolapsed uterus,917
Morang,2067/68,Pelvic Inflamatory Disease (PID),1741
Morang,2067/68,Leukerrhoea (Veginal discharge syndrom,1475
Morang,2067/68,Menstrual disorder,3214
Morang,2067/68,Disfunctional uterine bleeding,1208
Morang,2067/68,Breast lumps / Breast Abscess,622
Morang,2067/68,Mastitis (Ingorged breast),388
Sunsari,2067/68,Prolapsed uterus,56
Sunsari,2067/68,Pelvic Inflamatory Disease (PID),514
Sunsari,2067/68,Leukerrhoea (Veginal discharge syndrom,1034
Sunsari,2067/68,Menstrual disorder,1162
Sunsari,2067/68,Disfunctional uterine bleeding,419
Sunsari,2067/68,Breast lumps / Breast Abscess,148
Sunsari,2067/68,Mastitis (Ingorged breast),65
Dhankuta,2067/68,Prolapsed uterus,116
Dhankuta,2067/68,Pelvic Inflamatory Disease (PID),300
Dhankuta,2067/68,Leukerrhoea (Veginal discharge syndrom,240
Dhankuta,2067/68,Menstrual disorder,283
Dhankuta,2067/68,Disfunctional uterine bleeding,257
Dhankuta,2067/68,Breast lumps / Breast Abscess,110
Dhankuta,2067/68,Mastitis (Ingorged breast),53
Teharthum,2067/68,Prolapsed uterus,48
Teharthum,2067/68,Pelvic Inflamatory Disease (PID),373
Teharthum,2067/68,Leukerrhoea (Veginal discharge syndrom,139
Teharthum,2067/68,Menstrual disorder,225
Teharthum,2067/68,Disfunctional uterine bleeding,216
Teharthum,2067/68,Breast lumps / Breast Abscess,55
Teharthum,2067/68,Mastitis (Ingorged breast),50
Sankhuwasabha,2067/68,Prolapsed uterus,91
Sankhuwasabha,2067/68,Pelvic Inflamatory Disease (PID),1160
Sankhuwasabha,2067/68,Leukerrhoea (Veginal discharge syndrom,357
Sankhuwasabha,2067/68,Menstrual disorder,500
Sankhuwasabha,2067/68,Disfunctional uterine bleeding,302
Sankhuwasabha,2067/68,Breast lumps / Breast Abscess,123
Sankhuwasabha,2067/68,Mastitis (Ingorged breast),62
Bhojpur,2067/68,Prolapsed uterus,60
Bhojpur,2067/68,Pelvic Inflamatory Disease (PID),346
Bhojpur,2067/68,Leukerrhoea (Veginal discharge syndrom,230
Bhojpur,2067/68,Menstrual disorder,372
Bhojpur,2067/68,Disfunctional uterine bleeding,282
Bhojpur,2067/68,Breast lumps / Breast Abscess,193
Bhojpur,2067/68,Mastitis (Ingorged breast),68
Solukhumbu,2067/68,Prolapsed uterus,71
Solukhumbu,2067/68,Pelvic Inflamatory Disease (PID),277
Solukhumbu,2067/68,Leukerrhoea (Veginal discharge syndrom,176
Solukhumbu,2067/68,Menstrual disorder,395
Solukhumbu,2067/68,Disfunctional uterine bleeding,161
Solukhumbu,2067/68,Breast lumps / Breast Abscess,116
Solukhumbu,2067/68,Mastitis (Ingorged breast),64
Okhaldhunga,2067/68,Prolapsed uterus,188
Okhaldhunga,2067/68,Pelvic Inflamatory Disease (PID),507
Okhaldhunga,2067/68,Leukerrhoea (Veginal discharge syndrom,181
Okhaldhunga,2067/68,Menstrual disorder,513
Okhaldhunga,2067/68,Disfunctional uterine bleeding,172
Okhaldhunga,2067/68,Breast lumps / Breast Abscess,118
Okhaldhunga,2067/68,Mastitis (Ingorged breast),52
Khotang,2067/68,Prolapsed uterus,63
Khotang,2067/68,Pelvic Inflamatory Disease (PID),772
Khotang,2067/68,Leukerrhoea (Veginal discharge syndrom,374
Khotang,2067/68,Menstrual disorder,489
Khotang,2067/68,Disfunctional uterine bleeding,220
Khotang,2067/68,Breast lumps / Breast Abscess,212
Khotang,2067/68,Mastitis (Ingorged breast),131
Udaypur,2067/68,Prolapsed uterus,297
Udaypur,2067/68,Pelvic Inflamatory Disease (PID),1122
Udaypur,2067/68,Leukerrhoea (Veginal discharge syndrom,891
Udaypur,2067/68,Menstrual disorder,680
Udaypur,2067/68,Disfunctional uterine bleeding,319
Udaypur,2067/68,Breast lumps / Breast Abscess,390
Udaypur,2067/68,Mastitis (Ingorged breast),73
Saptari,2067/68,Prolapsed uterus,931
Saptari,2067/68,Pelvic Inflamatory Disease (PID),1362
Saptari,2067/68,Leukerrhoea (Veginal discharge syndrom,2854
Saptari,2067/68,Menstrual disorder,1230
Saptari,2067/68,Disfunctional uterine bleeding,242
Saptari,2067/68,Breast lumps / Breast Abscess,435
Saptari,2067/68,Mastitis (Ingorged breast),117
Siraha,2067/68,Prolapsed uterus,221
Siraha,2067/68,Pelvic Inflamatory Disease (PID),704
Siraha,2067/68,Leukerrhoea (Veginal discharge syndrom,1359
Siraha,2067/68,Menstrual disorder,788
Siraha,2067/68,Disfunctional uterine bleeding,514
Siraha,2067/68,Breast lumps / Breast Abscess,357
Siraha,2067/68,Mastitis (Ingorged breast),123
Dhanusha,2067/68,Prolapsed uterus,42
Dhanusha,2067/68,Pelvic Inflamatory Disease (PID),590
Dhanusha,2067/68,Leukerrhoea (Veginal discharge syndrom,1329
Dhanusha,2067/68,Menstrual disorder,933
Dhanusha,2067/68,Disfunctional uterine bleeding,504
Dhanusha,2067/68,Breast lumps / Breast Abscess,305
Dhanusha,2067/68,Mastitis (Ingorged breast),72
Mahottari,2067/68,Prolapsed uterus,352
Mahottari,2067/68,Pelvic Inflamatory Disease (PID),1123
Mahottari,2067/68,Leukerrhoea (Veginal discharge syndrom,1816
Mahottari,2067/68,Menstrual disorder,1226
Mahottari,2067/68,Disfunctional uterine bleeding,322
Mahottari,2067/68,Breast lumps / Breast Abscess,281
Mahottari,2067/68,Mastitis (Ingorged breast),84
Sarlahi,2067/68,Prolapsed uterus,168
Sarlahi,2067/68,Pelvic Inflamatory Disease (PID),651
Sarlahi,2067/68,Leukerrhoea (Veginal discharge syndrom,1302
Sarlahi,2067/68,Menstrual disorder,760
Sarlahi,2067/68,Disfunctional uterine bleeding,344
Sarlahi,2067/68,Breast lumps / Breast Abscess,246
Sarlahi,2067/68,Mastitis (Ingorged breast),74
Sindhuli,2067/68,Prolapsed uterus,67
Sindhuli,2067/68,Pelvic Inflamatory Disease (PID),310
Sindhuli,2067/68,Leukerrhoea (Veginal discharge syndrom,407
Sindhuli,2067/68,Menstrual disorder,328
Sindhuli,2067/68,Disfunctional uterine bleeding,180
Sindhuli,2067/68,Breast lumps / Breast Abscess,128
Sindhuli,2067/68,Mastitis (Ingorged breast),32
Ramechhap,2067/68,Prolapsed uterus,347
Ramechhap,2067/68,Pelvic Inflamatory Disease (PID),892
Ramechhap,2067/68,Leukerrhoea (Veginal discharge syndrom,301
Ramechhap,2067/68,Menstrual disorder,718
Ramechhap,2067/68,Disfunctional uterine bleeding,293
Ramechhap,2067/68,Breast lumps / Breast Abscess,149
Ramechhap,2067/68,Mastitis (Ingorged breast),93
Dolkha,2067/68,Prolapsed uterus,317
Dolkha,2067/68,Pelvic Inflamatory Disease (PID),1456
Dolkha,2067/68,Leukerrhoea (Veginal discharge syndrom,327
Dolkha,2067/68,Menstrual disorder,1057
Dolkha,2067/68,Disfunctional uterine bleeding,330
Dolkha,2067/68,Breast lumps / Breast Abscess,180
Dolkha,2067/68,Mastitis (Ingorged breast),123
Sindhupalchowk,2067/68,Prolapsed uterus,293
Sindhupalchowk,2067/68,Pelvic Inflamatory Disease (PID),1138
Sindhupalchowk,2067/68,Leukerrhoea (Veginal discharge syndrom,665
Sindhupalchowk,2067/68,Menstrual disorder,665
Sindhupalchowk,2067/68,Disfunctional uterine bleeding,402
Sindhupalchowk,2067/68,Breast lumps / Breast Abscess,178
Sindhupalchowk,2067/68,Mastitis (Ingorged breast),81
Kavre,2067/68,Prolapsed uterus,1271
Kavre,2067/68,Pelvic Inflamatory Disease (PID),2448
Kavre,2067/68,Leukerrhoea (Veginal discharge syndrom,2389
Kavre,2067/68,Menstrual disorder,1804
Kavre,2067/68,Disfunctional uterine bleeding,751
Kavre,2067/68,Breast lumps / Breast Abscess,330
Kavre,2067/68,Mastitis (Ingorged breast),633
Lalitpur,2067/68,Prolapsed uterus,0
Lalitpur,2067/68,Pelvic Inflamatory Disease (PID),0
Lalitpur,2067/68,Leukerrhoea (Veginal discharge syndrom,0
Lalitpur,2067/68,Menstrual disorder,0
Lalitpur,2067/68,Disfunctional uterine bleeding,0
Lalitpur,2067/68,Breast lumps / Breast Abscess,0
Lalitpur,2067/68,Mastitis (Ingorged breast),0
Bhaktapur,2067/68,Prolapsed uterus,173
Bhaktapur,2067/68,Pelvic Inflamatory Disease (PID),599
Bhaktapur,2067/68,Leukerrhoea (Veginal discharge syndrom,519
Bhaktapur,2067/68,Menstrual disorder,348
Bhaktapur,2067/68,Disfunctional uterine bleeding,222
Bhaktapur,2067/68,Breast lumps / Breast Abscess,127
Bhaktapur,2067/68,Mastitis (Ingorged breast),58
Kathmandu,2067/68,Prolapsed uterus,2123
Kathmandu,2067/68,Pelvic Inflamatory Disease (PID),3509
Kathmandu,2067/68,Leukerrhoea (Veginal discharge syndrom,2365
Kathmandu,2067/68,Menstrual disorder,2243
Kathmandu,2067/68,Disfunctional uterine bleeding,1416
Kathmandu,2067/68,Breast lumps / Breast Abscess,428
Kathmandu,2067/68,Mastitis (Ingorged breast),273
Nuwakot,2067/68,Prolapsed uterus,196
Nuwakot,2067/68,Pelvic Inflamatory Disease (PID),947
Nuwakot,2067/68,Leukerrhoea (Veginal discharge syndrom,743
Nuwakot,2067/68,Menstrual disorder,560
Nuwakot,2067/68,Disfunctional uterine bleeding,383
Nuwakot,2067/68,Breast lumps / Breast Abscess,224
Nuwakot,2067/68,Mastitis (Ingorged breast),72
Rasuwa,2067/68,Prolapsed uterus,22
Rasuwa,2067/68,Pelvic Inflamatory Disease (PID),255
Rasuwa,2067/68,Leukerrhoea (Veginal discharge syndrom,86
Rasuwa,2067/68,Menstrual disorder,149
Rasuwa,2067/68,Disfunctional uterine bleeding,78
Rasuwa,2067/68,Breast lumps / Breast Abscess,34
Rasuwa,2067/68,Mastitis (Ingorged breast),25
Dhading,2067/68,Prolapsed uterus,483
Dhading,2067/68,Pelvic Inflamatory Disease (PID),1881
Dhading,2067/68,Leukerrhoea (Veginal discharge syndrom,1317
Dhading,2067/68,Menstrual disorder,1093
Dhading,2067/68,Disfunctional uterine bleeding,879
Dhading,2067/68,Breast lumps / Breast Abscess,565
Dhading,2067/68,Mastitis (Ingorged breast),340
Makawanpur,2067/68,Prolapsed uterus,127
Makawanpur,2067/68,Pelvic Inflamatory Disease (PID),684
Makawanpur,2067/68,Leukerrhoea (Veginal discharge syndrom,866
Makawanpur,2067/68,Menstrual disorder,397
Makawanpur,2067/68,Disfunctional uterine bleeding,399
Makawanpur,2067/68,Breast lumps / Breast Abscess,144
Makawanpur,2067/68,Mastitis (Ingorged breast),51
Rautahat,2067/68,Prolapsed uterus,268
Rautahat,2067/68,Pelvic Inflamatory Disease (PID),954
Rautahat,2067/68,Leukerrhoea (Veginal discharge syndrom,1349
Rautahat,2067/68,Menstrual disorder,901
Rautahat,2067/68,Disfunctional uterine bleeding,247
Rautahat,2067/68,Breast lumps / Breast Abscess,256
Rautahat,2067/68,Mastitis (Ingorged breast),80
Bara,2067/68,Prolapsed uterus,104
Bara,2067/68,Pelvic Inflamatory Disease (PID),652
Bara,2067/68,Leukerrhoea (Veginal discharge syndrom,1130
Bara,2067/68,Menstrual disorder,519
Bara,2067/68,Disfunctional uterine bleeding,185
Bara,2067/68,Breast lumps / Breast Abscess,293
Bara,2067/68,Mastitis (Ingorged breast),54
Parsa,2067/68,Prolapsed uterus,0
Parsa,2067/68,Pelvic Inflamatory Disease (PID),0
Parsa,2067/68,Leukerrhoea (Veginal discharge syndrom,0
Parsa,2067/68,Menstrual disorder,0
Parsa,2067/68,Disfunctional uterine bleeding,0
Parsa,2067/68,Breast lumps / Breast Abscess,0
Parsa,2067/68,Mastitis (Ingorged breast),0
Chitwan,2067/68,Prolapsed uterus,2325
Chitwan,2067/68,Pelvic Inflamatory Disease (PID),3570
Chitwan,2067/68,Leukerrhoea (Veginal discharge syndrom,1421
Chitwan,2067/68,Menstrual disorder,1513
Chitwan,2067/68,Disfunctional uterine bleeding,1400
Chitwan,2067/68,Breast lumps / Breast Abscess,957
Chitwan,2067/68,Mastitis (Ingorged breast),118
Gorkha,2067/68,Prolapsed uterus,647
Gorkha,2067/68,Pelvic Inflamatory Disease (PID),2580
Gorkha,2067/68,Leukerrhoea (Veginal discharge syndrom,1595
Gorkha,2067/68,Menstrual disorder,1148
Gorkha,2067/68,Disfunctional uterine bleeding,505
Gorkha,2067/68,Breast lumps / Breast Abscess,427
Gorkha,2067/68,Mastitis (Ingorged breast),247
Lamjung,2067/68,Prolapsed uterus,144
Lamjung,2067/68,Pelvic Inflamatory Disease (PID),992
Lamjung,2067/68,Leukerrhoea (Veginal discharge syndrom,855
Lamjung,2067/68,Menstrual disorder,408
Lamjung,2067/68,Disfunctional uterine bleeding,205
Lamjung,2067/68,Breast lumps / Breast Abscess,148
Lamjung,2067/68,Mastitis (Ingorged breast),80
Tanahu,2067/68,Prolapsed uterus,309
Tanahu,2067/68,Pelvic Inflamatory Disease (PID),1740
Tanahu,2067/68,Leukerrhoea (Veginal discharge syndrom,1216
Tanahu,2067/68,Menstrual disorder,469
Tanahu,2067/68,Disfunctional uterine bleeding,333
Tanahu,2067/68,Breast lumps / Breast Abscess,262
Tanahu,2067/68,Mastitis (Ingorged breast),59
Syangja,2067/68,Prolapsed uterus,345
Syangja,2067/68,Pelvic Inflamatory Disease (PID),1673
Syangja,2067/68,Leukerrhoea (Veginal discharge syndrom,1592
Syangja,2067/68,Menstrual disorder,680
Syangja,2067/68,Disfunctional uterine bleeding,237
Syangja,2067/68,Breast lumps / Breast Abscess,262
Syangja,2067/68,Mastitis (Ingorged breast),160
Kaski,2067/68,Prolapsed uterus,1122
Kaski,2067/68,Pelvic Inflamatory Disease (PID),2689
Kaski,2067/68,Leukerrhoea (Veginal discharge syndrom,1630
Kaski,2067/68,Menstrual disorder,1514
Kaski,2067/68,Disfunctional uterine bleeding,691
Kaski,2067/68,Breast lumps / Breast Abscess,879
Kaski,2067/68,Mastitis (Ingorged breast),61
Manang,2067/68,Prolapsed uterus,0
Manang,2067/68,Pelvic Inflamatory Disease (PID),26
Manang,2067/68,Leukerrhoea (Veginal discharge syndrom,12
Manang,2067/68,Menstrual disorder,15
Manang,2067/68,Disfunctional uterine bleeding,6
Manang,2067/68,Breast lumps / Breast Abscess,4
Manang,2067/68,Mastitis (Ingorged breast),4
Mustang,2067/68,Prolapsed uterus,1
Mustang,2067/68,Pelvic Inflamatory Disease (PID),158
Mustang,2067/68,Leukerrhoea (Veginal discharge syndrom,31
Mustang,2067/68,Menstrual disorder,20
Mustang,2067/68,Disfunctional uterine bleeding,20
Mustang,2067/68,Breast lumps / Breast Abscess,6
Mustang,2067/68,Mastitis (Ingorged breast),5
Myagdi,2067/68,Prolapsed uterus,88
Myagdi,2067/68,Pelvic Inflamatory Disease (PID),438
Myagdi,2067/68,Leukerrhoea (Veginal discharge syndrom,419
Myagdi,2067/68,Menstrual disorder,603
Myagdi,2067/68,Disfunctional uterine bleeding,171
Myagdi,2067/68,Breast lumps / Breast Abscess,164
Myagdi,2067/68,Mastitis (Ingorged breast),102
Parbat,2067/68,Prolapsed uterus,137
Parbat,2067/68,Pelvic Inflamatory Disease (PID),1026
Parbat,2067/68,Leukerrhoea (Veginal discharge syndrom,659
Parbat,2067/68,Menstrual disorder,290
Parbat,2067/68,Disfunctional uterine bleeding,206
Parbat,2067/68,Breast lumps / Breast Abscess,92
Parbat,2067/68,Mastitis (Ingorged breast),60
Baglung,2067/68,Prolapsed uterus,374
Baglung,2067/68,Pelvic Inflamatory Disease (PID),1828
Baglung,2067/68,Leukerrhoea (Veginal discharge syndrom,1024
Baglung,2067/68,Menstrual disorder,579
Baglung,2067/68,Disfunctional uterine bleeding,242
Baglung,2067/68,Breast lumps / Breast Abscess,222
Baglung,2067/68,Mastitis (Ingorged breast),150
Gulmi,2067/68,Prolapsed uterus,510
Gulmi,2067/68,Pelvic Inflamatory Disease (PID),2720
Gulmi,2067/68,Leukerrhoea (Veginal discharge syndrom,1568
Gulmi,2067/68,Menstrual disorder,721
Gulmi,2067/68,Disfunctional uterine bleeding,453
Gulmi,2067/68,Breast lumps / Breast Abscess,277
Gulmi,2067/68,Mastitis (Ingorged breast),174
Palpa,2067/68,Prolapsed uterus,956
Palpa,2067/68,Pelvic Inflamatory Disease (PID),3526
Palpa,2067/68,Leukerrhoea (Veginal discharge syndrom,1502
Palpa,2067/68,Menstrual disorder,1458
Palpa,2067/68,Disfunctional uterine bleeding,680
Palpa,2067/68,Breast lumps / Breast Abscess,419
Palpa,2067/68,Mastitis (Ingorged breast),101
Nawalparasi,2067/68,Prolapsed uterus,251
Nawalparasi,2067/68,Pelvic Inflamatory Disease (PID),1523
Nawalparasi,2067/68,Leukerrhoea (Veginal discharge syndrom,3388
Nawalparasi,2067/68,Menstrual disorder,1296
Nawalparasi,2067/68,Disfunctional uterine bleeding,672
Nawalparasi,2067/68,Breast lumps / Breast Abscess,317
Nawalparasi,2067/68,Mastitis (Ingorged breast),81
Rupandehi,2067/68,Prolapsed uterus,0
Rupandehi,2067/68,Pelvic Inflamatory Disease (PID),0
Rupandehi,2067/68,Leukerrhoea (Veginal discharge syndrom,0
Rupandehi,2067/68,Menstrual disorder,0
Rupandehi,2067/68,Disfunctional uterine bleeding,0
Rupandehi,2067/68,Breast lumps / Breast Abscess,0
Rupandehi,2067/68,Mastitis (Ingorged breast),0
Kapilvastu,2067/68,Prolapsed uterus,294
Kapilvastu,2067/68,Pelvic Inflamatory Disease (PID),1757
Kapilvastu,2067/68,Leukerrhoea (Veginal discharge syndrom,3322
Kapilvastu,2067/68,Menstrual disorder,2043
Kapilvastu,2067/68,Disfunctional uterine bleeding,562
Kapilvastu,2067/68,Breast lumps / Breast Abscess,181
Kapilvastu,2067/68,Mastitis (Ingorged breast),98
Arghakhanchi,2067/68,Prolapsed uterus,274
Arghakhanchi,2067/68,Pelvic Inflamatory Disease (PID),1610
Arghakhanchi,2067/68,Leukerrhoea (Veginal discharge syndrom,701
Arghakhanchi,2067/68,Menstrual disorder,417
Arghakhanchi,2067/68,Disfunctional uterine bleeding,252
Arghakhanchi,2067/68,Breast lumps / Breast Abscess,203
Arghakhanchi,2067/68,Mastitis (Ingorged breast),160
Pyuthan,2067/68,Prolapsed uterus,188
Pyuthan,2067/68,Pelvic Inflamatory Disease (PID),1708
Pyuthan,2067/68,Leukerrhoea (Veginal discharge syndrom,725
Pyuthan,2067/68,Menstrual disorder,226
Pyuthan,2067/68,Disfunctional uterine bleeding,198
Pyuthan,2067/68,Breast lumps / Breast Abscess,429
Pyuthan,2067/68,Mastitis (Ingorged breast),73
Rolpa,2067/68,Prolapsed uterus,312
Rolpa,2067/68,Pelvic Inflamatory Disease (PID),1593
Rolpa,2067/68,Leukerrhoea (Veginal discharge syndrom,591
Rolpa,2067/68,Menstrual disorder,478
Rolpa,2067/68,Disfunctional uterine bleeding,373
Rolpa,2067/68,Breast lumps / Breast Abscess,224
Rolpa,2067/68,Mastitis (Ingorged breast),127
Rukum,2067/68,Prolapsed uterus,596
Rukum,2067/68,Pelvic Inflamatory Disease (PID),1173
Rukum,2067/68,Leukerrhoea (Veginal discharge syndrom,802
Rukum,2067/68,Menstrual disorder,651
Rukum,2067/68,Disfunctional uterine bleeding,371
Rukum,2067/68,Breast lumps / Breast Abscess,168
Rukum,2067/68,Mastitis (Ingorged breast),118
Salyan,2067/68,Prolapsed uterus,428
Salyan,2067/68,Pelvic Inflamatory Disease (PID),2230
Salyan,2067/68,Leukerrhoea (Veginal discharge syndrom,1378
Salyan,2067/68,Menstrual disorder,613
Salyan,2067/68,Disfunctional uterine bleeding,429
Salyan,2067/68,Breast lumps / Breast Abscess,139
Salyan,2067/68,Mastitis (Ingorged breast),74
Dang,2067/68,Prolapsed uterus,207
Dang,2067/68,Pelvic Inflamatory Disease (PID),2855
Dang,2067/68,Leukerrhoea (Veginal discharge syndrom,2280
Dang,2067/68,Menstrual disorder,929
Dang,2067/68,Disfunctional uterine bleeding,702
Dang,2067/68,Breast lumps / Breast Abscess,426
Dang,2067/68,Mastitis (Ingorged breast),247
Banke,2067/68,Prolapsed uterus,73
Banke,2067/68,Pelvic Inflamatory Disease (PID),1035
Banke,2067/68,Leukerrhoea (Veginal discharge syndrom,1312
Banke,2067/68,Menstrual disorder,425
Banke,2067/68,Disfunctional uterine bleeding,427
Banke,2067/68,Breast lumps / Breast Abscess,170
Banke,2067/68,Mastitis (Ingorged breast),53
Bardiya,2067/68,Prolapsed uterus,144
Bardiya,2067/68,Pelvic Inflamatory Disease (PID),1984
Bardiya,2067/68,Leukerrhoea (Veginal discharge syndrom,3277
Bardiya,2067/68,Menstrual disorder,1887
Bardiya,2067/68,Disfunctional uterine bleeding,1022
Bardiya,2067/68,Breast lumps / Breast Abscess,348
Bardiya,2067/68,Mastitis (Ingorged breast),171
Surkhet,2067/68,Prolapsed uterus,253
Surkhet,2067/68,Pelvic Inflamatory Disease (PID),3094
Surkhet,2067/68,Leukerrhoea (Veginal discharge syndrom,1693
Surkhet,2067/68,Menstrual disorder,700
Surkhet,2067/68,Disfunctional uterine bleeding,752
Surkhet,2067/68,Breast lumps / Breast Abscess,283
Surkhet,2067/68,Mastitis (Ingorged breast),103
Dailekh,2067/68,Prolapsed uterus,181
Dailekh,2067/68,Pelvic Inflamatory Disease (PID),1304
Dailekh,2067/68,Leukerrhoea (Veginal discharge syndrom,776
Dailekh,2067/68,Menstrual disorder,392
Dailekh,2067/68,Disfunctional uterine bleeding,693
Dailekh,2067/68,Breast lumps / Breast Abscess,214
Dailekh,2067/68,Mastitis (Ingorged breast),70
Jajarkot,2067/68,Prolapsed uterus,419
Jajarkot,2067/68,Pelvic Inflamatory Disease (PID),1357
Jajarkot,2067/68,Leukerrhoea (Veginal discharge syndrom,789
Jajarkot,2067/68,Menstrual disorder,347
Jajarkot,2067/68,Disfunctional uterine bleeding,314
Jajarkot,2067/68,Breast lumps / Breast Abscess,133
Jajarkot,2067/68,Mastitis (Ingorged breast),91
Dolpa,2067/68,Prolapsed uterus,6
Dolpa,2067/68,Pelvic Inflamatory Disease (PID),137
Dolpa,2067/68,Leukerrhoea (Veginal discharge syndrom,60
Dolpa,2067/68,Menstrual disorder,15
Dolpa,2067/68,Disfunctional uterine bleeding,0
Dolpa,2067/68,Breast lumps / Breast Abscess,2
Dolpa,2067/68,Mastitis (Ingorged breast),0
Jumla,2067/68,Prolapsed uterus,19
Jumla,2067/68,Pelvic Inflamatory Disease (PID),483
Jumla,2067/68,Leukerrhoea (Veginal discharge syndrom,228
Jumla,2067/68,Menstrual disorder,25
Jumla,2067/68,Disfunctional uterine bleeding,28
Jumla,2067/68,Breast lumps / Breast Abscess,39
Jumla,2067/68,Mastitis (Ingorged breast),29
Kalikot,2067/68,Prolapsed uterus,105
Kalikot,2067/68,Pelvic Inflamatory Disease (PID),571
Kalikot,2067/68,Leukerrhoea (Veginal discharge syndrom,142
Kalikot,2067/68,Menstrual disorder,209
Kalikot,2067/68,Disfunctional uterine bleeding,134
Kalikot,2067/68,Breast lumps / Breast Abscess,98
Kalikot,2067/68,Mastitis (Ingorged breast),37
Mugu,2067/68,Prolapsed uterus,13
Mugu,2067/68,Pelvic Inflamatory Disease (PID),86
Mugu,2067/68,Leukerrhoea (Veginal discharge syndrom,65
Mugu,2067/68,Menstrual disorder,35
Mugu,2067/68,Disfunctional uterine bleeding,18
Mugu,2067/68,Breast lumps / Breast Abscess,20
Mugu,2067/68,Mastitis (Ingorged breast),10
Humla,2067/68,Prolapsed uterus,120
Humla,2067/68,Pelvic Inflamatory Disease (PID),499
Humla,2067/68,Leukerrhoea (Veginal discharge syndrom,458
Humla,2067/68,Menstrual disorder,189
Humla,2067/68,Disfunctional uterine bleeding,183
Humla,2067/68,Breast lumps / Breast Abscess,124
Humla,2067/68,Mastitis (Ingorged breast),45
Bajura,2067/68,Prolapsed uterus,70
Bajura,2067/68,Pelvic Inflamatory Disease (PID),726
Bajura,2067/68,Leukerrhoea (Veginal discharge syndrom,239
Bajura,2067/68,Menstrual disorder,197
Bajura,2067/68,Disfunctional uterine bleeding,277
Bajura,2067/68,Breast lumps / Breast Abscess,83
Bajura,2067/68,Mastitis (Ingorged breast),29
Bajhang,2067/68,Prolapsed uterus,109
Bajhang,2067/68,Pelvic Inflamatory Disease (PID),378
Bajhang,2067/68,Leukerrhoea (Veginal discharge syndrom,355
Bajhang,2067/68,Menstrual disorder,199
Bajhang,2067/68,Disfunctional uterine bleeding,268
Bajhang,2067/68,Breast lumps / Breast Abscess,63
Bajhang,2067/68,Mastitis (Ingorged breast),48
Achham,2067/68,Prolapsed uterus,221
Achham,2067/68,Pelvic Inflamatory Disease (PID),972
Achham,2067/68,Leukerrhoea (Veginal discharge syndrom,646
Achham,2067/68,Menstrual disorder,689
Achham,2067/68,Disfunctional uterine bleeding,572
Achham,2067/68,Breast lumps / Breast Abscess,196
Achham,2067/68,Mastitis (Ingorged breast),106
Doti,2067/68,Prolapsed uterus,142
