Year BS,Year AD,District,zone,belt,region,Skin diseases,No of people,Zone,Belt,Region
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Leukoderma,108,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Lymphadenitis,82,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Psoriasis,10,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Scabies,2600,Mahakali,Mountain,Far-Western
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Abscess,6762,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,"Eczema/
Dermatatis",5637,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,"Fungal
Infection",5432,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,"Impegtigo/
Boils/
Furunculosis",10913,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Leukoderma,128,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Lymphadenitis,674,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Psoriasis,139,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Scabies,4258,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Abscess,7024,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,"Eczema/
Dermatatis",6209,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,"Fungal
Infection",6266,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,"Impegtigo/
Boils/
Furunculosis",11621,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Leukoderma,90,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Lymphadenitis,773,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Psoriasis,269,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Scabies,3805,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Abscess,7779,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,"Eczema/
Dermatatis",6326,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,"Fungal
Infection",6936,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,"Impegtigo/
Boils/
Furunculosis",13131,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Leukoderma,1064,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Lymphadenitis,854,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Psoriasis,232,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Scabies,3755,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Abscess,6817,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,"Eczema/
Dermatatis",6557,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,"Fungal
Infection",7686,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,"Impegtigo/
Boils/
Furunculosis",13142,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Leukoderma,230,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Lymphadenitis,1014,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Psoriasis,149,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Scabies,4454,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Abscess,6821,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,"Eczema/
Dermatatis",6548,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,"Fungal
Infection",7382,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,"Impegtigo/
Boils/
Furunculosis",11998,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Leukoderma,266,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Lymphadenitis,740,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Psoriasis,101,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Scabies,4088,Bagmati,Hill,Central
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Abscess,3249,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,"Eczema/
Dermatatis",4525,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,"Fungal
Infection",2612,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,"Impegtigo/
Boils/
Furunculosis",5848,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Leukoderma,25,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Lymphadenitis,472,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Psoriasis,48,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Scabies,2224,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Abscess,3347,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,"Eczema/
Dermatatis",3895,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,"Fungal
Infection",2865,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,"Impegtigo/
Boils/
Furunculosis",4936,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Leukoderma,18,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Lymphadenitis,409,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Psoriasis,0,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Scabies,1960,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Abscess,3265,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,"Eczema/
Dermatatis",4131,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,"Fungal
Infection",3166,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,"Impegtigo/
Boils/
Furunculosis",5612,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Leukoderma,33,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Lymphadenitis,478,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Psoriasis,8,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Scabies,2030,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Abscess,1953,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,"Eczema/
Dermatatis",3766,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,"Fungal
Infection",2666,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,"Impegtigo/
Boils/
Furunculosis",4395,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Leukoderma,49,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Lymphadenitis,506,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Psoriasis,19,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Scabies,1702,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Abscess,2219,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,"Eczema/
Dermatatis",3724,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,"Fungal
Infection",2751,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,"Impegtigo/
Boils/
Furunculosis",4699,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Leukoderma,30,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Lymphadenitis,419,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Psoriasis,31,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Scabies,1799,Kosi,Hill,Eastern
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Abscess,24411,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,"Eczema/
Dermatatis",11146,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,"Fungal
Infection",16025,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,"Impegtigo/
Boils/
Furunculosis",34646,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Leukoderma,456,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Lymphadenitis,462,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Psoriasis,136,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Scabies,18761,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Abscess,33823,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,"Eczema/
Dermatatis",8416,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,"Fungal
Infection",13926,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,"Impegtigo/
Boils/
Furunculosis",29450,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Leukoderma,324,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Lymphadenitis,361,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Psoriasis,89,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Scabies,18711,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Abscess,22783,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,"Eczema/
Dermatatis",11788,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,"Fungal
Infection",17414,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,"Impegtigo/
Boils/
Furunculosis",28476,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Leukoderma,1155,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Lymphadenitis,572,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Psoriasis,489,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Scabies,20674,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Abscess,17140,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,"Eczema/
Dermatatis",9718,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,"Fungal
Infection",16594,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,"Impegtigo/
Boils/
Furunculosis",24542,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Leukoderma,644,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Lymphadenitis,383,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Psoriasis,264,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Scabies,18914,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Abscess,18493,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,"Eczema/
Dermatatis",25503,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,"Fungal
Infection",33868,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,"Impegtigo/
Boils/
Furunculosis",25193,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Leukoderma,2236,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Lymphadenitis,420,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Psoriasis,1617,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Scabies,22299,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Abscess,3077,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,"Eczema/
Dermatatis",3701,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,"Fungal
Infection",2804,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,"Impegtigo/
Boils/
Furunculosis",6786,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Leukoderma,400,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Lymphadenitis,280,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Psoriasis,364,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Scabies,2749,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Abscess,3355,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,"Eczema/
Dermatatis",3844,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,"Fungal
Infection",2808,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,"Impegtigo/
Boils/
Furunculosis",5867,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Leukoderma,263,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Lymphadenitis,378,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Psoriasis,380,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Scabies,2705,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Abscess,2888,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,"Eczema/
Dermatatis",3268,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,"Fungal
Infection",2373,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,"Impegtigo/
Boils/
Furunculosis",5877,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Leukoderma,217,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Lymphadenitis,196,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Psoriasis,193,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Scabies,2188,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Abscess,2475,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,"Eczema/
Dermatatis",3571,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,"Fungal
Infection",2845,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,"Impegtigo/
Boils/
Furunculosis",5372,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Leukoderma,135,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Lymphadenitis,104,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Psoriasis,211,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Scabies,2111,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Abscess,2469,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,"Eczema/
Dermatatis",3372,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,"Fungal
Infection",2635,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,"Impegtigo/
Boils/
Furunculosis",5247,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Leukoderma,50,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Lymphadenitis,90,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Psoriasis,196,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Scabies,2235,Janakpur,Mountain,Central
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Abscess,446,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,"Eczema/
Dermatatis",420,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,"Fungal
Infection",492,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,"Impegtigo/
Boils/
Furunculosis",574,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Leukoderma,101,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Lymphadenitis,9,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Psoriasis,14,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Scabies,620,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Abscess,307,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,"Eczema/
Dermatatis",181,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,"Fungal
Infection",290,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,"Impegtigo/
Boils/
Furunculosis",259,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Leukoderma,0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Lymphadenitis,0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Psoriasis,8,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Scabies,576,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Abscess,369,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,"Eczema/
Dermatatis",244,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,"Fungal
Infection",471,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,"Impegtigo/
Boils/
Furunculosis",232,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Leukoderma,11,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Lymphadenitis,4,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Psoriasis,0,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Scabies,790,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Abscess,292,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,"Eczema/
Dermatatis",365,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,"Fungal
Infection",699,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,"Impegtigo/
Boils/
Furunculosis",460,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Leukoderma,2,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Lymphadenitis,5,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Psoriasis,0,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Scabies,863,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Abscess,338,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,"Eczema/
Dermatatis",344,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,"Fungal
Infection",713,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,"Impegtigo/
Boils/
Furunculosis",379,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Leukoderma,17,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Lymphadenitis,11,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Psoriasis,0,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Scabies,1371,Karnali,Mountain,Mid-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Abscess,2904,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,"Eczema/
Dermatatis",2196,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,"Fungal
Infection",3323,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",4904,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Leukoderma,96,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Lymphadenitis,143,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Psoriasis,25,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Scabies,3743,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Abscess,2554,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,"Eczema/
Dermatatis",1871,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,"Fungal
Infection",2923,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",4046,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Leukoderma,24,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Lymphadenitis,112,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Psoriasis,45,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Scabies,3417,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Abscess,2840,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,"Eczema/
Dermatatis",2502,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,"Fungal
Infection",4014,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5080,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Leukoderma,84,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Lymphadenitis,109,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Psoriasis,32,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Scabies,4968,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Abscess,2851,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,"Eczema/
Dermatatis",2903,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,"Fungal
Infection",5020,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",6102,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Leukoderma,37,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Lymphadenitis,120,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Psoriasis,27,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Scabies,4911,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Abscess,3045,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,"Eczema/
Dermatatis",2730,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,"Fungal
Infection",4446,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5107,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Leukoderma,67,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Lymphadenitis,168,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Psoriasis,20,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Scabies,4415,Seti,Hill,Far-Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Abscess,6094,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,"Eczema/
Dermatatis",5739,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,"Fungal
Infection",4669,Gandaki,Hill,Western
