District,zone,belt,region,Year BS,Year AD,Conducted by,Institution,Number of women,Zone,Belt,Region
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,Conducted by health workers,Home,2976,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2067/68,2010/11,,At BEOC/CEOC centers,374,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,11390,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,549,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,222,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,6353,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,151,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,1997,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,518,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,629,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,6570,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,118,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,3052,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,305,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,103,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,3819,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,282,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,981,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,267,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,164,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,998,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,586,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,887,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,199,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,117,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,399,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,830,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Conducted by SBA,Health Institution,872,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Conducted by SBA,Home,76,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,110,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,Conducted by health workers,Home,637,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2067/68,2010/11,,At BEOC/CEOC centers,213,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by SBA,Health Institution,1135,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by SBA,Home,90,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,97,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by health workers,Home,342,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2067/68,2010/11,,At BEOC/CEOC centers,536,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,4093,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,83,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,70,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,156,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,933,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,8784,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,14,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,330,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,137,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,792,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,46,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,103,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,1,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,0,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,22993,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,654,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,9,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,221,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,630,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,1072,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,189,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,176,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,357,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,220,Bagmati,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by SBA,Health Institution,170,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by SBA,Home,22,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,56,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,Conducted by health workers,Home,85,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2067/68,2010/11,,At BEOC/CEOC centers,86,Bagmati,Mountain,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,2167,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,74,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,232,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,319,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,1195,Bagmati,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,Conducted by SBA,Health Institution,2831,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,Conducted by SBA,Home,14,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,96,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,Conducted by health workers,Home,28,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2067/68,2010/11,,At BEOC/CEOC centers,510,Narayani,Hill,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,2692,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,660,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,594,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,6041,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,506,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,3591,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,740,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,989,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,4978,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,789,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,867,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,25,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,3197,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Health Institution,10701,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Conducted by SBA,Home,173,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Health Institution ,44,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Conducted by health workers,Home,161,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,,At BEOC/CEOC centers,379,Narayani,Terai,Central
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1275,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,60,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,132,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,409,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,314,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1571,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,104,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,99,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,285,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,382,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1292,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,81,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,67,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,147,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,168,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1339,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,75,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,42,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,442,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,218,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,11298,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,97,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,35,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,173,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,198,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,Conducted by SBA,Health Institution,12,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,Conducted by SBA,Home,1,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,5,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,Conducted by health workers,Home,8,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2067/68,2010/11,,At BEOC/CEOC centers,4,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,Conducted by SBA,Health Institution,91,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,Conducted by SBA,Home,9,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,16,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,Conducted by health workers,Home,6,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2067/68,2010/11,,At BEOC/CEOC centers,24,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,669,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,193,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,17,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,442,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,144,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,719,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,209,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,36,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,453,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,131,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1751,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,410,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,263,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,1252,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,250,Dhawalagiri,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1453,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,541,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,141,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,1090,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,471,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,3356,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,62,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,126,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,338,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,295,Lumbini,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Health Institution,1984,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Home,129,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,224,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Home,381,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2067/68,2010/11,,At BEOC/CEOC centers,399,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Health Institution,9102,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Home,63,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,644,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Home,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2067/68,2010/11,,At BEOC/CEOC centers,0,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Health Institution,859,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,Conducted by SBA,Home,1039,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,80,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,Conducted by health workers,Home,4161,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2067/68,2010/11,,At BEOC/CEOC centers,223,Lumbini,Terai,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Health Institution,713,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by SBA,Home,179,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Health Institution ,65,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,Conducted by health workers,Home,387,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2067/68,2010/11,,At BEOC/CEOC centers,178,Lumbini,Hill,Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,947,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,76,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,11,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,670,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,239,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,1244,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,94,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,129,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,182,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,999,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,970,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,223,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,117,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,477,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,1124,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,1351,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,39,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,170,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,162,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,957,Rapti,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,5072,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,214,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,233,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,137,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,1373,Rapti,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,9232,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,170,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,39,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,196,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,929,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,4803,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,83,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,95,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,38,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,2617,Bheri,Terai,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,5270,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,102,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,91,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,436,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,1892,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,3750,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,42,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,426,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,128,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,3271,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,646,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,136,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,181,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,521,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,473,Bheri,Hill,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,Conducted by SBA,Health Institution,132,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,Conducted by SBA,Home,40,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,Conducted by health workers,Health Institution ,32,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,Conducted by health workers,Home,98,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2067/68,2010/11,,At BEOC/CEOC centers,23,Karnali,Mountain,Mid-Western
