Year BS,Year AD,District,zone,belt,region,"Ear,Nose and Throat related problems",No of people,Zone,Belt,Region
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Tonsilitis,4727,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),14936,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Foreign body in respiratory tract,192,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Pharyngities/ Sore throat,2264,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Sinusitis,2256,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Tonsilitis,4446,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),14770,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Foreign body in respiratory tract,192,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Pharyngities/ Sore throat,3355,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Sinusitis,3508,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Tonsilitis,6326,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),3783,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Foreign body in respiratory tract,289,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Pharyngities/ Sore throat,2340,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Sinusitis,1713,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Tonsilitis,5369,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),4016,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Foreign body in respiratory tract,155,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Pharyngities/ Sore throat,3019,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Sinusitis,1715,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Tonsilitis,4792,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),3236,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Foreign body in respiratory tract,89,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Pharyngities/ Sore throat,2613,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Sinusitis,1683,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Tonsilitis,5861,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),3042,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Foreign body in respiratory tract,200,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Pharyngities/ Sore throat,3136,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Sinusitis,1818,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Tonsilitis,7936,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Acute/ Chronic Suppurative Otitis Media (ASOM),2670,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Foreign body in respiratory tract,42,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Pharyngities/ Sore throat,1763,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Sinusitis,1247,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Tonsilitis,4814,Janakpur,Mountain,Central
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),369,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,25,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,436,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Sinusitis,308,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Tonsilitis,563,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),377,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,3,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,178,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Sinusitis,328,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Tonsilitis,475,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),366,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,26,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,211,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Sinusitis,309,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Tonsilitis,445,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),266,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,12,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,194,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Sinusitis,211,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Tonsilitis,475,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3683,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,53,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,4210,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Sinusitis,1579,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Tonsilitis,8238,Karnali,Mountain,Mid-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4453,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Foreign body in respiratory tract,46,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Pharyngities/ Sore throat,668,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Sinusitis,467,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Tonsilitis,1132,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4106,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Foreign body in respiratory tract,67,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Pharyngities/ Sore throat,463,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Sinusitis,359,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Tonsilitis,1215,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4576,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Foreign body in respiratory tract,115,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Pharyngities/ Sore throat,636,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Sinusitis,438,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Tonsilitis,1985,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4834,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Foreign body in respiratory tract,64,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Pharyngities/ Sore throat,863,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Sinusitis,542,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Tonsilitis,2415,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2842,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Foreign body in respiratory tract,155,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Pharyngities/ Sore throat,2801,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Sinusitis,1792,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Tonsilitis,6751,Seti,Hill,Far-Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),6121,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Foreign body in respiratory tract,408,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Pharyngities/ Sore throat,3481,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Sinusitis,3419,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Tonsilitis,8011,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5636,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Foreign body in respiratory tract,74,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Pharyngities/ Sore throat,3708,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Sinusitis,3166,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Tonsilitis,8434,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5157,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Foreign body in respiratory tract,56,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Pharyngities/ Sore throat,3353,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Sinusitis,3260,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Tonsilitis,8125,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5678,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Foreign body in respiratory tract,59,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Pharyngities/ Sore throat,3851,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Sinusitis,3136,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Tonsilitis,8391,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3781,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Foreign body in respiratory tract,152,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Pharyngities/ Sore throat,3702,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Sinusitis,2797,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Tonsilitis,8017,Gandaki,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),6280,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Foreign body in respiratory tract,234,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Pharyngities/ Sore throat,3303,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Sinusitis,4226,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Tonsilitis,7431,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),6273,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Foreign body in respiratory tract,299,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Pharyngities/ Sore throat,3911,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Sinusitis,4733,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Tonsilitis,7831,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),4752,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Foreign body in respiratory tract,188,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Pharyngities/ Sore throat,3564,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Sinusitis,4332,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Tonsilitis,8437,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2801,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Foreign body in respiratory tract,100,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Pharyngities/ Sore throat,2316,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Sinusitis,2671,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Tonsilitis,5045,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Acute/ Chronic Suppurative Otitis Media (ASOM),7387,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Foreign body in respiratory tract,121,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Pharyngities/ Sore throat,5471,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Sinusitis,2952,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Tonsilitis,15905,Lumbini,Hill,Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2227,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,178,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,1154,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Sinusitis,1471,Karnali,Mountain,Mid-Western
2066/67,2009/10,Humla,Karnali,Mountain,Mid-Western,Tonsilitis,1797,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),1789,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,136,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,790,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Sinusitis,1180,Karnali,Mountain,Mid-Western
2067/68,2010/11,Humla,Karnali,Mountain,Mid-Western,Tonsilitis,1760,Karnali,Mountain,Mid-Western
2068/69,2011/12,Humla,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),1728,Karnali,Mountain,Mid-Western
2068/69,2011/12,Humla,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,57,Karnali,Mountain,Mid-Western
2068/69,2011/12,Humla,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,1084,Karnali,Mountain,Mid-Western
2068/69,2011/12,Humla,Karnali,Mountain,Mid-Western,Sinusitis,976,Karnali,Mountain,Mid-Western
2068/69,2011/12,Humla,Karnali,Mountain,Mid-Western,Tonsilitis,1208,Karnali,Mountain,Mid-Western
2069/70,2012/13,Humla,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2041,Karnali,Mountain,Mid-Western
2069/70,2012/13,Humla,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,96,Karnali,Mountain,Mid-Western
2069/70,2012/13,Humla,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,944,Karnali,Mountain,Mid-Western
2069/70,2012/13,Humla,Karnali,Mountain,Mid-Western,Sinusitis,1042,Karnali,Mountain,Mid-Western
2069/70,2012/13,Humla,Karnali,Mountain,Mid-Western,Tonsilitis,1541,Karnali,Mountain,Mid-Western
2070/71,2013/14,Humla,Karnali,Mountain,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),0,Karnali,Mountain,Mid-Western
2070/71,2013/14,Humla,Karnali,Mountain,Mid-Western,Foreign body in respiratory tract,0,Karnali,Mountain,Mid-Western
2070/71,2013/14,Humla,Karnali,Mountain,Mid-Western,Pharyngities/ Sore throat,0,Karnali,Mountain,Mid-Western
2070/71,2013/14,Humla,Karnali,Mountain,Mid-Western,Sinusitis,0,Karnali,Mountain,Mid-Western
2070/71,2013/14,Humla,Karnali,Mountain,Mid-Western,Tonsilitis,0,Karnali,Mountain,Mid-Western
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),3312,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,Foreign body in respiratory tract,71,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,Pharyngities/ Sore throat,2888,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,Sinusitis,1227,Mechi,Hill,Eastern
2066/67,2009/10,Ilam,Mechi,Hill,Eastern,Tonsilitis,9560,Mechi,Hill,Eastern
2067/68,2010/11,Ilam,Mechi,Hill,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),3415,Mechi,Hill,Eastern
2067/68,2010/11,Ilam,Mechi,Hill,Eastern,Foreign body in respiratory tract,52,Mechi,Hill,Eastern
2067/68,2010/11,Ilam,Mechi,Hill,Eastern,Pharyngities/ Sore throat,2867,Mechi,Hill,Eastern
2067/68,2010/11,Ilam,Mechi,Hill,Eastern,Sinusitis,1306,Mechi,Hill,Eastern
2067/68,2010/11,Ilam,Mechi,Hill,Eastern,Tonsilitis,9919,Mechi,Hill,Eastern
2068/69,2011/12,Ilam,Mechi,Hill,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),2415,Mechi,Hill,Eastern
2068/69,2011/12,Ilam,Mechi,Hill,Eastern,Foreign body in respiratory tract,59,Mechi,Hill,Eastern
2068/69,2011/12,Ilam,Mechi,Hill,Eastern,Pharyngities/ Sore throat,3552,Mechi,Hill,Eastern
2068/69,2011/12,Ilam,Mechi,Hill,Eastern,Sinusitis,1106,Mechi,Hill,Eastern
2068/69,2011/12,Ilam,Mechi,Hill,Eastern,Tonsilitis,9327,Mechi,Hill,Eastern
2069/70,2012/13,Ilam,Mechi,Hill,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),2505,Mechi,Hill,Eastern
2069/70,2012/13,Ilam,Mechi,Hill,Eastern,Foreign body in respiratory tract,102,Mechi,Hill,Eastern
2069/70,2012/13,Ilam,Mechi,Hill,Eastern,Pharyngities/ Sore throat,4208,Mechi,Hill,Eastern
2069/70,2012/13,Ilam,Mechi,Hill,Eastern,Sinusitis,1308,Mechi,Hill,Eastern
2069/70,2012/13,Ilam,Mechi,Hill,Eastern,Tonsilitis,10172,Mechi,Hill,Eastern
2070/71,2013/14,Ilam,Mechi,Hill,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),3588,Mechi,Hill,Eastern
2070/71,2013/14,Ilam,Mechi,Hill,Eastern,Foreign body in respiratory tract,48,Mechi,Hill,Eastern
2070/71,2013/14,Ilam,Mechi,Hill,Eastern,Pharyngities/ Sore throat,4112,Mechi,Hill,Eastern
2070/71,2013/14,Ilam,Mechi,Hill,Eastern,Sinusitis,1853,Mechi,Hill,Eastern
2070/71,2013/14,Ilam,Mechi,Hill,Eastern,Tonsilitis,6358,Mechi,Hill,Eastern
2066/67,2009/10,Jajarkot,Bheri,Hill,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3227,Bheri,Hill,Mid-Western
2066/67,2009/10,Jajarkot,Bheri,Hill,Mid-Western,Foreign body in respiratory tract,25,Bheri,Hill,Mid-Western
2066/67,2009/10,Jajarkot,Bheri,Hill,Mid-Western,Pharyngities/ Sore throat,1130,Bheri,Hill,Mid-Western
2066/67,2009/10,Jajarkot,Bheri,Hill,Mid-Western,Sinusitis,1176,Bheri,Hill,Mid-Western
2066/67,2009/10,Jajarkot,Bheri,Hill,Mid-Western,Tonsilitis,1807,Bheri,Hill,Mid-Western
2067/68,2010/11,Jajarkot,Bheri,Hill,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3769,Bheri,Hill,Mid-Western
2067/68,2010/11,Jajarkot,Bheri,Hill,Mid-Western,Foreign body in respiratory tract,115,Bheri,Hill,Mid-Western
2067/68,2010/11,Jajarkot,Bheri,Hill,Mid-Western,Pharyngities/ Sore throat,1238,Bheri,Hill,Mid-Western
2067/68,2010/11,Jajarkot,Bheri,Hill,Mid-Western,Sinusitis,1562,Bheri,Hill,Mid-Western
2067/68,2010/11,Jajarkot,Bheri,Hill,Mid-Western,Tonsilitis,1878,Bheri,Hill,Mid-Western
2068/69,2011/12,Jajarkot,Bheri,Hill,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),3560,Bheri,Hill,Mid-Western
2068/69,2011/12,Jajarkot,Bheri,Hill,Mid-Western,Foreign body in respiratory tract,106,Bheri,Hill,Mid-Western
2068/69,2011/12,Jajarkot,Bheri,Hill,Mid-Western,Pharyngities/ Sore throat,1237,Bheri,Hill,Mid-Western
2068/69,2011/12,Jajarkot,Bheri,Hill,Mid-Western,Sinusitis,1247,Bheri,Hill,Mid-Western
2068/69,2011/12,Jajarkot,Bheri,Hill,Mid-Western,Tonsilitis,1963,Bheri,Hill,Mid-Western
2069/70,2012/13,Jajarkot,Bheri,Hill,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),2983,Bheri,Hill,Mid-Western
2069/70,2012/13,Jajarkot,Bheri,Hill,Mid-Western,Foreign body in respiratory tract,79,Bheri,Hill,Mid-Western
2069/70,2012/13,Jajarkot,Bheri,Hill,Mid-Western,Pharyngities/ Sore throat,1099,Bheri,Hill,Mid-Western
2069/70,2012/13,Jajarkot,Bheri,Hill,Mid-Western,Sinusitis,1129,Bheri,Hill,Mid-Western
2069/70,2012/13,Jajarkot,Bheri,Hill,Mid-Western,Tonsilitis,1745,Bheri,Hill,Mid-Western
2070/71,2013/14,Jajarkot,Bheri,Hill,Mid-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),15616,Bheri,Hill,Mid-Western
2070/71,2013/14,Jajarkot,Bheri,Hill,Mid-Western,Foreign body in respiratory tract,2469,Bheri,Hill,Mid-Western
2070/71,2013/14,Jajarkot,Bheri,Hill,Mid-Western,Pharyngities/ Sore throat,18063,Bheri,Hill,Mid-Western
2070/71,2013/14,Jajarkot,Bheri,Hill,Mid-Western,Sinusitis,13449,Bheri,Hill,Mid-Western
2070/71,2013/14,Jajarkot,Bheri,Hill,Mid-Western,Tonsilitis,24187,Bheri,Hill,Mid-Western
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),8860,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,Foreign body in respiratory tract,98,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,Pharyngities/ Sore throat,8493,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,Sinusitis,5004,Mechi,Terai,Eastern
2066/67,2009/10,Jhapa,Mechi,Terai,Eastern,Tonsilitis,11983,Mechi,Terai,Eastern
2067/68,2010/11,Jhapa,Mechi,Terai,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),10688,Mechi,Terai,Eastern
2067/68,2010/11,Jhapa,Mechi,Terai,Eastern,Foreign body in respiratory tract,78,Mechi,Terai,Eastern
2067/68,2010/11,Jhapa,Mechi,Terai,Eastern,Pharyngities/ Sore throat,9906,Mechi,Terai,Eastern
2067/68,2010/11,Jhapa,Mechi,Terai,Eastern,Sinusitis,6301,Mechi,Terai,Eastern
2067/68,2010/11,Jhapa,Mechi,Terai,Eastern,Tonsilitis,14141,Mechi,Terai,Eastern
2068/69,2011/12,Jhapa,Mechi,Terai,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),9321,Mechi,Terai,Eastern
2068/69,2011/12,Jhapa,Mechi,Terai,Eastern,Foreign body in respiratory tract,115,Mechi,Terai,Eastern
2068/69,2011/12,Jhapa,Mechi,Terai,Eastern,Pharyngities/ Sore throat,10046,Mechi,Terai,Eastern
2068/69,2011/12,Jhapa,Mechi,Terai,Eastern,Sinusitis,6601,Mechi,Terai,Eastern
2068/69,2011/12,Jhapa,Mechi,Terai,Eastern,Tonsilitis,15057,Mechi,Terai,Eastern
2069/70,2012/13,Jhapa,Mechi,Terai,Eastern,Acute/ Chronic Suppurative Otitis Media (ASOM),10841,Mechi,Terai,Eastern
2069/70,2012/13,Jhapa,Mechi,Terai,Eastern,Foreign body in respiratory tract,198,Mechi,Terai,Eastern
