Year BS,Year AD,District,zone,belt,region,Oral Problem,No of People,Zone,Belt,Region
2067/68,2010/11,Chitawan,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",4101,Narayani,Terai,Central
2067/68,2010/11,Chitawan,Narayani,Terai,Central,Other disorder of teeth,2498,Narayani,Terai,Central
2067/68,2010/11,Chitawan,Narayani,Terai,Central,Periodontal diseases (gum diseases),3864,Narayani,Terai,Central
2068/69,2011/12,Chitawan,Narayani,Terai,Central,Dental Carries/ Toothache,10573,Narayani,Terai,Central
2068/69,2011/12,Chitawan,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",3958,Narayani,Terai,Central
2068/69,2011/12,Chitawan,Narayani,Terai,Central,Other disorder of teeth,2539,Narayani,Terai,Central
2068/69,2011/12,Chitawan,Narayani,Terai,Central,Periodontal diseases (gum diseases),3892,Narayani,Terai,Central
2069/70,2012/13,Chitawan,Narayani,Terai,Central,Dental Carries/ Toothache,11581,Narayani,Terai,Central
2069/70,2012/13,Chitawan,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",4770,Narayani,Terai,Central
2069/70,2012/13,Chitawan,Narayani,Terai,Central,Other disorder of teeth,1712,Narayani,Terai,Central
2069/70,2012/13,Chitawan,Narayani,Terai,Central,Periodontal diseases (gum diseases),3951,Narayani,Terai,Central
2070/71,2013/14,Chitawan,Narayani,Terai,Central,Dental Carries/ Toothache,23680,Narayani,Terai,Central
2070/71,2013/14,Chitawan,Narayani,Terai,Central,"Oral ulcer,mucosa and other related disease",6995,Narayani,Terai,Central
2070/71,2013/14,Chitawan,Narayani,Terai,Central,Other disorder of teeth,3691,Narayani,Terai,Central
2070/71,2013/14,Chitawan,Narayani,Terai,Central,Periodontal diseases (gum diseases),8830,Narayani,Terai,Central
2066/67,2009/10,Dadeldhura,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,3701,Mahakali,Hill,Far-Western
2066/67,2009/10,Dadeldhura,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",601,Mahakali,Hill,Far-Western
2066/67,2009/10,Dadeldhura,Mahakali,Hill,Far-Western,Other disorder of teeth,250,Mahakali,Hill,Far-Western
2066/67,2009/10,Dadeldhura,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),435,Mahakali,Hill,Far-Western
2067/68,2010/11,Dadeldhura,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,3117,Mahakali,Hill,Far-Western
2067/68,2010/11,Dadeldhura,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",777,Mahakali,Hill,Far-Western
2067/68,2010/11,Dadeldhura,Mahakali,Hill,Far-Western,Other disorder of teeth,181,Mahakali,Hill,Far-Western
2067/68,2010/11,Dadeldhura,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),418,Mahakali,Hill,Far-Western
2068/69,2011/12,Dadeldhura,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,4592,Mahakali,Hill,Far-Western
2068/69,2011/12,Dadeldhura,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1129,Mahakali,Hill,Far-Western
2068/69,2011/12,Dadeldhura,Mahakali,Hill,Far-Western,Other disorder of teeth,401,Mahakali,Hill,Far-Western
2068/69,2011/12,Dadeldhura,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),609,Mahakali,Hill,Far-Western
2069/70,2012/13,Dadeldhura,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,4134,Mahakali,Hill,Far-Western
2069/70,2012/13,Dadeldhura,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1174,Mahakali,Hill,Far-Western
2069/70,2012/13,Dadeldhura,Mahakali,Hill,Far-Western,Other disorder of teeth,185,Mahakali,Hill,Far-Western
2069/70,2012/13,Dadeldhura,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),515,Mahakali,Hill,Far-Western
2070/71,2013/14,Dadeldhura,Mahakali,Hill,Far-Western,Dental Carries/ Toothache,3515,Mahakali,Hill,Far-Western
2070/71,2013/14,Dadeldhura,Mahakali,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",491,Mahakali,Hill,Far-Western
2070/71,2013/14,Dadeldhura,Mahakali,Hill,Far-Western,Other disorder of teeth,187,Mahakali,Hill,Far-Western
2070/71,2013/14,Dadeldhura,Mahakali,Hill,Far-Western,Periodontal diseases (gum diseases),293,Mahakali,Hill,Far-Western
2066/67,2009/10,Dailekh,Bheri,Hill,Mid-Western,Dental Carries/ Toothache,5204,Bheri,Hill,Mid-Western
2066/67,2009/10,Dailekh,Bheri,Hill,Mid-Western,"Oral ulcer,mucosa and other related disease",1213,Bheri,Hill,Mid-Western
2066/67,2009/10,Dailekh,Bheri,Hill,Mid-Western,Other disorder of teeth,459,Bheri,Hill,Mid-Western
2066/67,2009/10,Dailekh,Bheri,Hill,Mid-Western,Periodontal diseases (gum diseases),591,Bheri,Hill,Mid-Western
2067/68,2010/11,Dailekh,Bheri,Hill,Mid-Western,Dental Carries/ Toothache,5245,Bheri,Hill,Mid-Western
2067/68,2010/11,Dailekh,Bheri,Hill,Mid-Western,"Oral ulcer,mucosa and other related disease",1210,Bheri,Hill,Mid-Western
2067/68,2010/11,Dailekh,Bheri,Hill,Mid-Western,Other disorder of teeth,325,Bheri,Hill,Mid-Western
2067/68,2010/11,Dailekh,Bheri,Hill,Mid-Western,Periodontal diseases (gum diseases),507,Bheri,Hill,Mid-Western
2068/69,2011/12,Dailekh,Bheri,Hill,Mid-Western,Dental Carries/ Toothache,5338,Bheri,Hill,Mid-Western
2068/69,2011/12,Dailekh,Bheri,Hill,Mid-Western,"Oral ulcer,mucosa and other related disease",1573,Bheri,Hill,Mid-Western
2068/69,2011/12,Dailekh,Bheri,Hill,Mid-Western,Other disorder of teeth,434,Bheri,Hill,Mid-Western
2068/69,2011/12,Dailekh,Bheri,Hill,Mid-Western,Periodontal diseases (gum diseases),456,Bheri,Hill,Mid-Western
2069/70,2012/13,Dailekh,Bheri,Hill,Mid-Western,Dental Carries/ Toothache,4628,Bheri,Hill,Mid-Western
2069/70,2012/13,Dailekh,Bheri,Hill,Mid-Western,"Oral ulcer,mucosa and other related disease",1285,Bheri,Hill,Mid-Western
2069/70,2012/13,Dailekh,Bheri,Hill,Mid-Western,Other disorder of teeth,386,Bheri,Hill,Mid-Western
2069/70,2012/13,Dailekh,Bheri,Hill,Mid-Western,Periodontal diseases (gum diseases),312,Bheri,Hill,Mid-Western
2070/71,2013/14,Dailekh,Bheri,Hill,Mid-Western,Dental Carries/ Toothache,4255,Bheri,Hill,Mid-Western
2070/71,2013/14,Dailekh,Bheri,Hill,Mid-Western,"Oral ulcer,mucosa and other related disease",1208,Bheri,Hill,Mid-Western
2070/71,2013/14,Dailekh,Bheri,Hill,Mid-Western,Other disorder of teeth,488,Bheri,Hill,Mid-Western
2070/71,2013/14,Dailekh,Bheri,Hill,Mid-Western,Periodontal diseases (gum diseases),362,Bheri,Hill,Mid-Western
2066/67,2009/10,Dang,Rapti,Terai,Mid-Western,Dental Carries/ Toothache,5312,Rapti,Terai,Mid-Western
2066/67,2009/10,Dang,Rapti,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",2054,Rapti,Terai,Mid-Western
2066/67,2009/10,Dang,Rapti,Terai,Mid-Western,Other disorder of teeth,2266,Rapti,Terai,Mid-Western
2066/67,2009/10,Dang,Rapti,Terai,Mid-Western,Periodontal diseases (gum diseases),1410,Rapti,Terai,Mid-Western
2067/68,2010/11,Dang,Rapti,Terai,Mid-Western,Dental Carries/ Toothache,6244,Rapti,Terai,Mid-Western
2067/68,2010/11,Dang,Rapti,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",2378,Rapti,Terai,Mid-Western
2067/68,2010/11,Dang,Rapti,Terai,Mid-Western,Other disorder of teeth,1083,Rapti,Terai,Mid-Western
2067/68,2010/11,Dang,Rapti,Terai,Mid-Western,Periodontal diseases (gum diseases),1616,Rapti,Terai,Mid-Western
2068/69,2011/12,Dang,Rapti,Terai,Mid-Western,Dental Carries/ Toothache,6865,Rapti,Terai,Mid-Western
2068/69,2011/12,Dang,Rapti,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",2222,Rapti,Terai,Mid-Western
2068/69,2011/12,Dang,Rapti,Terai,Mid-Western,Other disorder of teeth,976,Rapti,Terai,Mid-Western
2068/69,2011/12,Dang,Rapti,Terai,Mid-Western,Periodontal diseases (gum diseases),1636,Rapti,Terai,Mid-Western
2069/70,2012/13,Dang,Rapti,Terai,Mid-Western,Dental Carries/ Toothache,6929,Rapti,Terai,Mid-Western
2069/70,2012/13,Dang,Rapti,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",2338,Rapti,Terai,Mid-Western
2069/70,2012/13,Dang,Rapti,Terai,Mid-Western,Other disorder of teeth,2141,Rapti,Terai,Mid-Western
2069/70,2012/13,Dang,Rapti,Terai,Mid-Western,Periodontal diseases (gum diseases),2162,Rapti,Terai,Mid-Western
2070/71,2013/14,Dang,Rapti,Terai,Mid-Western,Dental Carries/ Toothache,8020,Rapti,Terai,Mid-Western
2070/71,2013/14,Dang,Rapti,Terai,Mid-Western,"Oral ulcer,mucosa and other related disease",3242,Rapti,Terai,Mid-Western
2070/71,2013/14,Dang,Rapti,Terai,Mid-Western,Other disorder of teeth,1244,Rapti,Terai,Mid-Western
2070/71,2013/14,Dang,Rapti,Terai,Mid-Western,Periodontal diseases (gum diseases),2033,Rapti,Terai,Mid-Western
2066/67,2009/10,Darchaula,Mahakali,Mountain,Far-Western,Dental Carries/ Toothache,5781,Mahakali,Mountain,Far-Western
2066/67,2009/10,Darchaula,Mahakali,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",452,Mahakali,Mountain,Far-Western
2066/67,2009/10,Darchaula,Mahakali,Mountain,Far-Western,Other disorder of teeth,202,Mahakali,Mountain,Far-Western
2066/67,2009/10,Darchaula,Mahakali,Mountain,Far-Western,Periodontal diseases (gum diseases),534,Mahakali,Mountain,Far-Western
2067/68,2010/11,Darchaula,Mahakali,Mountain,Far-Western,Dental Carries/ Toothache,4442,Mahakali,Mountain,Far-Western
2067/68,2010/11,Darchaula,Mahakali,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",333,Mahakali,Mountain,Far-Western
2067/68,2010/11,Darchaula,Mahakali,Mountain,Far-Western,Other disorder of teeth,262,Mahakali,Mountain,Far-Western
2067/68,2010/11,Darchaula,Mahakali,Mountain,Far-Western,Periodontal diseases (gum diseases),804,Mahakali,Mountain,Far-Western
2068/69,2011/12,Darchaula,Mahakali,Mountain,Far-Western,Dental Carries/ Toothache,6669,Mahakali,Mountain,Far-Western
2068/69,2011/12,Darchaula,Mahakali,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",510,Mahakali,Mountain,Far-Western
2068/69,2011/12,Darchaula,Mahakali,Mountain,Far-Western,Other disorder of teeth,287,Mahakali,Mountain,Far-Western
2068/69,2011/12,Darchaula,Mahakali,Mountain,Far-Western,Periodontal diseases (gum diseases),547,Mahakali,Mountain,Far-Western
2069/70,2012/13,Darchaula,Mahakali,Mountain,Far-Western,Dental Carries/ Toothache,5143,Mahakali,Mountain,Far-Western
2069/70,2012/13,Darchaula,Mahakali,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",330,Mahakali,Mountain,Far-Western
2069/70,2012/13,Darchaula,Mahakali,Mountain,Far-Western,Other disorder of teeth,106,Mahakali,Mountain,Far-Western
2069/70,2012/13,Darchaula,Mahakali,Mountain,Far-Western,Periodontal diseases (gum diseases),216,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Dental Carries/ Toothache,5154,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,"Oral ulcer,mucosa and other related disease",379,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Other disorder of teeth,202,Mahakali,Mountain,Far-Western
2070/71,2013/14,Darchaula,Mahakali,Mountain,Far-Western,Periodontal diseases (gum diseases),359,Mahakali,Mountain,Far-Western
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Dental Carries/ Toothache,5537,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",1917,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Other disorder of teeth,344,Bagmati,Hill,Central
2066/67,2009/10,Dhading,Bagmati,Hill,Central,Periodontal diseases (gum diseases),840,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Dental Carries/ Toothache,6395,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2367,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Other disorder of teeth,512,Bagmati,Hill,Central
2067/68,2010/11,Dhading,Bagmati,Hill,Central,Periodontal diseases (gum diseases),1078,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Dental Carries/ Toothache,6651,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2795,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Other disorder of teeth,461,Bagmati,Hill,Central
2068/69,2011/12,Dhading,Bagmati,Hill,Central,Periodontal diseases (gum diseases),1335,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Dental Carries/ Toothache,6497,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2782,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Other disorder of teeth,872,Bagmati,Hill,Central
2069/70,2012/13,Dhading,Bagmati,Hill,Central,Periodontal diseases (gum diseases),1363,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Dental Carries/ Toothache,6062,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,"Oral ulcer,mucosa and other related disease",2949,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Other disorder of teeth,979,Bagmati,Hill,Central
2070/71,2013/14,Dhading,Bagmati,Hill,Central,Periodontal diseases (gum diseases),1171,Bagmati,Hill,Central
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Dental Carries/ Toothache,2141,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",816,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Other disorder of teeth,280,Kosi,Hill,Eastern
2066/67,2009/10,Dhankuta,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),410,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Dental Carries/ Toothache,1987,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",893,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Other disorder of teeth,210,Kosi,Hill,Eastern
2067/68,2010/11,Dhankuta,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),375,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Dental Carries/ Toothache,2467,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",940,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Other disorder of teeth,336,Kosi,Hill,Eastern
2068/69,2011/12,Dhankuta,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),604,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Dental Carries/ Toothache,2697,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1157,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Other disorder of teeth,327,Kosi,Hill,Eastern
2069/70,2012/13,Dhankuta,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),783,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Dental Carries/ Toothache,2236,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,"Oral ulcer,mucosa and other related disease",1102,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Other disorder of teeth,356,Kosi,Hill,Eastern
2070/71,2013/14,Dhankuta,Kosi,Hill,Eastern,Periodontal diseases (gum diseases),590,Kosi,Hill,Eastern
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Dental Carries/ Toothache,15814,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,"Oral ulcer,mucosa and other related disease",2943,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Other disorder of teeth,2632,Janakpur,Terai,Central
2066/67,2009/10,Dhanusa,Janakpur,Terai,Central,Periodontal diseases (gum diseases),2707,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Dental Carries/ Toothache,15600,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,"Oral ulcer,mucosa and other related disease",2787,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Other disorder of teeth,1943,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Periodontal diseases (gum diseases),2504,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Dental Carries/ Toothache,14974,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,"Oral ulcer,mucosa and other related disease",2682,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Other disorder of teeth,1477,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Periodontal diseases (gum diseases),2213,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Dental Carries/ Toothache,13020,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,"Oral ulcer,mucosa and other related disease",2144,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Other disorder of teeth,1044,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Periodontal diseases (gum diseases),1902,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Dental Carries/ Toothache,12656,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,"Oral ulcer,mucosa and other related disease",2392,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Other disorder of teeth,1026,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Periodontal diseases (gum diseases),1781,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Dental Carries/ Toothache,6814,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,"Oral ulcer,mucosa and other related disease",2313,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Other disorder of teeth,2721,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Periodontal diseases (gum diseases),2770,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Dental Carries/ Toothache,6625,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,"Oral ulcer,mucosa and other related disease",2742,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Other disorder of teeth,1801,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Periodontal diseases (gum diseases),2691,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Dental Carries/ Toothache,5088,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,"Oral ulcer,mucosa and other related disease",1549,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Other disorder of teeth,532,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Periodontal diseases (gum diseases),864,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Dental Carries/ Toothache,6532,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,"Oral ulcer,mucosa and other related disease",1866,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Other disorder of teeth,1159,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Periodontal diseases (gum diseases),1435,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Dental Carries/ Toothache,6112,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,"Oral ulcer,mucosa and other related disease",1469,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Other disorder of teeth,1084,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Periodontal diseases (gum diseases),1407,Janakpur,Mountain,Central
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Dental Carries/ Toothache,801,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,"Oral ulcer,mucosa and other related disease",117,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Other disorder of teeth,215,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Periodontal diseases (gum diseases),171,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Dental Carries/ Toothache,771,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,"Oral ulcer,mucosa and other related disease",72,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Other disorder of teeth,143,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Periodontal diseases (gum diseases),145,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Dental Carries/ Toothache,725,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,"Oral ulcer,mucosa and other related disease",82,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Other disorder of teeth,84,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Periodontal diseases (gum diseases),114,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Dental Carries/ Toothache,765,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,"Oral ulcer,mucosa and other related disease",77,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Other disorder of teeth,80,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Periodontal diseases (gum diseases),78,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Dental Carries/ Toothache,767,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,"Oral ulcer,mucosa and other related disease",44,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Other disorder of teeth,49,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Periodontal diseases (gum diseases),66,Karnali,Mountain,Mid-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Dental Carries/ Toothache,4363,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",619,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Other disorder of teeth,384,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),385,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Dental Carries/ Toothache,4490,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",656,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Other disorder of teeth,295,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),229,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Dental Carries/ Toothache,5272,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",676,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Other disorder of teeth,635,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),350,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Dental Carries/ Toothache,5449,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",570,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Other disorder of teeth,692,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),358,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Dental Carries/ Toothache,5190,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1087,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Other disorder of teeth,245,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),326,Seti,Hill,Far-Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Dental Carries/ Toothache,6548,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,"Oral ulcer,mucosa and other related disease",1633,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Other disorder of teeth,651,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Periodontal diseases (gum diseases),787,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Dental Carries/ Toothache,6793,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,"Oral ulcer,mucosa and other related disease",1823,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Other disorder of teeth,636,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Periodontal diseases (gum diseases),969,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Dental Carries/ Toothache,6958,Gandaki,Hill,Western
