Year BS,Year AD,District,zone,belt,region,Deficiencies,No of people,Zone,Belt,Region
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Diabetic myelitis,38,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,"Goiter,Cretinism",109,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Malnutrition,1605,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Night blindness,999,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Obesity,68,Janakpur,Terai,Central
2067/68,2010/11,Dhanusa,Janakpur,Terai,Central,Polyneuritis,1258,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Anemia,5356,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Avitaminoses and other nutrideficency,7778,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Dehydration,1398,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Diabetic myelitis,212,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,"Goiter,Cretinism",71,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Malnutrition,1305,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Night blindness,821,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Obesity,43,Janakpur,Terai,Central
2068/69,2011/12,Dhanusa,Janakpur,Terai,Central,Polyneuritis,1125,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Anemia,3997,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Avitaminoses and other nutrideficency,7802,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Dehydration,1168,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Diabetic myelitis,316,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,"Goiter,Cretinism",76,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Malnutrition,953,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Night blindness,691,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Obesity,14,Janakpur,Terai,Central
2069/70,2012/13,Dhanusa,Janakpur,Terai,Central,Polyneuritis,1061,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Anemia,5893,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Avitaminoses and other nutrideficency,8529,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Dehydration,4399,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Diabetic myelitis,300,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,"Goiter,Cretinism",55,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Malnutrition,1466,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Night blindness,2380,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Obesity,90,Janakpur,Terai,Central
2070/71,2013/14,Dhanusa,Janakpur,Terai,Central,Polyneuritis,1308,Janakpur,Terai,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Anemia,876,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Avitaminoses and other nutrideficency,779,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Dehydration,695,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Diabetic myelitis,211,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,"Goiter,Cretinism",46,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Malnutrition,173,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Night blindness,148,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Obesity,29,Janakpur,Mountain,Central
2066/67,2009/10,Dolakha,Janakpur,Mountain,Central,Polyneuritis,274,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Anemia,628,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Avitaminoses and other nutrideficency,727,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Dehydration,558,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Diabetic myelitis,332,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,"Goiter,Cretinism",67,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Malnutrition,73,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Night blindness,196,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Obesity,16,Janakpur,Mountain,Central
2067/68,2010/11,Dolakha,Janakpur,Mountain,Central,Polyneuritis,398,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Anemia,376,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Avitaminoses and other nutrideficency,597,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Dehydration,293,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Diabetic myelitis,386,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,"Goiter,Cretinism",18,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Malnutrition,89,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Night blindness,95,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Obesity,0,Janakpur,Mountain,Central
2068/69,2011/12,Dolakha,Janakpur,Mountain,Central,Polyneuritis,259,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Anemia,395,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Avitaminoses and other nutrideficency,698,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Dehydration,478,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Diabetic myelitis,353,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,"Goiter,Cretinism",5,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Malnutrition,80,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Night blindness,118,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Obesity,55,Janakpur,Mountain,Central
2069/70,2012/13,Dolakha,Janakpur,Mountain,Central,Polyneuritis,211,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Anemia,643,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Avitaminoses and other nutrideficency,777,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Dehydration,1161,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Diabetic myelitis,150,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,"Goiter,Cretinism",59,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Malnutrition,117,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Night blindness,61,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Obesity,15,Janakpur,Mountain,Central
2070/71,2013/14,Dolakha,Janakpur,Mountain,Central,Polyneuritis,263,Janakpur,Mountain,Central
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Anemia,121,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Avitaminoses and other nutrideficency,244,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Dehydration,206,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Diabetic myelitis,0,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,"Goiter,Cretinism",0,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Malnutrition,123,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Night blindness,24,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Obesity,19,Karnali,Mountain,Mid-Western
2066/67,2009/10,Dolpa,Karnali,Mountain,Mid-Western,Polyneuritis,53,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Anemia,130,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Avitaminoses and other nutrideficency,85,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Dehydration,174,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Diabetic myelitis,0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,"Goiter,Cretinism",1,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Malnutrition,119,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Night blindness,8,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Obesity,0,Karnali,Mountain,Mid-Western
2067/68,2010/11,Dolpa,Karnali,Mountain,Mid-Western,Polyneuritis,7,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Anemia,171,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Avitaminoses and other nutrideficency,120,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Dehydration,639,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Diabetic myelitis,0,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,"Goiter,Cretinism",0,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Malnutrition,24,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Night blindness,17,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Obesity,16,Karnali,Mountain,Mid-Western
2068/69,2011/12,Dolpa,Karnali,Mountain,Mid-Western,Polyneuritis,97,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Anemia,65,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Avitaminoses and other nutrideficency,160,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Dehydration,117,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Diabetic myelitis,5,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,"Goiter,Cretinism",0,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Malnutrition,39,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Night blindness,2,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Obesity,0,Karnali,Mountain,Mid-Western
2069/70,2012/13,Dolpa,Karnali,Mountain,Mid-Western,Polyneuritis,15,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Anemia,449,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Avitaminoses and other nutrideficency,1279,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Dehydration,59,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Diabetic myelitis,259,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,"Goiter,Cretinism",33,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Malnutrition,112,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Night blindness,16,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Obesity,3,Karnali,Mountain,Mid-Western
2070/71,2013/14,Dolpa,Karnali,Mountain,Mid-Western,Polyneuritis,475,Karnali,Mountain,Mid-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Anemia,925,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1181,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Dehydration,880,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Diabetic myelitis,49,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,"Goiter,Cretinism",12,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Malnutrition,276,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Night blindness,207,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Obesity,48,Seti,Hill,Far-Western
2066/67,2009/10,Doti,Seti,Hill,Far-Western,Polyneuritis,320,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Anemia,735,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1017,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Dehydration,981,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Diabetic myelitis,20,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,"Goiter,Cretinism",7,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Malnutrition,315,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Night blindness,122,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Obesity,2,Seti,Hill,Far-Western
2067/68,2010/11,Doti,Seti,Hill,Far-Western,Polyneuritis,370,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Anemia,1310,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1253,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Dehydration,1367,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Diabetic myelitis,121,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,"Goiter,Cretinism",31,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Malnutrition,282,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Night blindness,105,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Obesity,19,Seti,Hill,Far-Western
2068/69,2011/12,Doti,Seti,Hill,Far-Western,Polyneuritis,494,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Anemia,1385,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1687,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Dehydration,1597,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Diabetic myelitis,192,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,"Goiter,Cretinism",25,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Malnutrition,178,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Night blindness,51,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Obesity,20,Seti,Hill,Far-Western
2069/70,2012/13,Doti,Seti,Hill,Far-Western,Polyneuritis,463,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Anemia,326,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,463,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Dehydration,328,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Diabetic myelitis,397,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,"Goiter,Cretinism",51,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Malnutrition,63,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Night blindness,48,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Obesity,23,Seti,Hill,Far-Western
2070/71,2013/14,Doti,Seti,Hill,Far-Western,Polyneuritis,252,Seti,Hill,Far-Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Anemia,1657,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Avitaminoses and other nutrideficency,1077,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Dehydration,729,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Diabetic myelitis,195,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,"Goiter,Cretinism",47,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Malnutrition,237,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Night blindness,73,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Obesity,50,Gandaki,Hill,Western
2066/67,2009/10,Gorkha,Gandaki,Hill,Western,Polyneuritis,1154,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Anemia,1207,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Avitaminoses and other nutrideficency,1040,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Dehydration,696,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Diabetic myelitis,484,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,"Goiter,Cretinism",112,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Malnutrition,105,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Night blindness,38,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Obesity,111,Gandaki,Hill,Western
2067/68,2010/11,Gorkha,Gandaki,Hill,Western,Polyneuritis,1336,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Anemia,1051,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Avitaminoses and other nutrideficency,1073,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Dehydration,521,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Diabetic myelitis,603,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,"Goiter,Cretinism",63,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Malnutrition,94,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Night blindness,17,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Obesity,83,Gandaki,Hill,Western
2068/69,2011/12,Gorkha,Gandaki,Hill,Western,Polyneuritis,1553,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Anemia,978,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Avitaminoses and other nutrideficency,922,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Dehydration,416,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Diabetic myelitis,875,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,"Goiter,Cretinism",52,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Malnutrition,93,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Night blindness,63,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Obesity,2,Gandaki,Hill,Western
2069/70,2012/13,Gorkha,Gandaki,Hill,Western,Polyneuritis,1583,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Anemia,786,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Avitaminoses and other nutrideficency,793,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Dehydration,565,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Diabetic myelitis,189,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,"Goiter,Cretinism",24,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Malnutrition,226,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Night blindness,93,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Obesity,28,Gandaki,Hill,Western
2070/71,2013/14,Gorkha,Gandaki,Hill,Western,Polyneuritis,1316,Gandaki,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Anemia,2564,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,2373,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Dehydration,983,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Diabetic myelitis,397,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,"Goiter,Cretinism",75,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Malnutrition,655,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Night blindness,113,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Obesity,44,Lumbini,Hill,Western
2066/67,2009/10,Gulmi,Lumbini,Hill,Western,Polyneuritis,2673,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Anemia,2092,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,1982,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Dehydration,858,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Diabetic myelitis,274,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,"Goiter,Cretinism",144,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Malnutrition,224,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Night blindness,121,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Obesity,101,Lumbini,Hill,Western
2067/68,2010/11,Gulmi,Lumbini,Hill,Western,Polyneuritis,2333,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Anemia,1441,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,2042,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Dehydration,381,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Diabetic myelitis,284,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,"Goiter,Cretinism",128,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Malnutrition,311,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Night blindness,14,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Obesity,81,Lumbini,Hill,Western
2068/69,2011/12,Gulmi,Lumbini,Hill,Western,Polyneuritis,2484,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Anemia,781,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,885,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Dehydration,170,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Diabetic myelitis,179,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,"Goiter,Cretinism",91,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Malnutrition,164,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Night blindness,55,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Obesity,94,Lumbini,Hill,Western
2069/70,2012/13,Gulmi,Lumbini,Hill,Western,Polyneuritis,1368,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Anemia,2097,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,3023,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Dehydration,990,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Diabetic myelitis,2718,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,"Goiter,Cretinism",211,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Malnutrition,136,Lumbini,Hill,Western
2070/71,2013/14,Gulmi,Lumbini,Hill,Western,Night blindness,14,Lumbini,Hill,Western
