District,zone,belt,region,Year BS,Year AD,Clinical Malaria/Total Treatment,Age group,Gender,Number of people,Zone,Belt,Region
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Karnali,Mountain,Mid-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,5,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,9,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,5,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,9,Seti,Mountain,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,7,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,36,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,7,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,36,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,6,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,6,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1358,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1450,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,1252,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,1252,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1358,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1450,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,1252,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,1252,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,14,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,14,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,68,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,80,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,14,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,14,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,68,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,80,Mahakali,Terai,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,60,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,24,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,18,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,48,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,60,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,24,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,18,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,48,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Mahakali,Hill,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,Under 5 Years,Female,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Clinical Malaria,5 Years & Above,Male,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Total Treatment,Under 5 Years,Female,0,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Total Treatment,5 Years & Above,Male,0,Mahakali,Mountain,Far-Western
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,2,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,2,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,2,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,3,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,6,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,10,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,21,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,33,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,6,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,10,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,22,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,39,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,10,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,10,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,46,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,42,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,14,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,11,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,47,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,51,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,124,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,136,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,1115,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,1298,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,98,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,108,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,962,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,1191,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,482,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,4064,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,2,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,2,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,497,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,4100,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,4,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,3,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,838,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,903,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,4,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,4,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,843,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,915,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,7,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,12,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,32,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,24,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,7,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,12,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,32,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,24,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,2,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,1,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,2,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,1,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,4,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,6,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,4,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,22,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,33,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,6,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,5,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,25,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,36,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,1,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,3,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,9,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,27,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,3,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,4,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,0,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,3,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,4,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,6,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,4,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,47,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,90,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,6,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,4,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,52,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,101,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,9,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,16,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,840,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,748,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,9,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,16,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,842,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,754,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,56,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,71,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,1158,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,1082,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,56,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,71,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,1166,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,1103,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,1139,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,1248,Janakpur,Terai,Central
