District,Year,ENT related problems,Number of people
Kathmandu,2067/68,Pharyngities/ Sore throat,6625
Kathmandu,2067/68,Foreign body in respiratory tract,962
Nuwakot,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3388
Nuwakot,2067/68,Sinusitis,1446
Nuwakot,2067/68,Tonsilitis,4054
Nuwakot,2067/68,Pharyngities/ Sore throat,1618
Nuwakot,2067/68,Foreign body in respiratory tract,107
Rasuwa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),1019
Rasuwa,2067/68,Sinusitis,443
Rasuwa,2067/68,Tonsilitis,1362
Rasuwa,2067/68,Pharyngities/ Sore throat,481
Rasuwa,2067/68,Foreign body in respiratory tract,5
Dhading,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),6145
Dhading,2067/68,Sinusitis,2012
Dhading,2067/68,Tonsilitis,5214
Dhading,2067/68,Pharyngities/ Sore throat,2653
Dhading,2067/68,Foreign body in respiratory tract,106
Makawanpur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4166
Makawanpur,2067/68,Sinusitis,1072
Makawanpur,2067/68,Tonsilitis,3626
Makawanpur,2067/68,Pharyngities/ Sore throat,1829
Makawanpur,2067/68,Foreign body in respiratory tract,21
Rautahat,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),12700
Rautahat,2067/68,Sinusitis,1198
Rautahat,2067/68,Tonsilitis,2117
Rautahat,2067/68,Pharyngities/ Sore throat,1000
Rautahat,2067/68,Foreign body in respiratory tract,335
Bara,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),15569
Bara,2067/68,Sinusitis,1829
Bara,2067/68,Tonsilitis,3885
Bara,2067/68,Pharyngities/ Sore throat,1091
Bara,2067/68,Foreign body in respiratory tract,120
Parsa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Parsa,2067/68,Sinusitis,0
Parsa,2067/68,Tonsilitis,0
Parsa,2067/68,Pharyngities/ Sore throat,0
Parsa,2067/68,Foreign body in respiratory tract,0
Chitwan,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),15629
Chitwan,2067/68,Sinusitis,7686
Chitwan,2067/68,Tonsilitis,11765
Chitwan,2067/68,Pharyngities/ Sore throat,6957
Chitwan,2067/68,Foreign body in respiratory tract,630
Gorkha,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5636
Gorkha,2067/68,Sinusitis,3166
Gorkha,2067/68,Tonsilitis,8434
Gorkha,2067/68,Pharyngities/ Sore throat,3708
Gorkha,2067/68,Foreign body in respiratory tract,74
Lamjung,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3559
Lamjung,2067/68,Sinusitis,1379
Lamjung,2067/68,Tonsilitis,5030
Lamjung,2067/68,Pharyngities/ Sore throat,1170
Lamjung,2067/68,Foreign body in respiratory tract,80
Tanahu,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3961
Tanahu,2067/68,Sinusitis,2176
Tanahu,2067/68,Tonsilitis,3774
Tanahu,2067/68,Pharyngities/ Sore throat,1501
Tanahu,2067/68,Foreign body in respiratory tract,124
Syangja,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5594
Syangja,2067/68,Sinusitis,7072
Syangja,2067/68,Tonsilitis,9374
Syangja,2067/68,Pharyngities/ Sore throat,3285
Syangja,2067/68,Foreign body in respiratory tract,72
Kaski,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),10229
Kaski,2067/68,Sinusitis,8173
Kaski,2067/68,Tonsilitis,14671
Kaski,2067/68,Pharyngities/ Sore throat,7861
Kaski,2067/68,Foreign body in respiratory tract,609
Manang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),169
Manang,2067/68,Sinusitis,137
Manang,2067/68,Tonsilitis,379
Manang,2067/68,Pharyngities/ Sore throat,95
Manang,2067/68,Foreign body in respiratory tract,6
Mustang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),405
Mustang,2067/68,Sinusitis,335
Mustang,2067/68,Tonsilitis,1314
Mustang,2067/68,Pharyngities/ Sore throat,429
Mustang,2067/68,Foreign body in respiratory tract,9
Myagdi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2596
Myagdi,2067/68,Sinusitis,1355
Myagdi,2067/68,Tonsilitis,3774
Myagdi,2067/68,Pharyngities/ Sore throat,1427
Myagdi,2067/68,Foreign body in respiratory tract,70
Parbat,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4104
Parbat,2067/68,Sinusitis,3901
Parbat,2067/68,Tonsilitis,6974
Parbat,2067/68,Pharyngities/ Sore throat,2461
Parbat,2067/68,Foreign body in respiratory tract,49
Baglung,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4752
Baglung,2067/68,Sinusitis,3539
Baglung,2067/68,Tonsilitis,7547
Baglung,2067/68,Pharyngities/ Sore throat,3820
Baglung,2067/68,Foreign body in respiratory tract,231
Gulmi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),6273
Gulmi,2067/68,Sinusitis,4733
Gulmi,2067/68,Tonsilitis,7831
Gulmi,2067/68,Pharyngities/ Sore throat,3911
Gulmi,2067/68,Foreign body in respiratory tract,299
Palpa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5552
Palpa,2067/68,Sinusitis,3993
Palpa,2067/68,Tonsilitis,6527
Palpa,2067/68,Pharyngities/ Sore throat,3532
Palpa,2067/68,Foreign body in respiratory tract,67
Nawalparasi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),10548
Nawalparasi,2067/68,Sinusitis,4244
Nawalparasi,2067/68,Tonsilitis,5497
Nawalparasi,2067/68,Pharyngities/ Sore throat,2238
Nawalparasi,2067/68,Foreign body in respiratory tract,89
Rupandehi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Rupandehi,2067/68,Sinusitis,0
Rupandehi,2067/68,Tonsilitis,0
Rupandehi,2067/68,Pharyngities/ Sore throat,0
Rupandehi,2067/68,Foreign body in respiratory tract,0
Kapilvastu,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),8380
Kapilvastu,2067/68,Sinusitis,3679
Kapilvastu,2067/68,Tonsilitis,5046
Kapilvastu,2067/68,Pharyngities/ Sore throat,2619
Kapilvastu,2067/68,Foreign body in respiratory tract,564
Arghakhanchi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3817
Arghakhanchi,2067/68,Sinusitis,2548
Arghakhanchi,2067/68,Tonsilitis,3697
Arghakhanchi,2067/68,Pharyngities/ Sore throat,1987
Arghakhanchi,2067/68,Foreign body in respiratory tract,124
Pyuthan,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5001
Pyuthan,2067/68,Sinusitis,2061
Pyuthan,2067/68,Tonsilitis,3047
Pyuthan,2067/68,Pharyngities/ Sore throat,2334
Pyuthan,2067/68,Foreign body in respiratory tract,38
Rolpa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4373
Rolpa,2067/68,Sinusitis,1110
Rolpa,2067/68,Tonsilitis,2249
Rolpa,2067/68,Pharyngities/ Sore throat,1893
Rolpa,2067/68,Foreign body in respiratory tract,44
Rukum,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4413
Rukum,2067/68,Sinusitis,1316
Rukum,2067/68,Tonsilitis,2842
Rukum,2067/68,Pharyngities/ Sore throat,1737
Rukum,2067/68,Foreign body in respiratory tract,63
Salyan,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5969
Salyan,2067/68,Sinusitis,2233
Salyan,2067/68,Tonsilitis,2687
Salyan,2067/68,Pharyngities/ Sore throat,2812
Salyan,2067/68,Foreign body in respiratory tract,39
Dang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),10112
Dang,2067/68,Sinusitis,2887
Dang,2067/68,Tonsilitis,4786
Dang,2067/68,Pharyngities/ Sore throat,2664
Dang,2067/68,Foreign body in respiratory tract,36
Banke,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),11638
Banke,2067/68,Sinusitis,851
Banke,2067/68,Tonsilitis,2358
Banke,2067/68,Pharyngities/ Sore throat,1106
Banke,2067/68,Foreign body in respiratory tract,49
Bardiya,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),9342
Bardiya,2067/68,Sinusitis,2268
Bardiya,2067/68,Tonsilitis,6028
Bardiya,2067/68,Pharyngities/ Sore throat,3519
Bardiya,2067/68,Foreign body in respiratory tract,116
Surkhet,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),9200
Surkhet,2067/68,Sinusitis,2366
Surkhet,2067/68,Tonsilitis,5568
Surkhet,2067/68,Pharyngities/ Sore throat,2173
Surkhet,2067/68,Foreign body in respiratory tract,104
Dailekh,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),6152
Dailekh,2067/68,Sinusitis,937
Dailekh,2067/68,Tonsilitis,2878
Dailekh,2067/68,Pharyngities/ Sore throat,1181
Dailekh,2067/68,Foreign body in respiratory tract,49
Jajarkot,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3769
Jajarkot,2067/68,Sinusitis,1562
Jajarkot,2067/68,Tonsilitis,1878
Jajarkot,2067/68,Pharyngities/ Sore throat,1238
Jajarkot,2067/68,Foreign body in respiratory tract,115
Dolpa,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),377
Dolpa,2067/68,Sinusitis,328
Dolpa,2067/68,Tonsilitis,475
Dolpa,2067/68,Pharyngities/ Sore throat,178
Dolpa,2067/68,Foreign body in respiratory tract,3
Jumla,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),1754
Jumla,2067/68,Sinusitis,480
Jumla,2067/68,Tonsilitis,571
Jumla,2067/68,Pharyngities/ Sore throat,171
Jumla,2067/68,Foreign body in respiratory tract,37
Kalikot,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),1389
Kalikot,2067/68,Sinusitis,580
Kalikot,2067/68,Tonsilitis,759
Kalikot,2067/68,Pharyngities/ Sore throat,455
Kalikot,2067/68,Foreign body in respiratory tract,103
Mugu,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),771
Mugu,2067/68,Sinusitis,461
Mugu,2067/68,Tonsilitis,626
Mugu,2067/68,Pharyngities/ Sore throat,223
Mugu,2067/68,Foreign body in respiratory tract,105
Humla,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),1789
Humla,2067/68,Sinusitis,1180
Humla,2067/68,Tonsilitis,1760
Humla,2067/68,Pharyngities/ Sore throat,790
Humla,2067/68,Foreign body in respiratory tract,136
Bajura,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2924
Bajura,2067/68,Sinusitis,471
Bajura,2067/68,Tonsilitis,1109
Bajura,2067/68,Pharyngities/ Sore throat,695
Bajura,2067/68,Foreign body in respiratory tract,63
Bajhang,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),3293
Bajhang,2067/68,Sinusitis,713
Bajhang,2067/68,Tonsilitis,1083
Bajhang,2067/68,Pharyngities/ Sore throat,477
Bajhang,2067/68,Foreign body in respiratory tract,38
Achham,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),5734
Achham,2067/68,Sinusitis,780
Achham,2067/68,Tonsilitis,1901
Achham,2067/68,Pharyngities/ Sore throat,1562
Achham,2067/68,Foreign body in respiratory tract,106
Doti,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4106
Doti,2067/68,Sinusitis,359
Doti,2067/68,Tonsilitis,1215
Doti,2067/68,Pharyngities/ Sore throat,463
Doti,2067/68,Foreign body in respiratory tract,67
Kailali,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),11112
Kailali,2067/68,Sinusitis,1171
Kailali,2067/68,Tonsilitis,3048
Kailali,2067/68,Pharyngities/ Sore throat,1947
Kailali,2067/68,Foreign body in respiratory tract,146
Kanchanpur,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),9440
Kanchanpur,2067/68,Sinusitis,1028
Kanchanpur,2067/68,Tonsilitis,2888
Kanchanpur,2067/68,Pharyngities/ Sore throat,1575
Kanchanpur,2067/68,Foreign body in respiratory tract,194
Dadeldhura,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),4127
Dadeldhura,2067/68,Sinusitis,924
Dadeldhura,2067/68,Tonsilitis,1683
Dadeldhura,2067/68,Pharyngities/ Sore throat,1198
Dadeldhura,2067/68,Foreign body in respiratory tract,102
Baitadi,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),6221
Baitadi,2067/68,Sinusitis,839
Baitadi,2067/68,Tonsilitis,3488
Baitadi,2067/68,Pharyngities/ Sore throat,1238
Baitadi,2067/68,Foreign body in respiratory tract,325
Darchula,2067/68,Acute/ Chronic Suppurative Otitis Media (ASOM),2121
Darchula,2067/68,Sinusitis,845
Darchula,2067/68,Tonsilitis,1684
Darchula,2067/68,Pharyngities/ Sore throat,513
Darchula,2067/68,Foreign body in respiratory tract,78
Taplejung,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2928
Taplejung,2068/69,Sinusitis,1227
Taplejung,2068/69,Tonsilitis,8484
Taplejung,2068/69,Pharyngities/ Sore throat,2550
Taplejung,2068/69,Foreign body in respiratory tract,101
Panchthar,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2051
Panchthar,2068/69,Sinusitis,1004
Panchthar,2068/69,Tonsilitis,10377
Panchthar,2068/69,Pharyngities/ Sore throat,3317
Panchthar,2068/69,Foreign body in respiratory tract,48
Ilam,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2415
Ilam,2068/69,Sinusitis,1106
Ilam,2068/69,Tonsilitis,9327
Ilam,2068/69,Pharyngities/ Sore throat,3552
Ilam,2068/69,Foreign body in respiratory tract,59
Jhapa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),9321
Jhapa,2068/69,Sinusitis,6601
Jhapa,2068/69,Tonsilitis,15057
Jhapa,2068/69,Pharyngities/ Sore throat,10046
Jhapa,2068/69,Foreign body in respiratory tract,115
Morang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),14565
Morang,2068/69,Sinusitis,4287
Morang,2068/69,Tonsilitis,11869
Morang,2068/69,Pharyngities/ Sore throat,7350
Morang,2068/69,Foreign body in respiratory tract,166
Sunsari,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),15732
Sunsari,2068/69,Sinusitis,1821
Sunsari,2068/69,Tonsilitis,7595
Sunsari,2068/69,Pharyngities/ Sore throat,2779
Sunsari,2068/69,Foreign body in respiratory tract,48
Dhankuta,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2568
Dhankuta,2068/69,Sinusitis,1182
Dhankuta,2068/69,Tonsilitis,11931
Dhankuta,2068/69,Pharyngities/ Sore throat,3556
Dhankuta,2068/69,Foreign body in respiratory tract,28
Teharthum,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2174
Teharthum,2068/69,Sinusitis,1318
Teharthum,2068/69,Tonsilitis,7126
Teharthum,2068/69,Pharyngities/ Sore throat,2996
Teharthum,2068/69,Foreign body in respiratory tract,43
Sankhuwasabha,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2895
Sankhuwasabha,2068/69,Sinusitis,807
Sankhuwasabha,2068/69,Tonsilitis,5547
Sankhuwasabha,2068/69,Pharyngities/ Sore throat,2596
Sankhuwasabha,2068/69,Foreign body in respiratory tract,33
Bhojpur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4000
Bhojpur,2068/69,Sinusitis,1190
Bhojpur,2068/69,Tonsilitis,13187
Bhojpur,2068/69,Pharyngities/ Sore throat,6088
Bhojpur,2068/69,Foreign body in respiratory tract,275
Solukhumbu,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2705
Solukhumbu,2068/69,Sinusitis,1782
Solukhumbu,2068/69,Tonsilitis,6314
Solukhumbu,2068/69,Pharyngities/ Sore throat,3705
Solukhumbu,2068/69,Foreign body in respiratory tract,132
Okhaldhunga,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3477
Okhaldhunga,2068/69,Sinusitis,1584
Okhaldhunga,2068/69,Tonsilitis,8200
Okhaldhunga,2068/69,Pharyngities/ Sore throat,4208
Okhaldhunga,2068/69,Foreign body in respiratory tract,120
Khotang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4070
Khotang,2068/69,Sinusitis,1809
Khotang,2068/69,Tonsilitis,11254
Khotang,2068/69,Pharyngities/ Sore throat,3112
Khotang,2068/69,Foreign body in respiratory tract,223
Udaypur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5647
Udaypur,2068/69,Sinusitis,1633
Udaypur,2068/69,Tonsilitis,10445
Udaypur,2068/69,Pharyngities/ Sore throat,4985
Udaypur,2068/69,Foreign body in respiratory tract,138
Saptari,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),17980
Saptari,2068/69,Sinusitis,2042
Saptari,2068/69,Tonsilitis,4610
Saptari,2068/69,Pharyngities/ Sore throat,3098
Saptari,2068/69,Foreign body in respiratory tract,197
Siraha,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),14983
Siraha,2068/69,Sinusitis,2211
Siraha,2068/69,Tonsilitis,4673
Siraha,2068/69,Pharyngities/ Sore throat,2453
Siraha,2068/69,Foreign body in respiratory tract,141
Dhanusha,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),18311
Dhanusha,2068/69,Sinusitis,2088
Dhanusha,2068/69,Tonsilitis,4727
Dhanusha,2068/69,Pharyngities/ Sore throat,2510
Dhanusha,2068/69,Foreign body in respiratory tract,296
Mahottari,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),13447
Mahottari,2068/69,Sinusitis,2569
Mahottari,2068/69,Tonsilitis,3765
Mahottari,2068/69,Pharyngities/ Sore throat,1697
Mahottari,2068/69,Foreign body in respiratory tract,223
Sarlahi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),15422
Sarlahi,2068/69,Sinusitis,3345
Sarlahi,2068/69,Tonsilitis,5571
Sarlahi,2068/69,Pharyngities/ Sore throat,3400
Sarlahi,2068/69,Foreign body in respiratory tract,257
Sindhuli,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3017
Sindhuli,2068/69,Sinusitis,1156
Sindhuli,2068/69,Tonsilitis,3562
Sindhuli,2068/69,Pharyngities/ Sore throat,1766
Sindhuli,2068/69,Foreign body in respiratory tract,34
Ramechhap,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4123
Ramechhap,2068/69,Sinusitis,1487
Ramechhap,2068/69,Tonsilitis,7161
Ramechhap,2068/69,Pharyngities/ Sore throat,3808
Ramechhap,2068/69,Foreign body in respiratory tract,144
Dolkha,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3236
Dolkha,2068/69,Sinusitis,1683
Dolkha,2068/69,Tonsilitis,5861
Dolkha,2068/69,Pharyngities/ Sore throat,2613
Dolkha,2068/69,Foreign body in respiratory tract,89
Sindhupalchowk,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4325
Sindhupalchowk,2068/69,Sinusitis,3125
Sindhupalchowk,2068/69,Tonsilitis,7313
Sindhupalchowk,2068/69,Pharyngities/ Sore throat,4293
Sindhupalchowk,2068/69,Foreign body in respiratory tract,217
Kavre,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),6894
Kavre,2068/69,Sinusitis,2130
Kavre,2068/69,Tonsilitis,11895
Kavre,2068/69,Pharyngities/ Sore throat,4387
Kavre,2068/69,Foreign body in respiratory tract,29
Lalitpur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Lalitpur,2068/69,Sinusitis,0
Lalitpur,2068/69,Tonsilitis,0
Lalitpur,2068/69,Pharyngities/ Sore throat,0
Lalitpur,2068/69,Foreign body in respiratory tract,0
Bhaktapur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3109
Bhaktapur,2068/69,Sinusitis,1672
Bhaktapur,2068/69,Tonsilitis,5254
Bhaktapur,2068/69,Pharyngities/ Sore throat,3416
Bhaktapur,2068/69,Foreign body in respiratory tract,148
Kathmandu,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),8641
Kathmandu,2068/69,Sinusitis,8231
Kathmandu,2068/69,Tonsilitis,17955
Kathmandu,2068/69,Pharyngities/ Sore throat,7802
Kathmandu,2068/69,Foreign body in respiratory tract,350
Nuwakot,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3268
Nuwakot,2068/69,Sinusitis,1387
Nuwakot,2068/69,Tonsilitis,3989
Nuwakot,2068/69,Pharyngities/ Sore throat,1569
Nuwakot,2068/69,Foreign body in respiratory tract,166
Rasuwa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),952
Rasuwa,2068/69,Sinusitis,292
Rasuwa,2068/69,Tonsilitis,1643
Rasuwa,2068/69,Pharyngities/ Sore throat,379
Rasuwa,2068/69,Foreign body in respiratory tract,8
Dhading,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),6193
Dhading,2068/69,Sinusitis,2266
Dhading,2068/69,Tonsilitis,7853
Dhading,2068/69,Pharyngities/ Sore throat,2920
Dhading,2068/69,Foreign body in respiratory tract,104
Makawanpur,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4202
Makawanpur,2068/69,Sinusitis,1342
Makawanpur,2068/69,Tonsilitis,4762
Makawanpur,2068/69,Pharyngities/ Sore throat,1700
Makawanpur,2068/69,Foreign body in respiratory tract,62
Rautahat,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),14519
Rautahat,2068/69,Sinusitis,1299
Rautahat,2068/69,Tonsilitis,3433
Rautahat,2068/69,Pharyngities/ Sore throat,1370
Rautahat,2068/69,Foreign body in respiratory tract,235
Bara,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),16265
Bara,2068/69,Sinusitis,1776
Bara,2068/69,Tonsilitis,4351
Bara,2068/69,Pharyngities/ Sore throat,1379
Bara,2068/69,Foreign body in respiratory tract,132
Parsa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Parsa,2068/69,Sinusitis,0
Parsa,2068/69,Tonsilitis,0
Parsa,2068/69,Pharyngities/ Sore throat,0
Parsa,2068/69,Foreign body in respiratory tract,0
Chitwan,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),13608
Chitwan,2068/69,Sinusitis,7300
Chitwan,2068/69,Tonsilitis,10854
Chitwan,2068/69,Pharyngities/ Sore throat,6973
Chitwan,2068/69,Foreign body in respiratory tract,277
Gorkha,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5157
Gorkha,2068/69,Sinusitis,3260
Gorkha,2068/69,Tonsilitis,8125
Gorkha,2068/69,Pharyngities/ Sore throat,3353
Gorkha,2068/69,Foreign body in respiratory tract,56
Lamjung,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3203
Lamjung,2068/69,Sinusitis,1670
Lamjung,2068/69,Tonsilitis,4832
Lamjung,2068/69,Pharyngities/ Sore throat,1233
Lamjung,2068/69,Foreign body in respiratory tract,33
Tanahu,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3754
Tanahu,2068/69,Sinusitis,2271
Tanahu,2068/69,Tonsilitis,4258
Tanahu,2068/69,Pharyngities/ Sore throat,1566
Tanahu,2068/69,Foreign body in respiratory tract,150
Syangja,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4957
Syangja,2068/69,Sinusitis,6370
Syangja,2068/69,Tonsilitis,8486
Syangja,2068/69,Pharyngities/ Sore throat,3048
Syangja,2068/69,Foreign body in respiratory tract,78
Kaski,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),11302
Kaski,2068/69,Sinusitis,9077
Kaski,2068/69,Tonsilitis,14258
Kaski,2068/69,Pharyngities/ Sore throat,8340
Kaski,2068/69,Foreign body in respiratory tract,578
Manang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),141
Manang,2068/69,Sinusitis,195
Manang,2068/69,Tonsilitis,388
Manang,2068/69,Pharyngities/ Sore throat,140
Manang,2068/69,Foreign body in respiratory tract,34
Mustang,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),554
Mustang,2068/69,Sinusitis,351
Mustang,2068/69,Tonsilitis,1553
Mustang,2068/69,Pharyngities/ Sore throat,357
Mustang,2068/69,Foreign body in respiratory tract,4
Myagdi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),2463
Myagdi,2068/69,Sinusitis,1323
Myagdi,2068/69,Tonsilitis,3998
Myagdi,2068/69,Pharyngities/ Sore throat,1014
Myagdi,2068/69,Foreign body in respiratory tract,40
Parbat,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3469
Parbat,2068/69,Sinusitis,3577
Parbat,2068/69,Tonsilitis,6852
Parbat,2068/69,Pharyngities/ Sore throat,2612
Parbat,2068/69,Foreign body in respiratory tract,33
Baglung,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4244
Baglung,2068/69,Sinusitis,3104
Baglung,2068/69,Tonsilitis,7990
Baglung,2068/69,Pharyngities/ Sore throat,3262
Baglung,2068/69,Foreign body in respiratory tract,312
Gulmi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),4752
Gulmi,2068/69,Sinusitis,4332
Gulmi,2068/69,Tonsilitis,8437
Gulmi,2068/69,Pharyngities/ Sore throat,3564
Gulmi,2068/69,Foreign body in respiratory tract,188
Palpa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5856
Palpa,2068/69,Sinusitis,3747
Palpa,2068/69,Tonsilitis,6744
Palpa,2068/69,Pharyngities/ Sore throat,3037
Palpa,2068/69,Foreign body in respiratory tract,310
Nawalparasi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),10804
Nawalparasi,2068/69,Sinusitis,4499
Nawalparasi,2068/69,Tonsilitis,5606
Nawalparasi,2068/69,Pharyngities/ Sore throat,2561
Nawalparasi,2068/69,Foreign body in respiratory tract,76
Rupandehi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Rupandehi,2068/69,Sinusitis,0
Rupandehi,2068/69,Tonsilitis,0
Rupandehi,2068/69,Pharyngities/ Sore throat,0
Rupandehi,2068/69,Foreign body in respiratory tract,0
Kapilvastu,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),9274
Kapilvastu,2068/69,Sinusitis,3760
Kapilvastu,2068/69,Tonsilitis,5543
Kapilvastu,2068/69,Pharyngities/ Sore throat,2897
Kapilvastu,2068/69,Foreign body in respiratory tract,540
Arghakhanchi,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3843
Arghakhanchi,2068/69,Sinusitis,2301
Arghakhanchi,2068/69,Tonsilitis,3857
Arghakhanchi,2068/69,Pharyngities/ Sore throat,2026
Arghakhanchi,2068/69,Foreign body in respiratory tract,191
Pyuthan,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),5225
Pyuthan,2068/69,Sinusitis,1792
Pyuthan,2068/69,Tonsilitis,3195
Pyuthan,2068/69,Pharyngities/ Sore throat,1871
Pyuthan,2068/69,Foreign body in respiratory tract,58
Rolpa,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3830
Rolpa,2068/69,Sinusitis,1024
Rolpa,2068/69,Tonsilitis,2256
Rolpa,2068/69,Pharyngities/ Sore throat,1854
Rolpa,2068/69,Foreign body in respiratory tract,29
Rukum,2068/69,Acute/ Chronic Suppurative Otitis Media (ASOM),3869
Rukum,2068/69,Sinusitis,1146
Rukum,2068/69,Tonsilitis,2604
Rukum,2068/69,Pharyngities/ Sore throat,1450
Rukum,2068/69,Foreign body in respiratory tract,140
