Year,District,Type of disease,Number of patient
2011/012,Bajhang,Cholera,65
2011/012,Bajhang,Intestinal Worms,8663
2011/012,Bajhang,"Jaundice and Infective
Hepatitis",339
2011/012,Achham,Typhoid (Enteric Fever),5772
2011/012,Achham,Acute gastro enteritis,4384
2011/012,Achham,Ameobic Dysentry,16552
2011/012,Achham,Baccilary Dysentry,6956
2011/012,Achham,"Presumed non infectious
diarrhoea",19924
2011/012,Achham,Cholera,3
2011/012,Achham,Intestinal Worms,14587
2011/012,Achham,"Jaundice and Infective
Hepatitis",272
2011/012,Doti,Typhoid (Enteric Fever),3333
2011/012,Doti,Acute gastro enteritis,2945
2011/012,Doti,Ameobic Dysentry,11136
2011/012,Doti,Baccilary Dysentry,4565
2011/012,Doti,"Presumed non infectious
diarrhoea",11044
2011/012,Doti,Cholera,36
2011/012,Doti,Intestinal Worms,11829
2011/012,Doti,"Jaundice and Infective
Hepatitis",273
2011/012,Kailali,Typhoid (Enteric Fever),11438
2011/012,Kailali,Acute gastro enteritis,5501
2011/012,Kailali,Ameobic Dysentry,11372
2011/012,Kailali,Baccilary Dysentry,4711
2011/012,Kailali,"Presumed non infectious
diarrhoea",15251
2011/012,Kailali,Cholera,0
2011/012,Kailali,Intestinal Worms,13020
2011/012,Kailali,"Jaundice and Infective
Hepatitis",1881
2011/012,Kanchanpur,Typhoid (Enteric Fever),9165
2011/012,Kanchanpur,Acute gastro enteritis,2445
2011/012,Kanchanpur,Ameobic Dysentry,10082
2011/012,Kanchanpur,Baccilary Dysentry,5058
2011/012,Kanchanpur,"Presumed non infectious
diarrhoea",9678
2011/012,Kanchanpur,Cholera,0
2011/012,Kanchanpur,Intestinal Worms,6965
2011/012,Kanchanpur,"Jaundice and Infective
Hepatitis",664
2011/012,Dadeldhura,Typhoid (Enteric Fever),4514
2011/012,Dadeldhura,Acute gastro enteritis,2464
2011/012,Dadeldhura,Ameobic Dysentry,6304
2011/012,Dadeldhura,Baccilary Dysentry,3293
2011/012,Dadeldhura,"Presumed non infectious
diarrhoea",6089
2011/012,Dadeldhura,Cholera,218
2011/012,Dadeldhura,Intestinal Worms,4825
2011/012,Dadeldhura,"Jaundice and Infective
Hepatitis",411
2011/012,Baitadi,Typhoid (Enteric Fever),4359
2011/012,Baitadi,Acute gastro enteritis,3044
2011/012,Baitadi,Ameobic Dysentry,11116
2011/012,Baitadi,Baccilary Dysentry,3636
2011/012,Baitadi,"Presumed non infectious
diarrhoea",6225
2011/012,Baitadi,Cholera,86
2011/012,Baitadi,Intestinal Worms,6651
2011/012,Baitadi,"Jaundice and Infective
Hepatitis",265
2011/012,Darchula,Typhoid (Enteric Fever),2733
2011/012,Darchula,Acute gastro enteritis,1245
2011/012,Darchula,Ameobic Dysentry,6849
2011/012,Darchula,Baccilary Dysentry,2935
2011/012,Darchula,"Presumed non infectious
diarrhoea",3165
2011/012,Darchula,Cholera,0
2011/012,Darchula,Intestinal Worms,5204
2011/012,Darchula,"Jaundice and Infective
Hepatitis",99
2012/013,Taplejung,Typhoid (Enteric Fever),3917
2012/013,Taplejung,Acute gastro enteritis,2322
2012/013,Taplejung,Ameobic Dysentry,2862
2012/013,Taplejung,Baccilary Dysentry,989
2012/013,Taplejung,"Presumed non infectious
diarrhoea",2824
2012/013,Taplejung,Cholera,156
2012/013,Taplejung,Intestinal Worms,9455
2012/013,Taplejung,"Jaundice and Infective
Hepatitis",1180
2012/013,Panchthar,Typhoid (Enteric Fever),2829
2012/013,Panchthar,Acute gastro enteritis,592
2012/013,Panchthar,Ameobic Dysentry,2344
2012/013,Panchthar,Baccilary Dysentry,877
2012/013,Panchthar,"Presumed non infectious
diarrhoea",4149
2012/013,Panchthar,Cholera,5
2012/013,Panchthar,Intestinal Worms,5634
2012/013,Panchthar,"Jaundice and Infective
Hepatitis",250
2012/013,Ilam,Typhoid (Enteric Fever),1989
2012/013,Ilam,Acute gastro enteritis,1271
2012/013,Ilam,Ameobic Dysentry,2023
2012/013,Ilam,Baccilary Dysentry,702
2012/013,Ilam,"Presumed non infectious
diarrhoea",2711
2012/013,Ilam,Cholera,0
2012/013,Ilam,Intestinal Worms,5777
2012/013,Ilam,"Jaundice and Infective
Hepatitis",301
2012/013,Jhapa,Typhoid (Enteric Fever),21273
2012/013,Jhapa,Acute gastro enteritis,9848
2012/013,Jhapa,Ameobic Dysentry,13945
2012/013,Jhapa,Baccilary Dysentry,7050
2012/013,Jhapa,"Presumed non infectious
diarrhoea",7316
2012/013,Jhapa,Cholera,236
2012/013,Jhapa,Intestinal Worms,32109
2012/013,Jhapa,"Jaundice and Infective
Hepatitis",2175
2012/013,Morang,Typhoid (Enteric Fever),20839
2012/013,Morang,Acute gastro enteritis,15686
2012/013,Morang,Ameobic Dysentry,12411
2012/013,Morang,Baccilary Dysentry,5161
2012/013,Morang,"Presumed non infectious
diarrhoea",12454
2012/013,Morang,Cholera,49
2012/013,Morang,Intestinal Worms,19058
2012/013,Morang,"Jaundice and Infective
Hepatitis",2443
2012/013,Sunsari,Typhoid (Enteric Fever),7950
2012/013,Sunsari,Acute gastro enteritis,7219
2012/013,Sunsari,Ameobic Dysentry,12415
2012/013,Sunsari,Baccilary Dysentry,5117
2012/013,Sunsari,"Presumed non infectious
diarrhoea",17678
2012/013,Sunsari,Cholera,0
2012/013,Sunsari,Intestinal Worms,25250
2012/013,Sunsari,"Jaundice and Infective
Hepatitis",815
2012/013,Dhankuta,Typhoid (Enteric Fever),4784
2012/013,Dhankuta,Acute gastro enteritis,1306
2012/013,Dhankuta,Ameobic Dysentry,3735
2012/013,Dhankuta,Baccilary Dysentry,694
2012/013,Dhankuta,"Presumed non infectious
diarrhoea",3327
2012/013,Dhankuta,Cholera,4
2012/013,Dhankuta,Intestinal Worms,5328
2012/013,Dhankuta,"Jaundice and Infective
Hepatitis",178
2012/013,Teharthum,Typhoid (Enteric Fever),2240
2012/013,Teharthum,Acute gastro enteritis,840
2012/013,Teharthum,Ameobic Dysentry,2391
2012/013,Teharthum,Baccilary Dysentry,1109
2012/013,Teharthum,"Presumed non infectious
diarrhoea",2137
2012/013,Teharthum,Cholera,12
2012/013,Teharthum,Intestinal Worms,4924
2012/013,Teharthum,"Jaundice and Infective
Hepatitis",229
2012/013,Sankhuwasabha,Typhoid (Enteric Fever),6900
2012/013,Sankhuwasabha,Acute gastro enteritis,1805
2012/013,Sankhuwasabha,Ameobic Dysentry,2637
2012/013,Sankhuwasabha,Baccilary Dysentry,1242
2012/013,Sankhuwasabha,"Presumed non infectious
diarrhoea",5808
2012/013,Sankhuwasabha,Cholera,32
2012/013,Sankhuwasabha,Intestinal Worms,8025
2012/013,Sankhuwasabha,"Jaundice and Infective
Hepatitis",605
2012/013,Bhojpur,Typhoid (Enteric Fever),5179
2012/013,Bhojpur,Acute gastro enteritis,2305
2012/013,Bhojpur,Ameobic Dysentry,4445
2012/013,Bhojpur,Baccilary Dysentry,2093
2012/013,Bhojpur,"Presumed non infectious
diarrhoea",5537
2012/013,Bhojpur,Cholera,0
2012/013,Bhojpur,Intestinal Worms,5866
2012/013,Bhojpur,"Jaundice and Infective
Hepatitis",450
2012/013,Solukhumbu,Typhoid (Enteric Fever),1806
2012/013,Solukhumbu,Acute gastro enteritis,3337
2012/013,Solukhumbu,Ameobic Dysentry,3456
2012/013,Solukhumbu,Baccilary Dysentry,2640
2012/013,Solukhumbu,"Presumed non infectious
diarrhoea",4815
2012/013,Solukhumbu,Cholera,0
2012/013,Solukhumbu,Intestinal Worms,10105
2012/013,Solukhumbu,"Jaundice and Infective
Hepatitis",386
2012/013,Okhaldhunga,Typhoid (Enteric Fever),3885
2012/013,Okhaldhunga,Acute gastro enteritis,1728
2012/013,Okhaldhunga,Ameobic Dysentry,3996
2012/013,Okhaldhunga,Baccilary Dysentry,1564
2012/013,Okhaldhunga,"Presumed non infectious
diarrhoea",6570
2012/013,Okhaldhunga,Cholera,239
2012/013,Okhaldhunga,Intestinal Worms,6690
2012/013,Okhaldhunga,"Jaundice and Infective
Hepatitis",244
2012/013,Khotang,Typhoid (Enteric Fever),6268
2012/013,Khotang,Acute gastro enteritis,6086
2012/013,Khotang,Ameobic Dysentry,8043
2012/013,Khotang,Baccilary Dysentry,4203
2012/013,Khotang,"Presumed non infectious
diarrhoea",3891
2012/013,Khotang,Cholera,0
2012/013,Khotang,Intestinal Worms,20376
2012/013,Khotang,"Jaundice and Infective
Hepatitis",708
2012/013,Udaypur,Typhoid (Enteric Fever),8298
2012/013,Udaypur,Acute gastro enteritis,5008
2012/013,Udaypur,Ameobic Dysentry,7196
2012/013,Udaypur,Baccilary Dysentry,3785
2012/013,Udaypur,"Presumed non infectious
diarrhoea",7218
2012/013,Udaypur,Cholera,15
2012/013,Udaypur,Intestinal Worms,15013
2012/013,Udaypur,"Jaundice and Infective
Hepatitis",543
2012/013,Saptari,Typhoid (Enteric Fever),8499
2012/013,Saptari,Acute gastro enteritis,12397
2012/013,Saptari,Ameobic Dysentry,19080
2012/013,Saptari,Baccilary Dysentry,6736
2012/013,Saptari,"Presumed non infectious
diarrhoea",34352
2012/013,Saptari,Cholera,0
2012/013,Saptari,Intestinal Worms,37617
2012/013,Saptari,"Jaundice and Infective
Hepatitis",418
2012/013,Siraha,Typhoid (Enteric Fever),19986
2012/013,Siraha,Acute gastro enteritis,9612
2012/013,Siraha,Ameobic Dysentry,14462
2012/013,Siraha,Baccilary Dysentry,6839
2012/013,Siraha,"Presumed non infectious
diarrhoea",23201
2012/013,Siraha,Cholera,191
2012/013,Siraha,Intestinal Worms,33667
2012/013,Siraha,"Jaundice and Infective
Hepatitis",619
2012/013,Eastern,Typhoid (Enteric Fever),126642
2012/013,Eastern,Acute gastro enteritis,81362
2012/013,Eastern,Ameobic Dysentry,115441
2012/013,Eastern,Baccilary Dysentry,50801
2012/013,Eastern,"Presumed non infectious
diarrhoea",143988
2012/013,Eastern,Cholera,939
2012/013,Eastern,Intestinal Worms,244894
2012/013,Eastern,"Jaundice and Infective
Hepatitis",11544
2012/013,Dhanusha,Typhoid (Enteric Fever),19705
2012/013,Dhanusha,Acute gastro enteritis,7643
2012/013,Dhanusha,Ameobic Dysentry,13821
2012/013,Dhanusha,Baccilary Dysentry,6537
2012/013,Dhanusha,"Presumed non infectious
diarrhoea",18623
2012/013,Dhanusha,Cholera,666
2012/013,Dhanusha,Intestinal Worms,34667
2012/013,Dhanusha,"Jaundice and Infective
Hepatitis",782
2012/013,Mahottari,Typhoid (Enteric Fever),20326
2012/013,Mahottari,Acute gastro enteritis,8710
2012/013,Mahottari,Ameobic Dysentry,17999
2012/013,Mahottari,Baccilary Dysentry,8461
2012/013,Mahottari,"Presumed non infectious
diarrhoea",18595
2012/013,Mahottari,Cholera,0
2012/013,Mahottari,Intestinal Worms,39022
2012/013,Mahottari,"Jaundice and Infective
Hepatitis",829
2012/013,Sarlahi,Typhoid (Enteric Fever),21583
2012/013,Sarlahi,Acute gastro enteritis,13443
2012/013,Sarlahi,Ameobic Dysentry,27367
2012/013,Sarlahi,Baccilary Dysentry,10336
2012/013,Sarlahi,"Presumed non infectious
diarrhoea",21209
2012/013,Sarlahi,Cholera,31
2012/013,Sarlahi,Intestinal Worms,42445
2012/013,Sarlahi,"Jaundice and Infective
Hepatitis",792
2012/013,Sindhuli,Typhoid (Enteric Fever),8933
2012/013,Sindhuli,Acute gastro enteritis,3427
2012/013,Sindhuli,Ameobic Dysentry,3837
2012/013,Sindhuli,Baccilary Dysentry,1874
2012/013,Sindhuli,"Presumed non infectious
diarrhoea",4605
2012/013,Sindhuli,Cholera,56
2012/013,Sindhuli,Intestinal Worms,7214
2012/013,Sindhuli,"Jaundice and Infective
Hepatitis",237
2012/013,Ramechhap,Typhoid (Enteric Fever),4599
2012/013,Ramechhap,Acute gastro enteritis,1901
2012/013,Ramechhap,Ameobic Dysentry,3407
2012/013,Ramechhap,Baccilary Dysentry,1326
2012/013,Ramechhap,"Presumed non infectious
diarrhoea",7802
2012/013,Ramechhap,Cholera,141
2012/013,Ramechhap,Intestinal Worms,4445
2012/013,Ramechhap,"Jaundice and Infective
Hepatitis",383
2012/013,Dolkha,Typhoid (Enteric Fever),7455
2012/013,Dolkha,Acute gastro enteritis,2462
2012/013,Dolkha,Ameobic Dysentry,4551
2012/013,Dolkha,Baccilary Dysentry,2063
2012/013,Dolkha,"Presumed non infectious
diarrhoea",8034
2012/013,Dolkha,Cholera,500
2012/013,Dolkha,Intestinal Worms,8282
2012/013,Dolkha,"Jaundice and Infective
Hepatitis",511
2012/013,Sindhupalchowk,Typhoid (Enteric Fever),6923
2012/013,Sindhupalchowk,Acute gastro enteritis,3618
2012/013,Sindhupalchowk,Ameobic Dysentry,6663
2012/013,Sindhupalchowk,Baccilary Dysentry,2614
2012/013,Sindhupalchowk,"Presumed non infectious
diarrhoea",8727
2012/013,Sindhupalchowk,Cholera,63
2012/013,Sindhupalchowk,Intestinal Worms,6073
2012/013,Sindhupalchowk,"Jaundice and Infective
Hepatitis",371
2012/013,Kavre,Typhoid (Enteric Fever),14121
2012/013,Kavre,Acute gastro enteritis,4634
2012/013,Kavre,Ameobic Dysentry,8962
2012/013,Kavre,Baccilary Dysentry,2908
2012/013,Kavre,"Presumed non infectious
diarrhoea",16479
2012/013,Kavre,Cholera,23
2012/013,Kavre,Intestinal Worms,5255
2012/013,Kavre,"Jaundice and Infective
Hepatitis",1223
2012/013,Lalitpur,Typhoid (Enteric Fever),0
2012/013,Lalitpur,Acute gastro enteritis,0
2012/013,Lalitpur,Ameobic Dysentry,0
2012/013,Lalitpur,Baccilary Dysentry,0
2012/013,Lalitpur,"Presumed non infectious
diarrhoea",0
2012/013,Lalitpur,Cholera,0
2012/013,Lalitpur,Intestinal Worms,0
2012/013,Lalitpur,"Jaundice and Infective
Hepatitis",0
2012/013,Bhaktapur,Typhoid (Enteric Fever),3554
2012/013,Bhaktapur,Acute gastro enteritis,4435
2012/013,Bhaktapur,Ameobic Dysentry,3745
2012/013,Bhaktapur,Baccilary Dysentry,809
2012/013,Bhaktapur,"Presumed non infectious
diarrhoea",4149
2012/013,Bhaktapur,Cholera,17
2012/013,Bhaktapur,Intestinal Worms,2421
2012/013,Bhaktapur,"Jaundice and Infective
Hepatitis",888
2012/013,Kathmandu,Typhoid (Enteric Fever),13429
2012/013,Kathmandu,Acute gastro enteritis,20502
2012/013,Kathmandu,Ameobic Dysentry,12867
2012/013,Kathmandu,Baccilary Dysentry,4979
2012/013,Kathmandu,"Presumed non infectious
diarrhoea",15333
2012/013,Kathmandu,Cholera,67
2012/013,Kathmandu,Intestinal Worms,10525
2012/013,Kathmandu,"Jaundice and Infective
Hepatitis",4680
2012/013,Nuwakot,Typhoid (Enteric Fever),8116
2012/013,Nuwakot,Acute gastro enteritis,5137
2012/013,Nuwakot,Ameobic Dysentry,5455
2012/013,Nuwakot,Baccilary Dysentry,2622
2012/013,Nuwakot,"Presumed non infectious
diarrhoea",5856
2012/013,Nuwakot,Cholera,2
2012/013,Nuwakot,Intestinal Worms,4160
2012/013,Nuwakot,"Jaundice and Infective
Hepatitis",920
2012/013,Rasuwa,Typhoid (Enteric Fever),933
2012/013,Rasuwa,Acute gastro enteritis,1031
2012/013,Rasuwa,Ameobic Dysentry,1191
2012/013,Rasuwa,Baccilary Dysentry,726
2012/013,Rasuwa,"Presumed non infectious
diarrhoea",1853
2012/013,Rasuwa,Cholera,0
2012/013,Rasuwa,Intestinal Worms,1307
2012/013,Rasuwa,"Jaundice and Infective
Hepatitis",37
2012/013,Dhading,Typhoid (Enteric Fever),15835
2012/013,Dhading,Acute gastro enteritis,4585
2012/013,Dhading,Ameobic Dysentry,8629
2012/013,Dhading,Baccilary Dysentry,3680
2012/013,Dhading,"Presumed non infectious
diarrhoea",11376
2012/013,Dhading,Cholera,34
2012/013,Dhading,Intestinal Worms,6850
2012/013,Dhading,"Jaundice and Infective
Hepatitis",1289
2012/013,Makawanpur,Typhoid (Enteric Fever),4025
2012/013,Makawanpur,Acute gastro enteritis,2705
2012/013,Makawanpur,Ameobic Dysentry,5197
2012/013,Makawanpur,Baccilary Dysentry,2304
2012/013,Makawanpur,"Presumed non infectious
diarrhoea",10338
2012/013,Makawanpur,Cholera,208
2012/013,Makawanpur,Intestinal Worms,4537
2012/013,Makawanpur,"Jaundice and Infective
Hepatitis",422
2012/013,Rautahat,Typhoid (Enteric Fever),17292
2012/013,Rautahat,Acute gastro enteritis,9335
2012/013,Rautahat,Ameobic Dysentry,28075
2012/013,Rautahat,Baccilary Dysentry,13960
2012/013,Rautahat,"Presumed non infectious
diarrhoea",34596
2012/013,Rautahat,Cholera,258
2012/013,Rautahat,Intestinal Worms,41100
2012/013,Rautahat,"Jaundice and Infective
Hepatitis",434
2012/013,Bara,Typhoid (Enteric Fever),11473
2012/013,Bara,Acute gastro enteritis,8489
2012/013,Bara,Ameobic Dysentry,20911
2012/013,Bara,Baccilary Dysentry,7564
2012/013,Bara,"Presumed non infectious
diarrhoea",20958
2012/013,Bara,Cholera,313
2012/013,Bara,Intestinal Worms,26206
2012/013,Bara,"Jaundice and Infective
Hepatitis",964
2012/013,Parsa,Typhoid (Enteric Fever),0
2012/013,Parsa,Acute gastro enteritis,0
2012/013,Parsa,Ameobic Dysentry,0
2012/013,Parsa,Baccilary Dysentry,0
2012/013,Parsa,"Presumed non infectious
diarrhoea",0
2012/013,Parsa,Cholera,0
2012/013,Parsa,Intestinal Worms,0
2012/013,Parsa,"Jaundice and Infective
Hepatitis",0
2012/013,Chitwan,Typhoid (Enteric Fever),9988
2012/013,Chitwan,Acute gastro enteritis,14727
2012/013,Chitwan,Ameobic Dysentry,8880
2012/013,Chitwan,Baccilary Dysentry,3164
2012/013,Chitwan,"Presumed non infectious
diarrhoea",10990
2012/013,Chitwan,Cholera,49
2012/013,Chitwan,Intestinal Worms,12308
2012/013,Chitwan,"Jaundice and Infective
Hepatitis",1686
2012/013,Central,Typhoid (Enteric Fever),188290
2012/013,Central,Acute gastro enteritis,116784
2012/013,Central,Ameobic Dysentry,181557
2012/013,Central,Baccilary Dysentry,75927
2012/013,Central,"Presumed non infectious
diarrhoea",219523
2012/013,Central,Cholera,2428
2012/013,Central,Intestinal Worms,256817
2012/013,Central,"Jaundice and Infective
Hepatitis",16448
2012/013,Gorkha,Typhoid (Enteric Fever),6865
2012/013,Gorkha,Acute gastro enteritis,6046
2012/013,Gorkha,Ameobic Dysentry,7505
2012/013,Gorkha,Baccilary Dysentry,2648
2012/013,Gorkha,"Presumed non infectious
diarrhoea",6279
2012/013,Gorkha,Cholera,0
2012/013,Gorkha,Intestinal Worms,6365
2012/013,Gorkha,"Jaundice and Infective
Hepatitis",884
2012/013,Lamjung,Typhoid (Enteric Fever),4430
2012/013,Lamjung,Acute gastro enteritis,2247
2012/013,Lamjung,Ameobic Dysentry,4243
2012/013,Lamjung,Baccilary Dysentry,1459
2012/013,Lamjung,"Presumed non infectious
diarrhoea",7348
2012/013,Lamjung,Cholera,49
2012/013,Lamjung,Intestinal Worms,5962
2012/013,Lamjung,"Jaundice and Infective
Hepatitis",656
2012/013,Tanahu,Typhoid (Enteric Fever),5904
2012/013,Tanahu,Acute gastro enteritis,2190
2012/013,Tanahu,Ameobic Dysentry,3669
2012/013,Tanahu,Baccilary Dysentry,1838
2012/013,Tanahu,"Presumed non infectious
diarrhoea",4925
2012/013,Tanahu,Cholera,21
2012/013,Tanahu,Intestinal Worms,6574
2012/013,Tanahu,"Jaundice and Infective
Hepatitis",848
2012/013,Syangja,Typhoid (Enteric Fever),13114
2012/013,Syangja,Acute gastro enteritis,3253
2012/013,Syangja,Ameobic Dysentry,5958
2012/013,Syangja,Baccilary Dysentry,1624
2012/013,Syangja,"Presumed non infectious
diarrhoea",6767
2012/013,Syangja,Cholera,0
2012/013,Syangja,Intestinal Worms,5058
2012/013,Syangja,"Jaundice and Infective
Hepatitis",617
2012/013,Kaski,Typhoid (Enteric Fever),11517
2012/013,Kaski,Acute gastro enteritis,12923
2012/013,Kaski,Ameobic Dysentry,9124
2012/013,Kaski,Baccilary Dysentry,3168
2012/013,Kaski,"Presumed non infectious
diarrhoea",8158
2012/013,Kaski,Cholera,0
2012/013,Kaski,Intestinal Worms,7135
2012/013,Kaski,"Jaundice and Infective
Hepatitis",2835
2012/013,Manang,Typhoid (Enteric Fever),64
2012/013,Manang,Acute gastro enteritis,336
2012/013,Manang,Ameobic Dysentry,527
2012/013,Manang,Baccilary Dysentry,103
2012/013,Manang,"Presumed non infectious
diarrhoea",255
2012/013,Manang,Cholera,3
2012/013,Manang,Intestinal Worms,608
2012/013,Manang,"Jaundice and Infective
Hepatitis",11
2012/013,Mustang,Typhoid (Enteric Fever),61
2012/013,Mustang,Acute gastro enteritis,706
2012/013,Mustang,Ameobic Dysentry,442
2012/013,Mustang,Baccilary Dysentry,154
2012/013,Mustang,"Presumed non infectious
diarrhoea",931
2012/013,Mustang,Cholera,6
2012/013,Mustang,Intestinal Worms,725
2012/013,Mustang,"Jaundice and Infective
Hepatitis",14
2012/013,Myagdi,Typhoid (Enteric Fever),1350
2012/013,Myagdi,Acute gastro enteritis,1000
2012/013,Myagdi,Ameobic Dysentry,3081
2012/013,Myagdi,Baccilary Dysentry,1246
2012/013,Myagdi,"Presumed non infectious
diarrhoea",4571
2012/013,Myagdi,Cholera,0
2012/013,Myagdi,Intestinal Worms,2965
2012/013,Myagdi,"Jaundice and Infective
Hepatitis",453
2012/013,Parbat,Typhoid (Enteric Fever),5397
2012/013,Parbat,Acute gastro enteritis,1752
2012/013,Parbat,Ameobic Dysentry,4246
2012/013,Parbat,Baccilary Dysentry,923
2012/013,Parbat,"Presumed non infectious
diarrhoea",4925
2012/013,Parbat,Cholera,48
2012/013,Parbat,Intestinal Worms,3725
2012/013,Parbat,"Jaundice and Infective
Hepatitis",495
2012/013,Baglung,Typhoid (Enteric Fever),12653
2012/013,Baglung,Acute gastro enteritis,3833
2012/013,Baglung,Ameobic Dysentry,6602
2012/013,Baglung,Baccilary Dysentry,3402
2012/013,Baglung,"Presumed non infectious
diarrhoea",7137
2012/013,Baglung,Cholera,0
2012/013,Baglung,Intestinal Worms,6071
2012/013,Baglung,"Jaundice and Infective
Hepatitis",839
2012/013,Gulmi,Typhoid (Enteric Fever),7826
2012/013,Gulmi,Acute gastro enteritis,4588
2012/013,Gulmi,Ameobic Dysentry,7443
2012/013,Gulmi,Baccilary Dysentry,2106
2012/013,Gulmi,"Presumed non infectious
diarrhoea",3657
2012/013,Gulmi,Cholera,0
2012/013,Gulmi,Intestinal Worms,9513
2012/013,Gulmi,"Jaundice and Infective
Hepatitis",1116
2012/013,Palpa,Typhoid (Enteric Fever),11094
2012/013,Palpa,Acute gastro enteritis,2071
2012/013,Palpa,Ameobic Dysentry,6165
2012/013,Palpa,Baccilary Dysentry,2163
2012/013,Palpa,"Presumed non infectious
diarrhoea",8646
2012/013,Palpa,Cholera,48
2012/013,Palpa,Intestinal Worms,5331
2012/013,Palpa,"Jaundice and Infective
Hepatitis",425
2012/013,Nawalparasi,Typhoid (Enteric Fever),10445
2012/013,Nawalparasi,Acute gastro enteritis,7813
2012/013,Nawalparasi,Ameobic Dysentry,9135
2012/013,Nawalparasi,Baccilary Dysentry,4855
2012/013,Nawalparasi,"Presumed non infectious
diarrhoea",22822
2012/013,Nawalparasi,Cholera,0
2012/013,Nawalparasi,Intestinal Worms,11630
2012/013,Nawalparasi,"Jaundice and Infective
Hepatitis",537
2012/013,Rupandehi,Typhoid (Enteric Fever),0
2012/013,Rupandehi,Acute gastro enteritis,0
2012/013,Rupandehi,Ameobic Dysentry,0
2012/013,Rupandehi,Baccilary Dysentry,0
2012/013,Rupandehi,"Presumed non infectious
diarrhoea",0
2012/013,Rupandehi,Cholera,0
2012/013,Rupandehi,Intestinal Worms,0
2012/013,Rupandehi,"Jaundice and Infective
Hepatitis",0
2012/013,Kapilvastu,Typhoid (Enteric Fever),13518
2012/013,Kapilvastu,Acute gastro enteritis,12833
2012/013,Kapilvastu,Ameobic Dysentry,27141
2012/013,Kapilvastu,Baccilary Dysentry,12028
2012/013,Kapilvastu,"Presumed non infectious
diarrhoea",16466
2012/013,Kapilvastu,Cholera,237
2012/013,Kapilvastu,Intestinal Worms,17681
2012/013,Kapilvastu,"Jaundice and Infective
Hepatitis",545
2012/013,Arghakhanchi,Typhoid (Enteric Fever),7148
2012/013,Arghakhanchi,Acute gastro enteritis,2260
2012/013,Arghakhanchi,Ameobic Dysentry,5994
2012/013,Arghakhanchi,Baccilary Dysentry,2276
2012/013,Arghakhanchi,"Presumed non infectious
diarrhoea",5735
2012/013,Arghakhanchi,Cholera,35
2012/013,Arghakhanchi,Intestinal Worms,5485
2012/013,Arghakhanchi,"Jaundice and Infective
Hepatitis",611
2012/013,Western,Typhoid (Enteric Fever),111386
2012/013,Western,Acute gastro enteritis,63851
2012/013,Western,Ameobic Dysentry,101275
2012/013,Western,Baccilary Dysentry,39993
2012/013,Western,"Presumed non infectious
diarrhoea",108622
2012/013,Western,Cholera,447
2012/013,Western,Intestinal Worms,94828
2012/013,Western,"Jaundice and Infective
Hepatitis",10886
2012/013,Pyuthan,Typhoid (Enteric Fever),9574
2012/013,Pyuthan,Acute gastro enteritis,3014
2012/013,Pyuthan,Ameobic Dysentry,6447
2012/013,Pyuthan,Baccilary Dysentry,3157
2012/013,Pyuthan,"Presumed non infectious
diarrhoea",12515
2012/013,Pyuthan,Cholera,0
2012/013,Pyuthan,Intestinal Worms,4803
2012/013,Pyuthan,"Jaundice and Infective
Hepatitis",964
2012/013,Rolpa,Typhoid (Enteric Fever),7409
2012/013,Rolpa,Acute gastro enteritis,2748
2012/013,Rolpa,Ameobic Dysentry,5821
2012/013,Rolpa,Baccilary Dysentry,2356
2012/013,Rolpa,"Presumed non infectious
diarrhoea",8874
2012/013,Rolpa,Cholera,0
2012/013,Rolpa,Intestinal Worms,3976
2012/013,Rolpa,"Jaundice and Infective
Hepatitis",263
2012/013,Rukum,Typhoid (Enteric Fever),8850
2012/013,Rukum,Acute gastro enteritis,2693
2012/013,Rukum,Ameobic Dysentry,6310
2012/013,Rukum,Baccilary Dysentry,3134
2012/013,Rukum,"Presumed non infectious
diarrhoea",8304
2012/013,Rukum,Cholera,222
2012/013,Rukum,Intestinal Worms,6862
2012/013,Rukum,"Jaundice and Infective
Hepatitis",310
2012/013,Salyan,Typhoid (Enteric Fever),10609
2012/013,Salyan,Acute gastro enteritis,3917
2012/013,Salyan,Ameobic Dysentry,10272
2012/013,Salyan,Baccilary Dysentry,5715
2012/013,Salyan,"Presumed non infectious
diarrhoea",7322
2012/013,Salyan,Cholera,0
2012/013,Salyan,Intestinal Worms,5186
2012/013,Salyan,"Jaundice and Infective
Hepatitis",637
2012/013,Dang,Typhoid (Enteric Fever),18046
2012/013,Dang,Acute gastro enteritis,7106
2012/013,Dang,Ameobic Dysentry,11634
2012/013,Dang,Baccilary Dysentry,5638
2012/013,Dang,"Presumed non infectious
diarrhoea",13632
2012/013,Dang,Cholera,0
2012/013,Dang,Intestinal Worms,12107
2012/013,Dang,"Jaundice and Infective
Hepatitis",2143
2012/013,Banke,Typhoid (Enteric Fever),9079
2012/013,Banke,Acute gastro enteritis,6002
2012/013,Banke,Ameobic Dysentry,14339
2012/013,Banke,Baccilary Dysentry,6150
2012/013,Banke,"Presumed non infectious
diarrhoea",15899
2012/013,Banke,Cholera,188
2012/013,Banke,Intestinal Worms,12155
2012/013,Banke,"Jaundice and Infective
Hepatitis",482
2012/013,Bardiya,Typhoid (Enteric Fever),15388
2012/013,Bardiya,Acute gastro enteritis,6150
2012/013,Bardiya,Ameobic Dysentry,13781
2012/013,Bardiya,Baccilary Dysentry,8305
