District,Year,Mental problem,Number of patients
Mahottari,2067/68,"Conversive disorder
(Hysteria)",9
Mahottari,2067/68,Alcoholism,69
Mahottari,2067/68,Epilesy,3
Sarlahi,2067/68,Depression,183
Sarlahi,2067/68,Psychosis,49
Sarlahi,2067/68,Anxiety (Neurosis,98
Sarlahi,2067/68,Mental retardation,29
Sarlahi,2067/68,"Conversive disorder
(Hysteria)",55
Sarlahi,2067/68,Alcoholism,92
Sarlahi,2067/68,Epilesy,70
Sindhuli,2067/68,Depression,30
Sindhuli,2067/68,Psychosis,16
Sindhuli,2067/68,Anxiety (Neurosis,43
Sindhuli,2067/68,Mental retardation,8
Sindhuli,2067/68,"Conversive disorder
(Hysteria)",6
Sindhuli,2067/68,Alcoholism,5
Sindhuli,2067/68,Epilesy,5
Ramechhap,2067/68,Depression,175
Ramechhap,2067/68,Psychosis,12
Ramechhap,2067/68,Anxiety (Neurosis,147
Ramechhap,2067/68,Mental retardation,5
Ramechhap,2067/68,"Conversive disorder
(Hysteria)",9
Ramechhap,2067/68,Alcoholism,15
Ramechhap,2067/68,Epilesy,34
Dolkha,2067/68,Depression,148
Dolkha,2067/68,Psychosis,248
Dolkha,2067/68,Anxiety (Neurosis,9
Dolkha,2067/68,Mental retardation,88
Dolkha,2067/68,"Conversive disorder
(Hysteria)",139
Dolkha,2067/68,Alcoholism,355
Dolkha,2067/68,Epilesy,4
Sindhupalchowk,2067/68,Depression,32
Sindhupalchowk,2067/68,Psychosis,13
Sindhupalchowk,2067/68,Anxiety (Neurosis,111
Sindhupalchowk,2067/68,Mental retardation,4
Sindhupalchowk,2067/68,"Conversive disorder
(Hysteria)",55
Sindhupalchowk,2067/68,Alcoholism,33
Sindhupalchowk,2067/68,Epilesy,39
Kavre,2067/68,Depression,96
Kavre,2067/68,Psychosis,26
Kavre,2067/68,Anxiety (Neurosis,140
Kavre,2067/68,Mental retardation,1
Kavre,2067/68,"Conversive disorder
(Hysteria)",14
Kavre,2067/68,Alcoholism,235
Kavre,2067/68,Epilesy,42
Lalitpur,2067/68,Depression,0
Lalitpur,2067/68,Psychosis,0
Lalitpur,2067/68,Anxiety (Neurosis,0
Lalitpur,2067/68,Mental retardation,0
Lalitpur,2067/68,"Conversive disorder
(Hysteria)",0
Lalitpur,2067/68,Alcoholism,0
Lalitpur,2067/68,Epilesy,0
Bhaktapur,2067/68,Depression,72
Bhaktapur,2067/68,Psychosis,9
Bhaktapur,2067/68,Anxiety (Neurosis,51
Bhaktapur,2067/68,Mental retardation,4
Bhaktapur,2067/68,"Conversive disorder
(Hysteria)",65
Bhaktapur,2067/68,Alcoholism,145
Bhaktapur,2067/68,Epilesy,23
Kathmandu,2067/68,Depression,1714
Kathmandu,2067/68,Psychosis,747
Kathmandu,2067/68,Anxiety (Neurosis,1839
Kathmandu,2067/68,Mental retardation,67
Kathmandu,2067/68,"Conversive disorder
(Hysteria)",467
Kathmandu,2067/68,Alcoholism,1969
Kathmandu,2067/68,Epilesy,630
Nuwakot,2067/68,Depression,50
Nuwakot,2067/68,Psychosis,4
Nuwakot,2067/68,Anxiety (Neurosis,56
Nuwakot,2067/68,Mental retardation,85
Nuwakot,2067/68,"Conversive disorder
(Hysteria)",98
Nuwakot,2067/68,Alcoholism,42
Nuwakot,2067/68,Epilesy,11
Rasuwa,2067/68,Depression,5
Rasuwa,2067/68,Psychosis,9
Rasuwa,2067/68,Anxiety (Neurosis,26
Rasuwa,2067/68,Mental retardation,0
Rasuwa,2067/68,"Conversive disorder
(Hysteria)",0
Rasuwa,2067/68,Alcoholism,7
Rasuwa,2067/68,Epilesy,1
Dhading,2067/68,Depression,272
Dhading,2067/68,Psychosis,142
Dhading,2067/68,Anxiety (Neurosis,105
Dhading,2067/68,Mental retardation,58
Dhading,2067/68,"Conversive disorder
(Hysteria)",69
Dhading,2067/68,Alcoholism,139
Dhading,2067/68,Epilesy,66
Makawanpur,2067/68,Depression,159
Makawanpur,2067/68,Psychosis,170
Makawanpur,2067/68,Anxiety (Neurosis,168
Makawanpur,2067/68,Mental retardation,2
Makawanpur,2067/68,"Conversive disorder
(Hysteria)",6
Makawanpur,2067/68,Alcoholism,29
Makawanpur,2067/68,Epilesy,636
Rautahat,2067/68,Depression,148
Rautahat,2067/68,Psychosis,40
Rautahat,2067/68,Anxiety (Neurosis,124
Rautahat,2067/68,Mental retardation,17
Rautahat,2067/68,"Conversive disorder
(Hysteria)",9
Rautahat,2067/68,Alcoholism,67
Rautahat,2067/68,Epilesy,8
Bara,2067/68,Depression,152
Bara,2067/68,Psychosis,16
Bara,2067/68,Anxiety (Neurosis,127
Bara,2067/68,Mental retardation,8
Bara,2067/68,"Conversive disorder
(Hysteria)",16
Bara,2067/68,Alcoholism,61
Bara,2067/68,Epilesy,38
Parsa,2067/68,Depression,0
Parsa,2067/68,Psychosis,0
Parsa,2067/68,Anxiety (Neurosis,0
Parsa,2067/68,Mental retardation,0
Parsa,2067/68,"Conversive disorder
(Hysteria)",0
Parsa,2067/68,Alcoholism,0
Parsa,2067/68,Epilesy,0
Chitwan,2067/68,Depression,2292
Chitwan,2067/68,Psychosis,1036
Chitwan,2067/68,Anxiety (Neurosis,1176
Chitwan,2067/68,Mental retardation,505
Chitwan,2067/68,"Conversive disorder
(Hysteria)",627
Chitwan,2067/68,Alcoholism,713
Chitwan,2067/68,Epilesy,467
Gorkha,2067/68,Depression,2816
Gorkha,2067/68,Psychosis,25
Gorkha,2067/68,Anxiety (Neurosis,627
Gorkha,2067/68,Mental retardation,15
Gorkha,2067/68,"Conversive disorder
(Hysteria)",104
Gorkha,2067/68,Alcoholism,40
Gorkha,2067/68,Epilesy,475
Lamjung,2067/68,Depression,185
Lamjung,2067/68,Psychosis,63
Lamjung,2067/68,Anxiety (Neurosis,311
Lamjung,2067/68,Mental retardation,62
Lamjung,2067/68,"Conversive disorder
(Hysteria)",5
Lamjung,2067/68,Alcoholism,144
Lamjung,2067/68,Epilesy,237
Tanahu,2067/68,Depression,124
Tanahu,2067/68,Psychosis,43
Tanahu,2067/68,Anxiety (Neurosis,115
Tanahu,2067/68,Mental retardation,15
Tanahu,2067/68,"Conversive disorder
(Hysteria)",23
Tanahu,2067/68,Alcoholism,68
Tanahu,2067/68,Epilesy,20
Syangja,2067/68,Depression,345
Syangja,2067/68,Psychosis,48
Syangja,2067/68,Anxiety (Neurosis,423
Syangja,2067/68,Mental retardation,18
Syangja,2067/68,"Conversive disorder
(Hysteria)",150
Syangja,2067/68,Alcoholism,75
Syangja,2067/68,Epilesy,53
Kaski,2067/68,Depression,2009
Kaski,2067/68,Psychosis,2996
Kaski,2067/68,Anxiety (Neurosis,3235
Kaski,2067/68,Mental retardation,164
Kaski,2067/68,"Conversive disorder
(Hysteria)",762
Kaski,2067/68,Alcoholism,443
Kaski,2067/68,Epilesy,1011
Manang,2067/68,Depression,5
Manang,2067/68,Psychosis,0
Manang,2067/68,Anxiety (Neurosis,6
Manang,2067/68,Mental retardation,0
Manang,2067/68,"Conversive disorder
(Hysteria)",2
Manang,2067/68,Alcoholism,2
Manang,2067/68,Epilesy,1
Mustang,2067/68,Depression,7
Mustang,2067/68,Psychosis,0
Mustang,2067/68,Anxiety (Neurosis,10
Mustang,2067/68,Mental retardation,0
Mustang,2067/68,"Conversive disorder
(Hysteria)",1
Mustang,2067/68,Alcoholism,1
Mustang,2067/68,Epilesy,0
Myagdi,2067/68,Depression,36
Myagdi,2067/68,Psychosis,14
Myagdi,2067/68,Anxiety (Neurosis,57
Myagdi,2067/68,Mental retardation,5
Myagdi,2067/68,"Conversive disorder
(Hysteria)",17
Myagdi,2067/68,Alcoholism,18
Myagdi,2067/68,Epilesy,12
Parbat,2067/68,Depression,133
Parbat,2067/68,Psychosis,9
Parbat,2067/68,Anxiety (Neurosis,326
Parbat,2067/68,Mental retardation,26
Parbat,2067/68,"Conversive disorder
(Hysteria)",7
Parbat,2067/68,Alcoholism,28
Parbat,2067/68,Epilesy,38
Baglung,2067/68,Depression,313
Baglung,2067/68,Psychosis,95
Baglung,2067/68,Anxiety (Neurosis,748
Baglung,2067/68,Mental retardation,64
Baglung,2067/68,"Conversive disorder
(Hysteria)",31
Baglung,2067/68,Alcoholism,107
Baglung,2067/68,Epilesy,53
Gulmi,2067/68,Depression,735
Gulmi,2067/68,Psychosis,550
Gulmi,2067/68,Anxiety (Neurosis,898
Gulmi,2067/68,Mental retardation,60
Gulmi,2067/68,"Conversive disorder
(Hysteria)",95
Gulmi,2067/68,Alcoholism,96
Gulmi,2067/68,Epilesy,115
Palpa,2067/68,Depression,1622
Palpa,2067/68,Psychosis,117
Palpa,2067/68,Anxiety (Neurosis,3773
Palpa,2067/68,Mental retardation,138
Palpa,2067/68,"Conversive disorder
(Hysteria)",50
Palpa,2067/68,Alcoholism,368
Palpa,2067/68,Epilesy,1104
Nawalparasi,2067/68,Depression,176
Nawalparasi,2067/68,Psychosis,234
Nawalparasi,2067/68,Anxiety (Neurosis,17
Nawalparasi,2067/68,Mental retardation,50
Nawalparasi,2067/68,"Conversive disorder
(Hysteria)",21
Nawalparasi,2067/68,Alcoholism,19
Nawalparasi,2067/68,Epilesy,2
Rupandehi,2067/68,Depression,0
Rupandehi,2067/68,Psychosis,0
Rupandehi,2067/68,Anxiety (Neurosis,0
Rupandehi,2067/68,Mental retardation,0
Rupandehi,2067/68,"Conversive disorder
(Hysteria)",0
Rupandehi,2067/68,Alcoholism,0
Rupandehi,2067/68,Epilesy,0
Kapilvastu,2067/68,Depression,453
Kapilvastu,2067/68,Psychosis,20
Kapilvastu,2067/68,Anxiety (Neurosis,260
Kapilvastu,2067/68,Mental retardation,31
Kapilvastu,2067/68,"Conversive disorder
(Hysteria)",43
Kapilvastu,2067/68,Alcoholism,86
Kapilvastu,2067/68,Epilesy,40
Arghakhanchi,2067/68,Depression,447
Arghakhanchi,2067/68,Psychosis,38
Arghakhanchi,2067/68,Anxiety (Neurosis,428
Arghakhanchi,2067/68,Mental retardation,34
Arghakhanchi,2067/68,"Conversive disorder
(Hysteria)",37
Arghakhanchi,2067/68,Alcoholism,73
Arghakhanchi,2067/68,Epilesy,43
Pyuthan,2067/68,Depression,68
Pyuthan,2067/68,Psychosis,5
Pyuthan,2067/68,Anxiety (Neurosis,500
Pyuthan,2067/68,Mental retardation,1
Pyuthan,2067/68,"Conversive disorder
(Hysteria)",82
Pyuthan,2067/68,Alcoholism,18
Pyuthan,2067/68,Epilesy,104
Rolpa,2067/68,Depression,50
Rolpa,2067/68,Psychosis,21
Rolpa,2067/68,Anxiety (Neurosis,119
Rolpa,2067/68,Mental retardation,5
Rolpa,2067/68,"Conversive disorder
(Hysteria)",3
Rolpa,2067/68,Alcoholism,43
Rolpa,2067/68,Epilesy,23
Rukum,2067/68,Depression,135
Rukum,2067/68,Psychosis,59
Rukum,2067/68,Anxiety (Neurosis,349
Rukum,2067/68,Mental retardation,22
Rukum,2067/68,"Conversive disorder
(Hysteria)",42
Rukum,2067/68,Alcoholism,126
Rukum,2067/68,Epilesy,57
Salyan,2067/68,Depression,146
Salyan,2067/68,Psychosis,32
Salyan,2067/68,Anxiety (Neurosis,477
Salyan,2067/68,Mental retardation,4
Salyan,2067/68,"Conversive disorder
(Hysteria)",15
Salyan,2067/68,Alcoholism,60
Salyan,2067/68,Epilesy,39
Dang,2067/68,Depression,409
Dang,2067/68,Psychosis,19
Dang,2067/68,Anxiety (Neurosis,694
Dang,2067/68,Mental retardation,1
Dang,2067/68,"Conversive disorder
(Hysteria)",87
Dang,2067/68,Alcoholism,302
Dang,2067/68,Epilesy,136
Banke,2067/68,Depression,69
Banke,2067/68,Psychosis,36
Banke,2067/68,Anxiety (Neurosis,60
Banke,2067/68,Mental retardation,5
Banke,2067/68,"Conversive disorder
(Hysteria)",10
Banke,2067/68,Alcoholism,15
Banke,2067/68,Epilesy,28
Bardiya,2067/68,Depression,132
Bardiya,2067/68,Psychosis,9
Bardiya,2067/68,Anxiety (Neurosis,344
Bardiya,2067/68,Mental retardation,17
Bardiya,2067/68,"Conversive disorder
(Hysteria)",22
Bardiya,2067/68,Alcoholism,22
Bardiya,2067/68,Epilesy,87
Surkhet,2067/68,Depression,105
Surkhet,2067/68,Psychosis,26
Surkhet,2067/68,Anxiety (Neurosis,116
Surkhet,2067/68,Mental retardation,5
Surkhet,2067/68,"Conversive disorder
(Hysteria)",21
Surkhet,2067/68,Alcoholism,25
Surkhet,2067/68,Epilesy,48
Dailekh,2067/68,Depression,83
Dailekh,2067/68,Psychosis,13
Dailekh,2067/68,Anxiety (Neurosis,248
Dailekh,2067/68,Mental retardation,0
Dailekh,2067/68,"Conversive disorder
(Hysteria)",8
Dailekh,2067/68,Alcoholism,14
Dailekh,2067/68,Epilesy,28
Jajarkot,2067/68,Depression,98
Jajarkot,2067/68,Psychosis,29
Jajarkot,2067/68,Anxiety (Neurosis,217
Jajarkot,2067/68,Mental retardation,20
Jajarkot,2067/68,"Conversive disorder
(Hysteria)",27
Jajarkot,2067/68,Alcoholism,41
Jajarkot,2067/68,Epilesy,3
Dolpa,2067/68,Depression,0
Dolpa,2067/68,Psychosis,0
Dolpa,2067/68,Anxiety (Neurosis,0
Dolpa,2067/68,Mental retardation,0
Dolpa,2067/68,"Conversive disorder
(Hysteria)",0
Dolpa,2067/68,Alcoholism,19
Dolpa,2067/68,Epilesy,8
Jumla,2067/68,Depression,9
Jumla,2067/68,Psychosis,0
Jumla,2067/68,Anxiety (Neurosis,24
Jumla,2067/68,Mental retardation,2
Jumla,2067/68,"Conversive disorder
(Hysteria)",1
Jumla,2067/68,Alcoholism,10
Jumla,2067/68,Epilesy,19
Kalikot,2067/68,Depression,29
Kalikot,2067/68,Psychosis,8
Kalikot,2067/68,Anxiety (Neurosis,60
Kalikot,2067/68,Mental retardation,4
Kalikot,2067/68,"Conversive disorder
(Hysteria)",33
Kalikot,2067/68,Alcoholism,12
Kalikot,2067/68,Epilesy,4
Mugu,2067/68,Depression,21
Mugu,2067/68,Psychosis,0
Mugu,2067/68,Anxiety (Neurosis,14
Mugu,2067/68,Mental retardation,0
Mugu,2067/68,"Conversive disorder
(Hysteria)",0
Mugu,2067/68,Alcoholism,8
Mugu,2067/68,Epilesy,18
Humla,2067/68,Depression,8
Humla,2067/68,Psychosis,1
Humla,2067/68,Anxiety (Neurosis,9
Humla,2067/68,Mental retardation,0
Humla,2067/68,"Conversive disorder
(Hysteria)",5
Humla,2067/68,Alcoholism,34
Humla,2067/68,Epilesy,9
Bajura,2067/68,Depression,33
Bajura,2067/68,Psychosis,0
Bajura,2067/68,Anxiety (Neurosis,6
Bajura,2067/68,Mental retardation,0
Bajura,2067/68,"Conversive disorder
(Hysteria)",0
Bajura,2067/68,Alcoholism,1
Bajura,2067/68,Epilesy,2
Bajhang,2067/68,Depression,115
Bajhang,2067/68,Psychosis,16
Bajhang,2067/68,Anxiety (Neurosis,143
Bajhang,2067/68,Mental retardation,3
Bajhang,2067/68,"Conversive disorder
(Hysteria)",13
Bajhang,2067/68,Alcoholism,18
Bajhang,2067/68,Epilesy,25
Achham,2067/68,Depression,346
Achham,2067/68,Psychosis,48
Achham,2067/68,Anxiety (Neurosis,257
Achham,2067/68,Mental retardation,16
Achham,2067/68,"Conversive disorder
(Hysteria)",60
Achham,2067/68,Alcoholism,32
Achham,2067/68,Epilesy,161
Doti,2067/68,Depression,78
Doti,2067/68,Psychosis,10
Doti,2067/68,Anxiety (Neurosis,58
Doti,2067/68,Mental retardation,9
Doti,2067/68,"Conversive disorder
(Hysteria)",9
Doti,2067/68,Alcoholism,11
Doti,2067/68,Epilesy,5
Kailali,2067/68,Depression,250
Kailali,2067/68,Psychosis,53
Kailali,2067/68,Anxiety (Neurosis,329
Kailali,2067/68,Mental retardation,59
Kailali,2067/68,"Conversive disorder
(Hysteria)",102
Kailali,2067/68,Alcoholism,49
Kailali,2067/68,Epilesy,190
Kanchanpur,2067/68,Depression,9
Kanchanpur,2067/68,Psychosis,2
Kanchanpur,2067/68,Anxiety (Neurosis,41
Kanchanpur,2067/68,Mental retardation,0
Kanchanpur,2067/68,"Conversive disorder
(Hysteria)",19
Kanchanpur,2067/68,Alcoholism,8
Kanchanpur,2067/68,Epilesy,23
Dadeldhura,2067/68,Depression,383
Dadeldhura,2067/68,Psychosis,35
Dadeldhura,2067/68,Anxiety (Neurosis,829
Dadeldhura,2067/68,Mental retardation,9
Dadeldhura,2067/68,"Conversive disorder
(Hysteria)",92
Dadeldhura,2067/68,Alcoholism,123
Dadeldhura,2067/68,Epilesy,70
Baitadi,2067/68,Depression,160
Baitadi,2067/68,Psychosis,3
Baitadi,2067/68,Anxiety (Neurosis,117
Baitadi,2067/68,Mental retardation,10
Baitadi,2067/68,"Conversive disorder
(Hysteria)",3
Baitadi,2067/68,Alcoholism,36
Baitadi,2067/68,Epilesy,7
Darchula,2067/68,Depression,4
Darchula,2067/68,Psychosis,2
Darchula,2067/68,Anxiety (Neurosis,26
Darchula,2067/68,Mental retardation,1
Darchula,2067/68,"Conversive disorder
(Hysteria)",0
Darchula,2067/68,Alcoholism,0
Darchula,2067/68,Epilesy,10
Taplejung,2068/69,Depression,33
Taplejung,2068/69,Psychosis,3
Taplejung,2068/69,Anxiety (Neurosis,197
Taplejung,2068/69,Mental retardation,5
Taplejung,2068/69,"Conversive disorder
(Hysteria)",72
Taplejung,2068/69,Alcoholism,137
Taplejung,2068/69,Epilesy,16
Panchthar,2068/69,Depression,29
Panchthar,2068/69,Psychosis,6
Panchthar,2068/69,Anxiety (Neurosis,27
Panchthar,2068/69,Mental retardation,1
Panchthar,2068/69,"Conversive disorder
(Hysteria)",2
Panchthar,2068/69,Alcoholism,43
Panchthar,2068/69,Epilesy,13
Ilam,2068/69,Depression,190
Ilam,2068/69,Psychosis,76
Ilam,2068/69,Anxiety (Neurosis,295
Ilam,2068/69,Mental retardation,26
Ilam,2068/69,"Conversive disorder
(Hysteria)",30
Ilam,2068/69,Alcoholism,104
Ilam,2068/69,Epilesy,46
Jhapa,2068/69,Depression,695
Jhapa,2068/69,Psychosis,63
Jhapa,2068/69,Anxiety (Neurosis,714
Jhapa,2068/69,Mental retardation,15
Jhapa,2068/69,"Conversive disorder
(Hysteria)",48
Jhapa,2068/69,Alcoholism,301
Jhapa,2068/69,Epilesy,23
Morang,2068/69,Depression,2159
Morang,2068/69,Psychosis,113
Morang,2068/69,Anxiety (Neurosis,1598
Morang,2068/69,Mental retardation,1360
Morang,2068/69,"Conversive disorder
(Hysteria)",1543
Morang,2068/69,Alcoholism,1129
Morang,2068/69,Epilesy,1495
Sunsari,2068/69,Depression,21
Sunsari,2068/69,Psychosis,3
Sunsari,2068/69,Anxiety (Neurosis,16
Sunsari,2068/69,Mental retardation,0
Sunsari,2068/69,"Conversive disorder
(Hysteria)",0
Sunsari,2068/69,Alcoholism,6
Sunsari,2068/69,Epilesy,12
Dhankuta,2068/69,Depression,58
Dhankuta,2068/69,Psychosis,1
Dhankuta,2068/69,Anxiety (Neurosis,57
Dhankuta,2068/69,Mental retardation,5
Dhankuta,2068/69,"Conversive disorder
(Hysteria)",11
Dhankuta,2068/69,Alcoholism,94
Dhankuta,2068/69,Epilesy,8
Teharthum,2068/69,Depression,51
Teharthum,2068/69,Psychosis,8
Teharthum,2068/69,Anxiety (Neurosis,53
Teharthum,2068/69,Mental retardation,1
Teharthum,2068/69,"Conversive disorder
(Hysteria)",11
Teharthum,2068/69,Alcoholism,21
Teharthum,2068/69,Epilesy,10
Sankhuwasabha,2068/69,Depression,78
Sankhuwasabha,2068/69,Psychosis,18
Sankhuwasabha,2068/69,Anxiety (Neurosis,56
Sankhuwasabha,2068/69,Mental retardation,19
Sankhuwasabha,2068/69,"Conversive disorder
(Hysteria)",25
Sankhuwasabha,2068/69,Alcoholism,59
Sankhuwasabha,2068/69,Epilesy,20
Bhojpur,2068/69,Depression,37
Bhojpur,2068/69,Psychosis,7
Bhojpur,2068/69,Anxiety (Neurosis,63
Bhojpur,2068/69,Mental retardation,0
Bhojpur,2068/69,"Conversive disorder
(Hysteria)",3
Bhojpur,2068/69,Alcoholism,21
Bhojpur,2068/69,Epilesy,84
Solukhumbu,2068/69,Depression,84
Solukhumbu,2068/69,Psychosis,22
Solukhumbu,2068/69,Anxiety (Neurosis,38
Solukhumbu,2068/69,Mental retardation,3
Solukhumbu,2068/69,"Conversive disorder
(Hysteria)",11
Solukhumbu,2068/69,Alcoholism,37
Solukhumbu,2068/69,Epilesy,369
Okhaldhunga,2068/69,Depression,889
Okhaldhunga,2068/69,Psychosis,383
Okhaldhunga,2068/69,Anxiety (Neurosis,557
Okhaldhunga,2068/69,Mental retardation,1
Okhaldhunga,2068/69,"Conversive disorder
(Hysteria)",1
Okhaldhunga,2068/69,Alcoholism,46
Okhaldhunga,2068/69,Epilesy,455
Khotang,2068/69,Depression,160
Khotang,2068/69,Psychosis,16
Khotang,2068/69,Anxiety (Neurosis,122
Khotang,2068/69,Mental retardation,4
Khotang,2068/69,"Conversive disorder
(Hysteria)",47
Khotang,2068/69,Alcoholism,15
Khotang,2068/69,Epilesy,15
Udaypur,2068/69,Depression,160
Udaypur,2068/69,Psychosis,2
Udaypur,2068/69,Anxiety (Neurosis,163
Udaypur,2068/69,Mental retardation,0
Udaypur,2068/69,"Conversive disorder
(Hysteria)",41
Udaypur,2068/69,Alcoholism,133
Udaypur,2068/69,Epilesy,27
Saptari,2068/69,Depression,185
Saptari,2068/69,Psychosis,10
Saptari,2068/69,Anxiety (Neurosis,129
Saptari,2068/69,Mental retardation,4
Saptari,2068/69,"Conversive disorder
(Hysteria)",6
Saptari,2068/69,Alcoholism,32
Saptari,2068/69,Epilesy,6
Siraha,2068/69,Depression,167
Siraha,2068/69,Psychosis,34
Siraha,2068/69,Anxiety (Neurosis,95
Siraha,2068/69,Mental retardation,17
Siraha,2068/69,"Conversive disorder
(Hysteria)",34
Siraha,2068/69,Alcoholism,94
Siraha,2068/69,Epilesy,30
Dhanusha,2068/69,Depression,77
Dhanusha,2068/69,Psychosis,45
Dhanusha,2068/69,Anxiety (Neurosis,44
Dhanusha,2068/69,Mental retardation,15
Dhanusha,2068/69,"Conversive disorder
(Hysteria)",1
Dhanusha,2068/69,Alcoholism,47
Dhanusha,2068/69,Epilesy,2
Mahottari,2068/69,Depression,239
Mahottari,2068/69,Psychosis,44
Mahottari,2068/69,Anxiety (Neurosis,231
Mahottari,2068/69,Mental retardation,19
Mahottari,2068/69,"Conversive disorder
(Hysteria)",57
Mahottari,2068/69,Alcoholism,100
Mahottari,2068/69,Epilesy,7
Sarlahi,2068/69,Depression,402
Sarlahi,2068/69,Psychosis,153
Sarlahi,2068/69,Anxiety (Neurosis,231
Sarlahi,2068/69,Mental retardation,86
Sarlahi,2068/69,"Conversive disorder
(Hysteria)",419
Sarlahi,2068/69,Alcoholism,378
Sarlahi,2068/69,Epilesy,156
Sindhuli,2068/69,Depression,13
Sindhuli,2068/69,Psychosis,1
Sindhuli,2068/69,Anxiety (Neurosis,67
Sindhuli,2068/69,Mental retardation,7
Sindhuli,2068/69,"Conversive disorder
(Hysteria)",3
Sindhuli,2068/69,Alcoholism,49
Sindhuli,2068/69,Epilesy,12
Ramechhap,2068/69,Depression,226
Ramechhap,2068/69,Psychosis,60
Ramechhap,2068/69,Anxiety (Neurosis,246
Ramechhap,2068/69,Mental retardation,44
Ramechhap,2068/69,"Conversive disorder
(Hysteria)",17
Ramechhap,2068/69,Alcoholism,44
Ramechhap,2068/69,Epilesy,30
Dolkha,2068/69,Depression,64
Dolkha,2068/69,Psychosis,64
Dolkha,2068/69,Anxiety (Neurosis,81
Dolkha,2068/69,Mental retardation,39
Dolkha,2068/69,"Conversive disorder
(Hysteria)",79
Dolkha,2068/69,Alcoholism,122
Dolkha,2068/69,Epilesy,79
Sindhupalchowk,2068/69,Depression,103
Sindhupalchowk,2068/69,Psychosis,9
Sindhupalchowk,2068/69,Anxiety (Neurosis,287
Sindhupalchowk,2068/69,Mental retardation,6
Sindhupalchowk,2068/69,"Conversive disorder
(Hysteria)",136
Sindhupalchowk,2068/69,Alcoholism,123
Sindhupalchowk,2068/69,Epilesy,21
Kavre,2068/69,Depression,199
Kavre,2068/69,Psychosis,25
Kavre,2068/69,Anxiety (Neurosis,235
Kavre,2068/69,Mental retardation,2
Kavre,2068/69,"Conversive disorder
(Hysteria)",10
Kavre,2068/69,Alcoholism,460
Kavre,2068/69,Epilesy,59
Lalitpur,2068/69,Depression,0
Lalitpur,2068/69,Psychosis,0
Lalitpur,2068/69,Anxiety (Neurosis,0
Lalitpur,2068/69,Mental retardation,0
Lalitpur,2068/69,"Conversive disorder
(Hysteria)",0
Lalitpur,2068/69,Alcoholism,0
Lalitpur,2068/69,Epilesy,0
Bhaktapur,2068/69,Depression,105
Bhaktapur,2068/69,Psychosis,14
Bhaktapur,2068/69,Anxiety (Neurosis,64
Bhaktapur,2068/69,Mental retardation,11
Bhaktapur,2068/69,"Conversive disorder
(Hysteria)",108
Bhaktapur,2068/69,Alcoholism,80
Bhaktapur,2068/69,Epilesy,14
Kathmandu,2068/69,Depression,3157
Kathmandu,2068/69,Psychosis,959
Kathmandu,2068/69,Anxiety (Neurosis,5348
Kathmandu,2068/69,Mental retardation,87
Kathmandu,2068/69,"Conversive disorder
(Hysteria)",782
Kathmandu,2068/69,Alcoholism,4068
Kathmandu,2068/69,Epilesy,1641
Nuwakot,2068/69,Depression,131
Nuwakot,2068/69,Psychosis,14
Nuwakot,2068/69,Anxiety (Neurosis,98
Nuwakot,2068/69,Mental retardation,9
Nuwakot,2068/69,"Conversive disorder
(Hysteria)",37
Nuwakot,2068/69,Alcoholism,140
Nuwakot,2068/69,Epilesy,36
Rasuwa,2068/69,Depression,2
Rasuwa,2068/69,Psychosis,0
Rasuwa,2068/69,Anxiety (Neurosis,19
Rasuwa,2068/69,Mental retardation,0
Rasuwa,2068/69,"Conversive disorder
(Hysteria)",1
Rasuwa,2068/69,Alcoholism,17
Rasuwa,2068/69,Epilesy,2
Dhading,2068/69,Depression,262
Dhading,2068/69,Psychosis,32
Dhading,2068/69,Anxiety (Neurosis,335
Dhading,2068/69,Mental retardation,33
Dhading,2068/69,"Conversive disorder
(Hysteria)",105
Dhading,2068/69,Alcoholism,61
Dhading,2068/69,Epilesy,147
Makawanpur,2068/69,Depression,279
Makawanpur,2068/69,Psychosis,173
Makawanpur,2068/69,Anxiety (Neurosis,329
Makawanpur,2068/69,Mental retardation,33
Makawanpur,2068/69,"Conversive disorder
(Hysteria)",56
Makawanpur,2068/69,Alcoholism,193
Makawanpur,2068/69,Epilesy,567
Rautahat,2068/69,Depression,148
Rautahat,2068/69,Psychosis,12
Rautahat,2068/69,Anxiety (Neurosis,91
Rautahat,2068/69,Mental retardation,8
Rautahat,2068/69,"Conversive disorder
(Hysteria)",17
Rautahat,2068/69,Alcoholism,82
Rautahat,2068/69,Epilesy,82
Bara,2068/69,Depression,172
Bara,2068/69,Psychosis,18
Bara,2068/69,Anxiety (Neurosis,164
Bara,2068/69,Mental retardation,34
Bara,2068/69,"Conversive disorder
(Hysteria)",25
Bara,2068/69,Alcoholism,233
Bara,2068/69,Epilesy,137
Parsa,2068/69,Depression,0
Parsa,2068/69,Psychosis,0
Parsa,2068/69,Anxiety (Neurosis,0
Parsa,2068/69,Mental retardation,0
Parsa,2068/69,"Conversive disorder
(Hysteria)",0
Parsa,2068/69,Alcoholism,0
Parsa,2068/69,Epilesy,0
Chitwan,2068/69,Depression,2961
Chitwan,2068/69,Psychosis,702
Chitwan,2068/69,Anxiety (Neurosis,1734
Chitwan,2068/69,Mental retardation,555
Chitwan,2068/69,"Conversive disorder
(Hysteria)",483
Chitwan,2068/69,Alcoholism,607
