District,zone,belt,region,Year BS,Year AD,Vaccines,No of children,Zone,Belt,Region
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,BCG5,3556,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,DPT-HepB 1 4,3598,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,DPT-HepB 2 4,3576,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,DPT-HepB 3 4,3606,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Polio14,3598,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Polio24,3572,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Polio34,3598,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Measles 9-11 months 4,3549,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Measles 12-23 4,44,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,Japenese Encephalitis 4,0,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,TT 1 5,1087,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,TT24,1265,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2070/71,2013/14,TT 2+ 5,1783,Bagmati,Hill,Central
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,BCG,3934,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,DPT-HepB 1,3803,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,DPT-HepB 2,3481,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,DPT-HepB 3,3337,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Japenese Encephalitis,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Measles 12-23,52,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Measles 9-11 months,3860,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Polio1,3923,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Polio2,3598,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,Polio3,3427,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,TT 1,951,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,TT 2+,2840,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2066/67,2009/10,TT2,1301,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,BCG2,3821,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,DPT-HepB 1 2,4006,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,DPT-HepB 2 2,4278,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,DPT-HepB 3 2,4359,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Japenese Encephalitis 2,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Measles 12-23 2,78,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Measles 9-11 months 2,3775,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Polio12,4088,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Polio22,4349,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,Polio32,4438,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,TT 1 2,704,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,TT 2+ 2,2621,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2067/68,2010/11,TT22,1101,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,BCG3,3846,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,DPT-HepB 1 3,3886,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,DPT-HepB 2 3,3922,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,DPT-HepB 3 3,3873,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Japenese Encephalitis 3,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Measles 12-23 3,54,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Measles 9-11 months 3,3636,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Polio13,3886,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Polio23,3912,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Polio33,3883,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,TT 1 3,575,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,TT 2+ 3,2339,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,TT23,823,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,BCG4,3665,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,DPT-Hep B1,3758,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,DPT-Hep B2,3683,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,DPT-Hep B3,3651,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,"Japnese
Encephalitis",0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,"Measles 12-23
months",34,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,"Measles 9-11
months",3403,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Polio 1,3779,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Polio 2,3697,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Polio 3,3678,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,TT 1 4,581,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,TT 2,935,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,TT 2+ 4,2038,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,BCG5,1936,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,DPT-HepB 1 4,2001,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,DPT-HepB 2 4,1963,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,DPT-HepB 3 4,1937,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Polio14,2001,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Polio24,1963,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Polio34,1937,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Measles 9-11 months 4,1905,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Measles 12-23 4,29,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,Japenese Encephalitis 4,0,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,TT 1 5,1046,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,TT24,1292,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2070/71,2013/14,TT 2+ 5,1011,Kosi,Hill,Eastern
Chitawan,Narayani,Terai,Central,2066/67,2009/10,BCG,11258,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,DPT-HepB 1,9762,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,DPT-HepB 2,9457,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,DPT-HepB 3,9491,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Japenese Encephalitis,7086,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Measles 12-23,75,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Measles 9-11 months,10205,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Polio1,9964,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Polio2,9735,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,Polio3,9754,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,TT 1,3253,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,TT 2+,8472,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2066/67,2009/10,TT2,3596,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,BCG2,11821,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,DPT-HepB 1 2,10523,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,DPT-HepB 2 2,10402,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,DPT-HepB 3 2,10683,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Japenese Encephalitis 2,7849,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Measles 12-23 2,51,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Measles 9-11 months 2,9658,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Polio12,10615,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Polio22,10384,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,Polio32,9664,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,TT 1 2,3610,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,TT 2+ 2,6367,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2067/68,2010/11,TT22,3660,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,BCG3,13456,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,DPT-HepB 1 3,11370,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,DPT-HepB 2 3,11050,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,DPT-HepB 3 3,11155,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Japenese Encephalitis 3,8541,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Measles 12-23 3,57,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Measles 9-11 months 3,10704,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Polio13,11370,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Polio23,11028,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Polio33,11155,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,TT 1 3,6436,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,TT 2+ 3,2909,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,TT23,5459,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,BCG4,12732,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,DPT-Hep B1,10967,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,DPT-Hep B2,10838,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,DPT-Hep B3,11078,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,"Japnese
Encephalitis",9197,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,"Measles 12-23
months",74,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,"Measles 9-11
months",10861,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,Polio 1,10967,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,Polio 2,10838,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,Polio 3,11078,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,TT 1 4,6300,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,TT 2,5946,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2069/70,2012/13,TT 2+ 4,2320,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,BCG5,2848,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,DPT-HepB 1 4,2778,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,DPT-HepB 2 4,2736,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,DPT-HepB 3 4,2793,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Polio14,2687,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Polio24,2713,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Polio34,2721,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Measles 9-11 months 4,2700,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Measles 12-23 4,38,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,Japenese Encephalitis 4,0,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,TT 1 5,1050,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,TT24,1276,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2070/71,2013/14,TT 2+ 5,1098,Narayani,Terai,Central
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,BCG,3692,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 1,3188,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 2,2929,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,DPT-HepB 3,2834,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Japenese Encephalitis,0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Measles 12-23,75,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Measles 9-11 months,3120,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio1,3219,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio2,2952,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,Polio3,2848,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,TT 1,1807,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,TT 2+,1293,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2066/67,2009/10,TT2,1342,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,BCG2,4489,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 1 2,4183,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 2 2,4094,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,DPT-HepB 3 2,4112,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Japenese Encephalitis 2,0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Measles 12-23 2,152,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Measles 9-11 months 2,3691,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio12,4183,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio22,4094,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,Polio32,4112,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,TT 1 2,1687,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,TT 2+ 2,1885,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2067/68,2010/11,TT22,1108,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,BCG3,3778,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 1 3,3415,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 2 3,3414,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,DPT-HepB 3 3,3474,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Japenese Encephalitis 3,0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Measles 12-23 3,92,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Measles 9-11 months 3,3168,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio13,3415,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio23,3414,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Polio33,3474,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,TT 1 3,1478,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,TT 2+ 3,1646,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,TT23,1078,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,BCG4,3163,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B1,3243,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B2,3162,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,DPT-Hep B3,3109,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,"Japnese
Encephalitis",0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,"Measles 12-23
months",51,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,"Measles 9-11
months",3074,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 1,3208,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 2,3141,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,Polio 3,3078,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,TT 1 4,1214,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,TT 2,902,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,TT 2+ 4,1242,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,BCG5,4479,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,DPT-HepB 1 4,4556,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,DPT-HepB 2 4,4456,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,DPT-HepB 3 4,4439,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Polio14,4552,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Polio24,4458,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Polio34,4350,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Measles 9-11 months 4,4468,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Measles 12-23 4,92,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,Japenese Encephalitis 4,0,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,TT 1 5,2247,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,TT24,2279,Mahakali,Hill,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2070/71,2013/14,TT 2+ 5,2146,Mahakali,Hill,Far-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,BCG,7374,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,DPT-HepB 1,7032,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,DPT-HepB 2,6577,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,DPT-HepB 3,6494,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Japenese Encephalitis,0,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Measles 12-23,4,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Measles 9-11 months,7013,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Polio1,7032,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Polio2,6577,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,Polio3,6494,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,TT 1,2375,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,TT 2+,4101,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2066/67,2009/10,TT2,2269,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,BCG2,7417,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,DPT-HepB 1 2,7426,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,DPT-HepB 2 2,7954,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,DPT-HepB 3 2,7954,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Japenese Encephalitis 2,0,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Measles 12-23 2,33,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Measles 9-11 months 2,7007,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Polio12,7426,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Polio22,7954,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,Polio32,7954,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,TT 1 2,2421,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,TT 2+ 2,3744,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2067/68,2010/11,TT22,2385,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,BCG3,7075,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,DPT-HepB 1 3,7033,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,DPT-HepB 2 3,6933,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,DPT-HepB 3 3,6947,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Japenese Encephalitis 3,0,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Measles 12-23 3,39,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Measles 9-11 months 3,6737,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Polio13,7033,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Polio23,6933,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Polio33,6947,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,TT 1 3,2614,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,TT 2+ 3,3609,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,TT23,2418,Bheri,Hill,Mid-Western
