District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Sub-Indicator,Sub-Indicator,Value
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1153.23
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CYP,Pills,Total,841.85
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CYP,Depo,Total,3464
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CYP,IUD,Total,424
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,715
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.47
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.61
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.35
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.89
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,1.01
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,10.33
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.47
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.02
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,4.65
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.65
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,12.97
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,31.68
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1528.85
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CYP,Pills,Total,695
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CYP,Depo,Total,1903
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CYP,IUD,Total,2824
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,720
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.69
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.79
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.47
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.3
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.13
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.38
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.69
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,1.5
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,3.56
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.72
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.82
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,11.28
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,28.68
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CYP,Condom,Total,2127.11
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CYP,Pills,Total,869.08
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CYP,Depo,Total,2472
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CYP,IUD,Total,2904
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,520
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.39
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.19
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,1.72
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.34
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.05
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,5.69
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.39
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.46
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,3.18
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.67
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.07
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,8.77
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,26.51
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1854.67
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CYP,Pills,Total,1566.54
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CYP,Depo,Total,2558.5
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CYP,IUD,Total,1672
Syangja,Gandaki,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,110
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.87
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.24
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.2
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,1.15
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.34
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,9.8
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.87
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.64
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,4.95
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,3.21
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.61
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,16.28
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,40.12
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CYP,Condom,Total,2906.7
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CYP,Pills,Total,2038.08
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CYP,Depo,Total,3450
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CYP,IUD,Total,9120
Kaski,Gandaki,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,1810
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,5.33
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,3.12
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.59
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,2.48
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,13.5
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,5.33
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.44
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,4.66
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.34
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,6.43
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,19.18
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,27.12
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CYP,Condom,Total,141.81
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CYP,Pills,Total,35.62
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CYP,Depo,Total,90.5
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CYP,IUD,Total,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,CYP,Norplant,Total,365
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,6.76
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,3.1
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,6.61
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,1.4
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,1.55
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,19.4
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,6.76
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,4.02
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,10.98
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,3.9
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,5.57
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,31.22
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,48.54
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CYP,Condom,Total,227.25
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CYP,Pills,Total,101
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CYP,Depo,Total,256
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CYP,IUD,Total,376
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,CYP,Norplant,Total,260
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,5.12
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,3.8
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.04
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.51
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,1.01
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,14.48
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,5.12
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,1.98
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,6.1
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,3.29
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,2.16
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,18.64
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,32.97
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1436.2
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Pills,Total,378.38
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Depo,Total,1107
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,IUD,Total,1184
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,1225
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.98
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.42
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.27
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.98
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.24
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.9
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.98
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,1.84
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,3.08
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.21
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.37
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,10.49
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,24.3
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1154.15
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Pills,Total,566.38
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Depo,Total,1094.75
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,IUD,Total,232
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,225
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.59
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,3.82
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,3.52
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.55
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.56
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,11.03
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.59
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,3.95
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,3.64
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.08
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.65
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,12.9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,27.39
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1742.19
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Pills,Total,1044.92
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Depo,Total,1933
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,IUD,Total,2480
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,1700
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,5.32
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,3.13
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.34
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.19
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.19
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,13.18
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,5.32
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.78
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,6.04
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.15
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.98
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,18.27
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,31.86
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CYP,Condom,Total,3821.77
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CYP,Pills,Total,1695.46
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CYP,Depo,Total,3561.25
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CYP,IUD,Total,2040
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,920
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.01
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.04
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.73
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.53
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.33
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.64
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.01
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.45
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,5.74
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.25
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,2.2
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,14.64
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,35.69
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CYP,Condom,Total,1970.87
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CYP,Pills,Total,1149
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CYP,Depo,Total,3094
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CYP,IUD,Total,3912
Palpa,Lumbini,Hill,Western,2068/69,2011/12,CYP,Norplant,Total,1140
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.23
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.07
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,2.81
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.37
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.24
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,7.72
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.23
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.16
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,5.68
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.09
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.5
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,12.66
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,40.3
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Condom,Total,4536.41
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Pills,Total,2442.92
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Depo,Total,6786
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CYP,IUD,Total,4016
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Norplant,Total,1500
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.24
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.4
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.67
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.39
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.14
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,10.84
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,3.24
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.88
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,6.4
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,0.94
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.73
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,14.18
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,32.23
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Condom,Total,5665.27
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Pills,Total,4083.46
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Depo,Total,10412.5
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CYP,IUD,Total,5680
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,CYP,Norplant,Total,1265
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.87
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.74
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,6.35
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.45
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.13
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,12.53
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.87
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,2.17
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,8.92
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,1.23
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.72
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,15.92
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,29.45
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CYP,Condom,Total,3236.95
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CYP,Pills,Total,2763.31
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CYP,Depo,Total,8327.5
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CYP,IUD,Total,4024
Kapilvastu,Lumbini,Terai,Western,2068/69,2011/12,CYP,Norplant,Total,720
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,3.58
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.33
