District,Year,Nutritional deficines,Number of people
Dadeldhura,2066/67,Dehydration,1226
Dadeldhura,2066/67,Night blindness,155
Darchula,2066/67,Malnutrition,283
Darchula,2066/67,Avitaminoses and othernnutrideficency,349
Darchula,2066/67,Polyneuritis,121
Darchula,2066/67,Anaemia,353
Darchula,2066/67,"Goitre,Cretinism",0
Darchula,2066/67,Diabetic mellitis,2
Darchula,2066/67,Obesity,13
Darchula,2066/67,Dehydration,382
Darchula,2066/67,Night blindness,127
Doti,2066/67,Malnutrition,276
Doti,2066/67,Avitaminoses and othernnutrideficency,1181
Doti,2066/67,Polyneuritis,320
Doti,2066/67,Anaemia,925
Doti,2066/67,"Goitre,Cretinism",12
Doti,2066/67,Diabetic mellitis,49
Doti,2066/67,Obesity,48
Doti,2066/67,Dehydration,880
Doti,2066/67,Night blindness,207
Kailali,2066/67,Malnutrition,642
Kailali,2066/67,Avitaminoses and othernnutrideficency,4462
Kailali,2066/67,Polyneuritis,1483
Kailali,2066/67,Anaemia,4997
Kailali,2066/67,"Goitre,Cretinism",48
Kailali,2066/67,Diabetic mellitis,443
Kailali,2066/67,Obesity,42
Kailali,2066/67,Dehydration,1730
Kailali,2066/67,Night blindness,142
Kanchanpur,2066/67,Malnutrition,500
Kanchanpur,2066/67,Avitaminoses and othernnutrideficency,1528
Kanchanpur,2066/67,Polyneuritis,812
Kanchanpur,2066/67,Anaemia,2203
Kanchanpur,2066/67,"Goitre,Cretinism",7
Kanchanpur,2066/67,Diabetic mellitis,90
Kanchanpur,2066/67,Obesity,5
Kanchanpur,2066/67,Dehydration,1517
Kanchanpur,2066/67,Night blindness,71
Taplejung,2067/68,Malnutrition,79
Taplejung,2067/68,Avitaminoses and othernnutrideficency,769
Taplejung,2067/68,Polyneuritis,181
Taplejung,2067/68,Anaemia,613
Taplejung,2067/68,"Goitre,Cretinism",1
Taplejung,2067/68,Diabetic mellitis,45
Taplejung,2067/68,Obesity,25
Taplejung,2067/68,Dehydration,414
Taplejung,2067/68,Night blindness,5
Panchthar,2067/68,Malnutrition,95
Panchthar,2067/68,Avitaminoses and othernnutrideficency,649
Panchthar,2067/68,Polyneuritis,246
Panchthar,2067/68,Anaemia,614
Panchthar,2067/68,"Goitre,Cretinism",5
Panchthar,2067/68,Diabetic mellitis,51
Panchthar,2067/68,Obesity,11
Panchthar,2067/68,Dehydration,659
Panchthar,2067/68,Night blindness,49
Ilam,2067/68,Malnutrition,128
Ilam,2067/68,Avitaminoses and othernnutrideficency,797
Ilam,2067/68,Polyneuritis,354
Ilam,2067/68,Anaemia,821
Ilam,2067/68,"Goitre,Cretinism",8
Ilam,2067/68,Diabetic mellitis,395
Ilam,2067/68,Obesity,4
Ilam,2067/68,Dehydration,429
Ilam,2067/68,Night blindness,21
Jhapa,2067/68,Malnutrition,779
Jhapa,2067/68,Avitaminoses and othernnutrideficency,3217
Jhapa,2067/68,Polyneuritis,1767
Jhapa,2067/68,Anaemia,2773
Jhapa,2067/68,"Goitre,Cretinism",92
Jhapa,2067/68,Diabetic mellitis,795
Jhapa,2067/68,Obesity,48
Jhapa,2067/68,Dehydration,2062
Jhapa,2067/68,Night blindness,545
Morang,2067/68,Malnutrition,740
Morang,2067/68,Avitaminoses and othernnutrideficency,4728
Morang,2067/68,Polyneuritis,2062
Morang,2067/68,Anaemia,2892
Morang,2067/68,"Goitre,Cretinism",114
Morang,2067/68,Diabetic mellitis,5398
Morang,2067/68,Obesity,97
Morang,2067/68,Dehydration,2230
Morang,2067/68,Night blindness,309
Sunsari,2067/68,Malnutrition,752
Sunsari,2067/68,Avitaminoses and othernnutrideficency,6779
Sunsari,2067/68,Polyneuritis,891
Sunsari,2067/68,Anaemia,2438
Sunsari,2067/68,"Goitre,Cretinism",6
Sunsari,2067/68,Diabetic mellitis,125
Sunsari,2067/68,Obesity,19
Sunsari,2067/68,Dehydration,2689
Sunsari,2067/68,Night blindness,177
Dhankuta,2067/68,Malnutrition,15
Dhankuta,2067/68,Avitaminoses and othernnutrideficency,1277
Dhankuta,2067/68,Polyneuritis,331
Dhankuta,2067/68,Anaemia,155
Dhankuta,2067/68,"Goitre,Cretinism",8
Dhankuta,2067/68,Diabetic mellitis,3
Dhankuta,2067/68,Obesity,4
Dhankuta,2067/68,Dehydration,470
Dhankuta,2067/68,Night blindness,10
Teharthum,2067/68,Malnutrition,63
Teharthum,2067/68,Avitaminoses and othernnutrideficency,438
Teharthum,2067/68,Polyneuritis,327
Teharthum,2067/68,Anaemia,343
Teharthum,2067/68,"Goitre,Cretinism",37
Teharthum,2067/68,Diabetic mellitis,171
Teharthum,2067/68,Obesity,5
Teharthum,2067/68,Dehydration,133
Teharthum,2067/68,Night blindness,58
Sankhuwasabha,2067/68,Malnutrition,50
Sankhuwasabha,2067/68,Avitaminoses and othernnutrideficency,692
Sankhuwasabha,2067/68,Polyneuritis,120
Sankhuwasabha,2067/68,Anaemia,453
Sankhuwasabha,2067/68,"Goitre,Cretinism",2
Sankhuwasabha,2067/68,Diabetic mellitis,176
Sankhuwasabha,2067/68,Obesity,18
Sankhuwasabha,2067/68,Dehydration,446
Sankhuwasabha,2067/68,Night blindness,14
Bhojpur,2067/68,Malnutrition,35
Bhojpur,2067/68,Avitaminoses and othernnutrideficency,1613
Bhojpur,2067/68,Polyneuritis,166
Bhojpur,2067/68,Anaemia,890
Bhojpur,2067/68,"Goitre,Cretinism",5
Bhojpur,2067/68,Diabetic mellitis,55
Bhojpur,2067/68,Obesity,2
Bhojpur,2067/68,Dehydration,612
Bhojpur,2067/68,Night blindness,29
Solukhumbu,2067/68,Malnutrition,105
Solukhumbu,2067/68,Avitaminoses and othernnutrideficency,330
Solukhumbu,2067/68,Polyneuritis,118
Solukhumbu,2067/68,Anaemia,699
Solukhumbu,2067/68,"Goitre,Cretinism",6
Solukhumbu,2067/68,Diabetic mellitis,144
Solukhumbu,2067/68,Obesity,71
Solukhumbu,2067/68,Dehydration,937
Solukhumbu,2067/68,Night blindness,101
Okhaldhunga,2067/68,Malnutrition,191
Okhaldhunga,2067/68,Avitaminoses and othernnutrideficency,906
Okhaldhunga,2067/68,Polyneuritis,35
Okhaldhunga,2067/68,Anaemia,395
Okhaldhunga,2067/68,"Goitre,Cretinism",10
Okhaldhunga,2067/68,Diabetic mellitis,184
Okhaldhunga,2067/68,Obesity,12
Okhaldhunga,2067/68,Dehydration,924
Okhaldhunga,2067/68,Night blindness,81
Khotang,2067/68,Malnutrition,271
Khotang,2067/68,Avitaminoses and othernnutrideficency,1020
Khotang,2067/68,Polyneuritis,357
Khotang,2067/68,Anaemia,844
Khotang,2067/68,"Goitre,Cretinism",175
Khotang,2067/68,Diabetic mellitis,117
Khotang,2067/68,Obesity,197
Khotang,2067/68,Dehydration,1100
Khotang,2067/68,Night blindness,253
Udaypur,2067/68,Malnutrition,208
Udaypur,2067/68,Avitaminoses and othernnutrideficency,1349
Udaypur,2067/68,Polyneuritis,840
Udaypur,2067/68,Anaemia,1302
Udaypur,2067/68,"Goitre,Cretinism",9
Udaypur,2067/68,Diabetic mellitis,402
Udaypur,2067/68,Obesity,5
Udaypur,2067/68,Dehydration,872
Udaypur,2067/68,Night blindness,88
Saptari,2067/68,Malnutrition,978
Saptari,2067/68,Avitaminoses and othernnutrideficency,5235
Saptari,2067/68,Polyneuritis,961
Saptari,2067/68,Anaemia,4454
Saptari,2067/68,"Goitre,Cretinism",50
Saptari,2067/68,Diabetic mellitis,91
Saptari,2067/68,Obesity,43
Saptari,2067/68,Dehydration,4412
Saptari,2067/68,Night blindness,940
Siraha,2067/68,Malnutrition,1030
Siraha,2067/68,Avitaminoses and othernnutrideficency,9722
Siraha,2067/68,Polyneuritis,1560
Siraha,2067/68,Anaemia,4942
Siraha,2067/68,"Goitre,Cretinism",12
Siraha,2067/68,Diabetic mellitis,110
Siraha,2067/68,Obesity,144
Siraha,2067/68,Dehydration,4912
Siraha,2067/68,Night blindness,935
Dhanusha,2067/68,Malnutrition,1605
Dhanusha,2067/68,Avitaminoses and othernnutrideficency,8308
Dhanusha,2067/68,Polyneuritis,1258
Dhanusha,2067/68,Anaemia,5987
Dhanusha,2067/68,"Goitre,Cretinism",109
Dhanusha,2067/68,Diabetic mellitis,38
Dhanusha,2067/68,Obesity,68
Dhanusha,2067/68,Dehydration,1865
Dhanusha,2067/68,Night blindness,999
Mahottari,2067/68,Malnutrition,698
Mahottari,2067/68,Avitaminoses and othernnutrideficency,3243
Mahottari,2067/68,Polyneuritis,837
Mahottari,2067/68,Anaemia,3999
Mahottari,2067/68,"Goitre,Cretinism",19
Mahottari,2067/68,Diabetic mellitis,179
Mahottari,2067/68,Obesity,47
Mahottari,2067/68,Dehydration,2377
Mahottari,2067/68,Night blindness,881
Sarlahi,2067/68,Malnutrition,1635
Sarlahi,2067/68,Avitaminoses and othernnutrideficency,6506
Sarlahi,2067/68,Polyneuritis,589
Sarlahi,2067/68,Anaemia,5307
Sarlahi,2067/68,"Goitre,Cretinism",63
Sarlahi,2067/68,Diabetic mellitis,621
Sarlahi,2067/68,Obesity,88
Sarlahi,2067/68,Dehydration,3397
Sarlahi,2067/68,Night blindness,1739
Sindhuli,2067/68,Malnutrition,188
Sindhuli,2067/68,Avitaminoses and othernnutrideficency,880
Sindhuli,2067/68,Polyneuritis,119
Sindhuli,2067/68,Anaemia,848
Sindhuli,2067/68,"Goitre,Cretinism",7
Sindhuli,2067/68,Diabetic mellitis,47
Sindhuli,2067/68,Obesity,3
Sindhuli,2067/68,Dehydration,1416
Sindhuli,2067/68,Night blindness,143
Ramechhap,2067/68,Malnutrition,87
Ramechhap,2067/68,Avitaminoses and othernnutrideficency,1019
Ramechhap,2067/68,Polyneuritis,612
Ramechhap,2067/68,Anaemia,409
Ramechhap,2067/68,"Goitre,Cretinism",19
Ramechhap,2067/68,Diabetic mellitis,131
Ramechhap,2067/68,Obesity,6
Ramechhap,2067/68,Dehydration,227
Ramechhap,2067/68,Night blindness,38
Dolkha,2067/68,Malnutrition,73
Dolkha,2067/68,Avitaminoses and othernnutrideficency,727
Dolkha,2067/68,Polyneuritis,398
Dolkha,2067/68,Anaemia,628
Dolkha,2067/68,"Goitre,Cretinism",67
Dolkha,2067/68,Diabetic mellitis,332
Dolkha,2067/68,Obesity,16
Dolkha,2067/68,Dehydration,558
Dolkha,2067/68,Night blindness,196
Sindhupalchowk,2067/68,Malnutrition,130
Sindhupalchowk,2067/68,Avitaminoses and othernnutrideficency,745
Sindhupalchowk,2067/68,Polyneuritis,740
Sindhupalchowk,2067/68,Anaemia,940
Sindhupalchowk,2067/68,"Goitre,Cretinism",26
Sindhupalchowk,2067/68,Diabetic mellitis,65
Sindhupalchowk,2067/68,Obesity,8
Sindhupalchowk,2067/68,Dehydration,949
Sindhupalchowk,2067/68,Night blindness,48
Kavre,2067/68,Malnutrition,153
Kavre,2067/68,Avitaminoses and othernnutrideficency,2746
Kavre,2067/68,Polyneuritis,932
Kavre,2067/68,Anaemia,2166
Kavre,2067/68,"Goitre,Cretinism",51
Kavre,2067/68,Diabetic mellitis,599
Kavre,2067/68,Obesity,7
Kavre,2067/68,Dehydration,1143
Kavre,2067/68,Night blindness,42
Lalitpur,2067/68,Malnutrition,0
Lalitpur,2067/68,Avitaminoses and othernnutrideficency,0
Lalitpur,2067/68,Polyneuritis,0
Lalitpur,2067/68,Anaemia,0
Lalitpur,2067/68,"Goitre,Cretinism",0
Lalitpur,2067/68,Diabetic mellitis,0
Lalitpur,2067/68,Obesity,0
Lalitpur,2067/68,Dehydration,0
Lalitpur,2067/68,Night blindness,0
Bhaktapur,2067/68,Malnutrition,71
Bhaktapur,2067/68,Avitaminoses and othernnutrideficency,1009
Bhaktapur,2067/68,Polyneuritis,189
Bhaktapur,2067/68,Anaemia,178
Bhaktapur,2067/68,"Goitre,Cretinism",9
Bhaktapur,2067/68,Diabetic mellitis,677
Bhaktapur,2067/68,Obesity,79
Bhaktapur,2067/68,Dehydration,65
Bhaktapur,2067/68,Night blindness,11
Kathmandu,2067/68,Malnutrition,474
Kathmandu,2067/68,Avitaminoses and othernnutrideficency,3298
Kathmandu,2067/68,Polyneuritis,666
Kathmandu,2067/68,Anaemia,2081
Kathmandu,2067/68,"Goitre,Cretinism",467
Kathmandu,2067/68,Diabetic mellitis,6342
Kathmandu,2067/68,Obesity,418
Kathmandu,2067/68,Dehydration,1851
Kathmandu,2067/68,Night blindness,228
Nuwakot,2067/68,Malnutrition,138
Nuwakot,2067/68,Avitaminoses and othernnutrideficency,1265
Nuwakot,2067/68,Polyneuritis,449
Nuwakot,2067/68,Anaemia,608
Nuwakot,2067/68,"Goitre,Cretinism",30
Nuwakot,2067/68,Diabetic mellitis,65
Nuwakot,2067/68,Obesity,87
Nuwakot,2067/68,Dehydration,523
Nuwakot,2067/68,Night blindness,134
Rasuwa,2067/68,Malnutrition,5
Rasuwa,2067/68,Avitaminoses and othernnutrideficency,603
Rasuwa,2067/68,Polyneuritis,40
Rasuwa,2067/68,Anaemia,145
Rasuwa,2067/68,"Goitre,Cretinism",1
Rasuwa,2067/68,Diabetic mellitis,8
Rasuwa,2067/68,Obesity,0
Rasuwa,2067/68,Dehydration,142
Rasuwa,2067/68,Night blindness,3
Dhading,2067/68,Malnutrition,487
Dhading,2067/68,Avitaminoses and othernnutrideficency,1858
Dhading,2067/68,Polyneuritis,1341
Dhading,2067/68,Anaemia,2503
Dhading,2067/68,"Goitre,Cretinism",8
Dhading,2067/68,Diabetic mellitis,254
Dhading,2067/68,Obesity,24
Dhading,2067/68,Dehydration,1113
Dhading,2067/68,Night blindness,124
Makawanpur,2067/68,Malnutrition,122
Makawanpur,2067/68,Avitaminoses and othernnutrideficency,969
Makawanpur,2067/68,Polyneuritis,512
Makawanpur,2067/68,Anaemia,1052
Makawanpur,2067/68,"Goitre,Cretinism",0
Makawanpur,2067/68,Diabetic mellitis,82
Makawanpur,2067/68,Obesity,29
Makawanpur,2067/68,Dehydration,596
Makawanpur,2067/68,Night blindness,7
Rautahat,2067/68,Malnutrition,1629
Rautahat,2067/68,Avitaminoses and othernnutrideficency,4670
Rautahat,2067/68,Polyneuritis,249
Rautahat,2067/68,Anaemia,6417
Rautahat,2067/68,"Goitre,Cretinism",64
Rautahat,2067/68,Diabetic mellitis,124
Rautahat,2067/68,Obesity,42
Rautahat,2067/68,Dehydration,4413
Rautahat,2067/68,Night blindness,1389
Bara,2067/68,Malnutrition,1254
Bara,2067/68,Avitaminoses and othernnutrideficency,7217
Bara,2067/68,Polyneuritis,1691
Bara,2067/68,Anaemia,5875
Bara,2067/68,"Goitre,Cretinism",67
Bara,2067/68,Diabetic mellitis,336
Bara,2067/68,Obesity,124
Bara,2067/68,Dehydration,3279
Bara,2067/68,Night blindness,1531
Parsa,2067/68,Malnutrition,0
Parsa,2067/68,Avitaminoses and othernnutrideficency,0
Parsa,2067/68,Polyneuritis,0
Parsa,2067/68,Anaemia,0
Parsa,2067/68,"Goitre,Cretinism",0
Parsa,2067/68,Diabetic mellitis,0
Parsa,2067/68,Obesity,0
Parsa,2067/68,Dehydration,0
Parsa,2067/68,Night blindness,0
Chitwan,2067/68,Malnutrition,226
Chitwan,2067/68,Avitaminoses and othernnutrideficency,2402
Chitwan,2067/68,Polyneuritis,873
Chitwan,2067/68,Anaemia,2846
Chitwan,2067/68,"Goitre,Cretinism",26
Chitwan,2067/68,Diabetic mellitis,6744
Chitwan,2067/68,Obesity,43
Chitwan,2067/68,Dehydration,586
Chitwan,2067/68,Night blindness,81
Gorkha,2067/68,Malnutrition,105
Gorkha,2067/68,Avitaminoses and othernnutrideficency,1040
Gorkha,2067/68,Polyneuritis,1336
Gorkha,2067/68,Anaemia,1207
Gorkha,2067/68,"Goitre,Cretinism",112
Gorkha,2067/68,Diabetic mellitis,484
Gorkha,2067/68,Obesity,111
Gorkha,2067/68,Dehydration,696
Gorkha,2067/68,Night blindness,38
Lamjung,2067/68,Malnutrition,131
Lamjung,2067/68,Avitaminoses and othernnutrideficency,2167
Lamjung,2067/68,Polyneuritis,635
Lamjung,2067/68,Anaemia,746
Lamjung,2067/68,"Goitre,Cretinism",7
Lamjung,2067/68,Diabetic mellitis,795
Lamjung,2067/68,Obesity,8
Lamjung,2067/68,Dehydration,475
Lamjung,2067/68,Night blindness,13
Tanahu,2067/68,Malnutrition,61
Tanahu,2067/68,Avitaminoses and othernnutrideficency,812
Tanahu,2067/68,Polyneuritis,271
Tanahu,2067/68,Anaemia,625
Tanahu,2067/68,"Goitre,Cretinism",81
Tanahu,2067/68,Diabetic mellitis,503
Tanahu,2067/68,Obesity,158
Tanahu,2067/68,Dehydration,214
Tanahu,2067/68,Night blindness,84
Syangja,2067/68,Malnutrition,216
Syangja,2067/68,Avitaminoses and othernnutrideficency,4050
Syangja,2067/68,Polyneuritis,1046
Syangja,2067/68,Anaemia,1410
Syangja,2067/68,"Goitre,Cretinism",36
Syangja,2067/68,Diabetic mellitis,242
Syangja,2067/68,Obesity,14
Syangja,2067/68,Dehydration,364
Syangja,2067/68,Night blindness,127
Kaski,2067/68,Malnutrition,1116
Kaski,2067/68,Avitaminoses and othernnutrideficency,3643
Kaski,2067/68,Polyneuritis,1026
Kaski,2067/68,Anaemia,1279
Kaski,2067/68,"Goitre,Cretinism",1762
Kaski,2067/68,Diabetic mellitis,5058
Kaski,2067/68,Obesity,218
Kaski,2067/68,Dehydration,298
Kaski,2067/68,Night blindness,53
Manang,2067/68,Malnutrition,4
Manang,2067/68,Avitaminoses and othernnutrideficency,80
Manang,2067/68,Polyneuritis,9
Manang,2067/68,Anaemia,29
Manang,2067/68,"Goitre,Cretinism",0
Manang,2067/68,Diabetic mellitis,11
Manang,2067/68,Obesity,0
Manang,2067/68,Dehydration,33
Manang,2067/68,Night blindness,10
Mustang,2067/68,Malnutrition,4
Mustang,2067/68,Avitaminoses and othernnutrideficency,267
Mustang,2067/68,Polyneuritis,12
Mustang,2067/68,Anaemia,60
Mustang,2067/68,"Goitre,Cretinism",0
Mustang,2067/68,Diabetic mellitis,12
Mustang,2067/68,Obesity,1
Mustang,2067/68,Dehydration,191
Mustang,2067/68,Night blindness,1
Myagdi,2067/68,Malnutrition,160
Myagdi,2067/68,Avitaminoses and othernnutrideficency,499
Myagdi,2067/68,Polyneuritis,204
Myagdi,2067/68,Anaemia,168
Myagdi,2067/68,"Goitre,Cretinism",0
Myagdi,2067/68,Diabetic mellitis,75
Myagdi,2067/68,Obesity,9
Myagdi,2067/68,Dehydration,217
Myagdi,2067/68,Night blindness,7
Parbat,2067/68,Malnutrition,64
Parbat,2067/68,Avitaminoses and othernnutrideficency,2098
Parbat,2067/68,Polyneuritis,811
Parbat,2067/68,Anaemia,1034
Parbat,2067/68,"Goitre,Cretinism",20
Parbat,2067/68,Diabetic mellitis,155
Parbat,2067/68,Obesity,4
Parbat,2067/68,Dehydration,284
Parbat,2067/68,Night blindness,21
Baglung,2067/68,Malnutrition,247
Baglung,2067/68,Avitaminoses and othernnutrideficency,1462
Baglung,2067/68,Polyneuritis,1174
Baglung,2067/68,Anaemia,1200
Baglung,2067/68,"Goitre,Cretinism",26
Baglung,2067/68,Diabetic mellitis,149
Baglung,2067/68,Obesity,65
Baglung,2067/68,Dehydration,690
Baglung,2067/68,Night blindness,58
Gulmi,2067/68,Malnutrition,224
Gulmi,2067/68,Avitaminoses and othernnutrideficency,1982
Gulmi,2067/68,Polyneuritis,2333
Gulmi,2067/68,Anaemia,2092
Gulmi,2067/68,"Goitre,Cretinism",144
Gulmi,2067/68,Diabetic mellitis,274
Gulmi,2067/68,Obesity,101
Gulmi,2067/68,Dehydration,858
Gulmi,2067/68,Night blindness,121
Palpa,2067/68,Malnutrition,350
Palpa,2067/68,Avitaminoses and othernnutrideficency,2991
Palpa,2067/68,Polyneuritis,783
Palpa,2067/68,Anaemia,1550
Palpa,2067/68,"Goitre,Cretinism",400
Palpa,2067/68,Diabetic mellitis,2556
Palpa,2067/68,Obesity,6
Palpa,2067/68,Dehydration,1686
Palpa,2067/68,Night blindness,27
Nawalparasi,2067/68,Malnutrition,430
Nawalparasi,2067/68,Avitaminoses and othernnutrideficency,4133
Nawalparasi,2067/68,Polyneuritis,968
Nawalparasi,2067/68,Anaemia,2210
Nawalparasi,2067/68,"Goitre,Cretinism",17
Nawalparasi,2067/68,Diabetic mellitis,430
Nawalparasi,2067/68,Obesity,20
Nawalparasi,2067/68,Dehydration,1026
Nawalparasi,2067/68,Night blindness,221
Rupandehi,2067/68,Malnutrition,0
Rupandehi,2067/68,Avitaminoses and othernnutrideficency,0
Rupandehi,2067/68,Polyneuritis,0
Rupandehi,2067/68,Anaemia,0
Rupandehi,2067/68,"Goitre,Cretinism",0
Rupandehi,2067/68,Diabetic mellitis,0
Rupandehi,2067/68,Obesity,0
Rupandehi,2067/68,Dehydration,0
Rupandehi,2067/68,Night blindness,0
Kapilvastu,2067/68,Malnutrition,3001
Kapilvastu,2067/68,Avitaminoses and othernnutrideficency,5750
Kapilvastu,2067/68,Polyneuritis,2255
Kapilvastu,2067/68,Anaemia,5418
Kapilvastu,2067/68,"Goitre,Cretinism",0
Kapilvastu,2067/68,Diabetic mellitis,50
Kapilvastu,2067/68,Obesity,242
Kapilvastu,2067/68,Dehydration,1711
Kapilvastu,2067/68,Night blindness,1245
Arghakhanchi,2067/68,Malnutrition,224
Arghakhanchi,2067/68,Avitaminoses and othernnutrideficency,1563
Arghakhanchi,2067/68,Polyneuritis,1090
Arghakhanchi,2067/68,Anaemia,912
Arghakhanchi,2067/68,"Goitre,Cretinism",6
Arghakhanchi,2067/68,Diabetic mellitis,149
Arghakhanchi,2067/68,Obesity,26
Arghakhanchi,2067/68,Dehydration,844
Arghakhanchi,2067/68,Night blindness,43
Pyuthan,2067/68,Malnutrition,162
Pyuthan,2067/68,Avitaminoses and othernnutrideficency,838
Pyuthan,2067/68,Polyneuritis,513
Pyuthan,2067/68,Anaemia,618
Pyuthan,2067/68,"Goitre,Cretinism",22
Pyuthan,2067/68,Diabetic mellitis,26
Pyuthan,2067/68,Obesity,23
Pyuthan,2067/68,Dehydration,309
Pyuthan,2067/68,Night blindness,29
Rolpa,2067/68,Malnutrition,145
Rolpa,2067/68,Avitaminoses and othernnutrideficency,790
Rolpa,2067/68,Polyneuritis,606
Rolpa,2067/68,Anaemia,743
Rolpa,2067/68,"Goitre,Cretinism",22
Rolpa,2067/68,Diabetic mellitis,7
Rolpa,2067/68,Obesity,2
Rolpa,2067/68,Dehydration,858
Rolpa,2067/68,Night blindness,33
Rukum,2067/68,Malnutrition,463
Rukum,2067/68,Avitaminoses and othernnutrideficency,1992
Rukum,2067/68,Polyneuritis,1248
Rukum,2067/68,Anaemia,948
Rukum,2067/68,"Goitre,Cretinism",30
Rukum,2067/68,Diabetic mellitis,23
Rukum,2067/68,Obesity,12
Rukum,2067/68,Dehydration,652
Rukum,2067/68,Night blindness,86
Salyan,2067/68,Malnutrition,372
Salyan,2067/68,Avitaminoses and othernnutrideficency,1369
Salyan,2067/68,Polyneuritis,1783
Salyan,2067/68,Anaemia,1247
Salyan,2067/68,"Goitre,Cretinism",36
Salyan,2067/68,Diabetic mellitis,103
Salyan,2067/68,Obesity,10
Salyan,2067/68,Dehydration,1064
Salyan,2067/68,Night blindness,167
Dang,2067/68,Malnutrition,689
Dang,2067/68,Avitaminoses and othernnutrideficency,1378
Dang,2067/68,Polyneuritis,1290
Dang,2067/68,Anaemia,1020
Dang,2067/68,"Goitre,Cretinism",0
Dang,2067/68,Diabetic mellitis,496
Dang,2067/68,Obesity,188
Dang,2067/68,Dehydration,1663
Dang,2067/68,Night blindness,456
Banke,2067/68,Malnutrition,685
Banke,2067/68,Avitaminoses and othernnutrideficency,3627
Banke,2067/68,Polyneuritis,928
Banke,2067/68,Anaemia,1972
Banke,2067/68,"Goitre,Cretinism",34
Banke,2067/68,Diabetic mellitis,76
Banke,2067/68,Obesity,227
Banke,2067/68,Dehydration,2496
Banke,2067/68,Night blindness,432
Bardiya,2067/68,Malnutrition,935
Bardiya,2067/68,Avitaminoses and othernnutrideficency,4045
Bardiya,2067/68,Polyneuritis,3750
Bardiya,2067/68,Anaemia,2727
Bardiya,2067/68,"Goitre,Cretinism",18
Bardiya,2067/68,Diabetic mellitis,136
Bardiya,2067/68,Obesity,26
Bardiya,2067/68,Dehydration,1187
Bardiya,2067/68,Night blindness,577
Surkhet,2067/68,Malnutrition,474
Surkhet,2067/68,Avitaminoses and othernnutrideficency,2399
Surkhet,2067/68,Polyneuritis,3136
Surkhet,2067/68,Anaemia,1217
Surkhet,2067/68,"Goitre,Cretinism",7
Surkhet,2067/68,Diabetic mellitis,18
Surkhet,2067/68,Obesity,60
Surkhet,2067/68,Dehydration,2711
Surkhet,2067/68,Night blindness,124
Dailekh,2067/68,Malnutrition,281
Dailekh,2067/68,Avitaminoses and othernnutrideficency,1390
Dailekh,2067/68,Polyneuritis,947
Dailekh,2067/68,Anaemia,669
Dailekh,2067/68,"Goitre,Cretinism",1
Dailekh,2067/68,Diabetic mellitis,34
Dailekh,2067/68,Obesity,14
Dailekh,2067/68,Dehydration,2373
Dailekh,2067/68,Night blindness,93
Jajarkot,2067/68,Malnutrition,1159
Jajarkot,2067/68,Avitaminoses and othernnutrideficency,827
Jajarkot,2067/68,Polyneuritis,461
Jajarkot,2067/68,Anaemia,1069
Jajarkot,2067/68,"Goitre,Cretinism",117
Jajarkot,2067/68,Diabetic mellitis,19
Jajarkot,2067/68,Obesity,18
Jajarkot,2067/68,Dehydration,1619
Jajarkot,2067/68,Night blindness,237
Dolpa,2067/68,Malnutrition,119
Dolpa,2067/68,Avitaminoses and othernnutrideficency,85
Dolpa,2067/68,Polyneuritis,7
Dolpa,2067/68,Anaemia,130
Dolpa,2067/68,"Goitre,Cretinism",1
Dolpa,2067/68,Diabetic mellitis,0
Dolpa,2067/68,Obesity,0
Dolpa,2067/68,Dehydration,174
Dolpa,2067/68,Night blindness,8
Jumla,2067/68,Malnutrition,295
Jumla,2067/68,Avitaminoses and othernnutrideficency,417
Jumla,2067/68,Polyneuritis,60
Jumla,2067/68,Anaemia,144
Jumla,2067/68,"Goitre,Cretinism",2
Jumla,2067/68,Diabetic mellitis,1
Jumla,2067/68,Obesity,7
Jumla,2067/68,Dehydration,399
Jumla,2067/68,Night blindness,126
Kalikot,2067/68,Malnutrition,446
Kalikot,2067/68,Avitaminoses and othernnutrideficency,743
Kalikot,2067/68,Polyneuritis,473
Kalikot,2067/68,Anaemia,805
Kalikot,2067/68,"Goitre,Cretinism",24
Kalikot,2067/68,Diabetic mellitis,0
Kalikot,2067/68,Obesity,0
Kalikot,2067/68,Dehydration,639
Kalikot,2067/68,Night blindness,82
Mugu,2067/68,Malnutrition,425
Mugu,2067/68,Avitaminoses and othernnutrideficency,521
Mugu,2067/68,Polyneuritis,118
Mugu,2067/68,Anaemia,189
Mugu,2067/68,"Goitre,Cretinism",9
Mugu,2067/68,Diabetic mellitis,0
Mugu,2067/68,Obesity,0
Mugu,2067/68,Dehydration,1024
Mugu,2067/68,Night blindness,112
Humla,2067/68,Malnutrition,446
Humla,2067/68,Avitaminoses and othernnutrideficency,735
Humla,2067/68,Polyneuritis,201
Humla,2067/68,Anaemia,349
Humla,2067/68,"Goitre,Cretinism",44
Humla,2067/68,Diabetic mellitis,1
Humla,2067/68,Obesity,75
Humla,2067/68,Dehydration,528
Humla,2067/68,Night blindness,16
Bajura,2067/68,Malnutrition,487
Bajura,2067/68,Avitaminoses and othernnutrideficency,1108
Bajura,2067/68,Polyneuritis,402
Bajura,2067/68,Anaemia,655
Bajura,2067/68,"Goitre,Cretinism",27
Bajura,2067/68,Diabetic mellitis,12
Bajura,2067/68,Obesity,15
Bajura,2067/68,Dehydration,1419
