District,Year,Vaccine,Dropout Rate
Dhanusha,2068/69,"BCG Vs
Measles",11.34
Dhanusha,2068/69,"DPT1 Vs
DPT3",5.1
Dhanusha,2068/69,"Polio1 Vs
Polio3",5.02
Mahottari,2068/69,"BCG Vs
Measles",5.02
Mahottari,2068/69,"DPT1 Vs
DPT3",1.93
Mahottari,2068/69,"Polio1 Vs
Polio3",4.03
Sarlahi,2068/69,"BCG Vs
Measles",19
Sarlahi,2068/69,"DPT1 Vs
DPT3",9.35
Sarlahi,2068/69,"Polio1 Vs
Polio3",9.18
Sindhuli,2068/69,"BCG Vs
Measles",14.24
Sindhuli,2068/69,"DPT1 Vs
DPT3",7.09
Sindhuli,2068/69,"Polio1 Vs
Polio3",7.13
Ramechhap,2068/69,"BCG Vs
Measles",-1.37
Ramechhap,2068/69,"DPT1 Vs
DPT3",-4.06
Ramechhap,2068/69,"Polio1 Vs
Polio3",-3.48
Dolkha,2068/69,"BCG Vs
Measles",1.45
Dolkha,2068/69,"DPT1 Vs
DPT3",-0.76
Dolkha,2068/69,"Polio1 Vs
Polio3",-0.5
Sindhupalchowk,2068/69,"BCG Vs
Measles",-8.63
Sindhupalchowk,2068/69,"DPT1 Vs
DPT3",0.05
Sindhupalchowk,2068/69,"Polio1 Vs
Polio3",0.15
Kavre,2068/69,"BCG Vs
Measles",-1.07
Kavre,2068/69,"DPT1 Vs
DPT3",-0.43
Kavre,2068/69,"Polio1 Vs
Polio3",-0.29
Lalitpur,2068/69,"BCG Vs
Measles",34.21
Lalitpur,2068/69,"DPT1 Vs
DPT3",-23.76
Lalitpur,2068/69,"Polio1 Vs
Polio3",-23.76
Bhaktapur,2068/69,"BCG Vs
Measles",-67.61
Bhaktapur,2068/69,"DPT1 Vs
DPT3",-8.88
Bhaktapur,2068/69,"Polio1 Vs
Polio3",-8.79
Kathmandu,2068/69,"BCG Vs
Measles",28.77
Kathmandu,2068/69,"DPT1 Vs
DPT3",-3.31
Kathmandu,2068/69,"Polio1 Vs
Polio3",-3.27
Nuwakot,2068/69,"BCG Vs
Measles",6.16
Nuwakot,2068/69,"DPT1 Vs
DPT3",0.59
Nuwakot,2068/69,"Polio1 Vs
Polio3",0.39
Rasuwa,2068/69,"BCG Vs
Measles",0.89
Rasuwa,2068/69,"DPT1 Vs
DPT3",0.94
Rasuwa,2068/69,"Polio1 Vs
Polio3",0.94
Dhading,2068/69,"BCG Vs
Measles",-3.42
Dhading,2068/69,"DPT1 Vs
DPT3",0.82
Dhading,2068/69,"Polio1 Vs
Polio3",0.82
Makawanpur,2068/69,"BCG Vs
Measles",5.38
Makawanpur,2068/69,"DPT1 Vs
DPT3",2.83
Makawanpur,2068/69,"Polio1 Vs
Polio3",4.96
Rautahat,2068/69,"BCG Vs
Measles",17.82
Rautahat,2068/69,"DPT1 Vs
DPT3",6.45
Rautahat,2068/69,"Polio1 Vs
Polio3",8.73
Bara,2068/69,"BCG Vs
Measles",12.26
Bara,2068/69,"DPT1 Vs
DPT3",5.63
Bara,2068/69,"Polio1 Vs
Polio3",6.08
Parsa,2068/69,"BCG Vs
Measles",7.69
Chitwan,2068/69,"BCG Vs
Measles",20.45
Chitwan,2068/69,"DPT1 Vs
DPT3",1.89
Chitwan,2068/69,"Polio1 Vs
Polio3",1.89
Gorkha,2068/69,"BCG Vs
Measles",0.47
Gorkha,2068/69,"DPT1 Vs
DPT3",-0.93
Gorkha,2068/69,"Polio1 Vs
Polio3",-0.93
Lamjung,2068/69,"BCG Vs
Measles",-2.68
Lamjung,2068/69,"DPT1 Vs
DPT3",1.41
Lamjung,2068/69,"Polio1 Vs
Polio3",1.41
Tanahu,2068/69,"BCG Vs
Measles",-1.14
Tanahu,2068/69,"DPT1 Vs
DPT3",0.69
Tanahu,2068/69,"Polio1 Vs
Polio3",0.73
Syangja,2068/69,"BCG Vs
Measles",-12.39
Syangja,2068/69,"DPT1 Vs
DPT3",0.04
Syangja,2068/69,"Polio1 Vs
Polio3",-0.16
Kaski,2068/69,"BCG Vs
Measles",26.09
Kaski,2068/69,"DPT1 Vs
DPT3",-5.97
Kaski,2068/69,"Polio1 Vs
Polio3",-5.97
Manang,2068/69,"BCG Vs
Measles",-58.97
Manang,2068/69,"DPT1 Vs
DPT3",-44.44
Manang,2068/69,"Polio1 Vs
Polio3",-44.44
Mustang,2068/69,"BCG Vs
Measles",-17.89
Mustang,2068/69,"DPT1 Vs
DPT3",-1.23
Mustang,2068/69,"Polio1 Vs
Polio3",-1.23
Myagdi,2068/69,"BCG Vs
Measles",-4.43
Myagdi,2068/69,"DPT1 Vs
DPT3",-0.56
Myagdi,2068/69,"Polio1 Vs
Polio3",-0.45
Parbat,2068/69,"BCG Vs
Measles",-8.51
Parbat,2068/69,"DPT1 Vs
DPT3",-0.73
Parbat,2068/69,"Polio1 Vs
Polio3",-0.73
Baglung,2068/69,"BCG Vs
Measles",4.08
Baglung,2068/69,"DPT1 Vs
DPT3",0.98
Baglung,2068/69,"Polio1 Vs
Polio3",0.98
Gulmi,2068/69,"BCG Vs
Measles",0.42
Gulmi,2068/69,"DPT1 Vs
DPT3",-0.71
Gulmi,2068/69,"Polio1 Vs
Polio3",-0.53
Palpa,2068/69,"BCG Vs
Measles",17.6
Palpa,2068/69,"DPT1 Vs
DPT3",-0.05
Palpa,2068/69,"Polio1 Vs
Polio3",-0.05
Nawalparasi,2068/69,"BCG Vs
Measles",-3.8
Nawalparasi,2068/69,"DPT1 Vs
DPT3",2.14
Nawalparasi,2068/69,"Polio1 Vs
Polio3",2.14
Rupandehi,2068/69,"BCG Vs
Measles",15.75
Rupandehi,2068/69,"DPT1 Vs
DPT3",-0.28
Rupandehi,2068/69,"Polio1 Vs
Polio3",-0.28
Kapilvastu,2068/69,"BCG Vs
Measles",24.51
Kapilvastu,2068/69,"DPT1 Vs
DPT3",4.4
Kapilvastu,2068/69,"Polio1 Vs
Polio3",4.74
Arghakhanchi,2068/69,"BCG Vs
Measles",0.71
Arghakhanchi,2068/69,"DPT1 Vs
DPT3",3.91
Arghakhanchi,2068/69,"Polio1 Vs
Polio3",4.33
Pyuthan,2068/69,"BCG Vs
Measles",2.44
Pyuthan,2068/69,"DPT1 Vs
DPT3",1.7
Pyuthan,2068/69,"Polio1 Vs
Polio3",1.7
Rolpa,2068/69,"BCG Vs
Measles",4.18
Rolpa,2068/69,"DPT1 Vs
DPT3",1.19
Rolpa,2068/69,"Polio1 Vs
Polio3",1.14
Rukum,2068/69,"BCG Vs
Measles",9.25
Rukum,2068/69,"DPT1 Vs
DPT3",3.07
Rukum,2068/69,"Polio1 Vs
Polio3",3.07
Salyan,2068/69,"BCG Vs
Measles",4.11
Salyan,2068/69,"DPT1 Vs
DPT3",0.18
Salyan,2068/69,"Polio1 Vs
Polio3",0.18
Dang,2068/69,"BCG Vs
Measles",1.86
Dang,2068/69,"DPT1 Vs
DPT3",0.73
Dang,2068/69,"Polio1 Vs
Polio3",0.73
Banke,2068/69,"BCG Vs
Measles",25.13
Banke,2068/69,"DPT1 Vs
DPT3",6.19
Banke,2068/69,"Polio1 Vs
Polio3",6.19
Bardiya,2068/69,"BCG Vs
Measles",0.43
Bardiya,2068/69,"DPT1 Vs
DPT3",1.03
Bardiya,2068/69,"Polio1 Vs
Polio3",1.03
Surkhet,2068/69,"BCG Vs
Measles",10.1
Surkhet,2068/69,"DPT1 Vs
DPT3",1.87
Surkhet,2068/69,"Polio1 Vs
Polio3",1.87
Dailekh,2068/69,"BCG Vs
Measles",4.78
Dailekh,2068/69,"DPT1 Vs
DPT3",1.22
Dailekh,2068/69,"Polio1 Vs
Polio3",1.22
Jajarkot,2068/69,"BCG Vs
Measles",2.29
Jajarkot,2068/69,"DPT1 Vs
DPT3",4.54
Jajarkot,2068/69,"Polio1 Vs
Polio3",4.54
Dolpa,2068/69,"BCG Vs
Measles",12.36
Dolpa,2068/69,"DPT1 Vs
DPT3",15.89
Dolpa,2068/69,"Polio1 Vs
Polio3",12.59
Jumla,2068/69,"BCG Vs
Measles",12.88
Jumla,2068/69,"DPT1 Vs
DPT3",0.57
Jumla,2068/69,"Polio1 Vs
Polio3",0.06
Kalikot,2068/69,"BCG Vs
Measles",16.02
Kalikot,2068/69,"DPT1 Vs
DPT3",9.96
Kalikot,2068/69,"Polio1 Vs
Polio3",10.38
Mugu,2068/69,"BCG Vs
Measles",22.42
Mugu,2068/69,"DPT1 Vs
DPT3",16.81
Mugu,2068/69,"Polio1 Vs
Polio3",18.74
Humla,2068/69,"BCG Vs
Measles",14.22
Humla,2068/69,"DPT1 Vs
DPT3",2.9
Humla,2068/69,"Polio1 Vs
Polio3",2.9
Bajura,2068/69,"BCG Vs
Measles",11.33
Bajura,2068/69,"DPT1 Vs
DPT3",1.63
Bajura,2068/69,"Polio1 Vs
Polio3",3.03
Bajhang,2068/69,"BCG Vs
Measles",4.53
Bajhang,2068/69,"DPT1 Vs
DPT3",1.33
Bajhang,2068/69,"Polio1 Vs
Polio3",1.35
Achham,2068/69,"BCG Vs
Measles",1.24
Achham,2068/69,"DPT1 Vs
DPT3",0.76
Achham,2068/69,"Polio1 Vs
Polio3",0.76
Doti,2068/69,"BCG Vs
Measles",11.23
Doti,2068/69,"DPT1 Vs
DPT3",4.3
Doti,2068/69,"Polio1 Vs
Polio3",4.23
Kailali,2068/69,"BCG Vs
Measles",6.66
Kailali,2068/69,"DPT1 Vs
DPT3",2.24
Kailali,2068/69,"Polio1 Vs
Polio3",2.26
Kanchanpur,2068/69,"BCG Vs
Measles",8.55
Kanchanpur,2068/69,"DPT1 Vs
DPT3",2.67
Kanchanpur,2068/69,"Polio1 Vs
Polio3",2.56
Dadeldhura,2068/69,"BCG Vs
Measles",16.15
Dadeldhura,2068/69,"DPT1 Vs
DPT3",-1.73
Dadeldhura,2068/69,"Polio1 Vs
Polio3",-1.73
Baitadi,2068/69,"BCG Vs
Measles",6.49
Baitadi,2068/69,"DPT1 Vs
DPT3",0.22
Baitadi,2068/69,"Polio1 Vs
Polio3",-4.61
Darchula,2068/69,"BCG Vs
Measles",-7.56
Darchula,2068/69,"DPT1 Vs
DPT3",-0.63
Darchula,2068/69,"Polio1 Vs
Polio3",-0.39
Taplejung,2069/70,"BCG Vs
Measles",3.6
Taplejung,2069/70,"DPT1 Vs
DPT3",0.2
Taplejung,2069/70,"Polio1 Vs
Polio3",4.3
Panchthar,2069/70,"BCG Vs
Measles",2.1
Panchthar,2069/70,"DPT1 Vs
DPT3",-0.9
Panchthar,2069/70,"Polio1 Vs
Polio3",-0.9
Ilam,2069/70,"BCG Vs
Measles",4.7
Ilam,2069/70,"DPT1 Vs
DPT3",2.5
Ilam,2069/70,"Polio1 Vs
Polio3",2.5
Jhapa,2069/70,"BCG Vs
Measles",9.9
Jhapa,2069/70,"DPT1 Vs
DPT3",0.7
Jhapa,2069/70,"Polio1 Vs
Polio3",0.5
Morang,2069/70,"BCG Vs
Measles",14.7
Morang,2069/70,"DPT1 Vs
DPT3",2.7
Morang,2069/70,"Polio1 Vs
Polio3",2.7
Sunsari,2069/70,"BCG Vs
Measles",11.8
Sunsari,2069/70,"DPT1 Vs
DPT3",4.5
Sunsari,2069/70,"Polio1 Vs
Polio3",4.5
Dhankuta,2069/70,"BCG Vs
Measles",1.7
Dhankuta,2069/70,"DPT1 Vs
DPT3",-0.4
Dhankuta,2069/70,"Polio1 Vs
Polio3",-0.3
Teharthum,2069/70,"BCG Vs
Measles",9.9
Teharthum,2069/70,"DPT1 Vs
DPT3",3.8
Teharthum,2069/70,"Polio1 Vs
Polio3",3.8
Sankhuwasabha,2069/70,"BCG Vs
Measles",6.6
Sankhuwasabha,2069/70,"DPT1 Vs
DPT3",1.9
Sankhuwasabha,2069/70,"Polio1 Vs
Polio3",1.9
Bhojpur,2069/70,"BCG Vs
Measles",7.2
Bhojpur,2069/70,"DPT1 Vs
DPT3",2.9
Bhojpur,2069/70,"Polio1 Vs
Polio3",2.7
Solukhumbu,2069/70,"BCG Vs
Measles",9.5
Solukhumbu,2069/70,"DPT1 Vs
DPT3",1.8
Solukhumbu,2069/70,"Polio1 Vs
Polio3",1.8
Okhaldhunga,2069/70,"BCG Vs
Measles",13.3
Okhaldhunga,2069/70,"DPT1 Vs
DPT3",-0.4
Okhaldhunga,2069/70,"Polio1 Vs
Polio3",-1
Khotang,2069/70,"BCG Vs
Measles",9.6
Khotang,2069/70,"DPT1 Vs
DPT3",1.5
Khotang,2069/70,"Polio1 Vs
Polio3",2.4
Udaypur,2069/70,"BCG Vs
Measles",8
Udaypur,2069/70,"DPT1 Vs
DPT3",4.6
Udaypur,2069/70,"Polio1 Vs
Polio3",4.6
Saptari,2069/70,"BCG Vs
Measles",4.5
Saptari,2069/70,"DPT1 Vs
DPT3",2.2
Saptari,2069/70,"Polio1 Vs
Polio3",5.2
Siraha,2069/70,"BCG Vs
Measles",12.1
Siraha,2069/70,"DPT1 Vs
DPT3",7.2
Siraha,2069/70,"Polio1 Vs
Polio3",7.1
Dhanusha,2069/70,"BCG Vs
Measles",20.4
Dhanusha,2069/70,"DPT1 Vs
DPT3",7.4
Dhanusha,2069/70,"Polio1 Vs
Polio3",17.4
Mahottari,2069/70,"BCG Vs
Measles",16
Mahottari,2069/70,"DPT1 Vs
DPT3",3.1
Mahottari,2069/70,"Polio1 Vs
Polio3",2
Sarlahi,2069/70,"BCG Vs
Measles",18.5
Sarlahi,2069/70,"DPT1 Vs
DPT3",8.7
Sarlahi,2069/70,"Polio1 Vs
Polio3",17.6
Sindhuli,2069/70,"BCG Vs
Measles",12.4
Sindhuli,2069/70,"DPT1 Vs
DPT3",6.8
Sindhuli,2069/70,"Polio1 Vs
Polio3",6.6
Ramechhap,2069/70,"BCG Vs
Measles",-1.3
Ramechhap,2069/70,"DPT1 Vs
DPT3",-1.9
Ramechhap,2069/70,"Polio1 Vs
Polio3",89.2
Dolkha,2069/70,"BCG Vs
Measles",-2.1
Dolkha,2069/70,"DPT1 Vs
DPT3",2.7
Dolkha,2069/70,"Polio1 Vs
Polio3",0.7
Sindhupalchowk,2069/70,"BCG Vs
Measles",-10.9
Sindhupalchowk,2069/70,"DPT1 Vs
DPT3",0.8
Sindhupalchowk,2069/70,"Polio1 Vs
Polio3",0.2
Kavre,2069/70,"BCG Vs
Measles",10.4
Kavre,2069/70,"DPT1 Vs
DPT3",-1.4
Kavre,2069/70,"Polio1 Vs
Polio3",-1.4
Lalitpur,2069/70,"BCG Vs
Measles",43.8
Lalitpur,2069/70,"DPT1 Vs
DPT3",-9.7
Lalitpur,2069/70,"Polio1 Vs
Polio3",-9.7
Bhaktapur,2069/70,"BCG Vs
Measles",-70.9
Bhaktapur,2069/70,"DPT1 Vs
DPT3",-7
Bhaktapur,2069/70,"Polio1 Vs
Polio3",-7.2
Kathmandu,2069/70,"BCG Vs
Measles",25.5
Kathmandu,2069/70,"DPT1 Vs
DPT3",-3.6
Kathmandu,2069/70,"Polio1 Vs
Polio3",-3.3
Nuwakot,2069/70,"BCG Vs
Measles",5
Nuwakot,2069/70,"DPT1 Vs
DPT3",3.8
Nuwakot,2069/70,"Polio1 Vs
Polio3",3.8
Rasuwa,2069/70,"BCG Vs
Measles",6.9
Rasuwa,2069/70,"DPT1 Vs
DPT3",0
Rasuwa,2069/70,"Polio1 Vs
Polio3",-0.2
Dhading,2069/70,"BCG Vs
Measles",-4.2
Dhading,2069/70,"DPT1 Vs
DPT3",0.8
Dhading,2069/70,"Polio1 Vs
Polio3",0.9
Makawanpur,2069/70,"BCG Vs
Measles",10.7
Makawanpur,2069/70,"DPT1 Vs
DPT3",4
Makawanpur,2069/70,"Polio1 Vs
Polio3",3.1
Rautahat,2069/70,"BCG Vs
Measles",22.5
Rautahat,2069/70,"DPT1 Vs
DPT3",29.7
Rautahat,2069/70,"Polio1 Vs
Polio3",13.4
Bara,2069/70,"BCG Vs
Measles",11
Bara,2069/70,"DPT1 Vs
DPT3",2.4
Bara,2069/70,"Polio1 Vs
Polio3",2.9
Parsa,2069/70,"Polio1 Vs
Polio3",15.2
Chitwan,2069/70,"BCG Vs
Measles",14.7
Chitwan,2069/70,"DPT1 Vs
DPT3",-1
Chitwan,2069/70,"Polio1 Vs
Polio3",-1
Gorkha,2069/70,"BCG Vs
Measles",-2.6
Gorkha,2069/70,"DPT1 Vs
DPT3",3.9
Gorkha,2069/70,"Polio1 Vs
Polio3",3.9
Lamjung,2069/70,"BCG Vs
Measles",3.3
Lamjung,2069/70,"DPT1 Vs
DPT3",-2.5
Lamjung,2069/70,"Polio1 Vs
Polio3",-2.5
Tanahu,2069/70,"BCG Vs
Measles",-2
Tanahu,2069/70,"DPT1 Vs
DPT3",1.6
Tanahu,2069/70,"Polio1 Vs
Polio3",1.6
Syangja,2069/70,"BCG Vs
Measles",-10.7
Syangja,2069/70,"DPT1 Vs
DPT3",1
Syangja,2069/70,"Polio1 Vs
Polio3",1
Kaski,2069/70,"BCG Vs
Measles",35.1
Kaski,2069/70,"DPT1 Vs
DPT3",-5.8
Kaski,2069/70,"Polio1 Vs
Polio3",-5.6
Manang,2069/70,"BCG Vs
Measles",0
Manang,2069/70,"DPT1 Vs
DPT3",1.6
Manang,2069/70,"Polio1 Vs
Polio3",1.6
Mustang,2069/70,"BCG Vs
Measles",-19.2
Mustang,2069/70,"DPT1 Vs
DPT3",0.5
Mustang,2069/70,"Polio1 Vs
Polio3",-1
Myagdi,2069/70,"BCG Vs
Measles",0.2
Myagdi,2069/70,"DPT1 Vs
DPT3",1
Myagdi,2069/70,"Polio1 Vs
Polio3",1
Parbat,2069/70,"BCG Vs
Measles",-3.4
Parbat,2069/70,"DPT1 Vs
DPT3",0.8
Parbat,2069/70,"Polio1 Vs
Polio3",0.8
Baglung,2069/70,"BCG Vs
Measles",0.6
Baglung,2069/70,"DPT1 Vs
DPT3",-0.2
Baglung,2069/70,"Polio1 Vs
Polio3",-0.2
Gulmi,2069/70,"BCG Vs
Measles",3.2
Gulmi,2069/70,"DPT1 Vs
DPT3",-0.1
Gulmi,2069/70,"Polio1 Vs
Polio3",-0.6
Palpa,2069/70,"BCG Vs
Measles",14
Palpa,2069/70,"DPT1 Vs
DPT3",-0.9
Palpa,2069/70,"Polio1 Vs
Polio3",-0.9
Nawalparasi,2069/70,"BCG Vs
Measles",-5.5
Nawalparasi,2069/70,"DPT1 Vs
DPT3",-1.1
Nawalparasi,2069/70,"Polio1 Vs
Polio3",-1.1
Rupandehi,2069/70,"BCG Vs
Measles",13.7
Rupandehi,2069/70,"DPT1 Vs
DPT3",-2.1
Rupandehi,2069/70,"Polio1 Vs
Polio3",-2.1
Kapilvastu,2069/70,"BCG Vs
Measles",15.4
Kapilvastu,2069/70,"DPT1 Vs
DPT3",4.1
Kapilvastu,2069/70,"Polio1 Vs
Polio3",4.3
Arghakhanchi,2069/70,"BCG Vs
Measles",8.2
Arghakhanchi,2069/70,"DPT1 Vs
DPT3",4.5
Arghakhanchi,2069/70,"Polio1 Vs
Polio3",4.8
Pyuthan,2069/70,"BCG Vs
Measles",3.8
Pyuthan,2069/70,"DPT1 Vs
DPT3",2.2
Pyuthan,2069/70,"Polio1 Vs
Polio3",2.2
Rolpa,2069/70,"BCG Vs
Measles",3.5
Rolpa,2069/70,"DPT1 Vs
DPT3",0
Rolpa,2069/70,"Polio1 Vs
Polio3",-0.3
Rukum,2069/70,"BCG Vs
Measles",12.8
Rukum,2069/70,"DPT1 Vs
DPT3",4.8
Rukum,2069/70,"Polio1 Vs
Polio3",4.8
Salyan,2069/70,"BCG Vs
Measles",-0.6
Salyan,2069/70,"DPT1 Vs
DPT3",1
Salyan,2069/70,"Polio1 Vs
Polio3",1
Dang,2069/70,"BCG Vs
Measles",6.1
Dang,2069/70,"DPT1 Vs
DPT3",0.4
Dang,2069/70,"Polio1 Vs
Polio3",0.4
Banke,2069/70,"BCG Vs
Measles",15.7
Banke,2069/70,"DPT1 Vs
DPT3",2.2
Banke,2069/70,"Polio1 Vs
Polio3",2.2
Bardiya,2069/70,"BCG Vs
Measles",-0.9
Bardiya,2069/70,"DPT1 Vs
DPT3",0.5
Bardiya,2069/70,"Polio1 Vs
Polio3",0.5
Surkhet,2069/70,"BCG Vs
Measles",5.2
Surkhet,2069/70,"DPT1 Vs
DPT3",1.8
Surkhet,2069/70,"Polio1 Vs
Polio3",1.8
Dailekh,2069/70,"BCG Vs
Measles",11.3
Dailekh,2069/70,"DPT1 Vs
DPT3",4.5
Dailekh,2069/70,"Polio1 Vs
Polio3",4.5
Jajarkot,2069/70,"BCG Vs
Measles",6.2
Jajarkot,2069/70,"DPT1 Vs
DPT3",5.6
Jajarkot,2069/70,"Polio1 Vs
Polio3",5.6
Dolpa,2069/70,"BCG Vs
Measles",9.6
Dolpa,2069/70,"DPT1 Vs
DPT3",10.1
Dolpa,2069/70,"Polio1 Vs
Polio3",9.8
Jumla,2069/70,"BCG Vs
Measles",14.7
Jumla,2069/70,"DPT1 Vs
DPT3",6.8
Jumla,2069/70,"Polio1 Vs
Polio3",6.2
Kalikot,2069/70,"BCG Vs
Measles",18.4
Kalikot,2069/70,"DPT1 Vs
DPT3",12.3
Kalikot,2069/70,"Polio1 Vs
Polio3",11.2
Mugu,2069/70,"BCG Vs
Measles",8.2
Mugu,2069/70,"DPT1 Vs
DPT3",-3.1
Mugu,2069/70,"Polio1 Vs
Polio3",-2.2
Humla,2069/70,"BCG Vs
Measles",6.4
Humla,2069/70,"DPT1 Vs
DPT3",2.5
Humla,2069/70,"Polio1 Vs
Polio3",2.5
Bajura,2069/70,"BCG Vs
Measles",2.9
Bajura,2069/70,"DPT1 Vs
DPT3",2.8
Bajura,2069/70,"Polio1 Vs
Polio3",2.2
Bajhang,2069/70,"BCG Vs
Measles",9.7
Bajhang,2069/70,"DPT1 Vs
DPT3",4.8
Bajhang,2069/70,"Polio1 Vs
Polio3",4.6
Achham,2069/70,"BCG Vs
Measles",3
Achham,2069/70,"DPT1 Vs
DPT3",1.9
Achham,2069/70,"Polio1 Vs
Polio3",1.3
Doti,2069/70,"BCG Vs
Measles",11.8
Doti,2069/70,"DPT1 Vs
DPT3",9.7
Doti,2069/70,"Polio1 Vs
Polio3",9.7
Kailali,2069/70,"BCG Vs
Measles",4.9
Kailali,2069/70,"DPT1 Vs
DPT3",-1.7
Kailali,2069/70,"Polio1 Vs
Polio3",-1.6
Kanchanpur,2069/70,"BCG Vs
Measles",2.9
Kanchanpur,2069/70,"DPT1 Vs
DPT3",-1.6
Kanchanpur,2069/70,"Polio1 Vs
Polio3",-1.6
Dadeldhura,2069/70,"BCG Vs
Measles",2.8
Dadeldhura,2069/70,"DPT1 Vs
DPT3",4.1
Dadeldhura,2069/70,"Polio1 Vs
Polio3",4.1
Baitadi,2069/70,"BCG Vs
Measles",-1.7
Baitadi,2069/70,"DPT1 Vs
DPT3",-0.1
Baitadi,2069/70,"Polio1 Vs
Polio3",-0.1
Darchula,2069/70,"BCG Vs
Measles",2
Darchula,2069/70,"DPT1 Vs
DPT3",2.4
Darchula,2069/70,"Polio1 Vs
Polio3",2.5
