Year AD,Year BS,District,zone,belt,region,Type of disease,Number of patient,Zone,Belt,Region
2011/012,2068/69,Rasuwa,Bagmati,Mountain,Central,"Jaundice and Infective
Hepatitis",216,Bagmati,Mountain,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Typhoid (Enteric Fever),12149,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Acute gastro enteritis,3378,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Ameobic Dysentry,10670,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Baccilary Dysentry,4114,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,"Presumed non infectious
diarrhoea",12258,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Cholera,14,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,Intestinal Worms,7515,Bagmati,Hill,Central
2011/012,2068/69,Dhading,Bagmati,Hill,Central,"Jaundice and Infective
Hepatitis",996,Bagmati,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Typhoid (Enteric Fever),3423,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Acute gastro enteritis,2475,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Ameobic Dysentry,4612,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Baccilary Dysentry,2385,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,"Presumed non infectious
diarrhoea",12879,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Cholera,0,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,Intestinal Worms,4858,Narayani,Hill,Central
2011/012,2068/69,Makwanpur,Narayani,Hill,Central,"Jaundice and Infective
Hepatitis",364,Narayani,Hill,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Typhoid (Enteric Fever),10533,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Acute gastro enteritis,6487,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Ameobic Dysentry,27276,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Baccilary Dysentry,8794,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,"Presumed non infectious
diarrhoea",15865,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Cholera,0,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,Intestinal Worms,25968,Narayani,Terai,Central
2011/012,2068/69,Rautahat,Narayani,Terai,Central,"Jaundice and Infective
Hepatitis",357,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Typhoid (Enteric Fever),10080,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Acute gastro enteritis,7826,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Ameobic Dysentry,20657,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Baccilary Dysentry,7670,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,"Presumed non infectious
diarrhoea",19981,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Cholera,151,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,Intestinal Worms,25617,Narayani,Terai,Central
2011/012,2068/69,Bara,Narayani,Terai,Central,"Jaundice and Infective
Hepatitis",834,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Typhoid (Enteric Fever),0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Acute gastro enteritis,0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Ameobic Dysentry,0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Baccilary Dysentry,0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,"Presumed non infectious
diarrhoea",0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Cholera,0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,Intestinal Worms,0,Narayani,Terai,Central
2011/012,2068/69,Parsa,Narayani,Terai,Central,"Jaundice and Infective
Hepatitis",0,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Typhoid (Enteric Fever),2360,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Acute gastro enteritis,4985,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Ameobic Dysentry,6594,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Baccilary Dysentry,1951,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,"Presumed non infectious
diarrhoea",6028,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Cholera,0,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,Intestinal Worms,10541,Narayani,Terai,Central
2011/012,2068/69,Chitawan,Narayani,Terai,Central,"Jaundice and Infective
Hepatitis",711,Narayani,Terai,Central
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Typhoid (Enteric Fever),6693,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Acute gastro enteritis,5739,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Ameobic Dysentry,8341,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Baccilary Dysentry,2805,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,"Presumed non infectious
diarrhoea",6647,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Cholera,0,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,Intestinal Worms,8208,Gandaki,Hill,Western
2011/012,2068/69,Gorkha,Gandaki,Hill,Western,"Jaundice and Infective
Hepatitis",807,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Typhoid (Enteric Fever),3158,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Acute gastro enteritis,1750,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Ameobic Dysentry,5017,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Baccilary Dysentry,1709,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,"Presumed non infectious
diarrhoea",7024,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Cholera,26,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,Intestinal Worms,5521,Gandaki,Hill,Western
2011/012,2068/69,Lamjung,Gandaki,Hill,Western,"Jaundice and Infective
Hepatitis",374,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Typhoid (Enteric Fever),5655,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Acute gastro enteritis,1451,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Ameobic Dysentry,3949,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Baccilary Dysentry,1596,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,"Presumed non infectious
diarrhoea",5510,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Cholera,0,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,Intestinal Worms,6056,Gandaki,Hill,Western
2011/012,2068/69,Tanahu,Gandaki,Hill,Western,"Jaundice and Infective
Hepatitis",498,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Typhoid (Enteric Fever),11376,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Acute gastro enteritis,3225,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Ameobic Dysentry,6536,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Baccilary Dysentry,2091,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,"Presumed non infectious
diarrhoea",3079,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Cholera,5,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,Intestinal Worms,5738,Gandaki,Hill,Western
2011/012,2068/69,Syangja,Gandaki,Hill,Western,"Jaundice and Infective
Hepatitis",771,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Typhoid (Enteric Fever),10878,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Acute gastro enteritis,8945,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Ameobic Dysentry,7484,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Baccilary Dysentry,2548,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,"Presumed non infectious
diarrhoea",8636,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Cholera,46,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,Intestinal Worms,6676,Gandaki,Hill,Western
2011/012,2068/69,Kaski,Gandaki,Hill,Western,"Jaundice and Infective
Hepatitis",2547,Gandaki,Hill,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Typhoid (Enteric Fever),119,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Acute gastro enteritis,329,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Ameobic Dysentry,527,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Baccilary Dysentry,102,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,"Presumed non infectious
diarrhoea",236,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Cholera,0,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,Intestinal Worms,572,Gandaki,Mountain,Western
2011/012,2068/69,Manang,Gandaki,Mountain,Western,"Jaundice and Infective
Hepatitis",5,Gandaki,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Typhoid (Enteric Fever),108,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Acute gastro enteritis,696,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Ameobic Dysentry,551,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Baccilary Dysentry,240,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,"Presumed non infectious
diarrhoea",690,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Cholera,0,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,Intestinal Worms,1023,Dhawalagiri,Mountain,Western
2011/012,2068/69,Mustang,Dhawalagiri,Mountain,Western,"Jaundice and Infective
Hepatitis",13,Dhawalagiri,Mountain,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Typhoid (Enteric Fever),1850,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Acute gastro enteritis,1006,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Ameobic Dysentry,3078,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Baccilary Dysentry,1541,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,"Presumed non infectious
diarrhoea",4591,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Cholera,0,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,Intestinal Worms,4211,Dhawalagiri,Hill,Western
2011/012,2068/69,Myagdi,Dhawalagiri,Hill,Western,"Jaundice and Infective
Hepatitis",241,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Typhoid (Enteric Fever),5351,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Acute gastro enteritis,1814,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Ameobic Dysentry,4736,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Baccilary Dysentry,1165,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,"Presumed non infectious
diarrhoea",3689,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Cholera,0,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,Intestinal Worms,4506,Dhawalagiri,Hill,Western
2011/012,2068/69,Parbat,Dhawalagiri,Hill,Western,"Jaundice and Infective
Hepatitis",342,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Typhoid (Enteric Fever),12832,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Acute gastro enteritis,3919,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Ameobic Dysentry,7195,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Baccilary Dysentry,3447,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,"Presumed non infectious
diarrhoea",6442,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Cholera,0,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,Intestinal Worms,7829,Dhawalagiri,Hill,Western
2011/012,2068/69,Baglung,Dhawalagiri,Hill,Western,"Jaundice and Infective
Hepatitis",1016,Dhawalagiri,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Typhoid (Enteric Fever),8788,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Acute gastro enteritis,5360,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Ameobic Dysentry,10412,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Baccilary Dysentry,2953,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,"Presumed non infectious
diarrhoea",5729,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Cholera,0,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,Intestinal Worms,13699,Lumbini,Hill,Western
2011/012,2068/69,Gulmi,Lumbini,Hill,Western,"Jaundice and Infective
Hepatitis",1422,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Typhoid (Enteric Fever),10365,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Acute gastro enteritis,2620,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Ameobic Dysentry,8420,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Baccilary Dysentry,2626,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,"Presumed non infectious
diarrhoea",9164,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Cholera,30,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,Intestinal Worms,6629,Lumbini,Hill,Western
2011/012,2068/69,Palpa,Lumbini,Hill,Western,"Jaundice and Infective
Hepatitis",481,Lumbini,Hill,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Typhoid (Enteric Fever),8295,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Acute gastro enteritis,7143,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Ameobic Dysentry,9338,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Baccilary Dysentry,4492,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,"Presumed non infectious
diarrhoea",21543,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Cholera,3,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,Intestinal Worms,12422,Lumbini,Terai,Western
2011/012,2068/69,Nawalparasi,Lumbini,Terai,Western,"Jaundice and Infective
Hepatitis",723,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Typhoid (Enteric Fever),0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Acute gastro enteritis,0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Ameobic Dysentry,0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Baccilary Dysentry,0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,"Presumed non infectious
diarrhoea",0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Cholera,0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,Intestinal Worms,0,Lumbini,Terai,Western
2011/012,2068/69,Rupandehi,Lumbini,Terai,Western,"Jaundice and Infective
Hepatitis",0,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Typhoid (Enteric Fever),11877,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Acute gastro enteritis,12018,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Ameobic Dysentry,26416,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Baccilary Dysentry,13106,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,"Presumed non infectious
diarrhoea",15338,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Cholera,95,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,Intestinal Worms,17363,Lumbini,Terai,Western
2011/012,2068/69,Kapilbastu,Lumbini,Terai,Western,"Jaundice and Infective
Hepatitis",568,Lumbini,Terai,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Typhoid (Enteric Fever),5910,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Acute gastro enteritis,2360,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Ameobic Dysentry,6217,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Baccilary Dysentry,3076,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,"Presumed non infectious
diarrhoea",7054,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Cholera,97,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,Intestinal Worms,6573,Lumbini,Hill,Western
2011/012,2068/69,Arghakhanchi,Lumbini,Hill,Western,"Jaundice and Infective
Hepatitis",602,Lumbini,Hill,Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Typhoid (Enteric Fever),8194,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Acute gastro enteritis,2863,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Ameobic Dysentry,7283,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Baccilary Dysentry,2985,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,"Presumed non infectious
diarrhoea",12558,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Cholera,0,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,Intestinal Worms,5037,Rapti,Hill,Mid-Western
2011/012,2068/69,Pyuthan,Rapti,Hill,Mid-Western,"Jaundice and Infective
Hepatitis",835,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Typhoid (Enteric Fever),6620,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Acute gastro enteritis,3586,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Ameobic Dysentry,6299,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Baccilary Dysentry,2601,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,"Presumed non infectious
diarrhoea",4426,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Cholera,0,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,Intestinal Worms,4659,Rapti,Hill,Mid-Western
2011/012,2068/69,Rolpa,Rapti,Hill,Mid-Western,"Jaundice and Infective
Hepatitis",284,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Typhoid (Enteric Fever),8910,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Acute gastro enteritis,4278,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Ameobic Dysentry,7662,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Baccilary Dysentry,4365,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,"Presumed non infectious
diarrhoea",8100,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Cholera,0,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,Intestinal Worms,7035,Rapti,Hill,Mid-Western
2011/012,2068/69,Rukum,Rapti,Hill,Mid-Western,"Jaundice and Infective
Hepatitis",352,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Typhoid (Enteric Fever),9908,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Acute gastro enteritis,4423,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Ameobic Dysentry,11245,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Baccilary Dysentry,5550,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,"Presumed non infectious
diarrhoea",6355,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Cholera,0,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,Intestinal Worms,5925,Rapti,Hill,Mid-Western
2011/012,2068/69,Salyan,Rapti,Hill,Mid-Western,"Jaundice and Infective
Hepatitis",514,Rapti,Hill,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Typhoid (Enteric Fever),12806,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Acute gastro enteritis,6784,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Ameobic Dysentry,11411,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Baccilary Dysentry,4803,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,"Presumed non infectious
diarrhoea",10313,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Cholera,0,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,Intestinal Worms,11668,Rapti,Terai,Mid-Western
2011/012,2068/69,Dang,Rapti,Terai,Mid-Western,"Jaundice and Infective
Hepatitis",1412,Rapti,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Typhoid (Enteric Fever),8412,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Acute gastro enteritis,7111,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Ameobic Dysentry,15269,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Baccilary Dysentry,6294,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,"Presumed non infectious
diarrhoea",13359,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Cholera,11,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,Intestinal Worms,12323,Bheri,Terai,Mid-Western
2011/012,2068/69,Banke,Bheri,Terai,Mid-Western,"Jaundice and Infective
Hepatitis",423,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Typhoid (Enteric Fever),12936,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Acute gastro enteritis,5360,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Ameobic Dysentry,14274,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Baccilary Dysentry,8487,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,"Presumed non infectious
diarrhoea",12035,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Cholera,49,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,Intestinal Worms,15659,Bheri,Terai,Mid-Western
2011/012,2068/69,Bardiya,Bheri,Terai,Mid-Western,"Jaundice and Infective
Hepatitis",1108,Bheri,Terai,Mid-Western
2011/012,2068/69,Surkhet,Bheri,Hill,Mid-Western,Typhoid (Enteric Fever),13868,Bheri,Hill,Mid-Western
2011/012,2068/69,Surkhet,Bheri,Hill,Mid-Western,Acute gastro enteritis,9605,Bheri,Hill,Mid-Western
2011/012,2068/69,Surkhet,Bheri,Hill,Mid-Western,Ameobic Dysentry,12084,Bheri,Hill,Mid-Western
2011/012,2068/69,Surkhet,Bheri,Hill,Mid-Western,Baccilary Dysentry,5797,Bheri,Hill,Mid-Western
2011/012,2068/69,Surkhet,Bheri,Hill,Mid-Western,"Presumed non infectious
diarrhoea",7937,Bheri,Hill,Mid-Western
