Year AD,Year BS,District,zone,belt,region,Communicable and infectious disease,Number of people,Zone,Belt,Region
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Pneumonia,15070,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Server Pneumonia,541,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Bronchitis,9626,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Asthma,7747,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Urinary Tract infection,9867,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Viral Influenza,16283,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Reproductive Tract Infection male,460,Mechi,Terai,Eastern
2010/011,2067/68,Jhapa,Mechi,Terai,Eastern,Reproductive tract infection female,613,Mechi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,ARI /Lower respiratory tract infection,31641,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Upper respiratory Tract infection,29018,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Pneumonia,11831,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Server Pneumonia,663,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Bronchitis,9610,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Asthma,6518,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Urinary Tract infection,14727,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Viral Influenza,3954,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Reproductive Tract Infection male,267,Kosi,Terai,Eastern
2010/011,2067/68,Morang,Kosi,Terai,Eastern,Reproductive tract infection female,437,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,ARI /Lower respiratory tract infection,35300,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Upper respiratory Tract infection,27773,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Pneumonia,18968,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Server Pneumonia,363,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Bronchitis,4135,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Asthma,5465,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Urinary Tract infection,4224,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Viral Influenza,4060,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Reproductive Tract Infection male,44,Kosi,Terai,Eastern
2010/011,2067/68,Sunsari,Kosi,Terai,Eastern,Reproductive tract infection female,113,Kosi,Terai,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,7215,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Upper respiratory Tract infection,5271,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Pneumonia,4747,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Server Pneumonia,84,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Bronchitis,2542,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Asthma,1598,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Urinary Tract infection,1298,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Viral Influenza,2522,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Reproductive Tract Infection male,18,Kosi,Hill,Eastern
2010/011,2067/68,Dhankuta,Kosi,Hill,Eastern,Reproductive tract infection female,23,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,5078,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Upper respiratory Tract infection,6777,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Pneumonia,2900,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Server Pneumonia,104,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Bronchitis,2497,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Asthma,1435,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Urinary Tract infection,1531,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Viral Influenza,1458,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Reproductive Tract Infection male,82,Kosi,Hill,Eastern
2010/011,2067/68,Terhathum,Kosi,Hill,Eastern,Reproductive tract infection female,76,Kosi,Hill,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,ARI /Lower respiratory tract infection,9506,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Upper respiratory Tract infection,8109,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Pneumonia,5618,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Server Pneumonia,76,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Bronchitis,783,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Asthma,2187,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Urinary Tract infection,2250,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Viral Influenza,256,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Reproductive Tract Infection male,37,Kosi,Mountain,Eastern
2010/011,2067/68,Sankhuwasabha,Kosi,Mountain,Eastern,Reproductive tract infection female,87,Kosi,Mountain,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,11552,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Upper respiratory Tract infection,6594,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Pneumonia,6665,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Server Pneumonia,273,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Bronchitis,2857,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Asthma,3429,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Urinary Tract infection,2285,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Viral Influenza,2740,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Reproductive Tract Infection male,720,Kosi,Hill,Eastern
2010/011,2067/68,Bhojpur,Kosi,Hill,Eastern,Reproductive tract infection female,214,Kosi,Hill,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,ARI /Lower respiratory tract infection,7549,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Upper respiratory Tract infection,10470,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Pneumonia,3015,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Server Pneumonia,182,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Bronchitis,1871,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Asthma,2470,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Urinary Tract infection,2309,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Viral Influenza,264,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Reproductive Tract Infection male,35,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Solukhumbu,Sagarmatha,Mountain,Eastern,Reproductive tract infection female,115,Sagarmatha,Mountain,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,13666,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,13765,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Pneumonia,5922,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Server Pneumonia,199,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Bronchitis,3012,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Asthma,3522,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Urinary Tract infection,2687,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Viral Influenza,1901,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,43,Sagarmatha,Hill,Eastern
2010/011,2067/68,Okhaldhunga,Sagarmatha,Hill,Eastern,Reproductive tract infection female,225,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,9560,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,8259,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Pneumonia,6068,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Server Pneumonia,1037,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Bronchitis,2206,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Asthma,2971,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Urinary Tract infection,2172,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Viral Influenza,1008,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,268,Sagarmatha,Hill,Eastern
2010/011,2067/68,Khotang,Sagarmatha,Hill,Eastern,Reproductive tract infection female,154,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,ARI /Lower respiratory tract infection,9000,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Upper respiratory Tract infection,6384,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Pneumonia,4311,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Server Pneumonia,275,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Bronchitis,3903,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Asthma,2974,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Urinary Tract infection,2838,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Viral Influenza,1807,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Reproductive Tract Infection male,126,Sagarmatha,Hill,Eastern
2010/011,2067/68,Udayapur,Sagarmatha,Hill,Eastern,Reproductive tract infection female,230,Sagarmatha,Hill,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,ARI /Lower respiratory tract infection,27960,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Upper respiratory Tract infection,19502,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Pneumonia,10172,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Server Pneumonia,213,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Bronchitis,11194,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Asthma,9531,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Urinary Tract infection,6063,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Viral Influenza,8019,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Reproductive Tract Infection male,53,Sagarmatha,Terai,Eastern
2010/011,2067/68,Saptari,Sagarmatha,Terai,Eastern,Reproductive tract infection female,177,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,ARI /Lower respiratory tract infection,38460,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Upper respiratory Tract infection,32129,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Pneumonia,12706,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Server Pneumonia,763,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Bronchitis,13884,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Asthma,8691,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Urinary Tract infection,10278,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Viral Influenza,4541,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Reproductive Tract Infection male,124,Sagarmatha,Terai,Eastern
2010/011,2067/68,Siraha,Sagarmatha,Terai,Eastern,Reproductive tract infection female,242,Sagarmatha,Terai,Eastern
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,ARI /Lower respiratory tract infection,36659,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Upper respiratory Tract infection,26743,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Pneumonia,11404,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Server Pneumonia,406,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Bronchitis,12836,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Asthma,11399,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Urinary Tract infection,5368,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Viral Influenza,4820,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Reproductive Tract Infection male,166,Janakpur,Terai,Central
2010/011,2067/68,Dhanusa,Janakpur,Terai,Central,Reproductive tract infection female,251,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,ARI /Lower respiratory tract infection,22343,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Upper respiratory Tract infection,18398,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Pneumonia,8034,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Server Pneumonia,478,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Bronchitis,8966,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Asthma,9304,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Urinary Tract infection,5975,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Viral Influenza,3077,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Reproductive Tract Infection male,88,Janakpur,Terai,Central
2010/011,2067/68,Mahottari,Janakpur,Terai,Central,Reproductive tract infection female,198,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,ARI /Lower respiratory tract infection,23203,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Upper respiratory Tract infection,22587,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Pneumonia,8697,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Server Pneumonia,516,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Bronchitis,13142,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Asthma,14048,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Urinary Tract infection,5627,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Viral Influenza,1750,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Reproductive Tract Infection male,152,Janakpur,Terai,Central
2010/011,2067/68,Sarlahi,Janakpur,Terai,Central,Reproductive tract infection female,238,Janakpur,Terai,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,ARI /Lower respiratory tract infection,5474,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Upper respiratory Tract infection,4642,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Pneumonia,3755,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Server Pneumonia,134,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Bronchitis,1738,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Asthma,2792,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Urinary Tract infection,1769,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Viral Influenza,848,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Reproductive Tract Infection male,55,Janakpur,Hill,Central
2010/011,2067/68,Sindhuli,Janakpur,Hill,Central,Reproductive tract infection female,82,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,ARI /Lower respiratory tract infection,8658,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Upper respiratory Tract infection,7747,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Pneumonia,4035,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Server Pneumonia,131,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Bronchitis,2761,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Asthma,3072,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Urinary Tract infection,2306,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Viral Influenza,2541,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Reproductive Tract Infection male,17,Janakpur,Hill,Central
2010/011,2067/68,Ramechhap,Janakpur,Hill,Central,Reproductive tract infection female,8,Janakpur,Hill,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,ARI /Lower respiratory tract infection,16534,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Upper respiratory Tract infection,11350,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Pneumonia,3687,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Server Pneumonia,143,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Bronchitis,3153,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Asthma,4002,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Urinary Tract infection,3579,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Viral Influenza,3795,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Reproductive Tract Infection male,84,Janakpur,Mountain,Central
2010/011,2067/68,Dolakha,Janakpur,Mountain,Central,Reproductive tract infection female,175,Janakpur,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,ARI /Lower respiratory tract infection,14444,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Upper respiratory Tract infection,13088,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Pneumonia,5744,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Server Pneumonia,202,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Bronchitis,3340,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Asthma,4712,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Urinary Tract infection,3334,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Viral Influenza,4414,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Reproductive Tract Infection male,97,Bagmati,Mountain,Central
2010/011,2067/68,Sindhupalchok,Bagmati,Mountain,Central,Reproductive tract infection female,222,Bagmati,Mountain,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,23475,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Upper respiratory Tract infection,23520,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Pneumonia,7667,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Server Pneumonia,79,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Bronchitis,4739,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Asthma,7856,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Urinary Tract infection,3235,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Viral Influenza,4328,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Reproductive Tract Infection male,43,Bagmati,Hill,Central
2010/011,2067/68,Kavre,Bagmati,Hill,Central,Reproductive tract infection female,129,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Upper respiratory Tract infection,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Pneumonia,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Server Pneumonia,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Bronchitis,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Asthma,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Urinary Tract infection,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Viral Influenza,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Reproductive Tract Infection male,0,Bagmati,Hill,Central
2010/011,2067/68,Lalitpur,Bagmati,Hill,Central,Reproductive tract infection female,0,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,6355,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Upper respiratory Tract infection,6709,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Pneumonia,2073,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Server Pneumonia,53,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Bronchitis,1070,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Asthma,2586,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Urinary Tract infection,1965,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Viral Influenza,1712,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Reproductive Tract Infection male,44,Bagmati,Hill,Central
2010/011,2067/68,Bhaktapur,Bagmati,Hill,Central,Reproductive tract infection female,74,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,15289,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Upper respiratory Tract infection,22107,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Pneumonia,12004,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Server Pneumonia,616,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Bronchitis,4758,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Asthma,15610,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Urinary Tract infection,9287,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Viral Influenza,5721,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Reproductive Tract Infection male,467,Bagmati,Hill,Central
2010/011,2067/68,Kathmandu,Bagmati,Hill,Central,Reproductive tract infection female,834,Bagmati,Hill,Central
2010/011,2067/68,Nuwakot,Bagmati,Hill,Central,ARI /Lower respiratory tract infection,6896,Bagmati,Hill,Central
2010/011,2067/68,Nuwakot,Bagmati,Hill,Central,Upper respiratory Tract infection,7344,Bagmati,Hill,Central
